,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,4,1,5,8,5,0.625,23,12,0.522,3,3,1.0,"APR 25, 2012",0021100976,OKC vs. DEN,40,0,4,1,32,201142,5,22011,0,5,0,L
1,1,1,9,6,3,0.5,19,7,0.368,16,15,0.938,"APR 24, 2012",0021100968,OKC vs. SAC,32,0,2,2,32,201142,9,22011,2,3,0,W
2,3,1,8,10,4,0.4,34,11,0.324,10,9,0.9,"APR 22, 2012",0021100952,OKC @ LAL,51,0,3,-7,35,201142,8,22011,0,5,0,L
3,7,1,13,3,2,0.667,15,9,0.6,10,9,0.9,"APR 20, 2012",0021100942,OKC @ SAC,38,1,0,13,29,201142,14,22011,1,4,0,W
4,5,2,11,2,1,0.5,20,10,0.5,8,8,1.0,"APR 18, 2012",0021100928,OKC @ PHX,41,0,4,12,29,201142,11,22011,1,5,0,W
5,2,0,4,7,0,0.0,18,7,0.389,12,10,0.833,"APR 16, 2012",0021100911,OKC @ LAC,39,1,4,-14,24,201142,5,22011,2,5,0,L
6,1,1,6,6,4,0.667,23,15,0.652,12,9,0.75,"APR 14, 2012",0021100890,OKC @ MIN,35,1,5,14,43,201142,7,22011,0,4,0,W
7,3,0,7,1,0,0.0,19,9,0.474,13,11,0.846,"APR 13, 2012",0021100883,OKC vs. SAC,30,2,1,19,29,201142,9,22011,1,7,0,W
8,3,2,7,8,3,0.375,21,7,0.333,5,5,1.0,"APR 11, 2012",0021100865,OKC vs. LAC,44,2,3,-7,22,201142,9,22011,2,2,0,L
9,8,2,4,4,1,0.25,14,5,0.357,8,8,1.0,"APR 09, 2012",0021100845,OKC @ MIL,37,0,1,21,19,201142,4,22011,1,3,0,W
10,1,2,4,6,4,0.667,14,7,0.5,5,5,1.0,"APR 08, 2012",0021100840,OKC vs. TOR,31,0,1,8,23,201142,4,22011,1,2,0,W
11,3,2,5,8,3,0.375,24,15,0.625,13,11,0.846,"APR 06, 2012",0021100815,OKC @ IND,44,1,0,-9,44,201142,6,22011,1,3,0,L
12,3,2,4,7,2,0.286,21,11,0.524,6,6,1.0,"APR 04, 2012",0021100803,OKC @ MIA,43,0,1,-14,30,201142,4,22011,0,9,0,L
13,3,0,8,8,2,0.25,20,8,0.4,4,3,0.75,"APR 02, 2012",0021100787,OKC vs. MEM,43,0,1,-5,21,201142,8,22011,0,3,0,L
14,4,1,10,2,2,1.0,16,11,0.688,2,2,1.0,"APR 01, 2012",0021100777,OKC vs. CHI,32,0,1,33,26,201142,10,22011,1,1,0,W
15,5,2,8,2,1,0.5,22,10,0.455,0,0,0.0,"MAR 29, 2012",0021100756,OKC @ LAL,43,3,3,1,21,201142,11,22011,0,3,0,W
16,1,0,6,5,2,0.4,14,10,0.714,3,3,1.0,"MAR 27, 2012",0021100741,OKC @ POR,32,0,3,8,25,201142,6,22011,2,5,0,W
17,8,1,8,5,4,0.8,20,11,0.55,5,2,0.4,"MAR 25, 2012",0021100724,OKC vs. MIA,42,1,1,13,28,201142,9,22011,2,2,0,W
