,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,0,6,13,4,0.308,25,8,0.32,12,10,0.833,"APR 17, 2013",0021201228,HOU @ LAL,45,2,3,-4,30,201935,8,22012,1,6,1,L
1,2,0,4,7,0,0.0,18,5,0.278,11,6,0.545,"APR 15, 2013",0021201211,HOU @ PHX,34,0,1,-20,16,201935,4,22012,1,4,1,L
2,9,1,3,6,4,0.667,16,11,0.688,7,3,0.429,"APR 14, 2013",0021201200,HOU vs. SAC,32,1,0,17,29,201935,4,22012,2,2,1,W
3,6,2,6,10,5,0.5,24,7,0.292,14,11,0.786,"APR 12, 2013",0021201184,HOU vs. MEM,44,1,4,-3,30,201935,7,22012,2,8,1,L
4,6,1,6,8,2,0.25,21,9,0.429,14,13,0.929,"APR 09, 2013",0021201160,HOU vs. PHX,44,0,3,2,33,201935,6,22012,3,9,1,W
5,5,1,3,3,0,0.0,10,2,0.2,10,10,1.0,"APR 06, 2013",0021201144,HOU @ DEN,29,1,2,-6,14,201935,4,22012,1,3,1,L
6,6,1,7,9,4,0.444,21,11,0.524,8,7,0.875,"APR 05, 2013",0021201136,HOU @ POR,35,0,0,11,33,201935,7,22012,1,4,1,W
7,9,2,6,8,2,0.25,19,7,0.368,6,5,0.833,"APR 03, 2013",0021201119,HOU @ SAC,40,1,2,11,21,201935,7,22012,0,5,1,W
8,4,0,1,4,1,0.25,9,3,0.333,0,0,0.0,"MAR 29, 2013",0021201079,HOU @ MEM,27,0,1,-16,7,201935,1,22012,2,1,1,L
9,8,0,4,10,3,0.3,24,6,0.25,9,7,0.778,"MAR 27, 2013",0021201064,HOU vs. IND,43,0,4,-5,22,201935,4,22012,1,3,1,L
10,6,2,8,5,2,0.4,16,6,0.375,17,15,0.882,"MAR 24, 2013",0021201042,HOU vs. SAS,40,1,1,5,29,201935,9,22012,2,1,1,W
11,2,0,1,5,3,0.6,9,5,0.556,9,7,0.778,"MAR 22, 2013",0021201028,HOU vs. CLE,31,0,1,21,20,201935,1,22012,2,4,1,W
12,3,1,2,6,2,0.333,14,5,0.357,18,17,0.944,"MAR 20, 2013",0021201014,HOU vs. UTA,38,0,3,7,29,201935,2,22012,2,3,1,W
13,8,0,9,7,3,0.429,16,6,0.375,6,6,1.0,"MAR 17, 2013",0021200988,HOU vs. GSW,40,1,3,-19,21,201935,10,22012,3,3,1,L
14,8,0,7,10,5,0.5,16,8,0.5,18,16,0.889,"MAR 15, 2013",0021200973,HOU vs. MIN,43,0,5,7,37,201935,7,22012,0,5,1,W
15,4,0,2,5,3,0.6,7,4,0.571,8,7,0.875,"MAR 13, 2013",0021200961,HOU vs. PHX,32,0,2,34,18,201935,2,22012,0,4,1,W
16,8,0,4,10,7,0.7,17,11,0.647,12,9,0.75,"MAR 09, 2013",0021200932,HOU @ PHX,42,1,3,4,38,201935,5,22012,1,8,1,L
17,11,0,5,8,3,0.375,17,3,0.176,14,11,0.786,"MAR 08, 2013",0021200926,HOU @ GSW,42,1,1,5,20,201935,6,22012,3,3,0,W
18,9,0,3,7,2,0.286,17,5,0.294,16,16,1.0,"MAR 06, 2013",0021200908,HOU @ DAL,39,1,3,-13,28,201935,4,22012,2,2,1,L
19,7,0,4,8,4,0.5,10,5,0.5,9,7,0.778,"MAR 03, 2013",0021200885,HOU vs. DAL,30,0,1,37,21,201935,4,22012,1,0,1,W
20,8,1,7,5,0,0.0,18,7,0.389,11,10,0.909,"MAR 01, 2013",0021200866,HOU @ ORL,42,0,3,3,24,201935,7,22012,3,2,0,W
21,7,0,2,6,2,0.333,18,8,0.444,10,7,0.7,"FEB 27, 2013",0021200856,HOU vs. MIL,38,0,4,-9,25,201935,2,22012,4,7,1,L
22,6,0,3,11,3,0.273,23,10,0.435,4,4,1.0,"FEB 23, 2013",0021200823,HOU @ WAS,42,1,2,-6,27,201935,4,22012,3,3,1,L
23,4,0,5,7,4,0.571,14,7,0.5,5,4,0.8,"FEB 22, 2013",0021200815,HOU @ BKN,42,0,1,9,22,201935,5,22012,1,3,1,W
24,6,1,6,8,7,0.875,19,14,0.737,12,11,0.917,"FEB 20, 2013",0021200804,HOU vs. OKC,44,1,2,6,46,201935,7,22012,2,2,1,W
25,5,0,6,8,2,0.25,22,7,0.318,11,11,1.0,"FEB 12, 2013",0021200774,HOU @ GSW,39,1,0,10,27,201935,7,22012,3,5,1,W
26,4,0,3,7,2,0.286,20,10,0.5,11,8,0.727,"FEB 10, 2013",0021200760,HOU @ SAC,40,3,1,-10,30,201935,6,22012,1,4,1,L
27,11,0,6,5,4,0.8,16,13,0.813,6,5,0.833,"FEB 08, 2013",0021200743,HOU vs. POR,38,1,2,21,35,201935,7,22012,1,3,1,W
28,7,0,10,7,4,0.571,16,10,0.625,13,12,0.923,"FEB 06, 2013",0021200726,HOU @ MIA,41,2,3,-7,36,201935,12,22012,3,4,1,L
29,7,0,2,5,4,0.8,11,5,0.455,8,4,0.5,"FEB 05, 2013",0021200718,HOU vs. GSW,30,0,2,22,18,201935,2,22012,3,1,1,W
30,11,1,11,3,1,0.333,11,6,0.545,9,8,0.889,"FEB 02, 2013",0021200699,HOU vs. CHA,40,0,4,16,21,201935,11,22012,1,3,1,W
31,4,0,3,2,1,0.5,13,6,0.462,12,8,0.667,"JAN 30, 2013",0021200679,HOU @ DEN,42,2,4,-3,21,201935,5,22012,2,6,1,L
32,3,1,2,5,1,0.2,15,8,0.533,8,8,1.0,"JAN 28, 2013",0021200665,HOU @ UTA,28,1,1,18,25,201935,3,22012,1,0,1,W
33,7,1,2,5,2,0.4,15,7,0.467,14,13,0.929,"JAN 26, 2013",0021200646,HOU vs. BKN,34,1,1,-1,29,201935,3,22012,2,0,1,W
34,8,0,3,3,2,0.667,15,8,0.533,12,12,1.0,"JAN 25, 2013",0021200638,HOU @ NOH,36,1,2,4,30,201935,4,22012,1,8,1,W
35,7,0,3,6,2,0.333,17,8,0.471,5,5,1.0,"JAN 23, 2013",0021200622,HOU vs. DEN,39,0,3,-14,23,201935,3,22012,1,7,1,L
36,7,0,5,5,0,0.0,20,5,0.25,21,19,0.905,"JAN 21, 2013",0021200607,HOU @ CHA,41,2,2,-1,29,201935,7,22012,2,4,1,W
37,5,0,3,7,0,0.0,18,5,0.278,10,8,0.8,"JAN 19, 2013",0021200597,HOU @ MIN,39,4,5,-20,18,201935,7,22012,2,4,1,L
38,7,4,4,7,3,0.429,19,5,0.263,5,4,0.8,"JAN 18, 2013",0021200587,HOU @ IND,41,1,0,-17,17,201935,5,22012,1,5,1,L
39,7,0,8,8,1,0.125,23,5,0.217,12,9,0.75,"JAN 16, 2013",0021200575,HOU @ DAL,37,0,5,-6,20,201935,8,22012,3,4,1,L
40,3,0,4,9,2,0.222,20,8,0.4,6,5,0.833,"JAN 15, 2013",0021200567,HOU vs. LAC,35,0,4,-8,23,201935,4,22012,1,5,1,L
41,6,0,8,9,2,0.222,19,10,0.526,8,7,0.875,"JAN 12, 2013",0021200544,HOU @ PHI,45,1,3,-9,29,201935,9,22012,2,4,1,L
42,5,1,1,8,2,0.25,19,9,0.474,7,4,0.571,"JAN 11, 2013",0021200531,HOU @ BOS,40,0,1,-7,24,201935,1,22012,2,6,1,L
43,3,0,4,4,2,0.5,18,9,0.5,6,5,0.833,"JAN 09, 2013",0021200521,HOU @ NOH,41,0,4,2,25,201935,4,22012,1,7,1,L
44,9,0,6,4,1,0.25,19,11,0.579,8,8,1.0,"JAN 08, 2013",0021200514,HOU vs. LAL,40,0,2,11,31,201935,6,22012,0,4,1,W
45,3,1,2,9,3,0.333,17,6,0.353,15,14,0.933,"JAN 05, 2013",0021200493,HOU @ CLE,38,0,3,2,29,201935,2,22012,7,5,1,W
46,7,1,1,4,2,0.5,18,11,0.611,7,5,0.714,"JAN 04, 2013",0021200486,HOU @ MIL,38,1,3,28,29,201935,2,22012,4,2,1,W
47,7,0,2,8,2,0.25,23,11,0.478,9,7,0.778,"JAN 02, 2013",0021200471,HOU vs. NOH,40,0,3,13,31,201935,2,22012,0,3,1,W
48,5,1,1,6,2,0.333,17,7,0.412,13,12,0.923,"DEC 31, 2012",0021200455,HOU vs. ATL,34,1,1,4,28,201935,2,22012,2,1,1,W
49,1,0,3,7,2,0.286,17,6,0.353,14,11,0.786,"DEC 29, 2012",0021200443,HOU vs. OKC,31,0,3,-13,25,201935,3,22012,2,4,1,L
50,7,0,2,4,3,0.75,22,10,0.455,13,10,0.769,"DEC 28, 2012",0021200432,HOU @ SAS,41,3,5,-11,33,201935,5,22012,2,5,1,L
51,3,1,4,5,2,0.4,22,11,0.5,6,6,1.0,"DEC 26, 2012",0021200417,HOU @ MIN,38,2,2,-9,30,201935,6,22012,2,3,1,W
52,6,1,4,2,1,0.5,13,7,0.538,13,11,0.846,"DEC 25, 2012",0021200408,HOU @ CHI,36,1,1,26,26,201935,5,22012,2,1,1,W
53,8,0,2,3,3,1.0,13,9,0.692,12,10,0.833,"DEC 22, 2012",0021200394,HOU vs. MEM,30,0,1,14,31,201935,2,22012,3,3,1,W
54,7,1,2,3,2,0.667,12,7,0.583,18,17,0.944,"DEC 19, 2012",0021200372,HOU vs. PHI,37,0,3,32,33,201935,2,22012,0,2,1,W
