,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,4,0,5,8,4,0.5,21,9,0.429,16,12,0.75,"APR 12, 2013",0021201189,LAL vs. GSW,45,0,3,0,34,977,5,22012,0,5,1,W
1,5,4,8,5,1,0.2,27,14,0.519,18,18,1.0,"APR 10, 2013",0021201171,LAL @ POR,48,0,4,7,47,977,8,22012,3,1,1,W
2,6,1,5,7,2,0.286,18,9,0.5,11,10,0.909,"APR 09, 2013",0021201162,LAL vs. NOH,41,1,2,7,30,977,6,22012,5,5,1,W
3,10,0,6,5,1,0.2,19,6,0.316,14,12,0.857,"APR 07, 2013",0021201146,LAL @ LAC,47,1,3,-14,25,977,7,22012,0,4,1,L
4,9,0,5,5,0,0.0,23,10,0.435,4,4,1.0,"APR 05, 2013",0021201137,LAL vs. MEM,43,0,3,6,24,977,5,22012,1,4,1,W
5,11,2,10,3,0,0.0,18,8,0.444,8,7,0.875,"APR 02, 2013",0021201110,LAL vs. DAL,47,1,3,20,23,977,11,22012,4,4,1,W
6,14,0,8,4,0,0.0,18,5,0.278,11,9,0.818,"MAR 30, 2013",0021201093,LAL @ SAC,48,1,2,5,19,977,9,22012,2,1,1,W
7,3,0,2,3,0,0.0,17,6,0.353,20,18,0.9,"MAR 28, 2013",0021201071,LAL @ MIL,36,0,2,-16,30,977,2,22012,0,6,1,L
8,7,1,3,7,3,0.429,21,12,0.571,6,4,0.667,"MAR 27, 2013",0021201066,LAL @ MIN,38,0,4,2,31,977,3,22012,1,6,1,W
9,3,0,7,10,2,0.2,27,11,0.407,16,12,0.75,"MAR 25, 2013",0021201053,LAL @ GSW,42,1,1,-1,36,977,8,22012,0,0,1,L
10,11,0,3,2,1,0.5,18,8,0.444,7,4,0.571,"MAR 22, 2013",0021201032,LAL vs. WAS,38,1,3,1,21,977,4,22012,2,6,1,L
11,2,0,1,1,0,0.0,4,0,0.0,0,0,0.0,"MAR 15, 2013",0021200971,LAL @ IND,12,0,1,-3,0,977,1,22012,0,1,1,W
12,5,0,6,8,2,0.25,33,11,0.333,8,7,0.875,"MAR 13, 2013",0021200960,LAL @ ATL,38,1,1,-3,31,977,7,22012,2,5,1,L
13,8,0,6,6,2,0.333,14,4,0.286,2,1,0.5,"MAR 12, 2013",0021200949,LAL @ ORL,36,1,1,0,11,977,7,22012,2,3,1,W
14,9,0,6,4,1,0.25,16,7,0.438,6,4,0.667,"MAR 10, 2013",0021200935,LAL vs. CHI,40,1,2,16,19,977,7,22012,2,2,1,W
15,12,0,5,10,5,0.5,22,11,0.5,16,14,0.875,"MAR 08, 2013",0021200925,LAL vs. TOR,44,1,0,0,41,977,6,22012,2,9,1,W
16,12,1,7,7,3,0.429,21,14,0.667,14,11,0.786,"MAR 06, 2013",0021200906,LAL @ NOH,42,0,0,16,42,977,7,22012,0,6,1,W
17,2,0,2,7,3,0.429,19,8,0.421,12,11,0.917,"MAR 05, 2013",0021200897,LAL @ OKC,39,1,3,-11,30,977,3,22012,0,2,1,L
18,4,0,5,5,2,0.4,27,13,0.481,8,6,0.75,"MAR 03, 2013",0021200888,LAL vs. ATL,39,1,1,6,34,977,6,22012,2,5,1,W
19,5,0,4,8,4,0.5,22,13,0.591,7,3,0.429,"FEB 28, 2013",0021200863,LAL vs. MIN,32,1,1,17,33,977,5,22012,2,3,1,W
20,9,0,6,1,0,0.0,23,12,0.522,6,5,0.833,"FEB 25, 2013",0021200841,LAL @ DEN,39,0,3,-1,29,977,6,22012,0,4,1,L
21,7,1,11,5,4,0.8,21,13,0.619,10,8,0.8,"FEB 24, 2013",0021200830,LAL @ DAL,38,1,2,7,38,977,12,22012,0,5,1,W
22,4,0,5,3,1,0.333,23,15,0.652,9,9,1.0,"FEB 22, 2013",0021200821,LAL vs. POR,36,2,1,2,40,977,7,22012,2,5,1,W
23,7,0,3,4,0,0.0,15,5,0.333,7,6,0.857,"FEB 20, 2013",0021200807,LAL vs. BOS,33,1,5,11,16,977,4,22012,0,3,1,W
24,11,0,2,0,0,0.0,13,7,0.538,6,6,1.0,"FEB 14, 2013",0021200788,LAL vs. LAC,39,3,2,-35,20,977,5,22012,0,6,0,L
25,9,1,4,4,0,0.0,8,1,0.125,2,2,1.0,"FEB 12, 2013",0021200773,LAL vs. PHX,36,1,1,-2,4,977,5,22012,1,8,1,W
26,9,0,5,0,0,0.0,19,11,0.579,8,6,0.75,"FEB 10, 2013",0021200753,LAL @ MIA,37,1,2,-14,28,977,6,22012,1,4,1,L
27,8,1,7,2,0,0.0,15,6,0.4,8,8,1.0,"FEB 08, 2013",0021200736,LAL @ CHA,38,0,0,-2,20,977,7,22012,0,3,1,W
28,0,0,4,1,0,0.0,15,9,0.6,9,9,1.0,"FEB 07, 2013",0021200733,LAL @ BOS,30,3,2,-20,27,977,7,22012,0,4,1,L
29,4,1,7,2,0,0.0,24,9,0.375,3,3,1.0,"FEB 05, 2013",0021200716,LAL @ BKN,37,1,1,5,21,977,8,22012,4,5,1,W
30,5,0,3,3,0,0.0,20,8,0.4,3,2,0.667,"FEB 03, 2013",0021200706,LAL @ DET,37,0,0,1,18,977,3,22012,2,3,1,W
31,8,0,10,4,1,0.25,13,4,0.308,10,8,0.8,"FEB 01, 2013",0021200695,LAL @ MIN,39,2,2,-3,17,977,12,22012,0,4,1,W
32,9,0,5,3,0,0.0,17,7,0.412,4,3,0.75,"JAN 30, 2013",0021200681,LAL @ PHX,39,0,0,-8,17,977,5,22012,2,6,1,L
33,11,0,5,4,0,0.0,12,5,0.417,4,4,1.0,"JAN 29, 2013",0021200669,LAL vs. NOH,34,3,1,-5,14,977,8,22012,0,2,1,W
34,14,1,9,0,0,0.0,12,8,0.667,6,5,0.833,"JAN 27, 2013",0021200653,LAL vs. OKC,39,0,1,11,21,977,9,22012,1,3,0,W
35,14,1,9,0,0,0.0,10,7,0.7,0,0,0.0,"JAN 25, 2013",0021200641,LAL vs. UTA,35,0,0,15,14,977,9,22012,3,3,1,W
36,3,0,3,1,0,0.0,23,11,0.478,8,7,0.875,"JAN 23, 2013",0021200621,LAL @ MEM,39,0,1,-13,29,977,3,22012,1,2,1,L
37,5,0,4,6,0,0.0,22,7,0.318,3,2,0.667,"JAN 21, 2013",0021200612,LAL @ CHI,42,0,2,-12,16,977,4,22012,0,3,1,L
38,5,1,4,12,3,0.25,32,10,0.313,3,3,1.0,"JAN 20, 2013",0021200601,LAL @ TOR,43,0,1,0,26,977,4,22012,2,6,1,L
39,1,0,3,9,4,0.444,25,8,0.32,2,2,1.0,"JAN 17, 2013",0021200583,LAL vs. MIA,43,1,4,-9,22,977,4,22012,1,6,1,L
40,6,0,1,5,3,0.6,19,12,0.632,4,4,1.0,"JAN 15, 2013",0021200569,LAL vs. MIL,37,1,2,23,31,977,2,22012,1,1,0,W
41,6,0,2,4,3,0.75,14,9,0.643,4,2,0.5,"JAN 13, 2013",0021200555,LAL vs. CLE,28,0,4,19,23,977,2,22012,0,4,1,W
42,3,0,4,8,2,0.25,23,8,0.348,13,10,0.769,"JAN 11, 2013",0021200539,LAL vs. OKC,35,0,2,-24,28,977,4,22012,2,1,0,L
43,5,0,4,8,3,0.375,24,10,0.417,7,4,0.571,"JAN 09, 2013",0021200522,LAL @ SAS,39,0,3,-4,27,977,4,22012,0,1,1,L
