,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,9,0,10,9,1,0.111,15,4,0.267,12,10,0.833,"APR 16, 2014",0021301218,MIN vs. UTA,47,0,2,-12,19,201567,10,22013,0,5,1,L
1,9,0,12,9,5,0.556,24,11,0.458,16,13,0.813,"APR 14, 2014",0021301213,MIN @ GSW,36,2,2,-6,40,201567,14,22013,0,6,1,L
2,1,0,7,9,4,0.444,23,12,0.522,17,15,0.882,"APR 13, 2014",0021301202,MIN @ SAC,38,4,0,-13,43,201567,11,22013,0,3,1,L
3,3,1,9,8,2,0.25,20,7,0.35,1,1,1.0,"APR 09, 2014",0021301169,MIN vs. CHI,33,1,2,-11,17,201567,10,22013,0,3,1,L
4,4,1,10,6,2,0.333,15,5,0.333,7,7,1.0,"APR 08, 2014",0021300275,MIN vs. SAS,33,2,0,14,19,201567,12,22013,0,4,2,W
5,2,1,7,9,2,0.222,27,11,0.407,5,4,0.8,"APR 04, 2014",0021301135,MIN @ MIA,45,4,1,-5,28,201567,11,22013,0,4,1,W
6,10,1,12,5,2,0.4,15,9,0.6,5,4,0.8,"APR 02, 2014",0021301122,MIN vs. MEM,36,4,2,14,24,201567,16,22013,1,2,1,W
7,4,0,8,8,2,0.25,21,8,0.381,3,2,0.667,"MAR 31, 2014",0021301107,MIN vs. LAC,29,5,1,-30,20,201567,13,22013,1,4,1,L
8,3,0,5,3,1,0.333,14,5,0.357,4,3,0.75,"MAR 30, 2014",0021301095,MIN @ BKN,33,4,2,-1,14,201567,9,22013,0,2,1,L
9,10,0,10,5,3,0.6,10,6,0.6,9,7,0.778,"MAR 28, 2014",0021301081,MIN vs. LAL,29,0,1,21,22,201567,10,22013,1,4,1,W
10,4,0,12,4,2,0.5,9,5,0.556,2,2,1.0,"MAR 26, 2014",0021301065,MIN vs. ATL,29,0,0,6,14,201567,12,22013,0,5,1,W
11,4,0,6,8,2,0.25,18,6,0.333,2,2,1.0,"MAR 24, 2014",0021301051,MIN @ MEM,34,1,1,-32,16,201567,7,22013,0,3,1,L
12,9,0,9,10,3,0.3,27,11,0.407,12,11,0.917,"MAR 23, 2014",0021301041,MIN vs. PHX,38,5,3,3,36,201567,14,22013,2,3,1,L
13,5,2,5,9,5,0.556,19,10,0.526,4,4,1.0,"MAR 20, 2014",0021301019,MIN @ HOU,30,1,2,-6,29,201567,6,22013,1,1,1,L
14,3,1,7,5,2,0.4,20,11,0.55,14,11,0.786,"MAR 19, 2014",0021301014,MIN @ DAL,41,1,2,-9,35,201567,8,22013,0,4,1,W
15,5,0,9,6,3,0.5,15,9,0.6,7,5,0.714,"MAR 16, 2014",0021300991,MIN vs. SAC,39,1,1,9,26,201567,10,22013,1,4,1,W
16,5,0,6,4,2,0.5,17,7,0.412,4,2,0.5,"MAR 14, 2014",0021300971,MIN @ CHA,36,0,1,-2,18,201567,6,22013,0,0,1,L
17,6,3,8,9,3,0.333,22,10,0.455,7,4,0.571,"MAR 11, 2014",0021300954,MIN vs. MIL,42,2,1,12,27,201567,10,22013,0,0,1,W
18,9,1,8,9,4,0.444,22,9,0.409,4,4,1.0,"MAR 09, 2014",0021300940,MIN vs. TOR,41,3,2,0,26,201567,11,22013,1,0,1,L
19,4,0,9,7,3,0.429,18,10,0.556,6,5,0.833,"MAR 07, 2014",0021300922,MIN vs. DET,36,5,1,20,28,201567,14,22013,2,2,1,W
20,2,0,5,10,3,0.3,17,6,0.353,6,4,0.667,"MAR 05, 2014",0021300911,MIN vs. NYK,36,3,2,-6,19,201567,8,22013,0,2,1,L
21,4,0,16,6,2,0.333,21,10,0.476,13,11,0.846,"MAR 03, 2014",0021300895,MIN @ DEN,38,3,1,-3,33,201567,19,22013,2,4,1,W
22,7,1,9,5,2,0.4,12,4,0.333,14,12,0.857,"MAR 01, 2014",0021300881,MIN @ SAC,38,1,3,19,22,201567,10,22013,2,3,2,W
23,9,2,10,6,3,0.5,22,10,0.455,14,10,0.714,"FEB 25, 2014",0021300851,MIN @ PHX,39,3,1,16,33,201567,13,22013,0,3,1,W
24,0,0,8,8,2,0.25,21,11,0.524,9,7,0.778,"FEB 23, 2014",0021300840,MIN @ POR,35,2,4,-19,31,201567,10,22013,1,4,1,L
25,10,0,9,10,6,0.6,20,11,0.55,10,9,0.9,"FEB 22, 2014",0021300830,MIN @ UTA,33,3,3,23,37,201567,12,22013,1,1,1,W
26,1,0,15,10,5,0.5,22,14,0.636,10,9,0.9,"FEB 19, 2014",0021300805,MIN vs. IND,37,1,2,14,42,201567,16,22013,1,3,1,W
27,8,1,9,11,6,0.545,20,11,0.55,4,4,1.0,"FEB 12, 2014",0021300786,MIN vs. DEN,37,2,2,30,32,201567,11,22013,0,1,1,W
28,1,0,7,6,1,0.167,23,9,0.391,12,12,1.0,"FEB 10, 2014",0021300768,MIN vs. HOU,37,3,1,-11,31,201567,10,22013,1,4,1,L
29,3,0,15,6,0,0.0,20,6,0.3,17,14,0.824,"FEB 07, 2014",0021300747,MIN @ NOP,36,4,3,-2,26,201567,19,22013,1,2,1,L
30,3,1,14,5,2,0.4,19,8,0.421,18,13,0.722,"FEB 04, 2014",0021300722,MIN vs. LAL,41,3,2,5,31,201567,17,22013,1,3,1,W
31,1,0,13,3,2,0.667,22,12,0.545,18,17,0.944,"FEB 01, 2014",0021300699,MIN @ ATL,38,6,0,-9,43,201567,19,22013,1,3,1,L
32,2,1,14,7,3,0.429,20,12,0.6,1,1,1.0,"JAN 31, 2014",0021300691,MIN vs. MEM,37,2,2,5,28,201567,16,22013,0,2,1,L
33,5,0,9,6,1,0.167,26,11,0.423,9,7,0.778,"JAN 29, 2014",0021300680,MIN vs. NOP,43,5,1,8,30,201567,14,22013,0,3,1,W
34,2,0,8,7,1,0.143,17,8,0.471,14,14,1.0,"JAN 27, 2014",0021300664,MIN @ CHI,36,0,4,4,31,201567,8,22013,1,3,1,W
35,4,1,12,3,1,0.333,12,4,0.333,6,6,1.0,"JAN 25, 2014",0021300653,MIN @ POR,36,1,2,5,15,201567,13,22013,1,4,1,L
36,8,0,9,5,1,0.2,18,7,0.389,14,11,0.786,"JAN 24, 2014",0021300645,MIN @ GSW,37,5,1,-1,26,201567,14,22013,1,2,1,W
37,7,0,10,6,1,0.167,15,7,0.467,5,4,0.8,"JAN 21, 2014",0021300620,MIN @ UTA,38,3,1,26,19,201567,13,22013,0,2,1,W
38,5,1,11,4,2,0.5,10,5,0.5,11,6,0.545,"JAN 18, 2014",0021300598,MIN vs. UTA,29,2,2,35,18,201567,13,22013,3,1,1,W
39,3,0,8,3,1,0.333,19,7,0.368,2,1,0.5,"JAN 17, 2014",0021300584,MIN @ TOR,32,4,5,-5,16,201567,12,22013,1,1,1,L
40,5,0,8,6,4,0.667,16,9,0.563,6,5,0.833,"JAN 15, 2014",0021300571,MIN vs. SAC,37,3,2,-3,27,201567,11,22013,1,1,1,L
41,0,2,6,2,0,0.0,14,3,0.214,11,8,0.727,"JAN 12, 2014",0021300554,MIN @ SAS,32,1,0,-18,14,201567,7,22013,0,1,1,L
42,4,1,12,4,2,0.5,10,6,0.6,7,5,0.714,"JAN 10, 2014",0021300535,MIN vs. CHA,32,2,1,12,19,201567,14,22013,0,1,1,W
43,1,0,10,5,1,0.2,20,4,0.2,6,6,1.0,"JAN 08, 2014",0021300524,MIN vs. PHX,37,2,5,-4,15,201567,12,22013,0,0,1,L
44,4,1,6,7,4,0.571,12,7,0.583,10,8,0.8,"JAN 06, 2014",0021300505,MIN @ PHI,29,1,0,28,26,201567,7,22013,2,1,1,W
45,5,1,12,9,5,0.556,21,11,0.524,7,3,0.429,"JAN 04, 2014",0021300493,MIN vs. OKC,43,2,2,-4,30,201567,14,22013,2,7,1,L
46,3,1,4,7,1,0.143,19,7,0.368,8,6,0.75,"JAN 01, 2014",0021300470,MIN vs. NOP,35,2,2,21,21,201567,6,22013,1,2,1,W
47,4,0,7,7,2,0.286,24,14,0.583,8,6,0.75,"DEC 30, 2013",0021300455,MIN vs. DAL,40,4,3,-3,36,201567,11,22013,1,1,1,L
48,6,0,13,6,4,0.667,17,11,0.647,9,7,0.778,"DEC 28, 2013",0021300444,MIN @ MIL,35,2,1,33,33,201567,15,22013,1,2,1,W
49,1,0,10,7,2,0.286,18,8,0.444,7,7,1.0,"DEC 27, 2013",0021300431,MIN vs. WAS,32,1,2,8,25,201567,11,22013,1,0,1,W
50,6,0,16,6,2,0.333,23,15,0.652,15,13,0.867,"DEC 22, 2013",0021300406,MIN @ LAC,43,3,3,-3,45,201567,19,22013,1,4,1,L
51,3,1,9,7,2,0.286,18,9,0.5,5,5,1.0,"DEC 20, 2013",0021300391,MIN @ LAL,42,4,2,-8,25,201567,13,22013,0,0,1,L
52,9,0,13,7,4,0.571,18,10,0.556,6,5,0.833,"DEC 18, 2013",0021300376,MIN vs. POR,41,2,0,5,29,201567,15,22013,1,4,1,W
53,1,0,9,11,2,0.182,25,9,0.36,11,7,0.636,"DEC 16, 2013",0021300358,MIN @ BOS,36,5,2,-11,27,201567,14,22013,1,1,1,L
54,4,3,7,8,4,0.5,21,11,0.524,4,4,1.0,"DEC 15, 2013",0021300351,MIN @ MEM,38,2,1,7,30,201567,9,22013,0,3,1,W
55,2,0,10,9,8,0.889,27,15,0.556,4,4,1.0,"DEC 13, 2013",0021300338,MIN @ SAS,39,4,0,5,42,201567,14,22013,1,1,1,L
56,5,0,11,6,1,0.167,21,9,0.429,8,7,0.875,"DEC 11, 2013",0021300322,MIN vs. PHI,37,4,0,-6,26,201567,15,22013,2,3,1,W
