,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,7,0,8,5,2,0.4,20,11,0.55,17,13,0.765,"APR 15, 2015",0021401222,OKC @ MIN,32,0,2,23,37,201566,8,22014,2,4,1,W
1,7,0,9,5,2,0.4,27,13,0.481,8,8,1.0,"APR 13, 2015",0021401209,OKC vs. POR,38,2,5,16,36,201566,11,22014,2,5,1,W
2,8,0,8,15,5,0.333,43,21,0.488,11,7,0.636,"APR 12, 2015",0021401197,OKC @ IND,40,1,5,-4,54,201566,9,22014,1,2,1,L
3,10,0,4,4,1,0.25,19,11,0.579,4,4,1.0,"APR 10, 2015",0021401183,OKC vs. SAC,38,1,3,12,27,201566,5,22014,0,4,1,W
4,2,0,2,2,1,0.5,16,7,0.438,4,2,0.5,"APR 07, 2015",0021401157,OKC vs. SAS,26,0,3,-20,17,201566,2,22014,6,4,1,L
5,13,0,10,11,4,0.364,29,12,0.414,15,12,0.8,"APR 05, 2015",0021401147,OKC vs. HOU,41,1,5,2,40,201566,11,22014,0,4,1,L
6,7,1,4,3,0,0.0,20,5,0.25,13,8,0.615,"APR 03, 2015",0021401132,OKC @ MEM,38,3,2,-10,18,201566,7,22014,1,5,1,L
7,11,0,8,11,2,0.182,32,10,0.313,11,9,0.818,"APR 01, 2015",0021401120,OKC vs. DAL,44,3,4,-3,31,201566,11,22014,1,6,1,L
8,7,1,7,7,1,0.143,29,10,0.345,14,12,0.857,"MAR 29, 2015",0021401100,OKC @ PHX,38,2,3,8,33,201566,9,22014,3,4,1,W
9,6,0,7,9,3,0.333,29,12,0.414,12,10,0.833,"MAR 28, 2015",0021401090,OKC @ UTA,41,1,4,0,37,201566,8,22014,0,9,1,L
10,7,0,3,3,0,0.0,16,5,0.313,6,6,1.0,"MAR 25, 2015",0021401071,OKC @ SAS,26,1,1,-30,16,201566,4,22014,2,4,1,L
11,11,1,2,3,2,0.667,17,9,0.529,8,7,0.875,"MAR 24, 2015",0021401056,OKC vs. LAL,30,0,3,12,27,201566,2,22014,2,2,1,W
12,17,2,6,4,1,0.25,16,5,0.313,2,1,0.5,"MAR 22, 2015",0021401038,OKC vs. MIA,34,3,3,11,12,201566,9,22014,4,5,1,W
13,14,0,8,6,3,0.5,24,8,0.333,17,17,1.0,"MAR 20, 2015",0021401026,OKC vs. ATL,44,2,3,14,36,201566,10,22014,1,6,1,W
14,10,0,3,6,1,0.167,26,8,0.308,22,19,0.864,"MAR 18, 2015",0021401011,OKC vs. BOS,40,2,5,7,36,201566,5,22014,5,7,1,W
15,12,1,7,4,1,0.25,17,7,0.412,10,9,0.9,"MAR 16, 2015",0021400996,OKC @ DAL,36,1,6,-3,24,201566,8,22014,4,7,1,L
16,6,0,10,6,2,0.333,27,12,0.444,13,10,0.769,"MAR 15, 2015",0021400982,OKC vs. CHI,41,1,1,13,36,201566,11,22014,1,4,1,W
17,12,0,6,6,3,0.5,24,11,0.458,4,4,1.0,"MAR 13, 2015",0021400971,OKC vs. MIN,35,4,1,18,29,201566,10,22014,2,8,1,W
18,7,0,7,6,3,0.5,14,5,0.357,13,11,0.846,"MAR 11, 2015",0021400957,OKC vs. LAC,36,2,4,-22,24,201566,9,22014,2,10,1,L
19,17,1,8,4,1,0.25,21,9,0.429,13,11,0.846,"MAR 08, 2015",0021400936,OKC vs. TOR,40,3,1,5,30,201566,11,22014,4,9,1,W
20,7,0,6,5,3,0.6,32,14,0.438,15,12,0.8,"MAR 05, 2015",0021400909,OKC @ CHI,38,2,3,-8,43,201566,8,22014,2,5,1,L
21,10,1,12,4,1,0.25,33,16,0.485,20,16,0.8,"MAR 04, 2015",0021400904,OKC vs. PHI,42,3,3,-12,49,201566,15,22014,3,4,1,W
22,11,0,8,1,0,0.0,32,14,0.438,14,12,0.857,"FEB 27, 2015",0021400869,OKC @ POR,37,5,1,-12,40,201566,13,22014,1,6,1,L
23,11,0,11,10,1,0.1,38,12,0.316,16,14,0.875,"FEB 26, 2015",0021400855,OKC @ PHX,43,3,3,4,39,201566,14,22014,3,4,1,L
24,10,0,11,3,1,0.333,19,8,0.421,3,3,1.0,"FEB 24, 2015",0021400840,OKC vs. IND,28,0,1,0,20,201566,11,22014,1,5,1,W
25,17,0,7,3,2,0.667,12,8,0.667,5,3,0.6,"FEB 22, 2015",0021400826,OKC vs. DEN,27,1,1,33,21,201566,8,22014,0,2,1,W
26,10,0,5,3,0,0.0,27,12,0.444,9,9,1.0,"FEB 21, 2015",0021400816,OKC @ CHA,35,2,2,2,33,201566,7,22014,1,6,1,W
27,10,0,3,4,2,0.5,17,9,0.529,14,14,1.0,"FEB 19, 2015",0021400801,OKC vs. DAL,36,2,3,17,34,201566,5,22014,2,6,1,W
28,9,0,8,3,1,0.333,15,4,0.267,15,15,1.0,"FEB 11, 2015",0021400795,OKC vs. MEM,32,1,1,21,24,201566,9,22014,1,4,1,W
29,9,0,4,2,1,0.5,14,8,0.571,12,9,0.75,"FEB 09, 2015",0021400782,OKC @ DEN,32,1,1,11,26,201566,5,22014,0,1,1,W
30,5,0,9,4,1,0.25,19,6,0.316,6,6,1.0,"FEB 08, 2015",0021400765,OKC vs. LAC,32,2,2,18,19,201566,11,22014,1,5,1,W
31,11,0,6,5,3,0.6,28,15,0.536,15,15,1.0,"FEB 06, 2015",0021400755,OKC vs. NOP,40,3,4,5,48,201566,9,22014,4,3,1,L
32,6,1,6,6,2,0.333,31,18,0.581,9,7,0.778,"FEB 04, 2015",0021400738,OKC @ NOP,40,0,2,16,45,201566,6,22014,1,6,1,W
33,14,1,10,3,1,0.333,15,8,0.533,8,8,1.0,"FEB 02, 2015",0021400723,OKC vs. ORL,38,1,1,3,25,201566,11,22014,4,2,1,W
34,5,0,5,3,1,0.333,16,5,0.313,4,3,0.75,"JAN 31, 2015",0021400710,OKC @ MEM,32,1,4,-7,14,201566,6,22014,0,3,1,L
35,4,1,4,8,2,0.25,30,13,0.433,12,12,1.0,"JAN 28, 2015",0021400688,OKC @ NYK,35,0,1,-15,40,201566,4,22014,2,4,1,L
36,5,0,3,3,0,0.0,22,7,0.318,6,4,0.667,"JAN 26, 2015",0021400672,OKC vs. MIN,31,1,2,0,18,201566,4,22014,1,4,1,W
37,11,1,5,6,3,0.5,26,7,0.269,7,5,0.714,"JAN 25, 2015",0021400658,OKC @ CLE,40,4,3,3,22,201566,9,22014,2,2,1,L
38,11,0,2,4,2,0.5,16,8,0.5,6,4,0.667,"JAN 23, 2015",0021400642,OKC @ ATL,36,1,3,-6,22,201566,3,22014,3,4,1,L
39,8,0,6,4,0,0.0,28,12,0.429,10,8,0.8,"JAN 21, 2015",0021400633,OKC @ WAS,42,2,4,1,32,201566,8,22014,1,3,1,W
40,6,0,5,2,0,0.0,17,8,0.471,4,3,0.75,"JAN 20, 2015",0021400623,OKC @ MIA,35,5,2,2,19,201566,10,22014,4,3,1,W
41,6,1,0,3,0,0.0,12,7,0.583,6,3,0.5,"JAN 18, 2015",0021400609,OKC @ ORL,24,1,2,15,17,201566,1,22014,1,4,1,W
42,16,0,12,4,1,0.25,19,7,0.368,4,2,0.5,"JAN 16, 2015",0021400593,OKC vs. GSW,36,3,4,19,17,201566,15,22014,4,3,1,W
43,8,0,5,3,1,0.333,13,6,0.462,4,3,0.75,"JAN 15, 2015",0021400584,OKC @ HOU,38,3,5,-11,16,201566,8,22014,5,8,1,L
44,12,0,3,1,1,1.0,17,9,0.529,6,6,1.0,"JAN 09, 2015",0021400542,OKC vs. UTA,38,1,3,22,25,201566,4,22014,3,3,1,W
45,4,0,4,5,0,0.0,19,3,0.158,5,4,0.8,"JAN 07, 2015",0021400532,OKC @ SAC,27,3,4,-23,10,201566,7,22014,1,7,1,L
46,5,0,3,5,1,0.2,21,5,0.238,14,11,0.786,"JAN 05, 2015",0021400518,OKC @ GSW,29,4,2,-13,22,201566,7,22014,1,2,1,L
47,6,0,3,3,0,0.0,23,8,0.348,7,6,0.857,"JAN 02, 2015",0021400489,OKC vs. WAS,30,0,5,-9,22,201566,3,22014,2,2,1,W
48,4,0,2,2,1,0.5,13,5,0.385,10,9,0.9,"DEC 31, 2014",0021400480,OKC vs. PHX,17,2,1,2,20,201566,4,22014,1,1,1,W
49,9,0,6,1,0,0.0,23,6,0.261,9,6,0.667,"DEC 28, 2014",0021400455,OKC @ DAL,36,3,5,-8,18,201566,9,22014,5,5,1,L
50,5,1,1,1,1,1.0,21,11,0.524,6,6,1.0,"DEC 26, 2014",0021400438,OKC vs. CHA,25,1,2,20,29,201566,2,22014,2,6,1,W
51,11,0,4,1,0,0.0,28,14,0.5,8,6,0.75,"DEC 25, 2014",0021400428,OKC @ SAS,35,1,0,27,34,201566,5,22014,5,4,1,W
52,6,0,5,5,1,0.2,34,16,0.471,9,7,0.778,"DEC 23, 2014",0021400424,OKC vs. POR,39,5,6,-9,40,201566,10,22014,3,2,1,L
53,8,0,1,6,0,0.0,27,10,0.37,11,9,0.818,"DEC 21, 2014",0021400408,OKC vs. NOP,35,4,2,5,29,201566,5,22014,3,6,1,L
54,10,0,5,1,0,0.0,22,9,0.409,13,13,1.0,"DEC 19, 2014",0021400392,OKC @ LAL,36,0,2,-1,31,201566,5,22014,1,1,1,W
55,8,0,2,10,3,0.3,30,11,0.367,12,8,0.667,"DEC 18, 2014",0021400382,OKC @ GSW,40,1,2,2,33,201566,3,22014,2,6,1,L
56,7,0,3,3,1,0.333,20,11,0.55,12,9,0.75,"DEC 16, 2014",0021400368,OKC @ SAC,32,3,4,23,32,201566,6,22014,4,1,1,W
57,8,0,4,4,1,0.25,18,7,0.389,13,13,1.0,"DEC 14, 2014",0021400352,OKC vs. PHX,27,4,2,17,28,201566,8,22014,2,3,1,W
58,6,0,5,3,2,0.667,19,12,0.632,9,8,0.889,"DEC 12, 2014",0021400335,OKC @ MIN,36,1,3,16,34,201566,6,22014,2,4,1,W
59,8,0,6,2,0,0.0,24,12,0.5,2,2,1.0,"DEC 11, 2014",0021400326,OKC vs. CLE,36,1,0,5,26,201566,7,22014,1,4,1,W
60,7,0,3,2,0,0.0,16,8,0.5,15,12,0.8,"DEC 09, 2014",0021400312,OKC vs. MIL,32,2,5,24,28,201566,5,22014,3,5,1,W
61,7,0,10,3,1,0.333,19,9,0.474,6,3,0.5,"DEC 07, 2014",0021400297,OKC @ DET,35,1,1,-9,22,201566,11,22014,0,4,1,W
62,7,0,5,3,1,0.333,14,8,0.571,14,10,0.714,"DEC 05, 2014",0021400277,OKC @ PHI,31,0,3,9,27,201566,5,22014,2,6,1,W
63,7,0,5,4,1,0.25,20,6,0.3,9,8,0.889,"DEC 02, 2014",0021400258,OKC @ NOP,33,1,3,-16,21,201566,6,22014,2,7,1,L
64,8,0,3,4,3,0.75,17,12,0.706,7,5,0.714,"NOV 28, 2014",0021400229,OKC vs. NYK,24,4,2,24,32,201566,7,22014,1,3,1,W
65,4,0,0,1,0,0.0,3,1,0.333,0,0,0.0,"OCT 30, 2014",0021400020,OKC @ LAC,9,0,2,-3,2,201566,0,22014,1,3,1,L
66,6,0,1,2,1,0.5,26,11,0.423,16,15,0.938,"OCT 29, 2014",0021400015,OKC @ POR,33,2,3,-4,38,201566,3,22014,3,2,1,L
