,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,5,0,3,8,3,0.375,17,8,0.471,2,2,1.0,"APR 13, 2016",0021501230,POR vs. DEN,24,0,1,0,21,203081,3,22015,2,2,1,W
1,7,0,3,10,4,0.4,22,11,0.5,5,5,1.0,"APR 09, 2016",0021501192,POR vs. MIN,38,0,3,7,31,203081,3,22015,1,3,1,L
2,9,1,3,7,2,0.286,13,2,0.154,5,5,1.0,"APR 06, 2016",0021501171,POR vs. OKC,37,0,0,6,11,203081,3,22015,0,3,1,W
3,8,1,2,9,3,0.333,19,6,0.316,8,7,0.875,"APR 05, 2016",0021501162,POR @ SAC,35,0,1,-3,22,203081,2,22015,1,4,1,W
4,4,0,2,9,4,0.444,27,13,0.481,9,8,0.889,"APR 03, 2016",0021501152,POR @ GSW,36,1,2,-7,38,203081,3,22015,0,0,1,L
5,4,0,2,2,0,0.0,14,5,0.357,10,8,0.8,"APR 02, 2016",0021501142,POR vs. MIA,29,0,0,15,18,203081,2,22015,0,3,1,W
6,4,1,0,6,1,0.167,16,3,0.188,8,7,0.875,"MAR 31, 2016",0021501127,POR vs. BOS,36,1,1,-3,14,203081,1,22015,0,3,1,W
7,9,1,1,5,3,0.6,9,4,0.444,2,2,1.0,"MAR 28, 2016",0021501105,POR vs. SAC,29,0,2,19,13,203081,1,22015,1,4,1,W
8,7,0,5,6,2,0.333,20,6,0.3,2,2,1.0,"MAR 26, 2016",0021501091,POR vs. PHI,36,0,2,-6,16,203081,5,22015,0,2,1,W
9,8,0,2,8,2,0.25,16,4,0.25,9,8,0.889,"MAR 24, 2016",0021501072,POR @ LAC,35,1,1,-3,18,203081,3,22015,1,3,1,L
10,6,2,6,9,4,0.444,19,9,0.474,5,5,1.0,"MAR 23, 2016",0021501067,POR vs. DAL,38,0,1,2,27,203081,6,22015,1,7,1,W
11,8,0,2,10,4,0.4,26,8,0.308,6,6,1.0,"MAR 20, 2016",0021501037,POR @ DAL,44,2,2,-5,26,203081,4,22015,1,5,1,L
12,6,1,8,8,3,0.375,19,9,0.474,12,12,1.0,"MAR 18, 2016",0021501025,POR @ NOP,35,0,3,-4,33,203081,8,22015,0,4,1,W
13,6,1,3,7,3,0.429,19,7,0.368,6,6,1.0,"MAR 17, 2016",0021501018,POR @ SAS,40,0,4,-1,23,203081,3,22015,0,2,1,L
14,4,1,2,6,3,0.5,16,7,0.438,4,4,1.0,"MAR 14, 2016",0021500993,POR @ OKC,32,0,3,-22,21,203081,2,22015,0,4,1,L
15,10,0,3,6,2,0.333,11,6,0.545,5,5,1.0,"MAR 12, 2016",0021500982,POR vs. ORL,30,1,1,24,19,203081,4,22015,0,4,1,W
16,5,1,1,9,4,0.444,19,5,0.263,3,3,1.0,"MAR 11, 2016",0021500971,POR @ GSW,30,1,2,-16,17,203081,2,22015,1,2,1,L
17,11,0,5,13,6,0.462,25,12,0.48,12,11,0.917,"MAR 08, 2016",0021500948,POR vs. WAS,44,0,2,9,41,203081,5,22015,1,1,1,W
18,5,0,4,9,2,0.222,22,8,0.364,8,8,1.0,"MAR 06, 2016",0021500934,POR @ DET,35,1,3,-23,26,203081,5,22015,0,7,1,L
19,5,0,1,13,6,0.462,28,16,0.571,13,12,0.923,"MAR 04, 2016",0021500916,POR @ TOR,40,2,2,1,50,203081,3,22015,0,4,1,L
20,2,2,3,8,3,0.375,17,8,0.471,2,1,0.5,"MAR 02, 2016",0021500899,POR @ BOS,34,1,2,-22,20,203081,4,22015,0,3,1,L
