,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,3,3,3,1.0,0,0,0.0,3,3,1.0,0.006,29,7,"Antic, Pero",203544,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
1,7,13,11,0.846,0,0,0.0,13,11,0.846,0.033,29,38,"Schroder, Dennis",203471,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
2,2,3,2,0.667,0,0,0.0,3,2,0.667,0.018,29,21,"Scott, Mike",203118,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
3,0,2,2,1.0,0,0,0.0,2,2,1.0,0.009,29,11,"Jenkins, John",203098,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
4,1,4,1,0.25,0,0,0.0,4,1,0.25,0.009,29,11,"Ayon, Gustavo",202970,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
5,18,41,24,0.585,2,0,0.0,43,24,0.558,0.116,29,135,"Mack, Shelvin",202714,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
6,10,37,17,0.459,3,1,0.333,40,18,0.45,0.118,29,137,"Carroll, DeMarre",201960,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
7,90,173,105,0.607,2,1,0.5,175,106,0.606,0.396,29,461,"Teague, Jeff",201952,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
8,1,13,5,0.385,0,0,0.0,13,5,0.385,0.034,29,40,"Martin, Cartier",201858,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
9,18,35,22,0.629,3,1,0.333,38,23,0.605,0.089,29,104,"Millsap, Paul",200794,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
10,4,12,6,0.5,0,0,0.0,12,6,0.5,0.046,29,54,"Williams, Lou",101150,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
11,16,33,17,0.515,1,1,1.0,34,18,0.529,0.124,29,144,"Korver, Kyle",2594,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
12,0,0,0,0.0,0,0,0.0,0,0,0.0,0.002,29,2,"Brand, Elton",1882,received,201143,"Horford, Al",ATL,1610612737,Atlanta Hawks
