,MainPlayer,MostSimilar,SimScore
0,Al Horford,Paul Millsap,78.6856678725
1,Andre Drummond,Brook Lopez,55.2107306123
2,Andrew Wiggins,Kevin Durant,76.5135700703
3,Anthony Davis,Karl-Anthony Towns,85.6394411324
4,Avery Bradley,Gordon Hayward,64.6019201874
5,Brook Lopez,Nikola Vucevic,83.9093299508
6,CJ McCollum,Monta Ellis,89.2060902119
7,Carmelo Anthony,Kobe Bryant,65.2440747023
8,Chris Paul,Reggie Jackson,84.9822537303
9,Damian Lillard,Monta Ellis,76.3947456479
10,DeMar DeRozan,Kevin Durant,73.2173116207
11,DeMarcus Cousins,Paul Millsap,74.658082962
12,Derrick Rose,John Wall,84.6049110889
13,Dirk Nowitzki,Nikola Vucevic,65.208007872
14,Dwyane Wade,Russell Westbrook,85.4771020413
15,Giannis Antetokounmpo,Rudy Gay,76.0242878199
16,Gordon Hayward,Isaiah Thomas,74.24454391
17,Isaiah Thomas,CJ McCollum,85.109406054
18,James Harden,LeBron James,69.9871400595
19,Jimmy Butler,Dwyane Wade,79.2561928631
20,John Wall,Derrick Rose,84.6049110889
21,Jordan Clarkson,Kyle Lowry,85.9739508628
22,Karl-Anthony Towns,Anthony Davis,85.6394411324
23,Kawhi Leonard,Rudy Gay,69.6005293131
24,Kemba Walker,Monta Ellis,87.1395983696
25,Kevin Durant,Paul George,80.4292100667
26,Khris Middleton,Gordon Hayward,73.705569923
27,Klay Thompson,Avery Bradley,49.5830627083
28,Kobe Bryant,LeBron James,69.7366442681
29,Kyle Lowry,Monta Ellis,87.6942861677
30,LaMarcus Aldridge,Nikola Vucevic,77.9452908038
31,LeBron James,James Harden,69.9871400595
32,Monta Ellis,CJ McCollum,89.2060902119
33,Nikola Vucevic,Brook Lopez,83.9093299508
34,Paul George,Kevin Durant,80.4292100667
35,Paul Millsap,Al Horford,78.6856678725
36,Reggie Jackson,Chris Paul,84.9822537303
37,Rudy Gay,Giannis Antetokounmpo,76.0242878199
38,Russell Westbrook,Dwyane Wade,85.4771020413
39,Stephen Curry,Paul George,78.503000915
