,Player1,Player2,SimScore
17609,Zach LaVine,Isaiah Thomas,92.7859365344
13479,Monta Ellis,Goran Dragic,91.9275234937
11635,Kyrie Irving,Jeff Teague,90.6191180348
4043,Derrick Rose,Ish Smith,89.6405469179
3716,Dennis Schroder,Tony Parker,89.6312596798
13447,Monta Ellis,CJ McCollum,89.2060902119
1609,Brandon Knight,CJ McCollum,89.0928100348
2838,D'Angelo Russell,Goran Dragic,88.951770544
7256,Ish Smith,Kemba Walker,88.7835015058
13257,Mike Conley,Lou Williams,88.4831691979
8773,Jeremy Lin,Victor Oladipo,88.4139776229
5128,Emmanuel Mudiay,Kemba Walker,88.3734092713
5099,Emmanuel Mudiay,Goran Dragic,88.3526719808
13445,Monta Ellis,Brandon Knight,88.2540999651
2830,D'Angelo Russell,Emmanuel Mudiay,87.9516807795
1670,Brandon Knight,Kemba Walker,87.9134985208
11538,Kyle Lowry,Monta Ellis,87.6942861677
7249,Ish Smith,John Wall,87.6056449412
1694,Brandon Knight,Mike Conley,87.4571801424
9108,John Wall,Jeff Teague,87.3256694676
5530,Evan Fournier,Kentavious Caldwell-Pope,87.1808494329
13508,Monta Ellis,Kemba Walker,87.1395983696
11982,Lou Williams,Brandon Knight,87.085250616
9337,Jose Juan Barea,Dennis Schroder,86.7689900398
4027,Derrick Rose,Emmanuel Mudiay,86.7443389893
4134,Devin Booker,Bradley Beal,86.4523792267
6689,Hassan Whiteside,Enes Kanter,86.3300198317
1633,Brandon Knight,Emmanuel Mudiay,86.3130699396
5559,Evan Fournier,Patty Mills,86.2396794557
3012,Damian Lillard,Kyrie Irving,86.0854782462
11507,Kyle Lowry,Jordan Clarkson,85.9739508628
3665,Dennis Schroder,Kemba Walker,85.8869503736
13471,Monta Ellis,Emmanuel Mudiay,85.7934904099
1930,CJ McCollum,Jordan Clarkson,85.7217438816
5049,Elfrid Payton,Victor Oladipo,85.7116773127
9715,Karl-Anthony Towns,Anthony Davis,85.6394411324
1625,Brandon Knight,Derrick Rose,85.5215283632
9470,Jrue Holiday,Dennis Schroder,85.5023192168
15730,Russell Westbrook,Dwyane Wade,85.4771020413
17203,Victor Oladipo,Goran Dragic,85.4594078065
13267,Mike Conley,Monta Ellis,85.4335198402
13502,Monta Ellis,Jordan Clarkson,85.3845754265
9517,Jrue Holiday,Kemba Walker,85.2627906799
11452,Kyle Lowry,CJ McCollum,85.2076550126
1914,CJ McCollum,Isaiah Thomas,85.109406054
9223,Jordan Clarkson,Goran Dragic,85.0245725512
15048,Reggie Jackson,Chris Paul,84.9822537303
7177,Isaiah Thomas,Victor Oladipo,84.8166276813
7293,Ish Smith,Raymond Felton,84.7698990106
13205,Mike Conley,Emmanuel Mudiay,84.7018294335
6192,Goran Dragic,Kemba Walker,84.6957820653
6909,Hollis Thompson,Trevor Ariza,84.692673564
9074,John Wall,Derrick Rose,84.6049110889
1907,CJ McCollum,Goran Dragic,84.595188737
4100,Derrick Rose,Rajon Rondo,84.5853909255
13966,Omri Casspi,Al-Farouq Aminu,84.5609395504
11639,Kyrie Irving,John Wall,84.5529260636
7194,Ish Smith,Brandon Knight,84.5318560599
14926,Raymond Felton,Derrick Rose,84.4774103164
14196,Otto Porter,Matt Barnes,84.4739198685
10073,Kemba Walker,Mike Conley,84.4225172997
6155,Goran Dragic,Elfrid Payton,84.3862473965
1515,Bradley Beal,Isaiah Thomas,84.3768170476
2989,Damian Lillard,Jeff Teague,84.3533871174
10005,Kemba Walker,Derrick Rose,84.3422083855
14809,Rajon Rondo,Goran Dragic,84.3308997154
6203,Goran Dragic,Kyle Lowry,84.3156039119
9189,Jordan Clarkson,Brandon Knight,84.2791754603
17258,Victor Oladipo,Monta Ellis,84.2574309111
4035,Derrick Rose,Goran Dragic,84.1962119341
1641,Brandon Knight,Goran Dragic,84.0756239891
1832,Brook Lopez,Nikola Vucevic,83.9093299508
5107,Emmanuel Mudiay,Ish Smith,83.9077872038
1951,CJ McCollum,Lou Williams,83.8900407552
10504,Kentavious Caldwell-Pope,Will Barton,83.8635801674
1682,Brandon Knight,Kyrie Irving,83.8007485865
2938,Damian Lillard,Brandon Knight,83.7448846697
7251,Ish Smith,Jose Juan Barea,83.724081278
17685,Zach LaVine,Victor Oladipo,83.6681127549
5140,Emmanuel Mudiay,Kyrie Irving,83.6554797887
9555,Jrue Holiday,Reggie Jackson,83.5578210355
13454,Monta Ellis,D'Angelo Russell,83.5536915064
7149,Isaiah Thomas,Monta Ellis,83.4570172429
17657,Zach LaVine,Monta Ellis,83.4318217038
1960,CJ McCollum,Mike Conley,83.4213898182
17567,Zach LaVine,Bradley Beal,83.4155198337
10100,Kemba Walker,Tony Parker,83.4043127298
7715,Jae Crowder,Al-Farouq Aminu,83.3925087451
1663,Brandon Knight,John Wall,83.361683011
10045,Kemba Walker,Jose Juan Barea,83.3151191473
9568,Jrue Holiday,Tony Parker,83.269338727
13292,Mike Conley,Tony Parker,83.1141897439
7268,Ish Smith,Kyrie Irving,82.9645469188
13220,Mike Conley,Isaiah Thomas,82.9242570997
9462,Jrue Holiday,Chris Paul,82.8978716732
8428,Jeff Green,Harrison Barnes,82.8479793072
