,Player1,Player2,SimScore
32,Al Horford,Nikola Vucevic,56.30006337
36,Al Horford,Rudy Gay,43.07181311
14,Al Horford,Giannis Antetokounmpo,35.71754086
0,Al Horford,Andre Drummond,22.03446019
26,Al Horford,Klay Thompson,13.20458847
30,Al Horford,LeBron James,10.53840053
6,Al Horford,Carmelo Anthony,10.50639057
25,Al Horford,Khris Middleton,6.359519839
27,Al Horford,Kobe Bryant,4.553046107
18,Al Horford,Jimmy Butler,3.148987353
13,Al Horford,Dwyane Wade,-0.265599489
20,Al Horford,Jordan Clarkson,-6.447972715
33,Al Horford,Paul George,-7.398588061
28,Al Horford,Kyle Lowry,-9.302520931
16,Al Horford,Isaiah Thomas,-12.18324333
19,Al Horford,John Wall,-15.53532672
9,Al Horford,DeMar DeRozan,-16.40386748
5,Al Horford,CJ McCollum,-18.36782849
8,Al Horford,Damian Lillard,-31.6010533
35,Al Horford,Reggie Jackson,-36.55164778
43,Andre Drummond,Brook Lopez,55.21073061
68,Andre Drummond,LaMarcus Aldridge,40.53298581
75,Andre Drummond,Rudy Gay,-2.141670585
40,Andre Drummond,Andrew Wiggins,-15.90583146
63,Andre Drummond,Kevin Durant,-21.47003973
76,Andre Drummond,Russell Westbrook,-23.2955426
57,Andre Drummond,Jimmy Butler,-26.11297447
56,Andre Drummond,James Harden,-35.83522046
59,Andre Drummond,Jordan Clarkson,-41.6843341
42,Andre Drummond,Avery Bradley,-42.95724988
58,Andre Drummond,John Wall,-43.94194758
54,Andre Drummond,Gordon Hayward,-45.18049175
55,Andre Drummond,Isaiah Thomas,-46.81740516
70,Andre Drummond,Monta Ellis,-47.67881846
50,Andre Drummond,Derrick Rose,-48.49609017
46,Andre Drummond,Chris Paul,-52.46210045
74,Andre Drummond,Reggie Jackson,-54.60860872
47,Andre Drummond,Damian Lillard,-55.21425337
44,Andre Drummond,CJ McCollum,-55.96259022
111,Andrew Wiggins,Paul George,72.47780168
103,Andrew Wiggins,Khris Middleton,71.647071
105,Andrew Wiggins,Kobe Bryant,67.07111561
100,Andrew Wiggins,Kawhi Leonard,66.32706916
91,Andrew Wiggins,Dwyane Wade,62.63332939
96,Andrew Wiggins,Jimmy Butler,58.84257585
93,Andrew Wiggins,Gordon Hayward,55.90703851
98,Andrew Wiggins,Jordan Clarkson,53.32755643
115,Andrew Wiggins,Russell Westbrook,48.70209098
81,Andrew Wiggins,Avery Bradley,48.35196197
83,Andrew Wiggins,CJ McCollum,46.14310086
104,Andrew Wiggins,Klay Thompson,38.49375802
86,Andrew Wiggins,Damian Lillard,35.69131583
89,Andrew Wiggins,Derrick Rose,31.52776015
101,Andrew Wiggins,Kemba Walker,30.0261091
99,Andrew Wiggins,Karl-Anthony Towns,19.86404991
113,Andrew Wiggins,Reggie Jackson,17.56776059
85,Andrew Wiggins,Chris Paul,15.63049132
110,Andrew Wiggins,Nikola Vucevic,13.73478627
90,Andrew Wiggins,Dirk Nowitzki,12.66531521
78,Andrew Wiggins,Al Horford,11.87709022
117,Anthony Davis,Al Horford,71.05950105
129,Anthony Davis,Dirk Nowitzki,58.06512564
146,Anthony Davis,LaMarcus Aldridge,57.30815017
153,Anthony Davis,Rudy Gay,47.13472664
131,Anthony Davis,Giannis Antetokounmpo,35.56501746
123,Anthony Davis,Carmelo Anthony,32.4856497
139,Anthony Davis,Kawhi Leonard,30.10953593
119,Anthony Davis,Andrew Wiggins,28.28200662
118,Anthony Davis,Andre Drummond,26.48972082
141,Anthony Davis,Kevin Durant,25.02483761
144,Anthony Davis,Kobe Bryant,20.95796251
150,Anthony Davis,Paul George,10.71120811
137,Anthony Davis,Jordan Clarkson,7.269443691
155,Anthony Davis,Stephen Curry,6.669587076
132,Anthony Davis,Gordon Hayward,5.318585575
154,Anthony Davis,Russell Westbrook,3.884898782
134,Anthony Davis,James Harden,-1.411322713
120,Anthony Davis,Avery Bradley,-2.060452223
128,Anthony Davis,Derrick Rose,-8.405872822
140,Anthony Davis,Kemba Walker,-10.82856393
125,Anthony Davis,Damian Lillard,-16.61727661
152,Anthony Davis,Reggie Jackson,-24.40963173
171,Avery Bradley,Gordon Hayward,64.60192019
178,Avery Bradley,Kawhi Leonard,53.66332912
161,Avery Bradley,CJ McCollum,43.9701817
180,Avery Bradley,Kevin Durant,43.14499033
