,PLAYER_NAME,PP36,VAR,STD_DEV,DISPLAY
0,,22.5699975572,43.8966068458,6.62545144468,Rice '97
1,,27.3596091109,38.5534054233,6.20913886327,Malone '97
2,,28.3097582937,55.6319374594,7.45868201892,Jordan '97
3,,24.0929508125,42.9637653713,6.55467507748,Richmond '97
4,,24.6139421768,34.503217054,5.87394390967,O'Neal '97
5,,26.1388857837,32.3709447503,5.68954697233,Malone '98
6,,26.5749937216,51.951787664,7.20775885169,Jordan '98
7,,28.4040161225,52.9156095472,7.27431162016,O'Neal '98
8,,25.0774818325,55.9910516124,7.48271686037,Iverson '00
9,,24.7462376537,45.428312452,6.74005285231,Hill '00
10,,25.6692131355,32.1700013318,5.6718604824,Malone '00
11,,26.7893578676,45.83263393,6.76998034931,O'Neal '00
12,,24.1308580037,34.2943769338,5.85614010538,Carter '00
13,,26.4087523802,56.2898979441,7.50265939145,Iverson '01
14,,24.3401818088,32.3108820089,5.68426618034,Webber '01
15,,26.5806484556,39.9879382503,6.3236016834,Stackhouse '01
16,,25.125099342,44.8998663968,6.70073625782,Bryant '01
17,,23.8104623559,50.5703331262,7.11128210144,Pierce '01
18,,26.3466177081,38.609269139,6.21363574239,O'Neal '01
19,,24.119253549,44.3144513736,6.65691004698,McGrady '01
20,,25.0631897249,33.7166333693,5.80660256685,Carter '01
21,,25.6911390317,42.1601648256,6.4930859247,Iverson '02
22,,23.9976918522,56.158255922,7.49388123218,Bryant '02
23,,23.4593049811,43.9483686123,6.62935657604,Pierce '02
24,,27.0798770195,44.0285618739,6.63540216369,O'Neal '02
25,,22.6558947588,27.1270480785,5.20836328211,Duncan '02
26,,24.0410989482,52.8532450493,7.270023731,McGrady '02
27,,23.2206786657,36.7270701885,6.06028631242,Iverson '03
28,,23.3321226378,34.2844741231,5.85529453769,Nowitzki '03
29,,26.1858189839,89.3863194784,9.45443385288,Bryant '03
30,,23.7828043955,40.5484054456,6.36776298598,Pierce '03
31,,26.1239633749,40.1009029859,6.33252737743,O'Neal '03
32,,29.6469821203,60.2479230219,7.76195355706,McGrady '03
33,,25.3893028216,75.9449561517,8.71464033404,McGrady '04
