,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,PTS,YEAR,YEAR_DISPLAY,DISPLAY
179,779,Glen Rice,1610612766.0,CHH,79,26.8,1996-97, '97,Rice '97
244,252,Karl Malone,1610612762.0,UTA,82,27.4,1996-97, '97,Malone '97
308,893,Michael Jordan,1610612741.0,CHI,82,29.6,1996-97, '97,Jordan '97
311,782,Mitch Richmond,1610612758.0,SAC,81,25.9,1996-97, '97,Richmond '97
378,406,Shaquille O'Neal,1610612747.0,LAL,51,26.2,1996-97, '97,O'Neal '97
242,252,Karl Malone,1610612762.0,UTA,81,27.0,1997-98, '98,Malone '98
303,893,Michael Jordan,1610612741.0,CHI,82,28.7,1997-98, '98,Jordan '98
368,406,Shaquille O'Neal,1610612747.0,LAL,60,28.3,1997-98, '98,O'Neal '98
12,947,Allen Iverson,1610612755.0,PHI,70,28.4,1999-00, '00,Iverson '00
177,255,Grant Hill,1610612765.0,DET,74,25.8,1999-00, '00,Hill '00
235,252,Karl Malone,1610612762.0,UTA,82,25.5,1999-00, '00,Malone '00
375,406,Shaquille O'Neal,1610612747.0,LAL,79,29.7,1999-00, '00,O'Neal '00
424,1713,Vince Carter,1610612761.0,TOR,82,25.7,1999-00, '00,Carter '00
10,947,Allen Iverson,1610612755.0,PHI,71,31.1,2000-01, '01,Iverson '01
77,185,Chris Webber,1610612758.0,SAC,70,27.1,2000-01, '01,Webber '01
217,711,Jerry Stackhouse,1610612765.0,DET,80,29.8,2000-01, '01,Stackhouse '01
249,977,Kobe Bryant,1610612747.0,LAL,68,28.5,2000-01, '01,Bryant '01
323,1718,Paul Pierce,1610612738.0,BOS,82,25.3,2000-01, '01,Pierce '01
372,406,Shaquille O'Neal,1610612747.0,LAL,74,28.7,2000-01, '01,O'Neal '01
411,1503,Tracy McGrady,1610612753.0,ORL,77,26.8,2000-01, '01,McGrady '01
424,1713,Vince Carter,1610612761.0,TOR,75,27.6,2000-01, '01,Carter '01
8,947,Allen Iverson,1610612755.0,PHI,60,31.4,2001-02, '02,Iverson '02
250,977,Kobe Bryant,1610612747.0,LAL,80,25.2,2001-02, '02,Bryant '02
320,1718,Paul Pierce,1610612738.0,BOS,82,26.1,2001-02, '02,Pierce '02
370,406,Shaquille O'Neal,1610612747.0,LAL,67,27.2,2001-02, '02,O'Neal '02
395,1495,Tim Duncan,1610612759.0,SAS,82,25.5,2001-02, '02,Duncan '02
406,1503,Tracy McGrady,1610612753.0,ORL,76,25.6,2001-02, '02,McGrady '02
9,947,Allen Iverson,1610612755.0,PHI,82,27.6,2002-03, '03,Iverson '03
119,1717,Dirk Nowitzki,1610612742.0,DAL,80,25.1,2002-03, '03,Nowitzki '03
240,977,Kobe Bryant,1610612747.0,LAL,82,30.0,2002-03, '03,Bryant '03
310,1718,Paul Pierce,1610612738.0,BOS,79,25.9,2002-03, '03,Pierce '03
364,406,Shaquille O'Neal,1610612747.0,LAL,67,27.5,2002-03, '03,O'Neal '03
399,1503,Tracy McGrady,1610612753.0,ORL,75,32.1,2002-03, '03,McGrady '03
408,1503,Tracy McGrady,1610612753.0,ORL,67,28.0,2003-04, '04,McGrady '04
10,947,Allen Iverson,1610612755.0,PHI,75,30.7,2004-05, '05,Iverson '05
12,2405,Amar'e Stoudemire,1610612756.0,PHX,80,26.0,2004-05, '05,Stoudemire '05
127,1717,Dirk Nowitzki,1610612742.0,DAL,78,26.1,2004-05, '05,Nowitzki '05
163,2240,Gilbert Arenas,1610612764.0,WAS,80,25.5,2004-05, '05,Arenas '05
255,977,Kobe Bryant,1610612747.0,LAL,66,27.6,2004-05, '05,Bryant '05
266,2544,LeBron James,1610612739.0,CLE,80,27.2,2004-05, '05,James '05
432,1503,Tracy McGrady,1610612745.0,HOU,78,25.7,2004-05, '05,McGrady '05
11,947,Allen Iverson,1610612755.0,PHI,72,33.0,2005-06, '06,Iverson '06
75,2546,Carmelo Anthony,1610612743.0,DEN,80,26.5,2005-06, '06,Anthony '06
133,1717,Dirk Nowitzki,1610612742.0,DAL,81,26.6,2005-06, '06,Nowitzki '06
142,2548,Dwyane Wade,1610612748.0,MIA,75,27.2,2005-06, '06,Wade '06
170,2240,Gilbert Arenas,1610612764.0,WAS,80,29.3,2005-06, '06,Arenas '06
256,977,Kobe Bryant,1610612747.0,LAL,80,35.4,2005-06, '06,Bryant '06
266,2544,LeBron James,1610612739.0,CLE,79,31.4,2005-06, '06,James '06
314,2072,Michael Redd,1610612749.0,MIL,80,25.4,2005-06, '06,Redd '06
344,1718,Paul Pierce,1610612738.0,BOS,79,26.8,2005-06, '06,Pierce '06
363,951,Ray Allen,1610612760.0,SEA,78,25.1,2005-06, '06,Allen '06
11,947,Allen Iverson,1610612743.0,DEN,65,26.3,2006-07, '07,Iverson '07
67,2546,Carmelo Anthony,1610612743.0,DEN,65,28.9,2006-07, '07,Anthony '07
136,2548,Dwyane Wade,1610612748.0,MIA,51,27.4,2006-07, '07,Wade '07
161,2240,Gilbert Arenas,1610612764.0,WAS,74,28.4,2006-07, '07,Arenas '07
211,2207,Joe Johnson,1610612737.0,ATL,57,25.0,2006-07, '07,Johnson '07
249,977,Kobe Bryant,1610612747.0,LAL,77,31.6,2006-07, '07,Bryant '07
259,2544,LeBron James,1610612739.0,CLE,78,27.3,2006-07, '07,James '07
305,2072,Michael Redd,1610612749.0,MIL,53,26.7,2006-07, '07,Redd '07
359,951,Ray Allen,1610612760.0,SEA,55,26.4,2006-07, '07,Allen '07
442,1713,Vince Carter,1610612751.0,NJN,82,25.2,2006-07, '07,Carter '07
12,947,Allen Iverson,1610612743.0,DEN,82,26.4,2007-08, '08,Iverson '08
14,2405,Amar'e Stoudemire,1610612756.0,PHX,79,25.2,2007-08, '08,Stoudemire '08
73,2546,Carmelo Anthony,1610612743.0,DEN,77,25.7,2007-08, '08,Anthony '08
250,977,Kobe Bryant,1610612747.0,LAL,82,28.3,2007-08, '08,Bryant '08
262,2544,LeBron James,1610612739.0,CLE,75,30.0,2007-08, '08,James '08
103,101122,Danny Granger,1610612754.0,IND,67,25.8,2008-09, '09,Granger '09
127,1717,Dirk Nowitzki,1610612742.0,DAL,81,25.9,2008-09, '09,Nowitzki '09
136,2548,Dwyane Wade,1610612748.0,MIA,79,30.2,2008-09, '09,Wade '09
235,201142,Kevin Durant,1610612760.0,OKC,74,25.3,2008-09, '09,Durant '09
242,977,Kobe Bryant,1610612747.0,LAL,82,26.8,2008-09, '09,Bryant '09
254,2544,LeBron James,1610612739.0,CLE,81,28.4,2008-09, '09,James '09
62,2546,Carmelo Anthony,1610612743.0,DEN,69,28.2,2009-10, '10,Anthony '10
124,1717,Dirk Nowitzki,1610612742.0,DAL,81,25.0,2009-10, '10,Nowitzki '10
131,2548,Dwyane Wade,1610612748.0,MIA,77,26.6,2009-10, '10,Wade '10
240,201142,Kevin Durant,1610612760.0,OKC,82,30.1,2009-10, '10,Durant '10
247,977,Kobe Bryant,1610612747.0,LAL,73,27.0,2009-10, '10,Bryant '10
