,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Driving Hook Shot,Made Shot,3,0021500891,Shot Chart Detail,0,56,11,1,203458,Alex Len,24,1,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612756,Phoenix Suns
1,Jump Shot,Missed Shot,4,0021500891,Shot Chart Detail,17,169,11,1,201587,Nicolas Batum,1,1,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612766,Charlotte Hornets
2,Jump Shot,Missed Shot,6,0021500891,Shot Chart Detail,-138,154,10,1,203458,Alex Len,51,1,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612756,Phoenix Suns
3,Running Layup Shot,Made Shot,9,0021500891,Shot Chart Detail,9,16,10,1,200782,PJ Tucker,38,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612756,Phoenix Suns
4,Layup Shot,Missed Shot,10,0021500891,Shot Chart Detail,-25,8,10,1,202689,Kemba Walker,27,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets
5,Jump Shot,Missed Shot,13,0021500891,Shot Chart Detail,148,169,10,1,200782,PJ Tucker,11,1,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612756,Phoenix Suns
6,Jump Shot,Missed Shot,15,0021500891,Shot Chart Detail,150,144,9,1,202689,Kemba Walker,58,1,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612766,Charlotte Hornets
7,Jump Shot,Missed Shot,17,0021500891,Shot Chart Detail,102,229,9,1,1626164,Devin Booker,48,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612756,Phoenix Suns
8,Jump Shot,Missed Shot,19,0021500891,Shot Chart Detail,-150,100,9,1,101179,Ronnie Price,43,1,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612756,Phoenix Suns
9,Jump Shot,Made Shot,22,0021500891,Shot Chart Detail,63,46,9,1,201587,Nicolas Batum,30,1,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612766,Charlotte Hornets
10,Layup Shot,Missed Shot,27,0021500891,Shot Chart Detail,4,7,9,1,202689,Kemba Walker,7,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets
11,Putback Layup Shot,Missed Shot,28,0021500891,Shot Chart Detail,20,7,9,1,203469,Cody Zeller,5,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets
12,Cutting Layup Shot,Made Shot,31,0021500891,Shot Chart Detail,1,11,8,1,101107,Marvin Williams,59,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets
13,Driving Layup Shot,Missed Shot,33,0021500891,Shot Chart Detail,-4,21,8,1,201584,Courtney Lee,25,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets
14,Jump Shot,Missed Shot,35,0021500891,Shot Chart Detail,-30,46,7,1,200782,PJ Tucker,59,1,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612756,Phoenix Suns
15,Jump Shot,Made Shot,43,0021500891,Shot Chart Detail,-24,259,7,1,201587,Nicolas Batum,45,1,26,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612766,Charlotte Hornets
16,Jump Shot,Missed Shot,46,0021500891,Shot Chart Detail,-89,229,7,1,201587,Nicolas Batum,17,1,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612766,Charlotte Hornets
17,Turnaround Bank shot,Missed Shot,48,0021500891,Shot Chart Detail,94,61,6,1,203458,Alex Len,59,1,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612756,Phoenix Suns
18,Step Back Jump shot,Made Shot,50,0021500891,Shot Chart Detail,12,169,6,1,202689,Kemba Walker,47,1,16,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612766,Charlotte Hornets
19,Jump Shot,Made Shot,58,0021500891,Shot Chart Detail,-60,183,6,1,202689,Kemba Walker,15,1,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612766,Charlotte Hornets
20,Cutting Dunk Shot,Made Shot,60,0021500891,Shot Chart Detail,0,1,5,1,203469,Cody Zeller,47,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets
21,Jump Shot,Missed Shot,121,0021500891,Shot Chart Detail,149,212,5,1,101179,Ronnie Price,27,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612756,Phoenix Suns
22,Jump Shot,Missed Shot,70,0021500891,Shot Chart Detail,-83,14,5,1,2744,Al Jefferson,17,1,8,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612766,Charlotte Hornets
23,Dunk Shot,Made Shot,72,0021500891,Shot Chart Detail,0,1,5,1,201587,Nicolas Batum,12,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets
24,Jump Shot,Missed Shot,207,0021500891,Shot Chart Detail,94,65,5,1,1626164,Devin Booker,8,1,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612756,Phoenix Suns
25,Layup Shot,Made Shot,85,0021500891,Shot Chart Detail,8,5,5,1,202689,Kemba Walker,0,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets
26,Jump Shot,Missed Shot,66,0021500891,Shot Chart Detail,25,154,4,1,200782,PJ Tucker,40,1,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612756,Phoenix Suns
