,AST_PCT,AST_PCT_RANK,AST_RATIO,AST_RATIO_RANK,AST_TO,AST_TO_RANK,COURT_STATUS,DEF_RATING,DEF_RATING_RANK,DREB_PCT,DREB_PCT_RANK,EFG_PCT,EFG_PCT_RANK,GP,GP_RANK,GROUP_SET,L,L_RANK,MIN,MIN_RANK,NET_RATING,NET_RATING_RANK,OFF_RATING,OFF_RATING_RANK,OREB_PCT,OREB_PCT_RANK,PACE,PACE_RANK,PIE,PIE_RANK,REB_PCT,REB_PCT_RANK,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TM_TOV_PCT,TM_TOV_PCT_RANK,TS_PCT,TS_PCT_RANK,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT,W_PCT_RANK,W_RANK
0,0.667,1,16.4,9,1.67,9,On,116.4,16,0.795,5,0.418,17,6,16,On/Off Court,6,2,48.0,16,-25.1,17,91.3,17,0.238,4,93.43,9,0.341,17,0.506,4,DAL,1610612742,Dallas Mavericks,0.13,10,0.467,17,203112,"Acy, Quincy",0,0.0,17,17
1,0.56,11,15.6,13,1.63,11,On,109.9,14,0.775,12,0.47,16,40,5,On/Off Court,28,13,603.0,7,-8.9,15,101.0,11,0.218,5,94.18,6,0.446,15,0.466,8,DAL,1610612742,Dallas Mavericks,0.126,4,0.515,15,1626147,"Anderson, Justin",12,0.3,12,8
2,0.528,16,15.6,14,1.55,13,On,101.2,4,0.776,10,0.489,13,18,13,On/Off Court,12,3,444.0,11,-0.2,5,101.0,12,0.182,13,93.53,8,0.499,4,0.467,7,DAL,1610612742,Dallas Mavericks,0.129,9,0.529,11,200826,"Barea, J.J.",6,0.333,9,11
3,0.543,14,16.2,12,1.6,12,On,106.1,8,0.78,8,0.507,8,44,1,On/Off Court,29,16,1573.0,1,-3.5,11,102.7,9,0.183,12,93.13,11,0.475,10,0.463,11,DAL,1610612742,Dallas Mavericks,0.131,12,0.539,9,203084,"Barnes, Harrison",15,0.341,7,1
4,0.53,15,15.1,16,1.3,16,On,98.0,3,0.809,3,0.478,14,22,11,On/Off Court,16,7,518.0,9,-1.5,6,96.5,16,0.188,10,92.91,13,0.482,6,0.487,5,DAL,1610612742,Dallas Mavericks,0.149,15,0.512,16,101106,"Bogut, Andrew",6,0.273,13,11
5,0.596,4,17.0,7,1.45,14,On,108.8,12,0.795,6,0.534,1,29,9,On/Off Court,22,9,197.0,14,2.0,3,110.8,3,0.259,3,95.91,5,0.517,3,0.511,3,DAL,1610612742,Dallas Mavericks,0.157,17,0.58,2,1627852,"Brussino, Nicolas",7,0.241,14,10
6,0.546,13,16.3,10,1.67,8,On,105.6,7,0.771,13,0.511,6,40,5,On/Off Court,26,11,1067.0,4,-1.6,7,104.0,8,0.186,11,92.56,14,0.481,7,0.463,10,DAL,1610612742,Dallas Mavericks,0.126,5,0.543,8,203552,"Curry, Seth",14,0.35,4,5
7,0.584,7,17.2,5,1.74,5,On,103.7,6,0.775,11,0.512,5,43,3,On/Off Court,28,13,912.0,5,1.1,4,104.8,6,0.202,8,92.29,16,0.494,5,0.472,6,DAL,1610612742,Dallas Mavericks,0.131,11,0.544,7,1627827,"Finney-Smith, Dorian",15,0.349,5,1
8,0.577,9,15.0,17,1.23,17,On,116.9,17,0.77,14,0.473,15,17,14,On/Off Court,13,4,231.0,13,-19.6,16,97.3,15,0.181,14,96.88,3,0.381,16,0.444,17,DAL,1610612742,Dallas Mavericks,0.155,16,0.525,13,1626780,"Gibson, Jonathan",4,0.235,15,14
9,0.571,10,16.6,8,1.71,7,On,95.5,2,0.841,2,0.529,2,17,14,On/Off Court,14,6,77.0,15,17.6,2,113.1,2,0.289,2,98.34,2,0.589,2,0.552,2,DAL,1610612742,Dallas Mavericks,0.133,13,0.562,3,1627773,"Hammons, AJ",3,0.176,16,15
10,0.594,5,17.4,4,1.85,3,On,109.7,13,0.746,17,0.507,9,28,10,On/Off Court,16,7,433.0,12,-2.6,9,107.1,5,0.206,6,92.5,15,0.481,8,0.462,13,DAL,1610612742,Dallas Mavericks,0.124,3,0.553,4,2734,"Harris, Devin",12,0.429,2,8
11,0.634,2,18.7,1,2.89,1,On,77.6,1,0.897,1,0.527,3,6,16,On/Off Court,3,1,47.0,17,46.5,1,124.1,1,0.313,1,99.58,1,0.776,1,0.575,1,DAL,1610612742,Dallas Mavericks,0.092,1,0.585,1,203510,"Jackson, Pierre",3,0.5,1,15
12,0.556,12,16.3,11,1.64,10,On,107.0,10,0.77,15,0.499,11,43,3,On/Off Court,28,13,1523.0,2,-5.5,13,101.4,10,0.176,15,93.02,12,0.458,13,0.454,16,DAL,1610612742,Dallas Mavericks,0.128,8,0.531,10,202083,"Matthews, Wesley",15,0.349,5,1
