,AST,AST_RANK,BLK,BLKA,BLKA_RANK,BLK_RANK,COURT_STATUS,DREB,DREB_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,FTA,FTA_RANK,FTM,FTM_RANK,FT_PCT,FT_PCT_RANK,GP,GP_RANK,GROUP_SET,L,L_RANK,MIN,MIN_RANK,OREB,OREB_RANK,PF,PFD,PFD_RANK,PF_RANK,PLUS_MINUS,PLUS_MINUS_RANK,PTS,PTS_RANK,REB,REB_RANK,STL,STL_RANK,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,TOV_RANK,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT,W_PCT_RANK,W_RANK
0,20,17,1,3,1,17,On,31,17,27,17,6,17,0.222,17,79,17,30,17,0.38,17,25,17,18,17,0.72,16,6,16,On/Off Court,6,2,47.9116666667,16,10,17,27,20,17,2,-26.0,7,84,17,41,17,7,17,DAL,1610612742,Dallas Mavericks,12.0,2,203112,"Acy, Quincy",0,0.0,17,17
1,241,7,48,50,11,7,On,354,8,369,7,112,7,0.304,16,1035,7,430,7,0.415,15,269,7,217,7,0.807,8,40,5,On/Off Court,28,13,603.42,7,124,7,235,261,7,11,-119.0,16,1189,7,478,7,104,7,DAL,1610612742,Dallas Mavericks,148.0,10,1626147,"Anderson, Justin",12,0.3,12,8
2,172,12,38,23,6,10,On,284,11,262,11,82,12,0.313,15,751,11,326,11,0.434,11,156,11,133,10,0.853,2,18,13,On/Off Court,12,3,443.961666667,11,72,11,165,199,10,6,-15.0,5,867,12,356,11,62,10,DAL,1610612742,Dallas Mavericks,111.0,7,200826,"Barea, J.J.",6,0.333,9,11
3,642,1,121,99,16,1,On,969,1,967,2,348,2,0.36,9,2675,1,1182,1,0.442,8,536,1,425,1,0.793,9,44,1,On/Off Court,29,16,1572.60666667,1,257,1,629,626,1,17,-98.0,15,3137,1,1226,1,249,1,DAL,1610612742,Dallas Mavericks,401.0,17,203084,"Barnes, Harrison",15,0.341,7,1
4,193,10,37,37,9,11,On,361,7,303,9,103,10,0.34,13,869,8,364,9,0.419,14,159,10,130,11,0.818,6,22,11,On/Off Court,16,7,517.878333333,9,91,8,202,201,9,9,-28.0,8,961,9,452,8,73,9,DAL,1610612742,Dallas Mavericks,148.0,10,101106,"Bogut, Andrew",6,0.273,13,11
5,90,13,21,21,4,13,On,120,14,135,14,48,14,0.356,12,328,14,151,14,0.46,1,112,14,88,14,0.786,12,29,9,On/Off Court,22,9,197.381666667,14,44,13,83,95,14,4,10.0,3,438,14,164,14,37,13,DAL,1610612742,Dallas Mavericks,62.0,4,1627852,"Brussino, Nicolas",7,0.241,14,10
6,435,4,85,66,13,3,On,644,4,673,4,254,4,0.377,2,1808,4,797,4,0.441,9,370,3,293,4,0.792,10,40,5,On/Off Court,26,11,1067.09666667,4,173,3,413,409,4,14,-32.0,9,2141,4,817,4,169,3,DAL,1610612742,Dallas Mavericks,260.0,14,203552,"Curry, Seth",14,0.35,4,5
7,396,5,73,59,12,5,On,564,5,596,5,214,5,0.359,10,1533,5,678,5,0.442,7,323,6,251,6,0.777,13,43,3,On/Off Court,28,13,911.828333333,5,165,5,367,345,6,13,-14.0,4,1821,5,729,5,162,5,DAL,1610612742,Dallas Mavericks,227.0,13,1627827,"Finney-Smith, Dorian",15,0.349,5,1
8,90,13,17,22,5,14,On,134,13,148,13,53,13,0.358,11,386,13,156,13,0.404,16,115,13,93,13,0.809,7,17,14,On/Off Court,13,4,231.21,13,39,14,101,101,13,5,-83.0,14,458,13,173,13,33,14,DAL,1610612742,Dallas Mavericks,73.0,5,1626780,"Gibson, Jonathan",4,0.235,15,14
9,36,15,13,14,3,15,On,58,15,52,15,21,15,0.404,1,139,15,63,15,0.453,2,46,15,32,15,0.696,17,17,14,On/Off Court,14,6,76.6983333333,15,22,15,30,37,15,3,30.0,2,179,15,80,15,10,16,DAL,1610612742,Dallas Mavericks,21.0,3,1627773,"Hammons, AJ",3,0.176,16,15
10,192,11,26,37,9,12,On,255,12,251,12,91,11,0.363,7,727,12,323,12,0.444,5,188,8,158,8,0.84,3,28,10,On/Off Court,16,7,432.75,12,78,10,181,190,11,8,-18.0,6,895,11,333,12,59,11,DAL,1610612742,Dallas Mavericks,104.0,6,2734,"Harris, Devin",12,0.429,2,8
11,26,16,5,6,2,16,On,35,16,40,16,15,16,0.375,4,92,16,41,16,0.446,4,28,16,25,16,0.893,1,6,16,On/Off Court,3,1,46.9983333333,17,15,16,19,22,16,1,47.0,1,122,16,50,16,14,15,DAL,1610612742,Dallas Mavericks,9.0,1,203510,"Jackson, Pierre",3,0.5,1,15
12,620,2,110,103,17,2,On,944,2,978,1,354,1,0.362,8,2590,2,1115,2,0.431,12,512,2,405,2,0.791,11,43,3,On/Off Court,28,13,1522.79666667,2,247,2,608,573,2,16,-173.0,17,2989,2,1191,2,240,2,DAL,1610612742,Dallas Mavericks,378.0,16,202083,"Matthews, Wesley",15,0.349,5,1
