,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,1,2,2,0021501226,MISS LaVine  3PT Jump Shot,,11:52,1,4.0,0,0,203897,Zach LaVine,MIN,Minnesota,1610612750.0,Timberwolves,0,,,,,,0,,,,,,,,,8:11 PM,Jump Shot,Missed Shot,2,Shot Chart Detail,228,47,11,203897,Zach LaVine,52,1,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612750,Minnesota Timberwolves
1,1,2,5,0021501226,,,11:29,1,5.0,0,0,201967,Dante Cunningham,NOP,New Orleans,1610612740.0,Pelicans,0,,,,,,0,,,,,,,,MISS Cunningham  3PT Jump Shot,8:12 PM,Jump Shot,Missed Shot,5,Shot Chart Detail,228,38,11,201967,Dante Cunningham,29,1,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612740,New Orleans Pelicans
2,1,2,7,0021501226,MISS Towns 25' 3PT Jump Shot,,11:10,1,4.0,0,0,1626157,Karl-Anthony Towns,MIN,Minnesota,1610612750.0,Timberwolves,0,,,,,,0,,,,,,,,,8:12 PM,Jump Shot,Missed Shot,7,Shot Chart Detail,-109,228,11,1626157,Karl-Anthony Towns,10,1,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612750,Minnesota Timberwolves
3,7,1,9,0021501226,,,10:54,1,5.0,5,0,201600,Omer Asik,NOP,New Orleans,1610612740.0,Pelicans,202706,Jordan Hamilton,NOP,New Orleans,1610612740.0,Pelicans,0,,,,,,2 - 0,-2,Asik  Dunk (2 PTS) (Hamilton 1 AST),8:12 PM,Dunk Shot,Made Shot,9,Shot Chart Detail,0,1,10,201600,Omer Asik,54,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
4,1,2,10,0021501226,MISS Rubio 25' 3PT Jump Shot,,10:34,1,4.0,0,0,201937,Ricky Rubio,MIN,Minnesota,1610612750.0,Timberwolves,0,,,,,,0,,,,,,,,,8:13 PM,Jump Shot,Missed Shot,10,Shot Chart Detail,-215,134,10,201937,Ricky Rubio,34,1,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612750,Minnesota Timberwolves
5,46,2,12,0021501226,,,10:19,1,5.0,0,0,201967,Dante Cunningham,NOP,New Orleans,1610612740.0,Pelicans,0,,,,,,0,,,,,,,,MISS Cunningham 7' Running Jump Shot,8:13 PM,Running Jump Shot,Missed Shot,12,Shot Chart Detail,-17,70,10,201967,Dante Cunningham,19,1,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612740,New Orleans Pelicans
6,1,2,14,0021501226,,,10:16,1,5.0,0,0,201962,Toney Douglas,NOP,New Orleans,1610612740.0,Pelicans,0,,,,,,0,,,,,,,,MISS Douglas 24' 3PT Jump Shot,8:13 PM,Jump Shot,Missed Shot,14,Shot Chart Detail,28,242,10,201962,Toney Douglas,16,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
7,44,1,19,0021501226,,,9:47,1,5.0,5,0,203516,James Ennis,NOP,New Orleans,1610612740.0,Pelicans,201962,Toney Douglas,NOP,New Orleans,1610612740.0,Pelicans,0,,,,,,4 - 2,-2,Ennis 2' Reverse Layup (2 PTS) (Douglas 1 AST),8:14 PM,Reverse Layup Shot,Made Shot,19,Shot Chart Detail,19,7,9,203516,James Ennis,47,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
8,5,1,20,0021501226,Dieng 2' Layup (4 PTS) (Rubio 2 AST),,9:35,1,4.0,4,0,203476,Gorgui Dieng,MIN,Minnesota,1610612750.0,Timberwolves,201937,Ricky Rubio,MIN,Minnesota,1610612750.0,Timberwolves,0,,,,,,4 - 4,TIE,,8:14 PM,Layup Shot,Made Shot,20,Shot Chart Detail,-22,7,9,203476,Gorgui Dieng,35,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612750,Minnesota Timberwolves
9,79,2,28,0021501226,,,8:42,1,5.0,0,0,201962,Toney Douglas,NOP,New Orleans,1610612740.0,Pelicans,0,,,,,,0,,,,,,,,MISS Douglas 19' Pullup Jump Shot,8:16 PM,Pullup Jump shot,Missed Shot,28,Shot Chart Detail,-110,159,8,201962,Toney Douglas,42,1,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
