,Anthony Davis,Ryan Anderson,Dante Cunningham,Jrue Holiday,Alonzo Gee,Eric Gordon,Toney Douglas,Norris Cole,Omer Asik,Alexis Ajinca,PASS_FROM
0,,75,96,721,94,262,168,403,57,15,Anthony Davis
1,100,,46,480,58,155,198,239,5,18,Ryan Anderson
2,95,83,,311,13,63,292,216,48,39,Dante Cunningham
3,658,490,201,,147,257,257,312,107,112,Jrue Holiday
4,113,100,26,246,,73,110,121,42,24,Alonzo Gee
5,258,172,45,144,49,,32,94,59,29,Eric Gordon
6,184,182,155,330,79,37,,28,114,158,Toney Douglas
7,452,250,90,417,68,120,29,,110,69,Norris Cole
8,58,9,65,283,46,91,216,305,,7,Omer Asik
9,13,18,50,196,28,57,183,133,14,,Alexis Ajinca
