GROUP_NAME,OFF_RATING,TEAM_ABBREVIATION
"Green,Draymond - Iguodala,Andre",122.5,GSW
"Durant,Kevin - Waiters,Dion",116,OKC
"Dellavedova,Matthew - James,LeBron",114.3,CLE
"Lowry,Kyle - Patterson,Patrick",114.1,TOR
"Paul,Chris - Redick,JJ",112.8,LAC
"Matthews,Wesley - Nowitzki,Dirk",110,DAL
"Anderson,Ryan - Holiday,Jrue",109.7,NOP
"Bradley,Avery - Thomas,Isaiah",109.5,BOS
"Ariza,Trevor - Beverley,Patrick",108.4,HOU
"Duncan,Tim - Leonard,Kawhi",108.4,SAS
"Aminu,Al-Farouq - Lillard,Damian",107.5,POR
"Gobert,Rudy - Hayward,Gordon",107.4,UTA
"Casspi,Omri - Collison,Darren",107.4,SAC
"Batum,Nicolas - Zeller,Cody",107.2,CHA
"Dudley,Jared - Temple,Garrett",107.1,WAS
"Dieng,Gorgui - Wiggins,Andrew",106.8,MIN
"Afflalo,Arron - Porzingis,Kristaps",105.8,NYK
"Gallinari,Danilo - Harris,Gary",105.7,DEN
"Caldwell-Pope,Kentavious - Morris,Marcus",105.6,DET
"Monroe,Greg - Parker,Jabari",105.6,MIL
"Bazemore,Kent - Korver,Kyle",104.7,ATL
"Lee,Courtney - Randolph,Zach",104.7,MEM
"Oladipo,Victor - Vucevic,Nikola",103.8,ORL
"Butler,Jimmy - Mirotic,Nikola",103.6,CHI
"Johnson,Joe - Young,Thaddeus",103.6,BKN
"Bosh,Chris - Dragic,Goran",103.4,MIA
"George,Paul - Miles,CJ",103.4,IND
"Bledsoe,Eric - Knight,Brandon",101.9,PHX
"Bryant,Kobe - Williams,Lou",99,LAL
