,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
0,26.0,0.273,33.3,3.0,5,"358,1610612753",83.4,0.0,0.6,5,5.0,3,3.0,0.6,1,0,12.3,27.8,111.3,0.0,112.23,0.106,358,Anfernee Hardaway,0.0,ORL,1610612753,11.1,0.6,0.189,1,1.0
1,21.0,0.167,25.0,3.0,5,"952,1610612738",93.4,0.091,0.25,8,8.0,2,2.0,0.25,1,0,15.4,39.0,132.4,0.071,115.45,0.04,952,Antoine Walker,0.083,BOS,1610612738,8.3,0.25,0.221,1,1.0
2,32.0,0.0,0.0,0.0,5,"764,1610612759",116.2,0.16,0.75,4,4.0,3,3.0,0.75,1,1,22.4,-14.6,101.6,0.069,111.24,0.164,764,David Robinson,0.111,SAS,1610612759,19.2,0.893,0.16,0,0.0
3,32.0,0.0,0.0,0.0,5,"87,1610612737",90.1,0.273,0.8,5,5.0,4,4.0,0.8,1,0,18.5,29.0,119.0,0.059,120.22,0.106,87,Dikembe Mutombo,0.179,ATL,1610612737,0.0,0.765,0.117,1,1.0
4,26.0,0.067,4.8,0.0,5,"224,1610612747",111.3,0.133,0.368,19,19.0,7,7.0,0.368,1,1,24.5,-14.9,96.3,0.179,114.14,0.099,224,Eddie Jones,0.159,LAL,1610612747,0.0,0.377,0.261,0,0.0
5,29.0,0.591,54.2,3.25,5,"56,1610612760",121.3,0.045,0.5,7,7.0,3,3.0,0.429,1,1,24.2,-20.5,100.8,0.071,118.71,0.111,56,Gary Payton,0.06,SEA,1610612760,16.7,0.5,0.158,0,0.0
6,31.0,0.0,0.0,0.0,5,"779,1610612766",121.8,0.0,0.571,14,14.0,6,6.0,0.429,1,0,16.2,-10.9,110.9,0.053,116.15,0.086,779,Glen Rice,0.025,CHH,1610612766,6.7,0.571,0.335,1,1.0
7,25.0,0.179,31.3,0.0,5,"255,1610612765",94.9,0.081,0.682,11,11.0,7,7.0,0.636,1,0,27.5,17.9,112.7,0.0,120.89,0.123,255,Grant Hill,0.048,DET,1610612765,0.0,0.682,0.147,1,1.0
8,25.0,0.5,75.0,4.5,5,"467,1610612756",107.1,0.053,0.0,1,1.0,0,0.0,0.0,1,1,18.5,-7.7,99.4,0.0,120.61,0.051,467,Jason Kidd,0.021,PHX,1610612756,16.7,0.0,0.051,0,0.0
9,30.0,0.059,25.0,0.0,5,"420,1610612751",86.1,0.241,0.667,3,3.0,2,2.0,0.667,1,0,19.0,22.8,108.9,0.12,112.68,0.135,420,Jayson Williams,0.185,NJN,1610612751,0.0,0.667,0.058,1,1.0
10,34.0,0.125,33.3,0.0,5,"252,1610612762",122.7,0.214,0.5,4,4.0,2,2.0,0.5,1,1,17.0,-26.9,95.8,0.0,116.84,0.08,252,Karl Malone,0.1,UTA,1610612762,0.0,0.5,0.089,0,0.0
11,22.0,0.111,12.5,0.67,5,"708,1610612750",120.2,0.158,0.545,11,11.0,6,6.0,0.545,1,1,21.4,-21.6,98.6,0.04,119.82,0.094,708,Kevin Garnett,0.091,MIN,1610612750,18.8,0.545,0.234,0,0.0
12,19.0,0.067,5.3,1.0,5,"977,1610612747",119.2,0.2,0.5,16,16.0,7,7.0,0.438,1,1,22.5,-27.6,91.7,0.071,119.3,0.118,977,Kobe Bryant,0.125,LAL,1610612747,5.3,0.533,0.272,0,0.0
13,35.0,0.267,27.3,4.0,5,"893,1610612741",86.5,0.122,0.583,18,18.0,10,10.0,0.556,1,0,31.5,30.2,116.8,0.033,117.03,0.171,893,Michael Jordan,0.085,CHI,1610612741,6.8,0.595,0.257,1,1.0
14,33.0,0.167,15.4,0.0,5,"782,1610612758",114.2,0.053,0.364,11,11.0,4,4.0,0.364,1,1,16.7,-2.2,112.0,0.0,110.43,0.05,782,Mitch Richmond,0.027,SAC,1610612758,0.0,0.364,0.238,0,0.0
15,26.0,0.167,10.6,1.0,5,"89,1610612747",108.8,0.077,0.393,14,14.0,5,5.0,0.357,1,1,20.0,-16.1,92.7,0.032,115.25,0.068,89,Nick Van Exel,0.053,LAL,1610612747,10.6,0.437,0.284,0,0.0
16,32.0,0.0,0.0,0.0,5,"397,1610612754",101.3,0.0,0.813,8,8.0,6,6.0,0.75,1,0,20.0,19.2,120.5,0.0,110.63,0.097,397,Reggie Miller,0.0,IND,1610612754,0.0,0.788,0.169,1,1.0
17,31.0,0.2,31.3,0.0,5,"22,1610612754",99.7,0.185,0.429,7,7.0,3,3.0,0.429,1,0,21.2,22.1,121.7,0.083,109.41,0.135,22,Rik Smits,0.137,IND,1610612754,0.0,0.571,0.157,1,1.0
18,26.0,0.071,6.8,0.5,5,"406,1610612747",124.4,0.143,0.5,10,10.0,5,5.0,0.5,1,1,17.8,-28.5,96.0,0.111,118.45,0.048,406,Shaquille O'Neal,0.125,LAL,1610612747,13.6,0.51,0.288,0,0.0
19,28.0,0.074,11.8,0.5,5,"431,1610612739",100.6,0.3,0.5,10,10.0,5,5.0,0.5,1,0,25.2,12.6,113.1,0.087,120.35,0.115,431,Shawn Kemp,0.208,CLE,1610612739,23.7,0.551,0.217,1,1.0
20,29.0,0.0,0.0,0.0,5,"120,1610612737",115.0,0.043,0.583,12,12.0,6,6.0,0.5,1,0,16.0,-4.3,110.7,0.1,115.62,0.118,120,Steven Smith,0.07,ATL,1610612737,0.0,0.583,0.262,1,1.0
21,22.0,0.077,14.3,0.5,5,"1495,1610612759",97.6,0.588,0.25,4,4.0,1,1.0,0.25,1,1,13.7,3.7,101.4,0.043,126.68,0.113,1495,Tim Duncan,0.275,SAS,1610612759,28.6,0.25,0.129,0,0.0
22,31.0,0.333,30.0,1.0,5,"896,1610612748",107.5,0.038,0.5,8,8.0,3,3.0,0.375,1,0,17.2,3.4,110.9,0.0,126.59,0.039,896,Tim Hardaway,0.023,MIA,1610612748,30.0,0.5,0.29,1,1.0
23,26.0,0.0,0.0,0.0,5,"452,1610612760",120.2,0.08,0.25,12,12.0,3,3.0,0.25,1,1,21.3,-30.5,89.7,0.188,112.08,0.042,452,Vin Baker,0.14,SEA,1610612760,0.0,0.311,0.204,0,0.0
