,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
0,,0.0,0.0,0.0,5,"1479,",66.7,0.0,0.0,0,0.0,0,0.0,0.0,1,1,1.1,62.2,128.9,0.0,147.87,0.0,1479,,0.0,,,0.0,0.0,0.0,0,0.0
1,26.0,0.0,0.0,0.0,5,"1425,1610612760",87.0,0.0,0.0,3,1.0,0,0.0,0.0,3,1,2.0,-12.4,74.6,0.091,105.75,-0.105,1425,Aaron Williams,0.063,SEA,1610612760.0,20.5,0.258,0.28,2,0.667
2,28.0,0.024,4.8,0.67,5,"228,1610612762",95.5,0.153,0.345,29,1.9,10,0.7,0.345,15,7,10.3,-11.0,84.5,0.096,84.93,0.054,228,Adam Keefe,0.125,UTA,1610612762.0,7.2,0.425,0.127,8,0.533
3,25.0,0.059,7.2,0.67,5,"673,1610612737",98.2,0.112,0.526,38,9.5,20,5.0,0.526,4,3,31.6,5.8,104.0,0.093,85.72,0.088,673,Alan Henderson,0.102,ATL,1610612737.0,10.7,0.555,0.204,1,0.25
4,27.0,0.144,10.7,0.88,5,"275,1610612752",101.3,0.1,0.46,175,17.5,76,7.6,0.434,10,6,40.4,-1.8,99.4,0.018,89.91,0.105,275,Allan Houston,0.059,NYK,1610612752.0,12.3,0.526,0.276,4,0.4
5,28.0,0.082,6.1,0.63,5,"297,1610612748",100.9,0.2,0.518,56,14.0,29,7.3,0.518,4,2,34.3,3.7,104.6,0.095,87.17,0.154,297,Alonzo Mourning,0.151,MIA,1610612748.0,9.8,0.56,0.283,2,0.5
6,39.0,0.0,0.0,0.0,5,"175,1610612757",130.9,0.111,0.333,3,1.5,1,0.5,0.333,2,2,5.6,-60.6,70.3,0.167,97.12,-0.167,175,Alton Lister,0.133,POR,1610612757.0,40.0,0.333,0.194,0,0.0
7,34.0,0.091,16.7,1.0,5,"194,1610612752",112.4,0.0,0.5,4,0.6,2,0.3,0.5,7,4,3.0,-16.1,96.3,0.0,88.93,-0.021,194,Anthony Bowie,0.0,NYK,1610612752.0,16.7,0.5,0.108,3,0.429
8,31.0,0.157,18.2,1.41,5,"193,1610612766",104.0,0.177,0.576,99,11.0,57,6.3,0.576,9,5,40.8,-7.5,96.5,0.058,85.3,0.136,193,Anthony Mason,0.119,CHH,1610612766.0,12.9,0.592,0.193,4,0.444
9,26.0,0.056,7.8,0.33,5,"292,1610612737",73.2,0.138,0.375,8,2.0,3,0.8,0.375,4,3,8.0,18.0,91.3,0.179,91.7,0.093,292,Anthony Miller,0.158,ATL,1610612737.0,23.3,0.45,0.18,1,0.25
