,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
0,24.0,0.179,30.3,3.33,5,"243,1610612765",93.7,0.125,0.375,20,4.0,7,1.4,0.35,5,3,20.2,7.6,101.3,0.013,81.49,0.063,243,Aaron McKie,0.066,DET,1610612765,9.1,0.375,0.124,2,0.4
1,27.0,0.049,15.8,1.0,5,"228,1610612762",106.0,0.26,0.333,6,0.8,2,0.3,0.333,8,4,7.5,-1.8,104.2,0.086,92.22,0.072,228,Adam Keefe,0.188,UTA,1610612762,15.8,0.463,0.084,4,0.5
2,24.0,0.0,0.0,0.0,5,"673,1610612737",109.6,0.193,0.559,34,3.4,19,1.9,0.559,10,6,14.1,-1.0,108.7,0.1,83.81,0.087,673,Alan Henderson,0.147,ATL,1610612737,13.3,0.638,0.186,4,0.4
3,26.0,0.102,10.9,0.88,5,"275,1610612752",98.6,0.066,0.534,133,14.8,58,6.4,0.436,9,3,41.7,5.5,104.1,0.011,87.0,0.101,275,Allan Houston,0.039,NYK,1610612752,12.4,0.583,0.234,6,0.667
4,27.0,0.065,4.8,0.26,5,"297,1610612748",94.3,0.227,0.498,218,12.8,107,6.3,0.491,17,9,38.3,3.0,97.3,0.081,84.87,0.121,297,Alonzo Mourning,0.155,MIA,1610612748,18.7,0.529,0.272,8,0.471
5,23.0,0.143,18.8,0.0,5,"1043,1610612753",109.0,0.75,0.667,3,1.5,2,1.0,0.667,2,2,3.7,60.0,169.0,0.0,90.56,0.123,1043,Amal McCaskill,0.375,ORL,1610612753,0.0,0.579,0.284,0,0.0
6,25.0,0.198,10.6,1.89,5,"358,1610612753",103.9,0.119,0.518,111,22.2,52,10.4,0.468,5,3,45.8,-6.2,97.6,0.036,84.23,0.189,358,Anfernee Hardaway,0.078,ORL,1610612753,5.6,0.575,0.323,2,0.4
7,30.0,0.108,14.6,1.0,5,"193,1610612766",118.8,0.311,0.421,38,12.7,16,5.3,0.421,3,3,45.9,-12.0,106.7,0.073,84.99,0.083,193,Anthony Mason,0.18,CHH,1610612766,14.6,0.446,0.189,0,0.0
8,35.0,0.064,7.5,0.5,5,"156,1610612762",106.5,0.118,0.482,83,4.2,40,2.0,0.482,20,7,14.6,-7.8,98.7,0.049,85.28,0.027,156,Antoine Carr,0.085,UTA,1610612762,14.9,0.524,0.193,13,0.65
9,32.0,0.17,14.2,1.0,5,"717,1610612757",116.2,0.222,0.452,42,10.5,18,4.5,0.429,4,3,27.7,-19.4,96.8,0.088,86.14,0.081,717,Arvydas Sabonis,0.151,POR,1610612757,14.2,0.494,0.24,1,0.25
10,28.0,0.06,7.7,0.79,5,"183,1610612741",95.6,0.154,0.481,104,5.5,50,2.6,0.481,19,4,18.3,11.3,107.0,0.106,84.83,0.069,183,Bison Dele,0.129,CHI,1610612741,9.8,0.493,0.188,15,0.789
11,26.0,0.118,17.9,1.33,5,"448,1610612746",106.3,0.178,0.545,11,3.7,6,2.0,0.545,3,3,23.4,-6.7,99.5,0.094,82.74,0.068,448,Bo Outlaw,0.128,LAC,1610612746,13.4,0.487,0.133,0,0.0
12,25.0,0.213,22.2,2.5,5,"699,1610612746",113.0,0.095,0.5,27,9.0,11,3.7,0.407,3,3,29.1,-5.0,107.9,0.013,87.12,0.099,699,Brent Barry,0.05,LAC,1610612746,8.9,0.565,0.194,0,0.0
13,23.0,0.25,66.7,0.0,5,"967,1610612753",122.0,0.0,1.0,1,0.5,1,0.5,1.0,2,2,3.8,38.7,160.6,0.0,91.71,0.115,967,Brian Evans,0.0,ORL,1610612753,0.0,1.0,0.065,0,0.0
14,31.0,0.195,21.8,1.0,5,"216,1610612753",114.9,0.125,0.211,19,3.8,3,0.6,0.158,5,3,17.0,-32.8,82.1,0.014,84.44,-0.012,216,Brian Shaw,0.067,ORL,1610612753,21.8,0.241,0.174,2,0.4
15,26.0,0.063,10.8,1.4,5,"935,1610612762",105.0,0.117,0.554,193,9.7,89,4.5,0.461,20,7,39.3,3.4,108.4,0.029,86.28,0.079,935,Bryon Russell,0.073,UTA,1610612762,7.7,0.578,0.145,13,0.65
16,37.0,0.049,11.4,1.5,5,"433,1610612752",96.3,0.179,0.486,35,3.5,17,1.7,0.486,10,4,20.0,6.2,102.5,0.083,86.6,0.044,433,Buck Williams,0.13,NYK,1610612752,7.6,0.506,0.118,6,0.6
17,36.0,0.125,18.2,1.38,5,"2,1610612747",90.1,0.105,0.515,33,4.1,15,1.9,0.455,8,4,17.4,28.5,118.6,0.0,85.64,0.089,2,Byron Scott,0.057,LAL,1610612747,13.3,0.617,0.179,4,0.5
18,25.0,0.059,7.4,0.8,5,"384,1610612764",112.0,0.051,0.45,40,13.3,18,6.0,0.45,3,3,42.0,-10.6,101.4,0.066,86.77,0.061,384,Calbert Cheaney,0.058,WAS,1610612764,9.2,0.497,0.194,0,0.0
