,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
0,35.0,0.043,7.7,1.32,5,"920,1610612742",104.2,0.179,0.422,256,5.1,108,2.2,0.422,50,31,18.5,-5.6,98.6,0.097,90.34,0.08,920,A.C. Green,0.137,DAL,1610612742,5.9,0.441,0.148,19,0.38
1,26.0,0.183,23.7,1.75,5,"243,1610612755",97.4,0.139,0.414,237,4.7,95,1.9,0.401,50,22,19.2,-1.9,95.5,0.033,92.76,0.09,243,Aaron McKie,0.086,PHI,1610612755,13.5,0.454,0.152,28,0.56
2,27.0,0.094,10.6,0.73,5,"1425,1610612760",102.6,0.191,0.423,123,3.1,52,1.3,0.423,40,21,11.5,-11.2,91.4,0.129,94.22,0.092,1425,Aaron Williams,0.159,SEA,1610612760,14.5,0.508,0.18,19,0.475
3,29.0,0.074,12.5,0.85,5,"228,1610612762",96.2,0.16,0.452,124,2.8,56,1.3,0.452,44,12,14.6,4.2,100.4,0.103,90.39,0.089,228,Adam Keefe,0.133,UTA,1610612762,14.7,0.533,0.142,32,0.727
4,24.0,0.049,9.4,0.58,5,"1502,1610612744",95.2,0.202,0.43,121,2.8,52,1.2,0.43,44,28,13.9,-3.9,91.2,0.14,92.38,0.081,1502,Adonal Foyle,0.171,GSW,1610612744,16.1,0.45,0.126,16,0.364
5,28.0,0.273,27.9,1.5,5,"1817,1610612749",124.3,0.0,0.5,4,1.0,2,0.5,0.5,4,2,4.6,-36.4,87.9,0.0,104.45,0.079,1817,Adonis Jordan,0.0,MIL,1610612749,18.6,0.521,0.185,2,0.5
6,19.0,0.06,6.4,0.45,5,"1733,1610612754",101.5,0.148,0.321,56,2.7,18,0.9,0.321,21,10,7.6,-8.3,93.2,0.132,88.84,0.008,1733,Al Harrington,0.139,IND,1610612754,14.0,0.359,0.21,11,0.524
7,26.0,0.048,4.7,0.47,5,"673,1610612737",99.4,0.152,0.442,423,11.1,187,4.9,0.442,38,16,30.0,-3.1,96.3,0.102,88.77,0.102,673,Alan Henderson,0.127,ATL,1610612737,10.1,0.485,0.224,22,0.579
8,28.0,0.152,13.0,1.05,5,"275,1610612752",93.3,0.08,0.459,703,14.1,294,5.9,0.418,50,23,36.3,1.8,95.0,0.013,90.17,0.096,275,Allan Houston,0.048,NYK,1610612752,12.3,0.515,0.241,27,0.54
9,24.0,0.234,13.5,1.34,5,"947,1610612755",94.5,0.101,0.439,1056,22.0,435,9.1,0.412,48,20,41.5,3.6,98.1,0.038,91.84,0.154,947,Allen Iverson,0.069,PHI,1610612755,10.1,0.508,0.323,28,0.583
10,29.0,0.086,7.2,0.53,5,"297,1610612748",92.9,0.216,0.512,633,13.8,324,7.0,0.512,46,14,38.2,10.6,103.5,0.125,86.8,0.17,297,Alonzo Mourning,0.174,MIA,1610612748,13.5,0.564,0.27,32,0.696
11,24.0,0.333,21.6,0.83,5,"1591,1610612756",117.3,0.045,0.45,10,2.5,4,1.0,0.4,4,2,6.3,-30.0,87.3,0.143,99.06,0.047,1591,Alvin Sims,0.093,PHX,1610612756,25.9,0.451,0.272,2,0.5
12,24.0,0.207,29.2,2.32,5,"1541,1610612761",98.7,0.067,0.43,237,4.7,95,1.9,0.401,50,27,21.0,-3.1,95.7,0.02,91.31,0.069,1541,Alvin Williams,0.044,TOR,1610612761,12.6,0.477,0.137,23,0.46
13,23.0,0.094,10.0,0.68,5,"1754,1610612750",97.0,0.144,0.443,97,2.8,43,1.2,0.443,35,18,8.1,-1.6,95.5,0.104,94.71,0.073,1754,Andrae Patterson,0.122,MIN,1610612750,14.7,0.505,0.206,17,0.486
14,26.0,0.049,7.3,0.57,5,"692,1610612739",100.1,0.172,0.5,276,5.9,138,2.9,0.5,47,27,23.4,-2.6,97.6,0.11,90.88,0.085,692,Andrew DeClercq,0.139,CLE,1610612739,12.8,0.549,0.166,20,0.426
15,33.0,0.182,17.1,1.5,5,"1845,1610612759",80.8,0.048,0.42,25,1.3,8,0.4,0.32,19,3,3.0,27.4,108.1,0.038,100.34,0.043,1845,Andrew Gaze,0.043,SAS,1610612759,11.4,0.42,0.206,16,0.842
16,33.0,0.058,9.3,0.76,5,"457,1610612741",100.5,0.196,0.323,99,4.7,32,1.5,0.323,21,15,18.4,-7.1,93.4,0.096,87.84,0.047,457,Andrew Lang,0.143,CHI,1610612741,12.2,0.367,0.155,6,0.286
17,27.0,0.248,21.7,1.77,5,"358,1610612753",95.3,0.127,0.448,717,14.3,301,6.0,0.42,50,17,38.9,1.9,97.1,0.044,91.42,0.123,358,Anfernee Hardaway,0.085,ORL,1610612753,12.2,0.488,0.224,33,0.66
18,23.0,0.058,6.0,0.5,5,"1712,1610612744",96.7,0.173,0.456,394,8.4,178,3.8,0.452,47,26,22.5,-3.0,93.8,0.12,92.04,0.113,1712,Antawn Jamison,0.145,GSW,1610612744,12.1,0.487,0.216,21,0.447
19,29.0,0.043,4.6,0.14,5,"138,1610612762",80.8,0.1,0.308,13,2.6,4,0.8,0.308,5,1,8.9,5.4,86.2,0.178,92.44,-0.034,138,Anthony Avent,0.141,UTA,1610612762,32.0,0.324,0.202,4,0.8
20,24.0,0.249,24.7,1.65,5,"1533,1610612737",95.6,0.077,0.416,225,4.6,91,1.9,0.404,49,18,18.1,-1.8,93.8,0.022,87.81,0.083,1533,Anthony Johnson,0.05,ATL,1610612737,15.0,0.467,0.177,31,0.633
21,27.0,0.044,8.2,0.78,5,"292,1610612745",99.1,0.177,0.467,60,2.1,28,1.0,0.467,29,11,8.5,7.2,106.3,0.136,95.11,0.076,292,Anthony Miller,0.159,HOU,1610612745,10.5,0.502,0.142,18,0.621
22,24.0,0.0,0.0,0.0,5,"1515,1610612755",69.4,0.0,1.0,1,0.5,1,0.5,1.0,2,0,1.4,38.3,107.8,0.0,87.02,-0.667,1515,Anthony Parker,0.0,PHI,1610612755,0.0,1.0,0.177,2,1.0
23,29.0,0.139,19.2,2.05,5,"324,1610612750",98.9,0.081,0.441,272,9.7,103,3.7,0.379,28,14,28.9,3.4,102.3,0.037,97.38,0.065,324,Anthony Peeler,0.057,MIN,1610612750,9.4,0.465,0.172,14,0.5
24,37.0,0.107,12.3,1.0,5,"156,1610612745",95.8,0.151,0.404,52,2.9,21,1.2,0.404,18,8,8.4,-6.4,89.3,0.065,91.64,0.038,156,Antoine Carr,0.109,HOU,1610612745,12.3,0.427,0.198,10,0.556
25,22.0,0.152,12.1,1.09,5,"952,1610612738",103.2,0.194,0.456,735,17.5,303,7.2,0.412,42,26,36.9,-6.2,97.0,0.073,93.67,0.107,952,Antoine Walker,0.13,BOS,1610612738,11.1,0.476,0.273,16,0.381
26,24.0,0.31,29.3,2.41,5,"1498,1610612759",89.5,0.07,0.467,183,3.9,83,1.8,0.454,47,11,13.1,10.1,99.6,0.025,90.87,0.134,1498,Antonio Daniels,0.049,SAS,1610612759,12.2,0.52,0.192,36,0.766
27,30.0,0.049,6.4,0.66,5,"213,1610612754",100.7,0.22,0.471,348,7.1,164,3.3,0.471,49,16,25.9,1.2,101.9,0.108,89.14,0.115,213,Antonio Davis,0.163,IND,1610612754,9.7,0.535,0.181,33,0.673
28,27.0,0.029,6.7,0.25,5,"226,1610612739",112.8,0.208,0.667,6,0.6,4,0.4,0.667,10,5,6.5,-23.9,88.9,0.15,85.08,0.04,226,Antonio Lang,0.182,CLE,1610612739,26.7,0.653,0.113,5,0.5
29,24.0,0.085,6.6,0.59,5,"686,1610612743",106.4,0.229,0.471,882,17.6,415,8.3,0.471,50,36,38.7,-5.9,100.5,0.097,93.49,0.132,686,Antonio McDyess,0.16,DEN,1610612743,11.0,0.515,0.273,14,0.28
30,35.0,0.053,5.9,0.53,5,"288,1610612749",99.0,0.166,0.453,223,6.6,101,3.0,0.453,34,17,19.7,-1.3,97.7,0.061,88.06,0.109,288,Armen Gilliam,0.115,MIL,1610612749,11.2,0.525,0.222,17,0.5
31,34.0,0.156,15.7,1.4,5,"717,1610612757",96.5,0.254,0.493,478,9.6,232,4.6,0.485,50,15,27.0,4.4,100.9,0.078,90.71,0.154,717,Arvydas Sabonis,0.169,POR,1610612757,11.2,0.546,0.219,35,0.7
32,24.0,0.075,8.5,0.43,5,"1506,1610612754",105.6,0.152,0.48,75,2.8,32,1.2,0.427,27,6,9.3,-12.5,93.0,0.071,87.18,0.073,1506,Austin Croshere,0.108,IND,1610612754,19.5,0.54,0.208,21,0.778
33,34.0,0.362,37.6,3.29,5,"422,1610612759",93.1,0.061,0.474,461,9.2,218,4.4,0.473,50,13,33.5,9.7,102.8,0.016,91.35,0.106,422,Avery Johnson,0.04,SAS,1610612759,11.4,0.487,0.171,37,0.74
34,31.0,0.305,33.3,2.44,5,"769,1610612753",97.8,0.111,0.494,88,2.8,40,1.3,0.455,32,14,11.1,-5.2,92.7,0.007,91.36,0.11,769,B.J. Armstrong,0.062,ORL,1610612753,13.6,0.54,0.16,18,0.563
35,26.0,0.25,12.7,3.0,5,"989,1610612752",93.7,0.154,0.412,17,2.1,7,0.9,0.412,8,3,2.5,16.6,110.3,0.3,100.93,0.135,989,Ben Davis,0.256,NYK,1610612752,4.2,0.433,0.341,5,0.625
36,24.0,0.023,5.8,0.5,5,"1112,1610612764",98.0,0.232,0.576,198,4.3,114,2.5,0.576,46,29,26.7,1.8,99.9,0.128,91.32,0.107,1112,Ben Wallace,0.18,WAS,1610612764,11.6,0.537,0.11,17,0.37
37,34.0,0.043,9.1,0.33,5,"104,1610612755",91.0,0.217,0.286,7,1.2,2,0.3,0.286,6,4,5.7,-1.8,89.3,0.1,91.55,-0.033,104,Benoit Benjamin,0.151,PHI,1610612755,27.3,0.286,0.132,2,0.333
38,27.0,0.05,13.2,1.4,5,"223,1610612750",96.7,0.103,0.41,72,2.1,29,0.8,0.403,35,15,10.7,5.9,102.6,0.058,95.86,0.013,223,Bill Curley,0.079,MIN,1610612750,9.5,0.477,0.107,20,0.571
39,36.0,0.085,8.1,1.06,5,"82,1610612741",95.1,0.159,0.351,178,4.7,62,1.6,0.348,38,28,11.8,-7.7,87.4,0.048,89.49,0.03,82,Bill Wennington,0.1,CHI,1610612741,7.6,0.381,0.218,10,0.263
40,30.0,0.133,15.1,1.15,5,"182,1610612760",104.7,0.128,0.409,165,7.9,65,3.1,0.394,21,12,21.5,-2.3,102.3,0.087,92.35,0.068,182,Billy Owens,0.106,SEA,1610612760,13.1,0.452,0.21,9,0.429
