,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
0,34.0,0.074,15.4,1.81,5,"920,1610612742",104.6,0.196,0.453,534,6.5,242,3.0,0.453,82,62,32.3,-7.2,97.4,0.09,91.53,0.096,920,A.C. Green,0.142,DAL,1610612742,8.5,0.496,0.118,20,0.244
1,25.0,0.159,26.7,2.3,5,"243,1610612755",97.1,0.113,0.381,381,4.7,139,1.7,0.365,81,47,22.4,1.6,98.7,0.036,91.97,0.063,243,Aaron McKie,0.074,PHI,1610612755,11.6,0.41,0.121,34,0.42
2,26.0,0.029,4.3,0.28,5,"1425,1610612760",100.0,0.147,0.525,221,3.4,116,1.8,0.525,65,16,11.6,5.5,105.5,0.084,95.87,0.071,1425,Aaron Williams,0.118,SEA,1610612760,15.5,0.577,0.186,49,0.754
3,28.0,0.063,13.2,1.25,5,"228,1610612762",101.6,0.147,0.54,424,5.3,229,2.9,0.54,80,19,25.6,9.7,111.3,0.119,91.95,0.094,228,Adam Keefe,0.134,UTA,1610612762,10.6,0.605,0.131,61,0.763
4,23.0,0.037,5.4,0.28,5,"1502,1610612744",100.4,0.182,0.406,170,3.1,69,1.3,0.406,55,46,12.0,-11.8,88.6,0.112,94.54,0.048,1502,Adonal Foyle,0.146,GSW,1610612744,19.1,0.418,0.162,9,0.164
5,31.0,0.0,0.0,0.0,5,"154,1610612742",121.5,0.0,0.0,0,0.0,0,0.0,0.0,1,0,2.7,18.5,140.0,0.0,95.06,0.0,154,Adrian Caldwell,0.0,DAL,1610612742,0.0,0.0,0.0,1,1.0
6,25.0,0.068,6.6,0.66,5,"673,1610612737",101.8,0.134,0.487,753,10.9,365,5.3,0.485,69,27,29.1,3.4,105.1,0.116,91.65,0.106,673,Alan Henderson,0.125,ATL,1610612737,9.9,0.534,0.234,42,0.609
7,27.0,0.14,11.6,1.06,5,"275,1610612752",97.7,0.096,0.48,1276,15.6,571,7.0,0.447,82,39,34.7,2.8,100.5,0.018,91.26,0.105,275,Allan Houston,0.057,NYK,1610612752,10.9,0.53,0.266,43,0.524
8,23.0,0.294,20.8,2.02,5,"947,1610612755",104.3,0.076,0.486,1407,17.6,649,8.1,0.461,80,49,39.4,-2.8,101.5,0.031,93.24,0.135,947,Allen Iverson,0.054,PHI,1610612755,10.3,0.535,0.267,31,0.388
9,28.0,0.052,4.4,0.29,5,"297,1610612748",95.5,0.212,0.551,733,12.6,404,7.0,0.551,58,19,33.4,12.0,107.5,0.124,88.71,0.155,297,Alonzo Mourning,0.17,MIA,1610612748,15.3,0.596,0.273,39,0.672
10,39.0,0.04,9.1,0.5,5,"175,1610612757",85.4,0.22,0.375,8,1.1,3,0.4,0.375,7,2,6.2,-8.6,76.8,0.054,90.53,-0.006,175,Alton Lister,0.141,POR,1610612757,18.2,0.375,0.105,5,0.714
11,23.0,0.156,21.3,1.78,5,"1541,1610612761",101.0,0.056,0.459,282,5.2,125,2.3,0.443,54,30,19.8,1.1,102.1,0.027,95.53,0.069,1541,Alvin Williams,0.043,TOR,1610612761,12.0,0.504,0.158,24,0.444
12,25.0,0.061,10.6,0.7,5,"692,1610612738",101.4,0.179,0.497,340,4.2,169,2.1,0.497,81,45,18.8,-3.4,98.0,0.126,94.49,0.069,692,Andrew DeClercq,0.15,BOS,1610612738,15.1,0.53,0.143,36,0.444
