,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,25.0,3.0,0.0,0.0,5,"358,1610612753",0,3.0,5.0,3.0,0.6,10.0,7.0,0.7,2.0,2.0,1.0,1,0,23.2,3.0,2.0,0.0,358,Anfernee Hardaway,11.0,19.0,6.0,1.0,0,ORL,1610612753,0.0,0,0.0
1,29.0,0.0,0.0,0.0,5,"423,1610612751",0,2.0,0.0,0.0,0.0,8.0,1.0,0.125,0.0,0.0,0.0,1,0,11.8,1.0,1.0,0.0,423,Chris Gatling,-9.0,2.0,3.0,0.0,0,NJN,1610612751,0.0,0,0.0
2,24.0,2.0,0.0,0.0,5,"185,1610612764",0,3.0,0.0,0.0,0.0,4.0,1.0,0.25,0.0,0.0,0.0,1,0,13.9,1.0,3.0,0.0,185,Chris Webber,-6.0,2.0,4.0,0.0,0,WAS,1610612764,3.0,0,0.0
3,27.0,3.0,0.0,0.0,5,"363,1610612737",0,5.0,0.0,0.0,0.0,5.0,3.0,0.6,1.0,1.0,1.0,1,0,25.2,3.0,4.0,0.0,363,Christian Laettner,23.0,7.0,8.0,2.0,0,ATL,1610612737,2.0,0,0.0
4,34.0,2.0,0.0,0.0,5,"96,1610612760",0,3.0,3.0,1.0,0.333,8.0,5.0,0.625,1.0,0.0,0.0,1,0,19.6,2.0,3.0,0.0,96,Detlef Schrempf,-9.0,11.0,5.0,0.0,0,SEA,1610612760,2.0,0,0.0
5,31.0,0.0,1.0,1.0,5,"87,1610612737",0,3.0,0.0,0.0,0.0,4.0,1.0,0.25,2.0,1.0,0.5,1,0,15.7,3.0,0.0,0.0,87,Dikembe Mutombo,-9.0,3.0,6.0,0.0,0,ATL,1610612737,1.0,0,0.0
6,25.0,3.0,1.0,0.0,5,"224,1610612747",0,0.0,1.0,0.0,0.0,4.0,3.0,0.75,7.0,4.0,0.571,1,0,16.6,1.0,1.0,0.0,224,Eddie Jones,15.0,10.0,1.0,1.0,0,LAL,1610612747,3.0,0,0.0
7,28.0,9.0,0.0,0.0,5,"56,1610612760",0,4.0,5.0,1.0,0.2,15.0,7.0,0.467,2.0,2.0,1.0,1,0,28.6,0.0,2.0,0.0,56,Gary Payton,-23.0,17.0,4.0,1.0,0,SEA,1610612760,4.0,0,0.0
8,30.0,1.0,0.0,2.0,5,"779,1610612766",0,0.0,8.0,4.0,0.5,24.0,10.0,0.417,2.0,2.0,1.0,1,0,24.5,1.0,2.0,0.0,779,Glen Rice,9.0,26.0,1.0,0.0,0,CHH,1610612766,1.0,0,0.0
9,24.0,2.0,0.0,0.0,5,"255,1610612765",0,1.0,0.0,0.0,0.0,6.0,4.0,0.667,4.0,3.0,0.75,1,0,24.4,2.0,2.0,0.0,255,Grant Hill,11.0,11.0,3.0,1.0,0,DET,1610612765,3.0,0,0.0
