,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,26.0,0.24,0.0,0.0,5,"358,1610612753",0,0.0,0.08,0.0,0.0,0.41,0.24,0.6,0.0,0.0,0.0,1,0,12.3,0.0,0.0,0.0,358,Anfernee Hardaway,0.65,0.49,0.0,0.0,0,ORL,1610612753,0.08,1,1.0
1,21.0,0.19,0.0,0.06,5,"952,1610612738",0,0.13,0.19,0.0,0.0,0.52,0.13,0.25,0.0,0.0,0.0,1,0,15.4166666667,0.06,0.0,0.0,952,Antoine Walker,1.04,0.26,0.19,0.06,0,BOS,1610612738,0.06,1,1.0
2,32.0,0.0,0.09,0.0,5,"764,1610612759",0,0.18,0.0,0.0,0.0,0.18,0.13,0.75,0.45,0.4,0.9,1,1,22.395,0.09,0.04,0.0,764,David Robinson,-0.31,0.67,0.27,0.09,0,SAS,1610612759,0.09,0,0.0
3,32.0,0.0,0.05,0.0,5,"87,1610612737",0,0.32,0.0,0.0,0.0,0.27,0.22,0.8,0.11,0.05,0.5,1,0,18.5333333333,0.05,0.16,0.0,87,Dikembe Mutombo,0.7,0.49,0.38,0.0,0,ATL,1610612737,0.0,1,1.0
4,26.0,0.04,0.0,0.0,5,"224,1610612747",1,0.16,0.29,0.0,0.0,0.77,0.29,0.368,0.08,0.04,0.5,1,1,24.5333333333,0.29,0.04,0.0,224,Eddie Jones,-0.29,0.61,0.45,0.08,0,LAL,1610612747,0.0,0,0.0
5,29.0,0.54,0.0,0.0,5,"56,1610612760",0,0.04,0.12,0.04,0.333,0.29,0.12,0.429,0.0,0.0,0.0,1,1,24.2033333333,0.08,0.0,0.0,56,Gary Payton,-0.54,0.29,0.12,0.08,0,SEA,1610612760,0.17,0,0.0
6,31.0,0.0,0.0,0.06,5,"779,1610612766",0,0.0,0.37,0.25,0.667,0.87,0.37,0.429,0.0,0.0,0.0,1,0,16.15,0.06,0.0,0.0,779,Glen Rice,-0.31,0.99,0.06,0.0,0,CHH,1610612766,0.06,1,1.0
7,25.0,0.18,0.0,0.0,5,"255,1610612765",0,0.11,0.04,0.04,1.0,0.4,0.25,0.636,0.0,0.0,0.0,1,0,27.5166666667,0.0,0.04,0.0,255,Grant Hill,0.51,0.55,0.11,0.04,0,DET,1610612765,0.0,1,1.0
8,25.0,0.49,0.0,0.0,5,"467,1610612756",0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,18.5133333333,0.0,0.11,0.0,467,Jason Kidd,-0.11,0.0,0.05,0.0,0,PHX,1610612756,0.11,0,0.0
9,30.0,0.05,0.0,0.0,5,"420,1610612751",0,0.37,0.0,0.0,0.0,0.16,0.11,0.667,0.0,0.0,0.0,1,0,19.0333333333,0.16,0.11,0.0,420,Jayson Williams,0.47,0.21,0.53,0.0,0,NJN,1610612751,0.0,1,1.0
10,34.0,0.12,0.0,0.0,5,"252,1610612762",0,0.18,0.0,0.0,0.0,0.24,0.12,0.5,0.0,0.0,0.0,1,1,16.95,0.0,0.06,0.0,252,Karl Malone,-0.59,0.24,0.18,0.12,0,UTA,1610612762,0.0,0,0.0
11,22.0,0.09,0.05,0.0,5,"708,1610612750",0,0.14,0.05,0.0,0.0,0.51,0.28,0.545,0.0,0.0,0.0,1,1,21.4,0.05,0.0,0.0,708,Kevin Garnett,-0.61,0.56,0.19,0.09,0,MIN,1610612750,0.14,0,0.0
12,19.0,0.04,0.0,0.0,5,"977,1610612747",0,0.18,0.13,0.09,0.667,0.71,0.31,0.438,0.09,0.09,1.0,1,1,22.5,0.09,0.04,0.0,977,Kobe Bryant,-0.71,0.8,0.27,0.09,0,LAL,1610612747,0.04,0,0.0
13,35.0,0.25,0.0,0.0,5,"893,1610612741",0,0.16,0.03,0.03,1.0,0.57,0.32,0.556,0.1,0.06,0.667,1,0,31.45,0.03,0.0,0.0,893,Michael Jordan,0.76,0.73,0.19,0.1,0,CHI,1610612741,0.06,1,1.0
14,33.0,0.12,0.0,0.0,5,"782,1610612758",0,0.06,0.12,0.0,0.0,0.66,0.24,0.364,0.0,0.0,0.0,1,1,16.7166666667,0.0,0.0,0.0,782,Mitch Richmond,0.06,0.48,0.06,0.0,0,SAC,1610612758,0.0,0,0.0
15,26.0,0.1,0.0,0.0,5,"89,1610612747",0,0.1,0.3,0.05,0.167,0.7,0.25,0.357,0.1,0.1,1.0,1,1,20.0,0.05,0.0,0.0,89,Nick Van Exel,-0.55,0.65,0.15,0.0,0,LAL,1610612747,0.1,0,0.0
16,32.0,0.0,0.0,0.0,5,"397,1610612754",0,0.0,0.1,0.05,0.5,0.4,0.3,0.75,0.1,0.05,0.5,1,0,19.9666666667,0.0,0.1,0.0,397,Reggie Miller,0.4,0.7,0.0,0.05,0,IND,1610612754,0.0,1,1.0
17,31.0,0.19,0.09,0.0,5,"22,1610612754",0,0.24,0.0,0.0,0.0,0.33,0.14,0.429,0.19,0.19,1.0,1,0,21.2333333333,0.09,0.14,0.0,22,Rik Smits,0.42,0.47,0.33,0.0,0,IND,1610612754,0.0,1,1.0
18,26.0,0.06,0.0,0.06,5,"406,1610612747",0,0.11,0.0,0.0,0.0,0.56,0.28,0.5,0.22,0.11,0.5,1,1,17.8216666667,0.11,0.11,0.0,406,Shaquille O'Neal,-0.73,0.67,0.22,0.0,0,LAL,1610612747,0.11,0,0.0
19,28.0,0.08,0.0,0.04,5,"431,1610612739",1,0.36,0.04,0.0,0.0,0.4,0.2,0.5,0.08,0.08,1.0,1,0,25.1833333333,0.08,0.08,0.0,431,Shawn Kemp,0.36,0.48,0.44,0.16,0,CLE,1610612739,0.16,1,1.0
20,29.0,0.0,0.0,0.0,5,"120,1610612737",0,0.06,0.31,0.12,0.4,0.75,0.37,0.5,0.0,0.0,0.0,1,0,16.0166666667,0.12,0.0,0.0,120,Steven Smith,0.06,0.87,0.19,0.0,0,ATL,1610612737,0.0,1,1.0
21,22.0,0.07,0.0,0.0,5,"1495,1610612759",0,0.73,0.07,0.0,0.0,0.29,0.07,0.25,0.0,0.0,0.0,1,1,13.7166666667,0.07,0.0,0.0,1495,Tim Duncan,0.0,0.15,0.8,0.0,0,SAS,1610612759,0.15,0,0.0
22,31.0,0.35,0.0,0.0,5,"896,1610612748",0,0.06,0.29,0.12,0.4,0.47,0.17,0.375,0.0,0.0,0.0,1,0,17.2,0.0,0.0,0.0,896,Tim Hardaway,-0.06,0.47,0.06,0.0,0,MIA,1610612748,0.35,1,1.0
23,26.0,0.0,0.0,0.09,5,"452,1610612760",0,0.09,0.0,0.0,0.0,0.56,0.14,0.25,0.09,0.09,1.0,1,1,21.25,0.28,0.05,0.0,452,Vin Baker,-0.66,0.38,0.38,0.05,0,SEA,1610612760,0.0,0,0.0
