,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,25.0,0.044,0.0,0.0,5,"358,1610612753",0,0.044,0.073,0.044,0.6,0.146,0.102,0.7,0.029,0.029,1.0,1,0,0.339,0.044,0.029,0.0,358,Anfernee Hardaway,0.161,0.277,0.088,0.015,0,ORL,1610612753,0.0,0,0.0
1,29.0,0.0,0.0,0.0,5,"423,1610612751",0,0.062,0.0,0.0,0.0,0.247,0.031,0.125,0.0,0.0,0.0,1,0,0.365,0.031,0.031,0.0,423,Chris Gatling,-0.278,0.062,0.093,0.0,0,NJN,1610612751,0.0,0,0.0
2,24.0,0.046,0.0,0.0,5,"185,1610612764",0,0.068,0.0,0.0,0.0,0.091,0.023,0.25,0.0,0.0,0.0,1,0,0.317,0.023,0.068,0.0,185,Chris Webber,-0.137,0.046,0.091,0.0,0,WAS,1610612764,0.068,0,0.0
3,27.0,0.042,0.0,0.0,5,"363,1610612737",0,0.07,0.0,0.0,0.0,0.07,0.042,0.6,0.014,0.014,1.0,1,0,0.353,0.042,0.056,0.0,363,Christian Laettner,0.323,0.098,0.112,0.028,0,ATL,1610612737,0.028,0,0.0
4,34.0,0.039,0.0,0.0,5,"96,1610612760",0,0.058,0.058,0.019,0.333,0.154,0.096,0.625,0.019,0.0,0.0,1,0,0.378,0.039,0.058,0.0,96,Detlef Schrempf,-0.174,0.212,0.096,0.0,0,SEA,1610612760,0.039,0,0.0
5,31.0,0.0,0.024,0.024,5,"87,1610612737",0,0.072,0.0,0.0,0.0,0.096,0.024,0.25,0.048,0.024,0.5,1,0,0.379,0.072,0.0,0.0,87,Dikembe Mutombo,-0.217,0.072,0.145,0.0,0,ATL,1610612737,0.024,0,0.0
6,25.0,0.066,0.022,0.0,5,"224,1610612747",0,0.0,0.022,0.0,0.0,0.088,0.066,0.75,0.154,0.088,0.571,1,0,0.365,0.022,0.022,0.0,224,Eddie Jones,0.329,0.219,0.022,0.022,0,LAL,1610612747,0.066,0,0.0
7,28.0,0.119,0.0,0.0,5,"56,1610612760",0,0.053,0.066,0.013,0.2,0.198,0.092,0.467,0.026,0.026,1.0,1,0,0.378,0.0,0.026,0.0,56,Gary Payton,-0.304,0.225,0.053,0.013,0,SEA,1610612760,0.053,0,0.0
8,30.0,0.013,0.0,0.027,5,"779,1610612766",0,0.0,0.107,0.054,0.5,0.322,0.134,0.417,0.027,0.027,1.0,1,0,0.328,0.013,0.027,0.0,779,Glen Rice,0.121,0.349,0.013,0.0,0,CHH,1610612766,0.013,0,0.0
9,24.0,0.029,0.0,0.0,5,"255,1610612765",0,0.014,0.0,0.0,0.0,0.086,0.057,0.667,0.057,0.043,0.75,1,0,0.348,0.029,0.029,0.0,255,Grant Hill,0.157,0.157,0.043,0.014,0,DET,1610612765,0.043,0,0.0
10,34.0,0.017,0.0,0.0,5,"165,1610612745",0,0.017,0.0,0.0,0.0,0.139,0.087,0.625,0.035,0.017,0.5,1,0,0.395,0.0,0.035,0.0,165,Hakeem Olajuwon,-0.486,0.191,0.017,0.0,0,HOU,1610612745,0.035,0,0.0
11,34.0,0.034,0.0,0.0,5,"247,1610612765",0,0.034,0.137,0.034,0.25,0.137,0.034,0.25,0.0,0.0,0.0,1,0,0.342,0.0,0.034,0.0,247,Joe Dumars,-0.137,0.103,0.034,0.0,0,DET,1610612765,0.068,0,0.0
12,35.0,0.061,0.0,0.0,5,"304,1610612762",0,0.0,0.041,0.041,1.0,0.122,0.102,0.833,0.0,0.0,0.0,1,0,0.401,0.0,0.041,0.0,304,John Stockton,-0.122,0.244,0.0,0.02,0,UTA,1610612762,0.041,0,0.0
13,33.0,0.0,0.039,0.019,5,"252,1610612762",0,0.058,0.0,0.0,0.0,0.155,0.039,0.25,0.0,0.0,0.0,1,0,0.403,0.019,0.0,0.0,252,Karl Malone,-0.077,0.077,0.077,0.0,0,UTA,1610612762,0.0,0,0.0
14,21.0,0.0,0.042,0.0,5,"708,1610612750",0,0.167,0.0,0.0,0.0,0.146,0.021,0.143,0.083,0.083,1.0,1,0,0.372,0.021,0.042,0.0,708,Kevin Garnett,0.125,0.125,0.187,0.0,0,MIN,1610612750,0.0,0,0.0
