,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,26.0,0.104,0.0,0.0,5,"358,1610612753",0,0.0,0.035,0.0,0.0,0.174,0.104,0.6,0.0,0.0,0.0,1,0,0.428,0.0,0.0,0.0,358,Anfernee Hardaway,0.278,0.209,0.0,0.0,0,ORL,1610612753,0.035,1,1.0
1,21.0,0.079,0.0,0.026,5,"952,1610612738",0,0.053,0.079,0.0,0.0,0.212,0.053,0.25,0.0,0.0,0.0,1,0,0.408,0.026,0.0,0.0,952,Antoine Walker,0.424,0.106,0.079,0.026,0,BOS,1610612738,0.026,1,1.0
2,32.0,0.0,0.038,0.0,5,"764,1610612759",0,0.077,0.0,0.0,0.0,0.077,0.058,0.75,0.192,0.173,0.9,1,1,0.429,0.038,0.019,0.0,764,David Robinson,-0.134,0.288,0.115,0.038,0,SAS,1610612759,0.038,0,0.0
3,32.0,0.0,0.022,0.0,5,"87,1610612737",0,0.13,0.0,0.0,0.0,0.108,0.087,0.8,0.043,0.022,0.5,1,0,0.401,0.022,0.065,0.0,87,Dikembe Mutombo,0.281,0.195,0.152,0.0,0,ATL,1610612737,0.0,1,1.0
4,26.0,0.017,0.0,0.0,5,"224,1610612747",1,0.068,0.118,0.0,0.0,0.321,0.118,0.368,0.034,0.017,0.5,1,1,0.415,0.118,0.017,0.0,224,Eddie Jones,-0.118,0.254,0.186,0.034,0,LAL,1610612747,0.0,0,0.0
5,29.0,0.218,0.0,0.0,5,"56,1610612760",0,0.017,0.05,0.017,0.333,0.118,0.05,0.429,0.0,0.0,0.0,1,1,0.407,0.034,0.0,0.0,56,Gary Payton,-0.218,0.118,0.05,0.034,0,SEA,1610612760,0.067,0,0.0
6,31.0,0.0,0.0,0.026,5,"779,1610612766",0,0.0,0.155,0.103,0.667,0.361,0.155,0.429,0.0,0.0,0.0,1,0,0.417,0.026,0.0,0.0,779,Glen Rice,-0.129,0.413,0.026,0.0,0,CHH,1610612766,0.026,1,1.0
7,25.0,0.071,0.0,0.0,5,"255,1610612765",0,0.043,0.014,0.014,1.0,0.157,0.1,0.636,0.0,0.0,0.0,1,0,0.393,0.0,0.014,0.0,255,Grant Hill,0.2,0.214,0.043,0.014,0,DET,1610612765,0.0,1,1.0
8,25.0,0.19,0.0,0.0,5,"467,1610612756",0,0.021,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,1,1,0.392,0.0,0.042,0.0,467,Jason Kidd,-0.042,0.0,0.021,0.0,0,PHX,1610612756,0.042,0,0.0
9,30.0,0.023,0.0,0.0,5,"420,1610612751",0,0.159,0.0,0.0,0.0,0.068,0.045,0.667,0.0,0.0,0.0,1,0,0.432,0.068,0.045,0.0,420,Jayson Williams,0.204,0.091,0.227,0.0,0,NJN,1610612751,0.0,1,1.0
10,34.0,0.048,0.0,0.0,5,"252,1610612762",0,0.072,0.0,0.0,0.0,0.096,0.048,0.5,0.0,0.0,0.0,1,1,0.406,0.0,0.024,0.0,252,Karl Malone,-0.239,0.096,0.072,0.048,0,UTA,1610612762,0.0,0,0.0
11,22.0,0.038,0.019,0.0,5,"708,1610612750",0,0.057,0.019,0.0,0.0,0.208,0.114,0.545,0.0,0.0,0.0,1,1,0.406,0.019,0.0,0.0,708,Kevin Garnett,-0.246,0.227,0.076,0.038,0,MIN,1610612750,0.057,0,0.0
12,19.0,0.018,0.0,0.0,5,"977,1610612747",0,0.072,0.054,0.036,0.667,0.288,0.126,0.438,0.036,0.036,1.0,1,1,0.404,0.036,0.018,0.0,977,Kobe Bryant,-0.288,0.324,0.108,0.036,0,LAL,1610612747,0.018,0,0.0
13,35.0,0.104,0.0,0.0,5,"893,1610612741",0,0.065,0.013,0.013,1.0,0.234,0.13,0.556,0.039,0.026,0.667,1,0,0.408,0.013,0.0,0.0,893,Michael Jordan,0.311,0.298,0.078,0.039,0,CHI,1610612741,0.026,1,1.0
14,33.0,0.051,0.0,0.0,5,"782,1610612758",0,0.025,0.051,0.0,0.0,0.28,0.102,0.364,0.0,0.0,0.0,1,1,0.426,0.0,0.0,0.0,782,Mitch Richmond,0.025,0.204,0.025,0.0,0,SAC,1610612758,0.0,0,0.0
15,26.0,0.043,0.0,0.0,5,"89,1610612747",0,0.043,0.129,0.022,0.167,0.302,0.108,0.357,0.043,0.043,1.0,1,1,0.431,0.022,0.0,0.0,89,Nick Van Exel,-0.237,0.28,0.065,0.0,0,LAL,1610612747,0.043,0,0.0
16,32.0,0.0,0.0,0.0,5,"397,1610612754",0,0.0,0.044,0.022,0.5,0.175,0.131,0.75,0.044,0.022,0.5,1,0,0.437,0.0,0.044,0.0,397,Reggie Miller,0.175,0.307,0.0,0.022,0,IND,1610612754,0.0,1,1.0
17,31.0,0.084,0.042,0.0,5,"22,1610612754",0,0.105,0.0,0.0,0.0,0.147,0.063,0.429,0.084,0.084,1.0,1,0,0.446,0.042,0.063,0.0,22,Rik Smits,0.189,0.21,0.147,0.0,0,IND,1610612754,0.0,1,1.0
