,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,26.0,3,0,0,5,"358,1610612753",0,0,1,0,0.0,5,3,0.6,0,0,0.0,1,0,12.3,0,0,0,358,Anfernee Hardaway,8,6,0,0,0,ORL,1610612753,1,1,1.0
1,21.0,3,0,1,5,"952,1610612738",0,2,3,0,0.0,8,2,0.25,0,0,0.0,1,0,15.4166666667,1,0,0,952,Antoine Walker,16,4,3,1,0,BOS,1610612738,1,1,1.0
2,32.0,0,2,0,5,"764,1610612759",0,4,0,0,0.0,4,3,0.75,10,9,0.9,1,1,22.395,2,1,0,764,David Robinson,-7,15,6,2,0,SAS,1610612759,2,0,0.0
3,32.0,0,1,0,5,"87,1610612737",0,6,0,0,0.0,5,4,0.8,2,1,0.5,1,0,18.5333333333,1,3,0,87,Dikembe Mutombo,13,9,7,0,0,ATL,1610612737,0,1,1.0
4,26.0,1,0,0,5,"224,1610612747",1,4,7,0,0.0,19,7,0.368,2,1,0.5,1,1,24.5333333333,7,1,0,224,Eddie Jones,-7,15,11,2,0,LAL,1610612747,0,0,0.0
5,29.0,13,0,0,5,"56,1610612760",0,1,3,1,0.333,7,3,0.429,0,0,0.0,1,1,24.2033333333,2,0,0,56,Gary Payton,-13,7,3,2,0,SEA,1610612760,4,0,0.0
6,31.0,0,0,1,5,"779,1610612766",0,0,6,4,0.667,14,6,0.429,0,0,0.0,1,0,16.15,1,0,0,779,Glen Rice,-5,16,1,0,0,CHH,1610612766,1,1,1.0
7,25.0,5,0,0,5,"255,1610612765",0,3,1,1,1.0,11,7,0.636,0,0,0.0,1,0,27.5166666667,0,1,0,255,Grant Hill,14,15,3,1,0,DET,1610612765,0,1,1.0
8,25.0,9,0,0,5,"467,1610612756",0,1,0,0,0.0,1,0,0.0,0,0,0.0,1,1,18.5133333333,0,2,0,467,Jason Kidd,-2,0,1,0,0,PHX,1610612756,2,0,0.0
9,30.0,1,0,0,5,"420,1610612751",0,7,0,0,0.0,3,2,0.667,0,0,0.0,1,0,19.0333333333,3,2,0,420,Jayson Williams,9,4,10,0,0,NJN,1610612751,0,1,1.0
10,34.0,2,0,0,5,"252,1610612762",0,3,0,0,0.0,4,2,0.5,0,0,0.0,1,1,16.95,0,1,0,252,Karl Malone,-10,4,3,2,0,UTA,1610612762,0,0,0.0
11,22.0,2,1,0,5,"708,1610612750",0,3,1,0,0.0,11,6,0.545,0,0,0.0,1,1,21.4,1,0,0,708,Kevin Garnett,-13,12,4,2,0,MIN,1610612750,3,0,0.0
12,19.0,1,0,0,5,"977,1610612747",0,4,3,2,0.667,16,7,0.438,2,2,1.0,1,1,22.5,2,1,0,977,Kobe Bryant,-16,18,6,2,0,LAL,1610612747,1,0,0.0
13,35.0,8,0,0,5,"893,1610612741",0,5,1,1,1.0,18,10,0.556,3,2,0.667,1,0,31.45,1,0,0,893,Michael Jordan,24,23,6,3,0,CHI,1610612741,2,1,1.0
14,33.0,2,0,0,5,"782,1610612758",0,1,2,0,0.0,11,4,0.364,0,0,0.0,1,1,16.7166666667,0,0,0,782,Mitch Richmond,1,8,1,0,0,SAC,1610612758,0,0,0.0
15,26.0,2,0,0,5,"89,1610612747",0,2,6,1,0.167,14,5,0.357,2,2,1.0,1,1,20.0,1,0,0,89,Nick Van Exel,-11,13,3,0,0,LAL,1610612747,2,0,0.0
16,32.0,0,0,0,5,"397,1610612754",0,0,2,1,0.5,8,6,0.75,2,1,0.5,1,0,19.9666666667,0,2,0,397,Reggie Miller,8,14,0,1,0,IND,1610612754,0,1,1.0
17,31.0,4,2,0,5,"22,1610612754",0,5,0,0,0.0,7,3,0.429,4,4,1.0,1,0,21.2333333333,2,3,0,22,Rik Smits,9,10,7,0,0,IND,1610612754,0,1,1.0
18,26.0,1,0,1,5,"406,1610612747",0,2,0,0,0.0,10,5,0.5,4,2,0.5,1,1,17.8216666667,2,2,0,406,Shaquille O'Neal,-13,12,4,0,0,LAL,1610612747,2,0,0.0
19,28.0,2,0,1,5,"431,1610612739",1,9,1,0,0.0,10,5,0.5,2,2,1.0,1,0,25.1833333333,2,2,0,431,Shawn Kemp,9,12,11,4,0,CLE,1610612739,4,1,1.0
20,29.0,0,0,0,5,"120,1610612737",0,1,5,2,0.4,12,6,0.5,0,0,0.0,1,0,16.0166666667,2,0,0,120,Steven Smith,1,14,3,0,0,ATL,1610612737,0,1,1.0
21,22.0,1,0,0,5,"1495,1610612759",0,10,1,0,0.0,4,1,0.25,0,0,0.0,1,1,13.7166666667,1,0,0,1495,Tim Duncan,0,2,11,0,0,SAS,1610612759,2,0,0.0
22,31.0,6,0,0,5,"896,1610612748",0,1,5,2,0.4,8,3,0.375,0,0,0.0,1,0,17.2,0,0,0,896,Tim Hardaway,-1,8,1,0,0,MIA,1610612748,6,1,1.0
23,26.0,0,0,2,5,"452,1610612760",0,2,0,0,0.0,12,3,0.25,2,2,1.0,1,1,21.25,6,1,0,452,Vin Baker,-14,8,8,1,0,SEA,1610612760,0,0,0.0
