,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,26.0,1.8,0.0,0.0,5,"243,1610612755",0,1.8,0.2,0.0,0.0,3.8,1.2,0.304,1.2,1.0,0.857,6,4,16.3,0.7,2.8,0.0,243,Aaron McKie,-1.3,3.3,2.5,0.7,0,PHI,1610612755,0.2,2,0.333
1,29.0,0.3,0.3,0.0,5,"228,1610612762",0,1.7,0.0,0.0,0.0,3.0,1.8,0.6,0.5,0.5,1.0,10,5,10.1,0.7,1.7,0.0,228,Adam Keefe,-1.1,4.1,2.4,0.4,0,UTA,1610612762,0.8,5,0.5
2,26.0,0.0,0.0,0.0,5,"673,1610612737",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4.3,0.0,1.0,0.0,673,Alan Henderson,-6.0,0.0,0.0,0.0,0,ATL,1610612737,0.0,1,1.0
3,28.0,2.6,0.1,0.8,5,"275,1610612752",0,2.4,1.8,0.5,0.25,15.3,6.8,0.443,5.2,4.6,0.883,20,8,39.2,0.3,2.0,0.0,275,Allan Houston,1.7,18.5,2.7,0.4,0,NYK,1610612752,2.5,12,0.6
4,24.0,4.9,0.3,0.9,5,"947,1610612755",1,2.4,6.6,1.9,0.283,26.8,11.0,0.411,6.5,4.6,0.712,8,5,45.0,1.8,2.4,0.0,947,Allen Iverson,1.9,28.5,4.1,2.5,0,PHI,1610612755,3.0,3,0.375
5,29.0,0.8,2.8,0.8,5,"297,1610612748",1,6.8,0.0,0.0,0.0,14.6,7.6,0.521,9.8,6.4,0.653,5,3,38.9,1.4,3.8,0.0,297,Alonzo Mourning,-3.6,21.6,8.2,1.6,0,MIA,1610612748,2.4,2,0.4
6,23.0,1.0,0.0,0.0,5,"1754,1610612750",0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3.4,0.5,0.5,0.0,1754,Andrae Patterson,2.5,0.0,2.0,0.0,0,MIN,1610612750,0.5,0,0.0
7,27.0,5.5,0.3,1.0,5,"358,1610612753",0,2.8,3.3,1.5,0.462,14.3,5.0,0.351,9.8,7.5,0.769,4,3,41.7,2.3,3.3,0.0,358,Anfernee Hardaway,-6.5,19.0,5.0,2.3,0,ORL,1610612753,3.0,1,0.25
8,24.0,1.1,0.1,0.0,5,"1533,1610612737",0,0.7,0.2,0.1,0.5,3.2,0.9,0.276,1.1,0.8,0.7,9,6,12.5,0.3,1.0,0.0,1533,Anthony Johnson,-1.6,2.7,1.0,0.1,0,ATL,1610612737,0.6,3,0.333
9,29.0,1.5,0.0,1.0,5,"324,1610612750",0,2.3,3.3,1.3,0.385,8.8,2.8,0.314,0.0,0.0,0.0,4,3,31.1,1.8,3.0,0.0,324,Anthony Peeler,-5.0,6.8,4.0,1.0,0,MIN,1610612750,1.0,1,0.25
10,37.0,1.0,0.3,0.3,5,"156,1610612745",0,1.0,0.0,0.0,0.0,2.8,1.0,0.364,0.0,0.0,0.0,4,3,9.4,0.8,4.8,0.0,156,Antoine Carr,2.3,2.0,1.8,0.0,0,HOU,1610612745,1.0,1,0.25
11,24.0,1.1,0.0,0.1,5,"1498,1610612759",0,0.6,0.4,0.3,0.667,1.4,0.6,0.429,0.4,0.3,0.833,15,2,6.9,0.1,0.5,0.0,1498,Antonio Daniels,0.8,1.8,0.7,0.3,0,SAS,1610612759,0.7,13,0.867
12,30.0,0.6,1.1,0.4,5,"213,1610612754",0,5.3,0.0,0.0,0.0,5.8,2.4,0.413,4.8,3.2,0.661,13,4,25.1,1.8,3.0,0.0,213,Antonio Davis,-0.6,7.9,7.1,0.4,0,IND,1610612754,1.5,9,0.692
13,35.0,0.3,0.3,0.7,5,"288,1610612749",0,1.7,0.0,0.0,0.0,5.0,2.0,0.4,1.7,1.7,1.0,3,3,11.6,0.0,1.3,0.0,288,Armen Gilliam,-2.7,5.7,1.7,0.7,0,MIL,1610612749,0.3,0,0.0
