,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,24.0,0.054,0.011,0.022,5,"243,1610612765",0,0.048,0.027,0.005,0.2,0.108,0.038,0.35,0.0,0.0,0.0,5,3,0.545,0.005,0.065,0.027,243,Aaron McKie,0.059,0.081,0.054,0.032,0,DET,1610612765,0.016,2,0.4
1,27.0,0.016,0.008,0.0,5,"228,1610612762",0,0.103,0.0,0.0,0.0,0.048,0.016,0.333,0.048,0.032,0.667,8,4,0.475,0.024,0.04,0.032,228,Adam Keefe,0.0,0.063,0.127,0.016,0,UTA,1610612762,0.016,4,0.5
2,24.0,0.0,0.011,0.007,5,"673,1610612737",0,0.078,0.0,0.0,0.0,0.121,0.068,0.559,0.092,0.071,0.769,10,6,0.503,0.039,0.092,0.043,673,Alan Henderson,-0.06,0.206,0.117,0.004,0,ATL,1610612737,0.025,4,0.4
3,26.0,0.028,0.004,0.012,5,"275,1610612752",0,0.027,0.07,0.035,0.5,0.18,0.079,0.436,0.047,0.042,0.886,9,3,0.508,0.004,0.019,0.012,275,Allan Houston,0.028,0.235,0.031,0.008,0,NYK,1610612752,0.033,6,0.667
4,27.0,0.014,0.035,0.008,5,"297,1610612748",7,0.099,0.006,0.002,0.375,0.167,0.082,0.491,0.118,0.066,0.555,17,9,0.497,0.034,0.055,0.024,297,Alonzo Mourning,0.034,0.232,0.132,0.008,0,MIA,1610612748,0.053,8,0.471
5,23.0,0.066,0.0,0.0,5,"1043,1610612753",0,0.197,0.0,0.0,0.0,0.197,0.132,0.667,0.197,0.066,0.333,2,2,0.488,0.0,0.066,0.066,1043,Amal McCaskill,0.592,0.329,0.197,0.0,0,ORL,1610612753,0.0,0,0.0
6,25.0,0.038,0.016,0.016,5,"358,1610612753",1,0.052,0.067,0.025,0.367,0.25,0.117,0.468,0.121,0.09,0.741,5,3,0.515,0.016,0.031,0.013,358,Anfernee Hardaway,-0.061,0.349,0.067,0.027,0,ORL,1610612753,0.02,2,0.4
7,30.0,0.032,0.004,0.014,5,"193,1610612766",3,0.101,0.0,0.0,0.0,0.136,0.057,0.421,0.047,0.025,0.538,3,3,0.494,0.029,0.022,0.011,193,Anthony Mason,-0.075,0.14,0.129,0.004,0,CHH,1610612766,0.032,0,0.0
8,35.0,0.016,0.016,0.012,5,"156,1610612762",0,0.05,0.0,0.0,0.0,0.143,0.069,0.482,0.041,0.031,0.75,20,7,0.503,0.019,0.111,0.05,156,Antoine Carr,-0.043,0.169,0.069,0.01,0,UTA,1610612762,0.031,13,0.65
9,32.0,0.04,0.013,0.022,5,"717,1610612757",1,0.079,0.035,0.009,0.25,0.185,0.079,0.429,0.035,0.031,0.875,4,3,0.487,0.035,0.084,0.035,717,Arvydas Sabonis,-0.163,0.198,0.114,0.013,0,POR,1610612757,0.04,1,0.25
10,28.0,0.016,0.011,0.016,5,"183,1610612741",1,0.057,0.0,0.0,0.0,0.148,0.071,0.481,0.044,0.023,0.516,19,4,0.495,0.044,0.09,0.036,183,Bison Dele,0.081,0.166,0.101,0.027,0,CHI,1610612741,0.02,15,0.789
11,26.0,0.029,0.014,0.007,5,"448,1610612746",0,0.058,0.007,0.0,0.0,0.079,0.043,0.545,0.072,0.022,0.3,3,3,0.507,0.043,0.036,0.036,448,Bo Outlaw,-0.022,0.108,0.101,0.007,0,LAC,1610612746,0.022,0,0.0
12,25.0,0.055,0.0,0.006,5,"699,1610612746",0,0.033,0.061,0.028,0.455,0.15,0.061,0.407,0.05,0.044,0.889,3,3,0.484,0.006,0.055,0.028,699,Brent Barry,-0.022,0.194,0.039,0.022,0,LAC,1610612746,0.022,0,0.0
13,23.0,0.131,0.0,0.0,5,"967,1610612753",0,0.0,0.0,0.0,0.0,0.065,0.065,1.0,0.0,0.0,0.0,2,2,0.497,0.0,0.0,0.0,967,Brian Evans,0.326,0.131,0.0,0.065,0,ORL,1610612753,0.0,0,0.0
14,31.0,0.049,0.006,0.012,5,"216,1610612753",0,0.049,0.036,0.012,0.333,0.115,0.018,0.158,0.024,0.012,0.5,5,3,0.515,0.006,0.03,0.018,216,Brian Shaw,-0.291,0.061,0.055,0.006,0,ORL,1610612753,0.049,2,0.4
15,26.0,0.018,0.004,0.005,5,"935,1610612762",1,0.046,0.063,0.023,0.356,0.121,0.056,0.461,0.027,0.019,0.721,20,7,0.492,0.011,0.037,0.016,935,Bryon Russell,0.035,0.153,0.058,0.013,0,UTA,1610612762,0.013,13,0.65
16,37.0,0.015,0.01,0.013,5,"433,1610612752",0,0.068,0.0,0.0,0.0,0.089,0.043,0.486,0.043,0.023,0.529,10,4,0.508,0.033,0.086,0.036,433,Buck Williams,0.02,0.109,0.101,0.008,0,NYK,1610612752,0.01,6,0.6
17,36.0,0.04,0.0,0.004,5,"2,1610612747",0,0.043,0.04,0.014,0.364,0.12,0.054,0.455,0.069,0.062,0.895,8,4,0.503,0.0,0.054,0.029,2,Byron Scott,0.25,0.185,0.043,0.004,0,LAL,1610612747,0.029,4,0.5
18,25.0,0.015,0.008,0.008,5,"384,1610612764",0,0.019,0.008,0.0,0.0,0.154,0.069,0.45,0.046,0.035,0.75,3,3,0.485,0.023,0.038,0.019,384,Calbert Cheaney,-0.092,0.173,0.042,0.012,0,WAS,1610612764,0.019,0,0.0
19,27.0,0.012,0.012,0.024,5,"76,1610612756",0,0.069,0.048,0.012,0.25,0.133,0.044,0.333,0.032,0.032,1.0,5,3,0.445,0.036,0.048,0.016,76,Cedric Ceballos,-0.069,0.133,0.105,0.016,0,PHX,1610612756,0.032,2,0.4
20,34.0,0.041,0.005,0.014,5,"787,1610612745",10,0.097,0.029,0.008,0.289,0.149,0.065,0.434,0.101,0.078,0.769,16,7,0.471,0.048,0.039,0.02,787,Charles Barkley,0.019,0.216,0.145,0.014,0,HOU,1610612745,0.032,9,0.563
21,40.0,0.347,0.0,0.0,5,"279,1610612745",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.584,0.0,0.0,0.0,279,Charles Jones,0.0,0.0,0.0,0.0,0,HOU,1610612745,0.0,1,1.0
22,33.0,0.021,0.004,0.007,5,"891,1610612752",4,0.087,0.001,0.0,0.0,0.115,0.051,0.442,0.039,0.029,0.759,10,4,0.498,0.031,0.05,0.028,891,Charles Oakley,-0.001,0.131,0.118,0.029,0,NYK,1610612752,0.024,6,0.6
23,26.0,0.105,0.0,0.011,5,"369,1610612752",0,0.059,0.024,0.003,0.111,0.073,0.022,0.296,0.011,0.008,0.75,9,3,0.517,0.008,0.049,0.03,369,Charlie Ward,0.159,0.054,0.067,0.038,0,NYK,1610612752,0.04,6,0.667
24,24.0,0.0,0.0,0.0,5,"685,1610612750",0,0.222,0.0,0.0,0.0,0.133,0.089,0.667,0.0,0.0,0.0,1,1,0.543,0.0,0.222,0.178,685,Cherokee Parks,-0.133,0.178,0.222,0.044,0,MIN,1610612750,0.0,0,0.0
25,23.0,0.055,0.0,0.0,5,"713,1610612750",0,0.109,0.109,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,1,1,0.478,0.0,0.0,0.0,713,Chris Carr,-0.164,0.0,0.109,0.0,0,MIN,1610612750,0.055,0,0.0
26,29.0,0.086,0.0,0.01,5,"164,1610612752",0,0.058,0.038,0.013,0.346,0.127,0.055,0.437,0.033,0.028,0.826,10,4,0.494,0.013,0.057,0.029,164,Chris Childs,-0.054,0.151,0.071,0.029,0,NYK,1610612752,0.041,6,0.6
27,32.0,0.021,0.035,0.0,5,"201,1610612757",0,0.126,0.0,0.0,0.0,0.077,0.035,0.455,0.042,0.014,0.333,4,3,0.523,0.07,0.133,0.056,201,Chris Dudley,-0.035,0.084,0.196,0.014,0,POR,1610612757,0.0,1,0.25
28,31.0,0.014,0.008,0.014,5,"356,1610612762",0,0.073,0.068,0.022,0.32,0.135,0.054,0.4,0.041,0.024,0.6,20,7,0.495,0.014,0.049,0.022,356,Chris Morris,0.054,0.154,0.087,0.022,0,UTA,1610612762,0.016,13,0.65
29,24.0,0.044,0.031,0.0,5,"185,1610612764",1,0.075,0.049,0.022,0.455,0.132,0.084,0.633,0.035,0.018,0.5,3,3,0.494,0.031,0.079,0.053,185,Chris Webber,-0.004,0.207,0.106,0.009,0,WAS,1610612764,0.071,0,0.0
30,25.0,0.044,0.0,0.0,5,"43,1610612764",0,0.044,0.087,0.044,0.5,0.109,0.044,0.4,0.022,0.022,1.0,3,3,0.458,0.0,0.022,0.0,43,Chris Whitney,0.087,0.153,0.044,0.0,0,WAS,1610612764,0.109,0,0.0
31,27.0,0.031,0.01,0.016,5,"363,1610612737",2,0.064,0.025,0.005,0.19,0.185,0.075,0.405,0.068,0.058,0.857,10,6,0.501,0.023,0.039,0.019,363,Christian Laettner,0.004,0.213,0.087,0.012,0,ATL,1610612737,0.038,4,0.4
32,30.0,0.035,0.012,0.015,5,"361,1610612757",1,0.044,0.047,0.009,0.188,0.137,0.049,0.362,0.047,0.032,0.688,4,3,0.492,0.035,0.038,0.017,361,Clifford Robinson,-0.081,0.14,0.079,0.006,0,POR,1610612757,0.029,1,0.25
33,35.0,0.056,0.005,0.012,5,"17,1610612745",0,0.046,0.074,0.028,0.373,0.175,0.076,0.436,0.039,0.03,0.778,16,7,0.467,0.018,0.038,0.017,17,Clyde Drexler,0.046,0.21,0.065,0.019,0,HOU,1610612745,0.026,9,0.563
34,28.0,0.056,0.0,0.0,5,"916,1610612747",0,0.113,0.0,0.0,0.0,0.056,0.056,1.0,0.113,0.056,0.5,3,0,0.448,0.0,0.113,0.0,916,Corie Blount,-0.282,0.169,0.113,0.0,0,LAL,1610612747,0.0,3,1.0
35,31.0,0.041,0.004,0.008,5,"105,1610612748",0,0.053,0.071,0.024,0.338,0.111,0.044,0.393,0.027,0.018,0.679,17,9,0.491,0.015,0.03,0.013,105,Dan Majerle,0.0,0.13,0.069,0.02,0,MIA,1610612748,0.012,8,0.471
36,38.0,0.028,0.006,0.006,5,"7,1610612753",0,0.044,0.0,0.0,0.0,0.128,0.05,0.391,0.022,0.022,1.0,5,3,0.531,0.022,0.089,0.039,7,Dan Schayes,0.117,0.122,0.067,0.011,0,ORL,1610612753,0.022,2,0.4
37,31.0,0.027,0.027,0.015,5,"330,1610612756",1,0.1,0.012,0.0,0.0,0.173,0.1,0.578,0.058,0.054,0.933,5,3,0.461,0.015,0.081,0.05,330,Danny Manning,-0.062,0.254,0.115,0.015,0,PHX,1610612756,0.031,2,0.4
38,29.0,0.061,0.004,0.0,5,"353,1610612753",0,0.064,0.064,0.021,0.333,0.15,0.072,0.476,0.047,0.039,0.846,5,3,0.529,0.011,0.021,0.014,353,Darrell Armstrong,0.132,0.204,0.075,0.029,0,ORL,1610612753,0.025,2,0.4
39,26.0,0.084,0.0,0.013,5,"239,1610612746",0,0.006,0.058,0.032,0.556,0.162,0.071,0.44,0.058,0.039,0.667,3,3,0.531,0.006,0.058,0.039,239,Darrick Martin,-0.156,0.214,0.013,0.0,0,LAC,1610612746,0.013,0,0.0
40,25.0,0.015,0.015,0.0,5,"241,1610612737",0,0.045,0.015,0.0,0.0,0.076,0.03,0.4,0.045,0.0,0.0,6,3,0.516,0.03,0.076,0.045,241,Darrin Hancock,-0.06,0.06,0.076,0.015,0,ATL,1610612737,0.015,3,0.5
41,33.0,0.033,0.007,0.005,5,"766,1610612760",1,0.057,0.074,0.029,0.387,0.157,0.067,0.424,0.031,0.021,0.692,12,6,0.475,0.031,0.052,0.026,766,David Wingate,-0.05,0.183,0.088,0.012,0,SEA,1610612760,0.021,6,0.5
42,30.0,0.015,0.011,0.004,5,"1051,1610612750",1,0.061,0.0,0.0,0.0,0.11,0.057,0.517,0.038,0.03,0.8,3,3,0.462,0.072,0.042,0.027,1051,Dean Garrett,-0.072,0.145,0.133,0.008,0,MIN,1610612750,0.004,0,0.0
