,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,24.0,0.059,0.012,0.023,5,"243,1610612765",0,0.053,0.029,0.006,0.2,0.117,0.041,0.35,0.0,0.0,0.0,5,3,0.593,0.006,0.07,0.029,243,Aaron McKie,0.064,0.088,0.059,0.035,0,DET,1610612765,0.018,2,0.4
1,27.0,0.017,0.009,0.0,5,"228,1610612762",0,0.112,0.0,0.0,0.0,0.052,0.017,0.333,0.052,0.034,0.667,8,4,0.516,0.026,0.043,0.034,228,Adam Keefe,0.0,0.069,0.138,0.017,0,UTA,1610612762,0.017,4,0.5
2,24.0,0.0,0.012,0.008,5,"673,1610612737",0,0.092,0.0,0.0,0.0,0.142,0.079,0.559,0.108,0.083,0.769,10,6,0.589,0.046,0.108,0.05,673,Alan Henderson,-0.071,0.241,0.137,0.004,0,ATL,1610612737,0.029,4,0.4
3,26.0,0.031,0.004,0.013,5,"275,1610612752",0,0.03,0.077,0.039,0.5,0.198,0.086,0.436,0.052,0.046,0.886,9,3,0.558,0.004,0.021,0.013,275,Allan Houston,0.031,0.258,0.034,0.009,0,NYK,1610612752,0.036,6,0.667
4,27.0,0.016,0.04,0.01,5,"297,1610612748",7,0.112,0.007,0.003,0.375,0.189,0.093,0.491,0.134,0.074,0.555,17,9,0.563,0.038,0.062,0.027,297,Alonzo Mourning,0.038,0.262,0.15,0.01,0,MIA,1610612748,0.061,8,0.471
5,23.0,0.07,0.0,0.0,5,"1043,1610612753",0,0.211,0.0,0.0,0.0,0.211,0.141,0.667,0.211,0.07,0.333,2,2,0.522,0.0,0.07,0.07,1043,Amal McCaskill,0.634,0.352,0.211,0.0,0,ORL,1610612753,0.0,0,0.0
6,25.0,0.042,0.017,0.017,5,"358,1610612753",1,0.057,0.075,0.027,0.367,0.277,0.13,0.468,0.135,0.1,0.741,5,3,0.571,0.017,0.035,0.015,358,Anfernee Hardaway,-0.067,0.387,0.075,0.03,0,ORL,1610612753,0.022,2,0.4
7,30.0,0.036,0.004,0.016,5,"193,1610612766",3,0.113,0.0,0.0,0.0,0.154,0.065,0.421,0.053,0.028,0.538,3,3,0.556,0.032,0.024,0.012,193,Anthony Mason,-0.085,0.158,0.146,0.004,0,CHH,1610612766,0.036,0,0.0
8,35.0,0.017,0.017,0.013,5,"156,1610612762",0,0.055,0.0,0.0,0.0,0.158,0.076,0.482,0.046,0.034,0.75,20,7,0.555,0.021,0.122,0.055,156,Antoine Carr,-0.048,0.187,0.076,0.011,0,UTA,1610612762,0.034,13,0.65
9,32.0,0.045,0.015,0.025,5,"717,1610612757",1,0.09,0.04,0.01,0.25,0.211,0.09,0.429,0.04,0.035,0.875,4,3,0.555,0.04,0.095,0.04,717,Arvydas Sabonis,-0.186,0.226,0.13,0.015,0,POR,1610612757,0.045,1,0.25
10,28.0,0.018,0.013,0.018,5,"183,1610612741",1,0.066,0.0,0.0,0.0,0.171,0.082,0.481,0.051,0.026,0.516,19,4,0.571,0.051,0.104,0.041,183,Bison Dele,0.094,0.191,0.117,0.031,0,CHI,1610612741,0.023,15,0.789
11,26.0,0.032,0.016,0.008,5,"448,1610612746",0,0.065,0.008,0.0,0.0,0.089,0.049,0.545,0.081,0.024,0.3,3,3,0.568,0.049,0.04,0.04,448,Bo Outlaw,-0.024,0.121,0.113,0.008,0,LAC,1610612746,0.024,0,0.0
12,25.0,0.062,0.0,0.006,5,"699,1610612746",0,0.037,0.069,0.031,0.455,0.168,0.069,0.407,0.056,0.05,0.889,3,3,0.545,0.006,0.062,0.031,699,Brent Barry,-0.025,0.218,0.044,0.025,0,LAC,1610612746,0.025,0,0.0
13,23.0,0.14,0.0,0.0,5,"967,1610612753",0,0.0,0.0,0.0,0.0,0.07,0.07,1.0,0.0,0.0,0.0,2,2,0.531,0.0,0.0,0.0,967,Brian Evans,0.349,0.14,0.0,0.07,0,ORL,1610612753,0.0,0,0.0
14,31.0,0.053,0.007,0.013,5,"216,1610612753",0,0.053,0.04,0.013,0.333,0.127,0.02,0.158,0.027,0.013,0.5,5,3,0.567,0.007,0.033,0.02,216,Brian Shaw,-0.32,0.067,0.06,0.007,0,ORL,1610612753,0.053,2,0.4
15,26.0,0.02,0.004,0.006,5,"935,1610612762",1,0.052,0.071,0.025,0.356,0.136,0.063,0.461,0.03,0.022,0.721,20,7,0.555,0.013,0.042,0.018,935,Bryon Russell,0.04,0.173,0.065,0.015,0,UTA,1610612762,0.014,13,0.65
16,37.0,0.017,0.011,0.014,5,"433,1610612752",0,0.076,0.0,0.0,0.0,0.099,0.048,0.486,0.048,0.025,0.529,10,4,0.566,0.037,0.096,0.04,433,Buck Williams,0.023,0.121,0.113,0.008,0,NYK,1610612752,0.011,6,0.6
17,36.0,0.045,0.0,0.004,5,"2,1610612747",0,0.049,0.045,0.016,0.364,0.134,0.061,0.455,0.077,0.069,0.895,8,4,0.562,0.0,0.061,0.032,2,Byron Scott,0.279,0.206,0.049,0.004,0,LAL,1610612747,0.032,4,0.5
18,25.0,0.018,0.009,0.009,5,"384,1610612764",0,0.022,0.009,0.0,0.0,0.176,0.079,0.45,0.053,0.04,0.75,3,3,0.553,0.026,0.044,0.022,384,Calbert Cheaney,-0.105,0.198,0.048,0.013,0,WAS,1610612764,0.022,0,0.0
19,27.0,0.014,0.014,0.027,5,"76,1610612756",0,0.077,0.054,0.014,0.25,0.149,0.05,0.333,0.036,0.036,1.0,5,3,0.499,0.041,0.054,0.018,76,Cedric Ceballos,-0.077,0.149,0.118,0.018,0,PHX,1610612756,0.036,2,0.4
20,34.0,0.046,0.006,0.016,5,"787,1610612745",10,0.11,0.033,0.009,0.289,0.17,0.074,0.434,0.115,0.088,0.769,16,7,0.535,0.055,0.045,0.023,787,Charles Barkley,0.021,0.246,0.165,0.016,0,HOU,1610612745,0.037,9,0.563
21,40.0,0.347,0.0,0.0,5,"279,1610612745",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.584,0.0,0.0,0.0,279,Charles Jones,0.0,0.0,0.0,0.0,0,HOU,1610612745,0.0,1,1.0
22,33.0,0.024,0.004,0.007,5,"891,1610612752",4,0.097,0.001,0.0,0.0,0.128,0.057,0.442,0.043,0.033,0.759,10,4,0.555,0.034,0.055,0.031,891,Charles Oakley,-0.001,0.146,0.131,0.033,0,NYK,1610612752,0.027,6,0.6
23,26.0,0.117,0.0,0.012,5,"369,1610612752",0,0.066,0.027,0.003,0.111,0.081,0.024,0.296,0.012,0.009,0.75,9,3,0.572,0.009,0.054,0.033,369,Charlie Ward,0.176,0.06,0.075,0.042,0,NYK,1610612752,0.045,6,0.667
24,24.0,0.0,0.0,0.0,5,"685,1610612750",0,0.244,0.0,0.0,0.0,0.146,0.097,0.667,0.0,0.0,0.0,1,1,0.596,0.0,0.244,0.195,685,Cherokee Parks,-0.146,0.195,0.244,0.049,0,MIN,1610612750,0.0,0,0.0
25,23.0,0.061,0.0,0.0,5,"713,1610612750",0,0.123,0.123,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0,1,1,0.536,0.0,0.0,0.0,713,Chris Carr,-0.184,0.0,0.123,0.0,0,MIN,1610612750,0.061,0,0.0
26,29.0,0.096,0.0,0.011,5,"164,1610612752",0,0.065,0.042,0.015,0.346,0.141,0.062,0.437,0.037,0.031,0.826,10,4,0.551,0.015,0.063,0.032,164,Chris Childs,-0.06,0.169,0.079,0.032,0,NYK,1610612752,0.045,6,0.6
27,32.0,0.025,0.041,0.0,5,"201,1610612757",0,0.148,0.0,0.0,0.0,0.09,0.041,0.455,0.049,0.016,0.333,4,3,0.613,0.082,0.156,0.066,201,Chris Dudley,-0.041,0.099,0.23,0.016,0,POR,1610612757,0.0,1,0.25
28,31.0,0.015,0.009,0.015,5,"356,1610612762",0,0.082,0.076,0.024,0.32,0.152,0.061,0.4,0.046,0.027,0.6,20,7,0.557,0.015,0.055,0.024,356,Chris Morris,0.061,0.174,0.097,0.024,0,UTA,1610612762,0.018,13,0.65
29,24.0,0.05,0.035,0.0,5,"185,1610612764",1,0.085,0.055,0.025,0.455,0.15,0.095,0.633,0.04,0.02,0.5,3,3,0.561,0.035,0.09,0.06,185,Chris Webber,-0.005,0.235,0.12,0.01,0,WAS,1610612764,0.08,0,0.0
30,25.0,0.05,0.0,0.0,5,"43,1610612764",0,0.05,0.101,0.05,0.5,0.126,0.05,0.4,0.025,0.025,1.0,3,3,0.527,0.0,0.025,0.0,43,Chris Whitney,0.101,0.176,0.05,0.0,0,WAS,1610612764,0.126,0,0.0
31,27.0,0.035,0.011,0.018,5,"363,1610612737",2,0.072,0.029,0.005,0.19,0.208,0.084,0.405,0.076,0.065,0.857,10,6,0.564,0.026,0.044,0.022,363,Christian Laettner,0.004,0.24,0.098,0.014,0,ATL,1610612737,0.042,4,0.4
