,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,35.0,0.03,0.01,0.02,5,"920,1610612742",4,0.16,0.01,0.0,0.0,0.28,0.12,0.422,0.06,0.03,0.577,50,31,923.338333333,0.09,0.07,0.0,920,A.C. Green,-0.09,0.27,0.25,0.03,0,DAL,1610612742,0.02,19,0.38
1,26.0,0.1,0.0,0.01,5,"243,1610612755",0,0.12,0.03,0.01,0.194,0.25,0.1,0.401,0.06,0.05,0.71,50,22,958.865,0.03,0.09,0.0,243,Aaron McKie,-0.07,0.25,0.15,0.07,0,PHI,1610612755,0.06,28,0.56
2,27.0,0.05,0.05,0.02,5,"1425,1610612760",0,0.16,0.0,0.0,0.0,0.27,0.11,0.423,0.16,0.12,0.73,40,21,458.971666667,0.12,0.16,0.0,1425,Aaron Williams,-0.21,0.34,0.28,0.03,0,SEA,1610612760,0.07,19,0.475
3,29.0,0.04,0.02,0.03,5,"228,1610612762",0,0.14,0.01,0.0,0.0,0.19,0.09,0.452,0.14,0.1,0.697,44,12,642.508333333,0.08,0.1,0.0,228,Adam Keefe,0.08,0.27,0.22,0.02,0,UTA,1610612762,0.05,32,0.727
4,24.0,0.03,0.07,0.03,5,"1502,1610612744",1,0.19,0.0,0.0,0.0,0.2,0.09,0.43,0.08,0.04,0.49,44,28,611.523333333,0.13,0.15,0.0,1502,Adonal Foyle,-0.07,0.21,0.32,0.02,0,GSW,1610612744,0.05,16,0.364
5,28.0,0.16,0.0,0.0,5,"1817,1610612749",0,0.0,0.11,0.0,0.0,0.22,0.11,0.5,0.22,0.11,0.5,4,2,18.5833333333,0.0,0.0,0.0,1817,Adonis Jordan,-0.86,0.32,0.0,0.16,0,MIL,1610612749,0.11,2,0.5
6,19.0,0.03,0.01,0.06,5,"1733,1610612754",0,0.12,0.03,0.0,0.0,0.35,0.11,0.321,0.09,0.06,0.6,21,10,159.018333333,0.13,0.16,0.0,1733,Al Harrington,-0.16,0.28,0.25,0.03,0,IND,1610612754,0.07,11,0.524
7,26.0,0.02,0.02,0.04,5,"673,1610612737",4,0.13,0.0,0.0,0.0,0.37,0.16,0.442,0.13,0.09,0.671,38,16,1141.64833333,0.09,0.08,0.0,673,Alan Henderson,-0.06,0.42,0.22,0.03,0,ATL,1610612737,0.05,22,0.579
8,28.0,0.08,0.0,0.02,5,"275,1610612752",0,0.07,0.08,0.03,0.407,0.39,0.16,0.418,0.11,0.09,0.862,50,23,1814.39,0.01,0.06,0.0,275,Allan Houston,0.03,0.45,0.08,0.02,0,NYK,1610612752,0.07,27,0.54
9,24.0,0.11,0.0,0.03,5,"947,1610612755",4,0.09,0.1,0.03,0.291,0.53,0.22,0.412,0.24,0.18,0.751,48,20,1991.19,0.03,0.05,0.0,947,Allen Iverson,0.09,0.64,0.12,0.06,0,PHI,1610612755,0.08,28,0.583
10,29.0,0.04,0.1,0.02,5,"297,1610612748",29,0.19,0.0,0.0,0.0,0.36,0.18,0.512,0.24,0.16,0.652,46,14,1755.415,0.09,0.09,0.0,297,Alonzo Mourning,0.19,0.53,0.29,0.02,0,MIA,1610612748,0.08,32,0.696
11,24.0,0.2,0.0,0.08,5,"1591,1610612756",0,0.04,0.04,0.04,1.0,0.4,0.16,0.4,0.2,0.08,0.4,4,2,25.2266666667,0.12,0.08,0.0,1591,Alvin Sims,-0.48,0.44,0.16,0.08,0,PHX,1610612756,0.24,2,0.5
12,24.0,0.12,0.01,0.01,5,"1541,1610612761",0,0.06,0.04,0.01,0.333,0.23,0.09,0.401,0.05,0.04,0.846,50,27,1051.24,0.02,0.09,0.0,1541,Alvin Williams,-0.07,0.24,0.08,0.05,0,TOR,1610612761,0.05,23,0.46
13,23.0,0.05,0.02,0.03,5,"1754,1610612750",0,0.12,0.02,0.0,0.0,0.34,0.15,0.443,0.13,0.1,0.778,35,18,283.773333333,0.11,0.22,0.0,1754,Andrae Patterson,-0.08,0.4,0.23,0.07,0,MIN,1610612750,0.08,17,0.486
14,26.0,0.03,0.03,0.02,5,"692,1610612739",2,0.14,0.0,0.0,0.0,0.25,0.13,0.5,0.13,0.09,0.674,47,27,1101.78333333,0.09,0.15,0.0,692,Andrew DeClercq,-0.04,0.34,0.23,0.05,0,CLE,1610612739,0.05,20,0.426
15,33.0,0.11,0.02,0.0,5,"1845,1610612759",0,0.05,0.28,0.09,0.313,0.44,0.14,0.32,0.0,0.0,0.0,19,3,56.2266666667,0.04,0.12,0.0,1845,Andrew Gaze,0.57,0.37,0.09,0.04,0,SAS,1610612759,0.07,16,0.842
16,33.0,0.03,0.03,0.03,5,"457,1610612741",1,0.16,0.0,0.0,0.0,0.26,0.08,0.323,0.06,0.04,0.696,21,15,385.958333333,0.09,0.11,0.0,457,Andrew Lang,-0.14,0.21,0.24,0.01,0,CHI,1610612741,0.04,6,0.286
17,27.0,0.14,0.01,0.01,5,"358,1610612753",9,0.11,0.07,0.02,0.286,0.37,0.15,0.42,0.11,0.08,0.706,50,17,1946.38833333,0.04,0.06,0.0,358,Anfernee Hardaway,0.07,0.41,0.15,0.06,0,ORL,1610612753,0.08,33,0.66
18,23.0,0.03,0.02,0.03,5,"1712,1610612744",7,0.16,0.01,0.0,0.3,0.37,0.17,0.452,0.14,0.09,0.588,47,26,1058.385,0.12,0.1,0.0,1712,Antawn Jamison,-0.05,0.42,0.28,0.04,0,GSW,1610612744,0.06,21,0.447
19,29.0,0.02,0.0,0.07,5,"138,1610612762",0,0.09,0.0,0.0,0.0,0.29,0.09,0.308,0.04,0.02,0.5,5,1,44.7083333333,0.18,0.13,0.0,138,Anthony Avent,0.22,0.2,0.27,0.04,0,UTA,1610612762,0.16,4,0.8
20,24.0,0.12,0.01,0.01,5,"1533,1610612737",0,0.07,0.02,0.01,0.263,0.25,0.1,0.404,0.09,0.06,0.695,49,18,886.081666667,0.02,0.08,0.0,1533,Anthony Johnson,-0.05,0.28,0.08,0.04,0,ATL,1610612737,0.07,31,0.633
