,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,34.0,0.021,0.005,0.006,5,"920,1610612742",14,0.078,0.001,0.0,0.0,0.093,0.042,0.453,0.028,0.02,0.716,82,62,0.462,0.038,0.027,0.0,920,A.C. Green,-0.067,0.105,0.117,0.014,0,DAL,1610612742,0.012,20,0.244
1,25.0,0.044,0.003,0.009,5,"243,1610612755",0,0.043,0.016,0.003,0.19,0.096,0.035,0.365,0.014,0.011,0.764,81,47,0.455,0.015,0.041,0.0,243,Aaron McKie,0.007,0.083,0.058,0.025,0,PHI,1610612755,0.019,34,0.42
2,26.0,0.008,0.023,0.015,5,"1425,1610612760",0,0.06,0.001,0.0,0.0,0.133,0.07,0.525,0.051,0.04,0.776,65,16,0.456,0.029,0.071,0.001,1425,Aaron Williams,0.037,0.179,0.089,0.011,0,SEA,1610612760,0.03,49,0.754
3,28.0,0.02,0.005,0.012,5,"228,1610612762",5,0.058,0.0,0.0,0.0,0.095,0.051,0.54,0.045,0.036,0.81,80,19,0.46,0.04,0.039,0.0,228,Adam Keefe,0.095,0.139,0.098,0.012,0,UTA,1610612762,0.016,61,0.763
4,23.0,0.009,0.034,0.012,5,"1502,1610612744",0,0.073,0.001,0.0,0.0,0.112,0.045,0.406,0.041,0.018,0.435,55,46,0.431,0.048,0.062,0.001,1502,Adonal Foyle,-0.108,0.108,0.121,0.009,0,GSW,1610612744,0.033,9,0.164
5,31.0,0.0,0.0,0.0,5,"154,1610612742",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.543,0.0,0.0,0.0,154,Adrian Caldwell,0.0,0.0,0.0,0.0,0,DAL,1610612742,0.0,1,1.0
6,25.0,0.017,0.008,0.017,5,"673,1610612737",12,0.055,0.001,0.001,0.5,0.171,0.083,0.485,0.088,0.057,0.652,69,27,0.455,0.045,0.04,0.0,673,Alan Henderson,0.021,0.224,0.1,0.009,0,ATL,1610612737,0.025,42,0.609
7,27.0,0.035,0.004,0.01,5,"275,1610612752",1,0.038,0.035,0.013,0.385,0.209,0.094,0.447,0.055,0.047,0.851,82,39,0.467,0.007,0.034,0.0,275,Allan Houston,0.021,0.247,0.045,0.01,0,NYK,1610612752,0.033,43,0.524
8,23.0,0.07,0.004,0.015,5,"947,1610612755",12,0.03,0.033,0.01,0.298,0.199,0.092,0.461,0.076,0.055,0.729,80,49,0.446,0.012,0.028,0.0,947,Allen Iverson,-0.013,0.249,0.042,0.025,0,PHI,1610612755,0.035,31,0.388
9,28.0,0.013,0.032,0.014,5,"297,1610612748",24,0.089,0.0,0.0,0.0,0.179,0.099,0.551,0.114,0.075,0.665,58,19,0.474,0.047,0.051,0.002,297,Alonzo Mourning,0.105,0.273,0.136,0.01,0,MIA,1610612748,0.044,39,0.672
10,39.0,0.01,0.01,0.01,5,"175,1610612757",0,0.094,0.0,0.0,0.0,0.084,0.031,0.375,0.0,0.0,0.0,7,2,0.456,0.021,0.126,0.0,175,Alton Lister,-0.052,0.063,0.115,0.01,0,POR,1610612757,0.021,5,0.714
11,23.0,0.043,0.001,0.008,5,"1541,1610612761",0,0.024,0.012,0.004,0.321,0.118,0.052,0.443,0.038,0.027,0.722,54,30,0.445,0.01,0.033,0.0,1541,Alvin Williams,-0.001,0.135,0.034,0.016,0,TOR,1610612761,0.024,24,0.444
12,25.0,0.017,0.014,0.009,5,"692,1610612738",2,0.061,0.0,0.0,0.0,0.097,0.048,0.497,0.048,0.029,0.601,81,45,0.436,0.052,0.079,0.001,692,Andrew DeClercq,-0.028,0.126,0.112,0.024,0,BOS,1610612738,0.024,36,0.444
13,32.0,0.011,0.018,0.01,5,"457,1610612749",1,0.064,0.001,0.0,0.0,0.094,0.035,0.378,0.037,0.029,0.772,57,34,0.454,0.037,0.066,0.0,457,Andrew Lang,-0.099,0.1,0.1,0.012,0,MIL,1610612749,0.022,23,0.404
14,26.0,0.05,0.011,0.013,5,"358,1610612753",0,0.05,0.037,0.011,0.3,0.201,0.076,0.377,0.087,0.066,0.763,19,9,0.462,0.006,0.033,0.0,358,Anfernee Hardaway,-0.046,0.229,0.056,0.021,0,ORL,1610612753,0.034,10,0.526
