,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,,0.055,0.013,0.015,5,"471,",0,0.071,0.029,0.007,0.233,0.131,0.043,0.331,0.046,0.04,0.875,41,28,0.527,0.029,0.06,0.0,471,,-0.1,0.134,0.1,0.008,0,,,0.033,13,0.317
1,33.0,0.015,0.003,0.009,5,"920,1610612742",16,0.091,0.004,0.0,0.05,0.102,0.049,0.483,0.042,0.027,0.65,83,60,0.539,0.047,0.029,0.001,920,A.C. Green,-0.073,0.126,0.138,0.015,0,DAL,1610612742.0,0.016,23,0.277
2,24.0,0.053,0.007,0.012,5,"243,1610612765",1,0.06,0.034,0.014,0.398,0.12,0.049,0.411,0.036,0.03,0.836,83,35,0.557,0.013,0.042,0.0,243,Aaron McKie,0.043,0.143,0.073,0.025,0,DET,1610612765.0,0.03,48,0.578
3,25.0,0.014,0.028,0.007,5,"1425,1610612763",0,0.077,0.001,0.0,0.0,0.141,0.081,0.574,0.047,0.031,0.673,33,29,0.559,0.059,0.063,0.0,1425,Aaron Williams,-0.101,0.194,0.136,0.015,0,VAN,1610612763.0,0.031,4,0.121
4,27.0,0.021,0.029,0.008,5,"768,1610612749",0,0.063,0.005,0.0,0.0,0.184,0.069,0.374,0.086,0.056,0.643,47,33,0.536,0.036,0.063,0.0,768,Acie Earl,-0.062,0.193,0.099,0.015,0,MIL,1610612749.0,0.036,14,0.298
5,27.0,0.018,0.007,0.007,5,"228,1610612762",1,0.08,0.001,0.0,0.0,0.09,0.046,0.513,0.058,0.04,0.689,62,14,0.54,0.042,0.053,0.001,228,Adam Keefe,0.069,0.133,0.122,0.017,0,UTA,1610612762.0,0.025,48,0.774
6,30.0,0.01,0.007,0.009,5,"154,1610612755",0,0.094,0.002,0.0,0.0,0.079,0.034,0.435,0.043,0.018,0.42,45,33,0.507,0.05,0.067,0.0,154,Adrian Caldwell,-0.067,0.087,0.144,0.014,0,PHI,1610612755.0,0.024,12,0.267
7,24.0,0.024,0.006,0.016,5,"673,1610612737",2,0.071,0.0,0.0,0.0,0.166,0.079,0.475,0.077,0.046,0.6,30,10,0.531,0.048,0.071,0.0,673,Alan Henderson,-0.082,0.204,0.119,0.022,0,ATL,1610612737.0,0.03,20,0.667
8,29.0,0.042,0.0,0.0,5,"1059,1610612757",0,0.033,0.058,0.042,0.714,0.133,0.067,0.5,0.042,0.033,0.8,8,4,0.529,0.008,0.025,0.0,1059,Aleksandar Djordjevic,0.067,0.209,0.042,0.0,0,POR,1610612757.0,0.042,4,0.5
9,26.0,0.035,0.003,0.007,5,"275,1610612752",0,0.038,0.074,0.029,0.385,0.2,0.085,0.423,0.042,0.034,0.803,81,25,0.538,0.008,0.04,0.0,275,Allan Houston,0.021,0.232,0.046,0.008,0,NYK,1610612752.0,0.032,56,0.691
10,22.0,0.09,0.004,0.017,5,"947,1610612755",19,0.031,0.072,0.025,0.341,0.238,0.099,0.416,0.086,0.06,0.702,76,56,0.494,0.018,0.035,0.0,947,Allen Iverson,-0.069,0.283,0.049,0.025,0,PHI,1610612755.0,0.053,20,0.263
11,27.0,0.024,0.043,0.016,5,"297,1610612748",32,0.107,0.002,0.0,0.111,0.202,0.108,0.534,0.129,0.083,0.642,66,17,0.547,0.043,0.052,0.002,297,Alonzo Mourning,0.106,0.299,0.15,0.013,0,MIA,1610612748.0,0.052,49,0.742
