,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,,57,13,16,5,"471,",0,74,30,7,0.233,136,45,0.331,48,42,0.875,41,28,546.646666667,30,62,0,471,,-104,139,104,8,0,,,34,13,0.317
1,33.0,69,16,43,5,"920,1610612742",16,434,20,1,0.05,484,234,0.483,197,128,0.65,83,60,2558.34,222,140,4,920,A.C. Green,-347,597,656,70,0,DAL,1610612742.0,74,23,0.277
2,24.0,161,22,36,5,"243,1610612765",1,181,103,41,0.398,365,150,0.411,110,92,0.836,83,35,1690.38166667,40,126,0,243,Aaron McKie,132,433,221,77,0,DET,1610612765.0,90,48,0.578
3,25.0,15,29,7,5,"1425,1610612763",0,81,1,0,0.0,148,85,0.574,49,33,0.673,33,29,585.878333333,62,66,0,1425,Aaron Williams,-106,203,143,16,0,VAN,1610612763.0,32,4,0.121
4,27.0,20,28,8,5,"768,1610612749",0,61,5,0,0.0,179,67,0.374,84,54,0.643,47,33,521.083333333,35,61,0,768,Acie Earl,-60,188,96,15,0,MIL,1610612749.0,35,14,0.298
5,27.0,32,13,13,5,"228,1610612762",1,141,1,0,0.0,160,82,0.513,103,71,0.689,62,14,955.981666667,75,94,1,228,Adam Keefe,123,235,216,30,0,UTA,1610612762.0,45,48,0.774
6,30.0,12,8,10,5,"154,1610612755",0,109,2,0,0.0,92,40,0.435,50,21,0.42,45,33,588.62,58,78,0,154,Adrian Caldwell,-78,101,167,16,0,PHI,1610612755.0,28,12,0.267
7,24.0,23,6,16,5,"673,1610612737",2,69,0,0,0.0,162,77,0.475,75,45,0.6,30,10,517.425,47,69,0,673,Alan Henderson,-80,199,116,21,0,ATL,1610612737.0,29,20,0.667
8,29.0,5,0,0,5,"1059,1610612757",0,4,7,5,0.714,16,8,0.5,5,4,0.8,8,4,63.435,1,3,0,1059,Aleksandar Djordjevic,8,25,5,0,0,POR,1610612757.0,5,4,0.5
9,26.0,179,18,35,5,"275,1610612752",0,197,384,148,0.385,1032,437,0.423,218,175,0.803,81,25,2778.21833333,43,209,1,275,Allan Houston,107,1197,240,41,0,NYK,1610612752.0,167,56,0.691
10,22.0,567,24,106,5,"947,1610612755",19,197,455,155,0.341,1504,625,0.416,544,382,0.702,76,56,3122.05,115,221,0,947,Allen Iverson,-439,1787,312,157,0,PHI,1610612755.0,337,20,0.263
11,27.0,104,189,68,5,"297,1610612748",32,467,9,1,0.111,885,473,0.534,565,363,0.642,66,17,2395.445,189,229,8,297,Alonzo Mourning,465,1310,656,56,0,MIA,1610612748.0,226,49,0.742
12,38.0,13,14,7,5,"175,1610612738",0,102,0,0,0.0,77,32,0.416,31,23,0.742,53,45,534.65,66,81,1,175,Alton Lister,-117,87,168,8,0,BOS,1610612738.0,30,8,0.151
13,23.0,7,5,3,5,"1043,1610612753",0,18,2,0,0.0,32,10,0.313,12,8,0.667,17,8,111.858333333,4,7,0,1043,Amal McCaskill,-30,28,22,3,0,ORL,1610612753.0,11,9,0.529
14,24.0,32,27,29,5,"692,1610612744",3,176,0,0,0.0,273,142,0.52,151,91,0.603,71,45,1104.94,122,207,1,692,Andrew DeClercq,-105,375,298,33,0,GSW,1610612744.0,76,26,0.366
