,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,26.0,0.0,5,"358,1610612753",83.4,,0.0,0.0,1,0,12.3,0.0,8.0,2.0,10.0,0.0,0.0,0.0,358,Anfernee Hardaway,0.0,ORL,1610612753,1,1.0
1,21.0,0.0,5,"952,1610612738",93.4,,2.0,0.091,1,0,15.4,6.0,6.0,4.0,20.0,0.0,0.167,0.25,952,Antoine Walker,1.0,BOS,1610612738,1,1.0
2,32.0,2.0,5,"764,1610612759",116.2,,4.0,0.16,1,1,22.4,9.0,10.0,11.0,12.0,1.0,0.211,0.4,764,David Robinson,2.0,SAS,1610612759,0,0.0
3,32.0,1.0,5,"87,1610612737",90.1,,6.0,0.273,1,0,18.5,2.0,12.0,6.0,18.0,1.0,0.375,0.0,87,Dikembe Mutombo,0.0,ATL,1610612737,1,1.0
4,26.0,0.0,5,"224,1610612747",111.3,,4.0,0.133,1,1,24.5,13.0,13.0,10.0,22.0,0.0,0.19,0.4,224,Eddie Jones,2.0,LAL,1610612747,0,0.0
5,29.0,0.0,5,"56,1610612760",121.3,,1.0,0.045,1,1,24.2,9.0,15.0,15.0,36.0,0.0,0.059,0.286,56,Gary Payton,2.0,SEA,1610612760,0,0.0
6,31.0,0.0,5,"779,1610612766",121.8,,0.0,0.0,1,0,16.2,5.0,14.0,7.0,22.0,0.0,0.0,0.0,779,Glen Rice,0.0,CHH,1610612766,1,1.0
7,25.0,0.0,5,"255,1610612765",94.9,,3.0,0.081,1,0,27.5,10.0,18.0,8.0,34.0,0.0,0.13,0.111,255,Grant Hill,1.0,DET,1610612765,1,1.0
8,25.0,0.0,5,"467,1610612756",107.1,,1.0,0.053,1,1,18.5,4.0,13.0,10.0,20.0,0.0,0.063,0.0,467,Jason Kidd,0.0,PHX,1610612756,0,0.0
9,30.0,0.0,5,"420,1610612751",86.1,,7.0,0.241,1,0,19.0,5.0,10.0,5.0,16.0,0.0,0.389,0.0,420,Jayson Williams,0.0,NJN,1610612751,1,1.0
10,34.0,0.0,5,"252,1610612762",122.7,,3.0,0.214,1,1,17.0,6.0,12.0,10.0,34.0,0.0,0.3,0.333,252,Karl Malone,2.0,UTA,1610612762,0,0.0
11,22.0,1.0,5,"708,1610612750",120.2,,3.0,0.158,1,1,21.4,8.0,14.0,10.0,40.0,1.0,0.214,0.286,708,Kevin Garnett,2.0,MIN,1610612750,0,0.0
12,19.0,0.0,5,"977,1610612747",119.2,,4.0,0.2,1,1,22.5,6.0,15.0,15.0,36.0,0.0,0.25,0.286,977,Kobe Bryant,2.0,LAL,1610612747,0,0.0
13,35.0,0.0,5,"893,1610612741",86.5,,5.0,0.122,1,0,31.5,8.0,16.0,8.0,34.0,0.0,0.185,0.3,893,Michael Jordan,3.0,CHI,1610612741,1,1.0
14,33.0,0.0,5,"782,1610612758",114.2,,1.0,0.053,1,1,16.7,9.0,7.0,6.0,10.0,0.0,0.077,0.0,782,Mitch Richmond,0.0,SAC,1610612758,0,0.0
15,26.0,0.0,5,"89,1610612747",108.8,,2.0,0.077,1,1,20.0,10.0,15.0,9.0,22.0,0.0,0.111,0.0,89,Nick Van Exel,0.0,LAL,1610612747,0,0.0
16,32.0,0.0,5,"397,1610612754",101.3,,0.0,0.0,1,0,20.0,4.0,12.0,4.0,26.0,0.0,0.0,1.0,397,Reggie Miller,1.0,IND,1610612754,1,1.0
17,31.0,2.0,5,"22,1610612754",99.7,,5.0,0.185,1,0,21.2,3.0,12.0,7.0,22.0,1.0,0.294,0.0,22,Rik Smits,0.0,IND,1610612754,1,1.0
18,26.0,0.0,5,"406,1610612747",124.4,,2.0,0.143,1,1,17.8,6.0,12.0,10.0,34.0,0.0,0.2,0.0,406,Shaquille O'Neal,0.0,LAL,1610612747,0,0.0
19,28.0,0.0,5,"431,1610612739",100.6,,9.0,0.3,1,0,25.2,8.0,18.0,8.0,34.0,0.0,0.474,0.5,431,Shawn Kemp,4.0,CLE,1610612739,1,1.0
20,29.0,0.0,5,"120,1610612737",115.0,,1.0,0.043,1,0,16.0,9.0,10.0,7.0,24.0,0.0,0.083,0.0,120,Steven Smith,0.0,ATL,1610612737,1,1.0
21,22.0,0.0,5,"1495,1610612759",97.6,,10.0,0.588,1,1,13.7,4.0,13.0,9.0,18.0,0.0,0.714,0.0,1495,Tim Duncan,0.0,SAS,1610612759,0,0.0
22,31.0,0.0,5,"896,1610612748",107.5,,1.0,0.038,1,0,17.2,5.0,14.0,9.0,20.0,0.0,0.063,0.0,896,Tim Hardaway,0.0,MIA,1610612748,1,1.0
23,26.0,0.0,5,"452,1610612760",120.2,,2.0,0.08,1,1,21.3,11.0,11.0,10.0,16.0,0.0,0.118,0.25,452,Vin Baker,1.0,SEA,1610612760,0,0.0
