,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,25.0,0.0,5,"358,1610612753",94.5,,0.13,0.13,1,0,23.1833333333,0.17,0.6,0.52,2.03,0.0,0.15,0.5,358,Anfernee Hardaway,0.04,ORL,1610612753,0,0.0
1,29.0,0.0,5,"423,1610612751",138.1,,0.17,0.133,1,0,11.8166666667,0.93,1.02,0.17,2.62,0.0,0.222,0.0,423,Chris Gatling,0.0,NJN,1610612751,0,0.0
2,24.0,0.0,5,"185,1610612764",109.7,,0.22,0.273,1,0,13.9,0.22,0.86,0.58,2.01,0.0,0.333,0.0,185,Chris Webber,0.0,WAS,1610612764,0,0.0
3,27.0,0.0,5,"363,1610612737",90.6,,0.2,0.167,1,0,25.1833333333,0.24,0.4,0.4,1.75,0.0,0.208,0.4,363,Christian Laettner,0.08,ATL,1610612737,0,0.0
4,34.0,0.0,5,"96,1610612760",123.8,,0.15,0.115,1,0,19.5833333333,0.92,0.71,0.26,2.3,0.0,0.214,0.0,96,Detlef Schrempf,0.0,SEA,1610612760,0,0.0
5,31.0,0.06,5,"87,1610612737",101.9,,0.19,0.231,1,0,15.7333333333,0.13,0.38,0.64,2.35,1.0,0.273,0.0,87,Dikembe Mutombo,0.0,ATL,1610612737,0,0.0
6,25.0,0.06,5,"224,1610612747",80.3,,0.0,0.0,1,0,16.6333333333,0.36,0.36,0.12,1.98,0.25,0.0,0.5,224,Eddie Jones,0.06,LAL,1610612747,0,0.0
7,28.0,0.0,5,"56,1610612760",134.3,,0.14,0.125,1,0,28.6,0.94,0.63,0.56,2.73,0.0,0.25,0.5,56,Gary Payton,0.03,SEA,1610612760,0,0.0
8,30.0,0.0,5,"779,1610612766",110.8,,0.0,0.0,1,0,24.4616666667,0.37,0.65,0.33,2.21,0.0,0.0,0.0,779,Glen Rice,0.0,CHH,1610612766,0,0.0
9,24.0,0.0,5,"255,1610612765",96.6,,0.04,0.036,1,0,24.4333333333,0.08,0.41,0.41,1.96,0.0,0.042,0.333,255,Grant Hill,0.04,DET,1610612765,0,0.0
10,34.0,0.0,5,"165,1610612745",130.5,,0.04,0.042,1,0,22.7666666667,0.75,0.61,0.61,2.81,0.0,0.083,0.0,165,Hakeem Olajuwon,0.0,HOU,1610612745,0,0.0
11,34.0,0.0,5,"247,1610612765",103.2,,0.1,0.125,1,0,9.98333333333,0.2,0.6,0.8,2.2,0.0,0.167,0.0,247,Joe Dumars,0.0,DET,1610612765,0,0.0
12,35.0,0.0,5,"304,1610612762",108.7,,0.0,0.0,1,0,19.6833333333,0.51,0.2,0.36,2.29,0.0,0.0,0.5,304,John Stockton,0.05,UTA,1610612762,0,0.0
13,33.0,0.1,5,"252,1610612762",106.1,,0.14,0.143,1,0,20.8666666667,0.38,0.29,0.34,2.25,1.0,0.231,0.0,252,Karl Malone,0.0,UTA,1610612762,0,0.0
14,21.0,0.11,5,"708,1610612750",107.2,,0.45,0.276,1,0,17.85,1.23,0.34,0.17,2.07,0.667,0.533,0.0,708,Kevin Garnett,0.0,MIN,1610612750,0,0.0
15,26.0,0.0,5,"84,1610612744",114.6,,0.09,0.061,1,0,23.0333333333,1.09,0.43,0.43,2.39,0.0,0.118,0.0,84,Latrell Sprewell,0.0,GSW,1610612744,0,0.0
16,34.0,0.0,5,"893,1610612741",94.2,,0.3,0.258,1,0,26.405,0.15,0.38,0.53,1.93,0.0,0.32,0.25,893,Michael Jordan,0.04,CHI,1610612741,0,0.0
17,32.0,0.0,5,"782,1610612758",110.1,,0.09,0.077,1,0,21.7,0.69,0.74,0.46,2.53,0.0,0.143,0.0,782,Mitch Richmond,0.0,SAC,1610612758,0,0.0
18,31.0,0.0,5,"937,1610612741",96.0,,0.16,0.133,1,0,24.35,0.25,0.33,0.16,2.01,0.0,0.16,0.0,937,Scottie Pippen,0.0,CHI,1610612741,0,0.0
19,27.0,0.0,5,"431,1610612760",121.9,,0.14,0.13,1,0,21.2833333333,0.7,0.47,0.75,2.77,0.0,0.25,0.333,431,Shawn Kemp,0.05,SEA,1610612760,0,0.0
20,27.0,0.0,5,"210,1610612739",109.5,,0.23,0.286,1,0,17.25,0.29,0.58,0.46,2.32,0.0,0.333,0.5,210,Terrell Brandon,0.12,CLE,1610612739,0,0.0
21,30.0,0.0,5,"896,1610612748",120.1,,0.21,0.2,1,0,14.1666666667,0.49,0.85,0.56,2.33,0.0,0.3,0.333,896,Tim Hardaway,0.07,MIA,1610612748,0,0.0
22,27.0,0.0,5,"339,1610612750",82.1,,0.31,0.227,1,0,16.1833333333,0.68,0.25,0.19,1.92,0.0,0.385,0.0,339,Tom Gugliotta,0.0,MIN,1610612750,0,0.0
23,25.0,0.0,5,"452,1610612749",113.6,,0.24,0.25,1,0,20.95,0.24,0.76,0.48,2.48,0.0,0.294,0.2,452,Vin Baker,0.05,MIL,1610612749,0,0.0
