,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,26.0,0.0,5,"358,1610612753",83.4,,0.0,0.0,1,0,0.428,0.0,0.278,0.07,0.348,0.0,0.0,0.0,358,Anfernee Hardaway,0.0,ORL,1610612753,1,1.0
1,21.0,0.0,5,"952,1610612738",93.4,,0.053,0.091,1,0,0.408,0.159,0.159,0.106,0.53,0.0,0.167,0.25,952,Antoine Walker,0.026,BOS,1610612738,1,1.0
2,32.0,0.038,5,"764,1610612759",116.2,,0.077,0.16,1,1,0.429,0.173,0.192,0.211,0.23,1.0,0.211,0.4,764,David Robinson,0.038,SAS,1610612759,0,0.0
3,32.0,0.022,5,"87,1610612737",90.1,,0.13,0.273,1,0,0.401,0.043,0.26,0.13,0.39,1.0,0.375,0.0,87,Dikembe Mutombo,0.0,ATL,1610612737,1,1.0
4,26.0,0.0,5,"224,1610612747",111.3,,0.068,0.133,1,1,0.415,0.22,0.22,0.169,0.372,0.0,0.19,0.4,224,Eddie Jones,0.034,LAL,1610612747,0,0.0
5,29.0,0.0,5,"56,1610612760",121.3,,0.017,0.045,1,1,0.407,0.151,0.252,0.252,0.605,0.0,0.059,0.286,56,Gary Payton,0.034,SEA,1610612760,0,0.0
6,31.0,0.0,5,"779,1610612766",121.8,,0.0,0.0,1,0,0.417,0.129,0.361,0.181,0.568,0.0,0.0,0.0,779,Glen Rice,0.0,CHH,1610612766,1,1.0
7,25.0,0.0,5,"255,1610612765",94.9,,0.043,0.081,1,0,0.393,0.143,0.257,0.114,0.485,0.0,0.13,0.111,255,Grant Hill,0.014,DET,1610612765,1,1.0
8,25.0,0.0,5,"467,1610612756",107.1,,0.021,0.053,1,1,0.392,0.085,0.275,0.212,0.423,0.0,0.063,0.0,467,Jason Kidd,0.0,PHX,1610612756,0,0.0
9,30.0,0.0,5,"420,1610612751",86.1,,0.159,0.241,1,0,0.432,0.113,0.227,0.113,0.363,0.0,0.389,0.0,420,Jayson Williams,0.0,NJN,1610612751,1,1.0
10,34.0,0.0,5,"252,1610612762",122.7,,0.072,0.214,1,1,0.406,0.144,0.287,0.239,0.814,0.0,0.3,0.333,252,Karl Malone,0.048,UTA,1610612762,0,0.0
11,22.0,0.019,5,"708,1610612750",120.2,,0.057,0.158,1,1,0.406,0.152,0.265,0.19,0.758,1.0,0.214,0.286,708,Kevin Garnett,0.038,MIN,1610612750,0,0.0
12,19.0,0.0,5,"977,1610612747",119.2,,0.072,0.2,1,1,0.404,0.108,0.27,0.27,0.647,0.0,0.25,0.286,977,Kobe Bryant,0.036,LAL,1610612747,0,0.0
13,35.0,0.0,5,"893,1610612741",86.5,,0.065,0.122,1,0,0.408,0.104,0.208,0.104,0.441,0.0,0.185,0.3,893,Michael Jordan,0.039,CHI,1610612741,1,1.0
14,33.0,0.0,5,"782,1610612758",114.2,,0.025,0.053,1,1,0.426,0.229,0.178,0.153,0.255,0.0,0.077,0.0,782,Mitch Richmond,0.0,SAC,1610612758,0,0.0
15,26.0,0.0,5,"89,1610612747",108.8,,0.043,0.077,1,1,0.431,0.216,0.323,0.194,0.474,0.0,0.111,0.0,89,Nick Van Exel,0.0,LAL,1610612747,0,0.0
16,32.0,0.0,5,"397,1610612754",101.3,,0.0,0.0,1,0,0.437,0.088,0.263,0.088,0.57,0.0,0.0,1.0,397,Reggie Miller,0.022,IND,1610612754,1,1.0
17,31.0,0.042,5,"22,1610612754",99.7,,0.105,0.185,1,0,0.446,0.063,0.252,0.147,0.462,1.0,0.294,0.0,22,Rik Smits,0.0,IND,1610612754,1,1.0
18,26.0,0.0,5,"406,1610612747",124.4,,0.046,0.143,1,1,0.407,0.137,0.274,0.229,0.777,0.0,0.2,0.0,406,Shaquille O'Neal,0.0,LAL,1610612747,0,0.0
19,28.0,0.0,5,"431,1610612739",100.6,,0.141,0.3,1,0,0.396,0.126,0.283,0.126,0.534,0.0,0.474,0.5,431,Shawn Kemp,0.063,CLE,1610612739,1,1.0
20,29.0,0.0,5,"120,1610612737",115.0,,0.025,0.043,1,0,0.403,0.226,0.252,0.176,0.604,0.0,0.083,0.0,120,Steven Smith,0.0,ATL,1610612737,1,1.0
21,22.0,0.0,5,"1495,1610612759",97.6,,0.282,0.588,1,1,0.386,0.113,0.366,0.253,0.507,0.0,0.714,0.0,1495,Tim Duncan,0.0,SAS,1610612759,0,0.0
22,31.0,0.0,5,"896,1610612748",107.5,,0.023,0.038,1,0,0.389,0.113,0.317,0.204,0.452,0.0,0.063,0.0,896,Tim Hardaway,0.0,MIA,1610612748,1,1.0
23,26.0,0.0,5,"452,1610612760",120.2,,0.04,0.08,1,1,0.424,0.219,0.219,0.199,0.319,0.0,0.118,0.25,452,Vin Baker,0.02,SEA,1610612760,0,0.0
