,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,,0.0,5,"1479,",66.7,,0.0,0.0,1,1,1.1,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1479,,0.0,,,0,0.0
1,26.0,0.3,5,"1425,1610612760",87.0,0.007,0.0,0.0,3,1,2.0,0.3,1.3,1.3,1.3,1.0,0.0,0.0,1425,Aaron Williams,0.0,SEA,1610612760.0,2,0.667
2,28.0,0.1,5,"228,1610612762",95.5,0.018,1.4,0.153,15,7,10.3,3.0,1.4,3.0,7.2,0.222,0.226,0.167,228,Adam Keefe,0.3,UTA,1610612762.0,8,0.533
3,25.0,0.3,5,"673,1610612737",98.2,0.048,3.0,0.112,4,3,31.6,6.8,7.0,8.5,24.5,0.077,0.145,0.167,673,Alan Henderson,0.8,ATL,1610612737.0,1,0.25
4,27.0,0.1,5,"275,1610612752",101.3,0.045,3.2,0.1,10,6,40.4,7.9,7.0,15.3,24.8,0.077,0.129,0.068,275,Allan Houston,0.5,NYK,1610612752.0,4,0.4
5,28.0,2.5,5,"297,1610612748",100.9,0.039,6.0,0.2,4,2,34.3,10.3,7.0,11.5,24.5,0.769,0.282,0.136,297,Alonzo Mourning,0.8,MIA,1610612748.0,2,0.5
6,39.0,0.5,5,"175,1610612757",130.9,-0.015,0.5,0.111,2,2,5.6,3.0,4.0,5.5,7.0,1.0,0.2,0.0,175,Alton Lister,0.0,POR,1610612757.0,0,0.0
7,34.0,0.0,5,"194,1610612752",112.4,-0.001,0.0,0.0,7,4,3.0,0.6,0.7,0.9,1.4,0.0,0.0,1.0,194,Anthony Bowie,0.1,NYK,1610612752.0,3,0.429
8,31.0,0.0,5,"193,1610612766",104.0,0.03,6.0,0.177,9,5,40.8,11.7,9.0,12.4,29.6,0.0,0.256,0.163,193,Anthony Mason,0.9,CHH,1610612766.0,4,0.444
9,26.0,0.3,5,"292,1610612737",73.2,0.041,1.0,0.138,4,3,8.0,2.0,0.5,1.8,5.0,0.25,0.174,0.333,292,Anthony Miller,0.5,ATL,1610612737.0,1,0.25
10,28.0,0.6,5,"324,1610612750",107.6,0.012,4.4,0.134,5,3,42.5,14.6,13.0,13.8,40.8,0.176,0.196,0.313,324,Anthony Peeler,2.0,MIN,1610612750.0,2,0.4
11,36.0,0.6,5,"156,1610612762",96.1,0.026,1.3,0.098,20,7,14.6,3.0,2.0,3.5,9.2,0.429,0.13,0.032,156,Antoine Carr,0.1,UTA,1610612762.0,13,0.65
12,29.0,1.1,5,"213,1610612754",96.8,0.048,4.4,0.201,16,6,28.6,7.4,4.8,9.4,18.9,0.45,0.292,0.164,213,Antonio Davis,0.8,IND,1610612754.0,10,0.625
13,23.0,1.5,5,"686,1610612756",106.5,0.016,8.8,0.276,4,3,36.4,10.0,10.3,10.3,32.0,0.5,0.385,0.08,686,Antonio McDyess,0.5,PHX,1610612756.0,1,0.25
14,33.0,0.8,5,"717,1610612757",106.4,0.012,6.0,0.282,4,3,26.6,5.3,9.8,7.0,32.0,0.273,0.375,0.389,717,Arvydas Sabonis,1.8,POR,1610612757.0,1,0.25
15,33.0,0.0,5,"422,1610612759",95.2,0.071,1.1,0.032,9,5,38.1,8.8,6.6,12.7,24.9,0.0,0.043,0.22,422,Avery Johnson,1.0,SAS,1610612759.0,4,0.444
16,30.0,0.0,5,"769,1610612766",102.2,0.016,0.9,0.075,9,5,16.2,4.0,4.6,5.1,10.9,0.0,0.105,0.261,769,B.J. Armstrong,0.7,CHH,1610612766.0,4,0.444
17,26.0,0.0,5,"223,1610612750",107.7,0.001,0.0,0.0,2,1,3.5,0.0,1.5,2.0,1.0,0.0,0.0,0.0,223,Bill Curley,0.0,MIN,1610612750.0,1,0.5
18,35.0,0.1,5,"82,1610612741",98.4,0.012,0.7,0.104,16,4,7.5,2.5,1.3,2.0,6.1,0.167,0.164,0.222,82,Bill Wennington,0.4,CHI,1610612741.0,12,0.75
19,25.0,0.0,5,"682,1610612739",127.5,-0.022,1.0,0.167,3,2,10.2,0.3,3.3,5.0,7.3,0.0,0.2,0.333,682,Bob Sura,0.3,CLE,1610612739.0,1,0.333
20,28.0,0.2,5,"184,1610612766",106.6,0.013,2.1,0.082,9,5,30.0,9.3,6.7,9.3,23.3,0.143,0.119,0.303,184,Bobby Phills,1.1,CHH,1610612766.0,4,0.444
21,33.0,0.0,5,"38,1610612759",120.1,-0.004,0.5,0.182,4,1,2.2,0.5,0.5,2.8,3.0,0.0,0.222,1.0,38,Brad Lohaus,0.3,SAS,1610612759.0,3,0.75
22,29.0,0.0,5,"85,1610612745",104.2,0.011,1.6,0.121,5,3,14.8,4.4,4.6,5.4,16.0,0.0,0.167,0.308,85,Brent Price,0.8,HOU,1610612745.0,2,0.4
23,22.0,0.3,5,"1510,1610612739",98.0,0.05,4.0,0.174,4,3,33.1,7.3,3.8,12.0,21.0,0.091,0.225,0.385,1510,Brevin Knight,2.5,CLE,1610612739.0,1,0.25
24,24.0,0.0,5,"967,1610612751",102.0,0.001,0.3,0.2,3,3,0.8,1.7,0.0,0.0,0.7,0.0,0.333,0.0,967,Brian Evans,0.0,NJN,1610612751.0,0,0.0
25,26.0,0.8,5,"258,1610612757",105.3,0.019,6.3,0.253,4,3,33.6,8.3,11.5,13.3,35.0,0.231,0.347,0.174,258,Brian Grant,1.0,POR,1610612757.0,1,0.25
26,27.0,0.3,5,"935,1610612762",99.5,0.046,4.1,0.136,20,7,35.0,9.4,5.1,10.7,27.0,0.072,0.191,0.214,935,Bryon Russell,1.1,UTA,1610612762.0,13,0.65
