,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,,0.0,5,"1479,",66.7,,0.0,0.0,1,1,0.288,0.0,0.515,0.0,0.515,0.0,0.0,0.0,1479,,0.0,,,0,0.0
1,26.0,0.057,5,"1425,1610612760",87.0,0.001,0.0,0.0,3,1,0.34,0.057,0.23,0.23,0.23,1.0,0.0,0.0,1425,Aaron Williams,0.0,SEA,1610612760.0,2,0.667
2,28.0,0.006,5,"228,1610612762",95.5,0.001,0.068,0.153,15,7,0.501,0.145,0.068,0.145,0.349,0.222,0.226,0.167,228,Adam Keefe,0.013,UTA,1610612762.0,8,0.533
3,25.0,0.004,5,"673,1610612737",98.2,0.001,0.047,0.112,4,3,0.495,0.106,0.11,0.133,0.384,0.077,0.145,0.167,673,Alan Henderson,0.012,ATL,1610612737.0,1,0.25
4,27.0,0.001,5,"275,1610612752",101.3,0.001,0.038,0.1,10,6,0.479,0.094,0.083,0.181,0.294,0.077,0.129,0.068,275,Allan Houston,0.006,NYK,1610612752.0,4,0.4
5,28.0,0.037,5,"297,1610612748",100.9,0.001,0.088,0.2,4,2,0.505,0.151,0.103,0.169,0.361,0.769,0.282,0.136,297,Alonzo Mourning,0.011,MIA,1610612748.0,2,0.5
6,39.0,0.039,5,"175,1610612757",130.9,-0.001,0.039,0.111,2,2,0.431,0.233,0.311,0.427,0.543,1.0,0.2,0.0,175,Alton Lister,0.0,POR,1610612757.0,0,0.0
7,34.0,0.0,5,"194,1610612752",112.4,0.0,0.0,0.0,7,4,0.45,0.086,0.108,0.129,0.216,0.0,0.0,1.0,194,Anthony Bowie,0.022,NYK,1610612752.0,3,0.429
8,31.0,0.0,5,"193,1610612766",104.0,0.0,0.075,0.177,9,5,0.509,0.145,0.112,0.155,0.368,0.0,0.256,0.163,193,Anthony Mason,0.011,CHH,1610612766.0,4,0.444
9,26.0,0.015,5,"292,1610612737",73.2,0.002,0.06,0.138,4,3,0.482,0.121,0.03,0.106,0.302,0.25,0.174,0.333,292,Anthony Miller,0.03,ATL,1610612737.0,1,0.25
10,28.0,0.007,5,"324,1610612750",107.6,0.0,0.048,0.134,5,3,0.467,0.16,0.143,0.151,0.448,0.176,0.196,0.313,324,Anthony Peeler,0.022,MIN,1610612750.0,2,0.4
11,36.0,0.02,5,"156,1610612762",96.1,0.001,0.042,0.098,20,7,0.494,0.1,0.066,0.118,0.311,0.429,0.13,0.032,156,Antoine Carr,0.002,UTA,1610612762.0,13,0.65
12,29.0,0.02,5,"213,1610612754",96.8,0.001,0.078,0.201,16,6,0.504,0.13,0.085,0.166,0.332,0.45,0.292,0.164,213,Antonio Davis,0.013,IND,1610612754.0,10,0.625
13,23.0,0.019,5,"686,1610612756",106.5,0.0,0.111,0.276,4,3,0.463,0.127,0.131,0.131,0.408,0.5,0.385,0.08,686,Antonio McDyess,0.006,PHX,1610612756.0,1,0.25
14,33.0,0.013,5,"717,1610612757",106.4,0.0,0.101,0.282,4,3,0.448,0.088,0.164,0.118,0.538,0.273,0.375,0.389,717,Arvydas Sabonis,0.029,POR,1610612757.0,1,0.25
15,33.0,0.0,5,"422,1610612759",95.2,0.001,0.014,0.032,9,5,0.48,0.111,0.083,0.16,0.314,0.0,0.043,0.22,422,Avery Johnson,0.013,SAS,1610612759.0,4,0.444
16,30.0,0.0,5,"769,1610612766",102.2,0.0,0.027,0.075,9,5,0.501,0.124,0.141,0.158,0.336,0.0,0.105,0.261,769,B.J. Armstrong,0.021,CHH,1610612766.0,4,0.444
17,26.0,0.0,5,"223,1610612750",107.7,0.0,0.0,0.0,2,1,0.415,0.0,0.179,0.239,0.119,0.0,0.0,0.0,223,Bill Curley,0.0,MIN,1610612750.0,1,0.5
18,35.0,0.008,5,"82,1610612741",98.4,0.001,0.044,0.104,16,4,0.478,0.159,0.083,0.127,0.389,0.167,0.164,0.222,82,Bill Wennington,0.024,CHI,1610612741.0,12,0.75
19,25.0,0.0,5,"682,1610612739",127.5,-0.001,0.05,0.167,3,2,0.512,0.017,0.168,0.252,0.37,0.0,0.2,0.333,682,Bob Sura,0.017,CLE,1610612739.0,1,0.333
20,28.0,0.004,5,"184,1610612766",106.6,0.0,0.036,0.082,9,5,0.508,0.158,0.113,0.158,0.396,0.143,0.119,0.303,184,Bobby Phills,0.019,CHH,1610612766.0,4,0.444
21,33.0,0.0,5,"38,1610612759",120.1,-0.001,0.088,0.182,4,1,0.394,0.088,0.088,0.483,0.527,0.0,0.222,1.0,38,Brad Lohaus,0.044,SAS,1610612759.0,3,0.75
22,29.0,0.0,5,"85,1610612745",104.2,0.0,0.053,0.121,5,3,0.488,0.145,0.152,0.178,0.527,0.0,0.167,0.308,85,Brent Price,0.026,HOU,1610612745.0,2,0.4
23,22.0,0.004,5,"1510,1610612739",98.0,0.001,0.06,0.174,4,3,0.5,0.109,0.057,0.181,0.317,0.091,0.225,0.385,1510,Brevin Knight,0.038,CLE,1610612739.0,1,0.25
24,24.0,0.0,5,"967,1610612751",102.0,0.001,0.258,0.2,3,3,0.588,1.289,0.0,0.0,0.515,0.0,0.333,0.0,967,Brian Evans,0.0,NJN,1610612751.0,0,0.0
25,26.0,0.01,5,"258,1610612757",105.3,0.0,0.085,0.253,4,3,0.455,0.112,0.156,0.18,0.474,0.231,0.347,0.174,258,Brian Grant,0.014,POR,1610612757.0,1,0.25
26,27.0,0.004,5,"935,1610612762",99.5,0.001,0.057,0.136,20,7,0.491,0.132,0.072,0.15,0.379,0.072,0.191,0.214,935,Bryon Russell,0.015,UTA,1610612762.0,13,0.65
27,38.0,0.011,5,"433,1610612752",106.6,0.0,0.097,0.25,3,2,0.489,0.108,0.161,0.161,0.301,0.333,0.29,0.0,433,Buck Williams,0.0,NYK,1610612752.0,1,0.333
28,31.0,0.0,5,"61,1610612759",97.7,0.001,0.08,0.16,5,3,0.526,0.2,0.04,0.16,0.28,0.0,0.2,0.0,61,Carl Herrera,0.0,SAS,1610612759.0,2,0.4
29,28.0,0.0,5,"1063,1610612739",92.6,0.001,0.0,0.0,1,1,0.499,0.047,0.188,0.188,0.188,0.0,0.0,0.0,1063,Carl Thomas,0.0,CLE,1610612739.0,0,0.0
30,23.0,0.0,5,"1538,1610612739",106.5,0.0,0.041,0.125,4,3,0.495,0.107,0.101,0.237,0.367,0.0,0.171,0.222,1538,Cedric Henderson,0.019,CLE,1610612739.0,1,0.25
31,35.0,0.0,5,"787,1610612745",103.6,0.0,0.087,0.193,4,2,0.477,0.12,0.114,0.174,0.36,0.0,0.262,0.385,787,Charles Barkley,0.027,HOU,1610612745.0,2,0.5
32,41.0,0.0,5,"279,1610612745",95.6,0.001,0.094,0.286,4,3,0.477,0.094,0.188,0.0,0.47,0.0,0.4,0.0,279,Charles Jones,0.0,HOU,1610612745.0,1,0.25
33,34.0,0.003,5,"891,1610612752",103.9,0.0,0.092,0.238,10,6,0.489,0.097,0.094,0.186,0.305,0.143,0.311,0.183,891,Charles Oakley,0.016,NYK,1610612752.0,4,0.4
