,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,,0,5,"1479,",66.7,,0,0.0,1,1,1.11666666667,0,2,0,2,0.0,0.0,0.0,1479,,0,,,0,0.0
1,26.0,1,5,"1425,1610612760",87.0,0.02,0,0.0,3,1,5.91,1,4,4,4,1.0,0.0,0.0,1425,Aaron Williams,0,SEA,1610612760.0,2,0.667
2,28.0,2,5,"228,1610612762",95.5,0.27,21,0.153,15,7,155.133333333,45,21,45,108,0.222,0.226,0.167,228,Adam Keefe,4,UTA,1610612762.0,8,0.533
3,25.0,1,5,"673,1610612737",98.2,0.19,12,0.112,4,3,126.318333333,27,28,34,98,0.077,0.145,0.167,673,Alan Henderson,3,ATL,1610612737.0,1,0.25
4,27.0,1,5,"275,1610612752",101.3,0.45,32,0.1,10,6,403.876666667,79,70,153,248,0.077,0.129,0.068,275,Allan Houston,5,NYK,1610612752.0,4,0.4
5,28.0,10,5,"297,1610612748",100.9,0.16,24,0.2,4,2,137.181666667,41,28,46,98,0.769,0.282,0.136,297,Alonzo Mourning,3,MIA,1610612748.0,2,0.5
6,39.0,1,5,"175,1610612757",130.9,-0.03,1,0.111,2,2,11.1,6,8,11,14,1.0,0.2,0.0,175,Alton Lister,0,POR,1610612757.0,0,0.0
7,34.0,0,5,"194,1610612752",112.4,-0.01,0,0.0,7,4,20.8983333333,4,5,6,10,0.0,0.0,1.0,194,Anthony Bowie,1,NYK,1610612752.0,3,0.429
8,31.0,0,5,"193,1610612766",104.0,0.27,54,0.177,9,5,367.461666667,105,81,112,266,0.0,0.256,0.163,193,Anthony Mason,8,CHH,1610612766.0,4,0.444
9,26.0,1,5,"292,1610612737",73.2,0.16,4,0.138,4,3,31.92,8,2,7,20,0.25,0.174,0.333,292,Anthony Miller,2,ATL,1610612737.0,1,0.25
10,28.0,3,5,"324,1610612750",107.6,0.06,22,0.134,5,3,212.63,73,65,69,204,0.176,0.196,0.313,324,Anthony Peeler,10,MIN,1610612750.0,2,0.4
11,36.0,12,5,"156,1610612762",96.1,0.52,25,0.098,20,7,291.946666667,59,39,70,184,0.429,0.13,0.032,156,Antoine Carr,1,UTA,1610612762.0,13,0.65
12,29.0,18,5,"213,1610612754",96.8,0.76,71,0.201,16,6,457.751666667,118,77,151,302,0.45,0.292,0.164,213,Antonio Davis,12,IND,1610612754.0,10,0.625
13,23.0,6,5,"686,1610612756",106.5,0.06,35,0.276,4,3,145.483333333,40,41,41,128,0.5,0.385,0.08,686,Antonio McDyess,2,PHX,1610612756.0,1,0.25
14,33.0,3,5,"717,1610612757",106.4,0.05,24,0.282,4,3,106.578333333,21,39,28,128,0.273,0.375,0.389,717,Arvydas Sabonis,7,POR,1610612757.0,1,0.25
15,33.0,0,5,"422,1610612759",95.2,0.64,10,0.032,9,5,342.631666667,79,59,114,224,0.0,0.043,0.22,422,Avery Johnson,9,SAS,1610612759.0,4,0.444
16,30.0,0,5,"769,1610612766",102.2,0.14,8,0.075,9,5,145.961666667,36,41,46,98,0.0,0.105,0.261,769,B.J. Armstrong,6,CHH,1610612766.0,4,0.444
17,26.0,0,5,"223,1610612750",107.7,0.0,0,0.0,2,1,6.95,0,3,4,2,0.0,0.0,0.0,223,Bill Curley,0,MIN,1610612750.0,1,0.5
18,35.0,2,5,"82,1610612741",98.4,0.18,11,0.104,16,4,120.43,40,21,32,98,0.167,0.164,0.222,82,Bill Wennington,6,CHI,1610612741.0,12,0.75
19,25.0,0,5,"682,1610612739",127.5,-0.07,3,0.167,3,2,30.4783333333,1,10,15,22,0.0,0.2,0.333,682,Bob Sura,1,CLE,1610612739.0,1,0.333
20,28.0,2,5,"184,1610612766",106.6,0.12,19,0.082,9,5,269.66,84,60,84,210,0.143,0.119,0.303,184,Bobby Phills,10,CHH,1610612766.0,4,0.444
21,33.0,0,5,"38,1610612759",120.1,-0.02,2,0.182,4,1,8.96666666667,2,2,11,12,0.0,0.222,1.0,38,Brad Lohaus,1,SAS,1610612759.0,3,0.75
22,29.0,0,5,"85,1610612745",104.2,0.06,8,0.121,5,3,73.9983333333,22,23,27,80,0.0,0.167,0.308,85,Brent Price,4,HOU,1610612745.0,2,0.4
23,22.0,1,5,"1510,1610612739",98.0,0.2,16,0.174,4,3,132.466666667,29,15,48,84,0.091,0.225,0.385,1510,Brevin Knight,10,CLE,1610612739.0,1,0.25
24,24.0,0,5,"967,1610612751",102.0,0.0,1,0.2,3,3,2.28166666667,5,0,0,2,0.0,0.333,0.0,967,Brian Evans,0,NJN,1610612751.0,0,0.0
25,26.0,3,5,"258,1610612757",105.3,0.08,25,0.253,4,3,134.411666667,33,46,53,140,0.231,0.347,0.174,258,Brian Grant,4,POR,1610612757.0,1,0.25
26,27.0,5,5,"935,1610612762",99.5,0.93,81,0.136,20,7,699.533333333,188,102,213,540,0.072,0.191,0.214,935,Bryon Russell,21,UTA,1610612762.0,13,0.65
27,38.0,1,5,"433,1610612752",106.6,0.02,9,0.25,3,2,45.4333333333,10,15,15,28,0.333,0.29,0.0,433,Buck Williams,0,NYK,1610612752.0,1,0.333
28,31.0,0,5,"61,1610612759",97.7,0.04,4,0.16,5,3,26.3,10,2,8,14,0.0,0.2,0.0,61,Carl Herrera,0,SAS,1610612759.0,2,0.4
29,28.0,0,5,"1063,1610612739",92.6,0.02,0,0.0,1,1,10.6166666667,1,4,4,4,0.0,0.0,0.0,1063,Carl Thomas,0,CLE,1610612739.0,0,0.0
30,23.0,0,5,"1538,1610612739",106.5,0.07,13,0.125,4,3,156.75,34,32,75,116,0.0,0.171,0.222,1538,Cedric Henderson,6,CLE,1610612739.0,1,0.25
31,35.0,0,5,"787,1610612745",103.6,0.07,16,0.193,4,2,87.5666666667,22,21,32,66,0.0,0.262,0.385,787,Charles Barkley,5,HOU,1610612745.0,2,0.5
32,41.0,0,5,"279,1610612745",95.6,0.02,2,0.286,4,3,10.1483333333,2,4,0,10,0.0,0.4,0.0,279,Charles Jones,0,HOU,1610612745.0,1,0.25
33,34.0,2,5,"891,1610612752",103.9,0.26,64,0.238,10,6,339.515,67,65,129,212,0.143,0.311,0.183,891,Charles Oakley,11,NYK,1610612752.0,4,0.4
34,27.0,2,5,"369,1610612752",109.6,0.01,25,0.12,10,6,261.533333333,54,58,103,190,0.167,0.162,0.408,369,Charlie Ward,20,NYK,1610612752.0,4,0.4
