,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,34.0,0.01,5,"920,1610612742",104.6,0.001,0.17,0.196,82,62,2647.175,0.34,0.33,0.33,0.92,0.097,0.296,0.193,920,A.C. Green,0.03,DAL,1610612742,20,0.244
1,25.0,0.01,5,"243,1610612755",97.1,0.002,0.1,0.113,81,47,1814.485,0.27,0.23,0.34,0.7,0.062,0.16,0.279,243,Aaron McKie,0.06,PHI,1610612755,34,0.42
2,26.0,0.05,5,"1425,1610612760",100.0,0.001,0.13,0.147,65,16,756.911666667,0.29,0.33,0.38,0.87,0.481,0.215,0.117,1425,Aaron Williams,0.03,SEA,1610612760,49,0.754
3,28.0,0.01,5,"228,1610612762",101.6,0.001,0.13,0.147,80,19,2047.09166667,0.26,0.22,0.35,0.75,0.12,0.203,0.154,228,Adam Keefe,0.03,UTA,1610612762,61,0.763
4,23.0,0.08,5,"1502,1610612744",100.4,0.001,0.17,0.182,55,46,657.368333333,0.36,0.31,0.41,0.84,0.542,0.271,0.137,1502,Adonal Foyle,0.02,GSW,1610612744,9,0.164
5,31.0,0.0,5,"154,1610612742",121.5,-0.002,0.0,0.0,1,0,2.71666666667,0.0,1.1,0.74,0.74,0.0,0.0,0.0,154,Adrian Caldwell,0.0,DAL,1610612742,1,1.0
6,25.0,0.02,5,"673,1610612737",101.8,0.001,0.12,0.134,69,27,2006.34333333,0.31,0.31,0.35,0.84,0.153,0.196,0.123,673,Alan Henderson,0.02,ATL,1610612737,42,0.609
7,27.0,0.01,5,"275,1610612752",97.7,0.002,0.08,0.096,82,39,2849.35333333,0.25,0.19,0.31,0.68,0.114,0.13,0.142,275,Allan Houston,0.02,NYK,1610612752,43,0.524
8,23.0,0.01,5,"947,1610612755",104.3,0.001,0.07,0.076,80,49,3152.17333333,0.32,0.3,0.39,0.81,0.061,0.115,0.307,947,Allen Iverson,0.06,PHI,1610612755,31,0.388
9,28.0,0.07,5,"297,1610612748",95.5,0.002,0.19,0.212,58,19,1939.31666667,0.28,0.21,0.32,0.69,0.556,0.302,0.133,297,Alonzo Mourning,0.02,MIA,1610612748,39,0.672
10,39.0,0.02,5,"175,1610612757",85.4,0.003,0.21,0.22,7,2,43.4883333333,0.16,0.18,0.3,0.41,0.5,0.281,0.125,175,Alton Lister,0.02,POR,1610612757,5,0.714
11,23.0,0.0,5,"1541,1610612761",101.0,0.001,0.05,0.056,54,30,1067.47166667,0.32,0.31,0.4,0.84,0.019,0.084,0.225,1541,Alvin Williams,0.04,TOR,1610612761,24,0.444
12,25.0,0.03,5,"692,1610612738",101.4,0.001,0.14,0.179,81,45,1522.18666667,0.3,0.28,0.36,0.94,0.395,0.271,0.221,692,Andrew DeClercq,0.06,BOS,1610612738,36,0.444
13,32.0,0.04,5,"457,1610612749",103.5,0.001,0.14,0.175,57,34,692.525,0.27,0.36,0.43,0.79,0.519,0.245,0.18,457,Andrew Lang,0.03,MIL,1610612749,23,0.404
14,26.0,0.02,5,"358,1610612753",101.6,0.001,0.11,0.123,19,9,628.77,0.34,0.32,0.35,0.84,0.203,0.187,0.259,358,Anfernee Hardaway,0.04,ORL,1610612753,10,0.526
15,34.0,0.01,5,"194,1610612752",102.5,0.001,0.08,0.094,27,16,221.461666667,0.21,0.2,0.36,0.73,0.111,0.125,0.133,194,Anthony Bowie,0.03,NYK,1610612752,11,0.407
16,26.0,0.0,5,"924,1610612743",110.2,0.0,0.05,0.06,82,71,2209.32,0.33,0.25,0.39,0.83,0.032,0.093,0.23,924,Anthony Goldwire,0.04,DEN,1610612743,11,0.134
17,23.0,0.0,5,"1533,1610612758",105.3,0.001,0.05,0.061,77,52,2261.665,0.31,0.35,0.37,0.95,0.027,0.093,0.184,1533,Anthony Johnson,0.03,SAC,1610612758,25,0.325
18,31.0,0.01,5,"193,1610612766",102.2,0.001,0.21,0.247,81,31,3147.43,0.27,0.26,0.34,0.85,0.076,0.346,0.125,193,Anthony Mason,0.02,CHH,1610612766,50,0.617
19,26.0,0.01,5,"292,1610612737",110.3,0.0,0.18,0.205,37,12,228.433333333,0.3,0.34,0.44,1.09,0.188,0.294,0.333,292,Anthony Miller,0.07,ATL,1610612737,25,0.676
20,23.0,0.02,5,"1515,1610612755",101.8,0.001,0.09,0.106,37,19,195.001666667,0.27,0.36,0.44,0.78,0.167,0.15,0.262,1515,Anthony Parker,0.06,PHI,1610612755,18,0.486
21,28.0,0.01,5,"324,1610612750",106.1,0.001,0.07,0.082,38,19,1194.3,0.36,0.29,0.31,0.95,0.048,0.121,0.318,324,Anthony Peeler,0.05,MIN,1610612750,19,0.5
22,36.0,0.05,5,"156,1610612762",101.4,0.001,0.08,0.098,66,18,1082.96833333,0.3,0.18,0.35,0.63,0.417,0.143,0.061,156,Antoine Carr,0.01,UTA,1610612762,48,0.727
