,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,34.0,0.005,5,"920,1610612742",104.6,0.0,0.089,0.196,82,62,0.525,0.177,0.175,0.176,0.483,0.097,0.296,0.193,920,A.C. Green,0.015,DAL,1610612742,20,0.244
1,25.0,0.004,5,"243,1610612755",97.1,0.001,0.05,0.113,81,47,0.524,0.144,0.121,0.176,0.369,0.062,0.16,0.279,243,Aaron McKie,0.029,PHI,1610612755,34,0.42
2,26.0,0.025,5,"1425,1610612760",100.0,0.001,0.066,0.147,65,16,0.504,0.147,0.164,0.192,0.44,0.481,0.215,0.117,1425,Aaron Williams,0.013,SEA,1610612760,49,0.754
3,28.0,0.006,5,"228,1610612762",101.6,0.001,0.066,0.147,80,19,0.519,0.134,0.115,0.183,0.391,0.12,0.203,0.154,228,Adam Keefe,0.013,UTA,1610612762,61,0.763
4,23.0,0.04,5,"1502,1610612744",100.4,0.001,0.086,0.182,55,46,0.51,0.182,0.156,0.209,0.427,0.542,0.271,0.137,1502,Adonal Foyle,0.01,GSW,1610612744,9,0.164
5,31.0,0.0,5,"154,1610612742",121.5,-0.001,0.0,0.0,1,0,0.543,0.0,0.6,0.4,0.4,0.0,0.0,0.0,154,Adrian Caldwell,0.0,DAL,1610612742,1,1.0
6,25.0,0.009,5,"673,1610612737",101.8,0.001,0.063,0.134,69,27,0.526,0.162,0.161,0.182,0.441,0.153,0.196,0.123,673,Alan Henderson,0.01,ATL,1610612737,42,0.609
7,27.0,0.004,5,"275,1610612752",97.7,0.001,0.043,0.096,82,39,0.527,0.133,0.101,0.166,0.361,0.114,0.13,0.142,275,Allan Houston,0.012,NYK,1610612752,43,0.524
8,23.0,0.004,5,"947,1610612755",104.3,0.0,0.034,0.076,80,49,0.512,0.163,0.156,0.197,0.416,0.061,0.115,0.307,947,Allen Iverson,0.029,PHI,1610612755,31,0.388
9,28.0,0.036,5,"297,1610612748",95.5,0.001,0.102,0.212,58,19,0.541,0.152,0.116,0.171,0.376,0.556,0.302,0.133,297,Alonzo Mourning,0.011,MIA,1610612748,39,0.672
10,39.0,0.012,5,"175,1610612757",85.4,0.002,0.108,0.22,7,2,0.522,0.084,0.096,0.156,0.216,0.5,0.281,0.125,175,Alton Lister,0.012,POR,1610612757,5,0.714
11,23.0,0.001,5,"1541,1610612761",101.0,0.001,0.027,0.056,54,30,0.506,0.162,0.156,0.201,0.426,0.019,0.084,0.225,1541,Alvin Williams,0.018,TOR,1610612761,24,0.444
