,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,34.0,27,5,"920,1610612742",104.6,1.85,449,0.196,82,62,2647.175,890,882,885,2436,0.097,0.296,0.193,920,A.C. Green,78,DAL,1610612742,20,0.244
1,25.0,13,5,"243,1610612755",97.1,2.97,173,0.113,81,47,1814.485,497,418,610,1276,0.062,0.16,0.279,243,Aaron McKie,101,PHI,1610612755,34,0.42
2,26.0,38,5,"1425,1610612760",100.0,1.01,99,0.147,65,16,756.911666667,221,247,289,661,0.481,0.215,0.117,1425,Aaron Williams,19,SEA,1610612760,49,0.754
3,28.0,24,5,"228,1610612762",101.6,2.21,259,0.147,80,19,2047.09166667,529,455,721,1542,0.12,0.203,0.154,228,Adam Keefe,52,UTA,1610612762,61,0.763
4,23.0,52,5,"1502,1610612744",100.4,0.82,111,0.182,55,46,657.368333333,234,201,269,550,0.542,0.271,0.137,1502,Adonal Foyle,13,GSW,1610612744,9,0.164
5,31.0,0,5,"154,1610612742",121.5,0.0,0,0.0,1,0,2.71666666667,0,3,2,2,0.0,0.0,0.0,154,Adrian Caldwell,0,DAL,1610612742,1,1.0
6,25.0,36,5,"673,1610612737",101.8,2.17,242,0.134,69,27,2006.34333333,619,614,693,1680,0.153,0.196,0.123,673,Alan Henderson,40,ATL,1610612737,42,0.609
7,27.0,24,5,"275,1610612752",97.7,4.51,231,0.096,82,39,2849.35333333,717,545,897,1951,0.114,0.13,0.142,275,Allan Houston,63,NYK,1610612752,43,0.524
8,23.0,25,5,"947,1610612755",104.3,2.33,210,0.076,80,49,3152.17333333,1007,959,1214,2561,0.061,0.115,0.307,947,Allen Iverson,176,PHI,1610612755,31,0.388
9,28.0,130,5,"297,1610612748",95.5,3.52,365,0.212,58,19,1939.31666667,544,415,611,1346,0.556,0.302,0.133,297,Alonzo Mourning,40,MIA,1610612748,39,0.672
10,39.0,1,5,"175,1610612757",85.4,0.13,9,0.22,7,2,43.4883333333,7,8,13,18,0.5,0.281,0.125,175,Alton Lister,1,POR,1610612757,5,0.714
11,23.0,3,5,"1541,1610612761",101.0,1.25,57,0.056,54,30,1067.47166667,341,330,425,900,0.019,0.084,0.225,1541,Alvin Williams,38,TOR,1610612761,24,0.444
12,25.0,49,5,"692,1610612738",101.4,1.65,212,0.179,81,45,1522.18666667,450,419,550,1436,0.395,0.271,0.221,692,Andrew DeClercq,85,BOS,1610612738,36,0.444
13,32.0,27,5,"457,1610612749",103.5,0.58,97,0.175,57,34,692.525,186,249,296,548,0.519,0.245,0.18,457,Andrew Lang,18,MIL,1610612749,23,0.404
14,26.0,15,5,"358,1610612753",101.6,0.69,68,0.123,19,9,628.77,213,201,219,526,0.203,0.187,0.259,358,Anfernee Hardaway,28,ORL,1610612753,10,0.526
15,34.0,2,5,"194,1610612752",102.5,0.23,17,0.094,27,16,221.461666667,47,45,80,162,0.111,0.125,0.133,194,Anthony Bowie,6,NYK,1610612752,11,0.407
16,26.0,7,5,"924,1610612743",110.2,-0.01,107,0.06,82,71,2209.32,726,549,853,1842,0.032,0.093,0.23,924,Anthony Goldwire,86,DEN,1610612743,11,0.134
17,23.0,6,5,"1533,1610612758",105.3,1.4,120,0.061,77,52,2261.665,696,796,838,2140,0.027,0.093,0.184,1533,Anthony Johnson,64,SAC,1610612758,25,0.325
18,31.0,18,5,"193,1610612766",102.2,3.15,649,0.247,81,31,3147.43,857,831,1083,2679,0.076,0.346,0.125,193,Anthony Mason,68,CHH,1610612766,50,0.617
19,26.0,3,5,"292,1610612737",110.3,0.0,40,0.205,37,12,228.433333333,69,77,100,250,0.188,0.294,0.333,292,Anthony Miller,15,ATL,1610612737,25,0.676
20,23.0,3,5,"1515,1610612755",101.8,0.22,18,0.106,37,19,195.001666667,53,71,86,152,0.167,0.15,0.262,1515,Anthony Parker,11,PHI,1610612755,18,0.486
21,28.0,6,5,"324,1610612750",106.1,0.61,86,0.082,38,19,1194.3,432,344,369,1138,0.048,0.121,0.318,324,Anthony Peeler,61,MIN,1610612750,19,0.5
22,36.0,53,5,"156,1610612762",101.4,1.19,89,0.098,66,18,1082.96833333,325,198,376,686,0.417,0.143,0.061,156,Antoine Carr,11,UTA,1610612762,48,0.727
23,21.0,60,5,"952,1610612738",104.2,2.42,566,0.224,82,46,3271.32833333,990,1049,1195,3246,0.197,0.333,0.179,952,Antoine Walker,142,BOS,1610612738,36,0.439
24,23.0,10,5,"1498,1610612763",111.6,-0.37,121,0.069,74,57,1952.76833333,630,775,837,1816,0.061,0.103,0.208,1498,Antonio Daniels,55,VAN,1610612763,17,0.23
25,29.0,72,5,"213,1610612754",98.4,3.27,368,0.197,82,24,2200.80333333,647,478,678,1632,0.387,0.291,0.127,213,Antonio Davis,45,IND,1610612754,58,0.707
26,26.0,0,5,"226,1610612748",103.9,0.03,3,0.081,6,2,29.8333333333,10,20,26,34,0.0,0.107,0.286,226,Antonio Lang,2,MIA,1610612748,4,0.667
