,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,25.0,0.0,0.0,5,"358,1610612753",1,0,23.2,4.0,14.0,12.0,47.0,2.0,0.0,358,Anfernee Hardaway,3.0,2.0,5.0,17.0,ORL,1610612753,0,0.0
1,29.0,0.0,0.0,5,"423,1610612751",1,0,11.8,11.0,12.0,2.0,31.0,1.0,0.0,423,Chris Gatling,0.0,0.0,0.0,2.0,NJN,1610612751,0,0.0
2,24.0,0.0,0.0,5,"185,1610612764",1,0,13.9,3.0,12.0,8.0,28.0,3.0,0.0,185,Chris Webber,2.0,0.0,0.0,2.0,WAS,1610612764,0,0.0
3,27.0,0.0,0.0,5,"363,1610612737",1,0,25.2,6.0,10.0,10.0,44.0,4.0,0.0,363,Christian Laettner,4.0,0.0,0.0,6.0,ATL,1610612737,0,0.0
4,34.0,0.0,0.0,5,"96,1610612760",1,0,19.6,18.0,14.0,5.0,45.0,3.0,0.0,96,Detlef Schrempf,0.0,6.0,4.0,11.0,SEA,1610612760,0,0.0
5,31.0,1.0,1.0,5,"87,1610612737",1,0,15.7,2.0,6.0,10.0,37.0,0.0,0.0,87,Dikembe Mutombo,3.0,0.0,1.0,2.0,ATL,1610612737,0,0.0
6,25.0,1.0,0.0,5,"224,1610612747",1,0,16.6,6.0,6.0,2.0,33.0,1.0,0.0,224,Eddie Jones,2.0,0.0,0.0,6.0,LAL,1610612747,0,0.0
7,28.0,0.0,0.0,5,"56,1610612760",1,0,28.6,27.0,18.0,16.0,78.0,2.0,0.0,56,Gary Payton,0.0,4.0,2.0,15.0,SEA,1610612760,0,0.0
8,30.0,0.0,2.0,5,"779,1610612766",1,0,24.5,9.0,16.0,8.0,54.0,2.0,0.0,779,Glen Rice,2.0,6.0,2.0,24.0,CHH,1610612766,0,0.0
9,24.0,0.0,0.0,5,"255,1610612765",1,0,24.4,2.0,10.0,10.0,48.0,2.0,0.0,255,Grant Hill,3.0,6.0,2.0,8.0,DET,1610612765,0,0.0
10,34.0,0.0,0.0,5,"165,1610612745",1,0,22.8,17.0,14.0,14.0,64.0,2.0,0.0,165,Hakeem Olajuwon,0.0,0.0,4.0,10.0,HOU,1610612745,0,0.0
11,34.0,0.0,0.0,5,"247,1610612765",1,0,10.0,2.0,6.0,8.0,22.0,1.0,0.0,247,Joe Dumars,3.0,0.0,0.0,3.0,DET,1610612765,0,0.0
12,35.0,0.0,0.0,5,"304,1610612762",1,0,19.7,10.0,4.0,7.0,45.0,2.0,0.0,304,John Stockton,0.0,0.0,0.0,12.0,UTA,1610612762,0,0.0
13,33.0,2.0,1.0,5,"252,1610612762",1,0,20.9,8.0,6.0,7.0,47.0,0.0,0.0,252,Karl Malone,2.0,0.0,0.0,4.0,UTA,1610612762,0,0.0
14,21.0,2.0,0.0,5,"708,1610612750",1,0,17.9,22.0,6.0,3.0,37.0,2.0,0.0,708,Kevin Garnett,2.0,0.0,0.0,2.0,MIN,1610612750,0,0.0
15,26.0,0.0,0.0,5,"84,1610612744",1,0,23.0,25.0,10.0,10.0,55.0,1.0,0.0,84,Latrell Sprewell,2.0,10.0,6.0,15.0,GSW,1610612744,0,0.0
16,34.0,0.0,1.0,5,"893,1610612741",1,0,26.4,4.0,10.0,14.0,51.0,4.0,0.0,893,Michael Jordan,4.0,0.0,3.0,10.0,CHI,1610612741,0,0.0
17,32.0,0.0,0.0,5,"782,1610612758",1,0,21.7,15.0,16.0,10.0,55.0,2.0,0.0,782,Mitch Richmond,0.0,0.0,0.0,9.0,SAC,1610612758,0,0.0
18,31.0,0.0,0.0,5,"937,1610612741",1,0,24.4,6.0,8.0,4.0,49.0,0.0,0.0,937,Scottie Pippen,0.0,8.0,4.0,8.0,CHI,1610612741,0,0.0
19,27.0,0.0,0.0,5,"431,1610612760",1,0,21.3,15.0,10.0,16.0,59.0,0.0,0.0,431,Shawn Kemp,0.0,6.0,0.0,9.0,SEA,1610612760,0,0.0
20,27.0,0.0,1.0,5,"210,1610612739",1,0,17.3,5.0,10.0,8.0,40.0,2.0,0.0,210,Terrell Brandon,0.0,0.0,0.0,10.0,CLE,1610612739,0,0.0
21,30.0,0.0,0.0,5,"896,1610612748",1,0,14.2,7.0,12.0,8.0,33.0,0.0,0.0,896,Tim Hardaway,3.0,2.0,0.0,10.0,MIA,1610612748,0,0.0
22,27.0,0.0,0.0,5,"339,1610612750",1,0,16.2,11.0,4.0,3.0,31.0,3.0,0.0,339,Tom Gugliotta,3.0,0.0,4.0,4.0,MIN,1610612750,0,0.0
23,25.0,0.0,0.0,5,"452,1610612749",1,0,21.0,5.0,16.0,10.0,52.0,1.0,0.0,452,Vin Baker,10.0,0.0,2.0,16.0,MIL,1610612749,0,0.0
