,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,26.0,0.0,0.0,5,"358,1610612753",1,0,0.387,0.0,0.252,0.063,0.315,0.0,0.0,358,Anfernee Hardaway,0.0,0.063,0.126,0.063,ORL,1610612753,1,1.0
1,21.0,0.0,0.025,5,"952,1610612738",1,0,0.378,0.147,0.147,0.098,0.491,0.0,0.0,952,Antoine Walker,0.049,0.049,0.049,0.098,BOS,1610612738,1,1.0
2,32.0,0.031,0.0,5,"764,1610612759",1,1,0.344,0.138,0.153,0.169,0.184,0.015,0.0,764,David Robinson,0.015,0.061,0.0,0.092,SAS,1610612759,0,0.0
3,32.0,0.02,0.0,5,"87,1610612737",1,0,0.369,0.04,0.239,0.12,0.359,0.06,0.0,87,Dikembe Mutombo,0.04,0.04,0.0,0.159,ATL,1610612737,1,1.0
4,26.0,0.0,0.0,5,"224,1610612747",1,1,0.322,0.171,0.171,0.131,0.289,0.013,0.0,224,Eddie Jones,0.053,0.105,0.053,0.158,LAL,1610612747,0,0.0
5,29.0,0.0,0.0,5,"56,1610612760",1,1,0.348,0.129,0.216,0.216,0.518,0.0,0.0,56,Gary Payton,0.029,0.029,0.072,0.058,SEA,1610612760,0,0.0
6,31.0,0.0,0.022,5,"779,1610612766",1,0,0.361,0.112,0.313,0.156,0.492,0.0,0.0,779,Glen Rice,0.045,0.112,0.112,0.045,CHH,1610612766,1,1.0
7,25.0,0.0,0.0,5,"255,1610612765",1,0,0.366,0.133,0.24,0.107,0.453,0.013,0.0,255,Grant Hill,0.0,0.08,0.0,0.107,DET,1610612765,1,1.0
8,25.0,0.0,0.0,5,"467,1610612756",1,1,0.312,0.067,0.219,0.169,0.337,0.034,0.0,467,Jason Kidd,0.0,0.0,0.0,0.0,PHX,1610612756,0,0.0
9,30.0,0.0,0.0,5,"420,1610612751",1,0,0.365,0.096,0.192,0.096,0.307,0.038,0.0,420,Jayson Williams,0.038,0.038,0.0,0.077,NJN,1610612751,1,1.0
10,34.0,0.0,0.0,5,"252,1610612762",1,1,0.379,0.134,0.268,0.223,0.76,0.022,0.0,252,Karl Malone,0.0,0.0,0.0,0.0,UTA,1610612762,0,0.0
11,22.0,0.017,0.0,5,"708,1610612750",1,1,0.358,0.134,0.234,0.167,0.669,0.0,0.0,708,Kevin Garnett,0.0,0.067,0.033,0.1,MIN,1610612750,0,0.0
12,19.0,0.0,0.0,5,"977,1610612747",1,1,0.343,0.091,0.229,0.229,0.548,0.015,0.0,977,Kobe Bryant,0.061,0.091,0.03,0.122,LAL,1610612747,0,0.0
13,35.0,0.0,0.0,5,"893,1610612741",1,0,0.379,0.096,0.193,0.096,0.409,0.0,0.0,893,Michael Jordan,0.024,0.024,0.048,0.096,CHI,1610612741,1,1.0
14,33.0,0.0,0.0,5,"782,1610612758",1,1,0.361,0.194,0.151,0.13,0.216,0.0,0.0,782,Mitch Richmond,0.0,0.0,0.0,0.0,SAC,1610612758,0,0.0
15,26.0,0.0,0.0,5,"89,1610612747",1,1,0.337,0.168,0.253,0.152,0.37,0.0,0.0,89,Nick Van Exel,0.034,0.067,0.034,0.135,LAL,1610612747,0,0.0
16,32.0,0.0,0.0,5,"397,1610612754",1,0,0.379,0.076,0.228,0.076,0.494,0.038,0.0,397,Reggie Miller,0.0,0.038,0.019,0.076,IND,1610612754,1,1.0
17,31.0,0.036,0.0,5,"22,1610612754",1,0,0.382,0.054,0.216,0.126,0.395,0.054,0.0,22,Rik Smits,0.036,0.0,0.036,0.072,IND,1610612754,1,1.0
18,26.0,0.0,0.021,5,"406,1610612747",1,1,0.373,0.126,0.251,0.209,0.712,0.042,0.0,406,Shaquille O'Neal,0.0,0.0,0.0,0.168,LAL,1610612747,0,0.0
19,28.0,0.0,0.015,5,"431,1610612739",1,0,0.367,0.117,0.262,0.117,0.495,0.029,0.0,431,Shawn Kemp,0.029,0.029,0.029,0.146,CLE,1610612739,1,1.0
20,29.0,0.0,0.0,5,"120,1610612737",1,0,0.35,0.197,0.219,0.153,0.524,0.0,0.0,120,Steven Smith,0.044,0.109,0.109,0.087,ATL,1610612737,1,1.0
21,22.0,0.0,0.0,5,"1495,1610612759",1,1,0.295,0.086,0.279,0.193,0.387,0.0,0.0,1495,Tim Duncan,0.0,0.0,0.0,0.0,SAS,1610612759,0,0.0
22,31.0,0.0,0.0,5,"896,1610612748",1,0,0.357,0.104,0.29,0.187,0.415,0.0,0.0,896,Tim Hardaway,0.062,0.0,0.0,0.041,MIA,1610612748,1,1.0
23,26.0,0.0,0.032,5,"452,1610612760",1,1,0.336,0.174,0.174,0.158,0.253,0.016,0.0,452,Vin Baker,0.0,0.032,0.0,0.063,SEA,1610612760,0,0.0
