,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,26.0,0.0,0.0,5,"358,1610612753",1,0,0.428,0.0,0.278,0.07,0.348,0.0,0.0,358,Anfernee Hardaway,0.0,0.07,0.139,0.07,ORL,1610612753,1,1.0
1,21.0,0.0,0.026,5,"952,1610612738",1,0,0.408,0.159,0.159,0.106,0.53,0.0,0.0,952,Antoine Walker,0.053,0.053,0.053,0.106,BOS,1610612738,1,1.0
2,32.0,0.038,0.0,5,"764,1610612759",1,1,0.429,0.173,0.192,0.211,0.23,0.019,0.0,764,David Robinson,0.019,0.077,0.0,0.115,SAS,1610612759,0,0.0
3,32.0,0.022,0.0,5,"87,1610612737",1,0,0.401,0.043,0.26,0.13,0.39,0.065,0.0,87,Dikembe Mutombo,0.043,0.043,0.0,0.173,ATL,1610612737,1,1.0
4,26.0,0.0,0.0,5,"224,1610612747",1,1,0.415,0.22,0.22,0.169,0.372,0.017,0.0,224,Eddie Jones,0.068,0.135,0.068,0.203,LAL,1610612747,0,0.0
5,29.0,0.0,0.0,5,"56,1610612760",1,1,0.407,0.151,0.252,0.252,0.605,0.0,0.0,56,Gary Payton,0.034,0.034,0.084,0.067,SEA,1610612760,0,0.0
6,31.0,0.0,0.026,5,"779,1610612766",1,0,0.417,0.129,0.361,0.181,0.568,0.0,0.0,779,Glen Rice,0.052,0.129,0.129,0.052,CHH,1610612766,1,1.0
7,25.0,0.0,0.0,5,"255,1610612765",1,0,0.393,0.143,0.257,0.114,0.485,0.014,0.0,255,Grant Hill,0.0,0.086,0.0,0.114,DET,1610612765,1,1.0
8,25.0,0.0,0.0,5,"467,1610612756",1,1,0.392,0.085,0.275,0.212,0.423,0.042,0.0,467,Jason Kidd,0.0,0.0,0.0,0.0,PHX,1610612756,0,0.0
9,30.0,0.0,0.0,5,"420,1610612751",1,0,0.432,0.113,0.227,0.113,0.363,0.045,0.0,420,Jayson Williams,0.045,0.045,0.0,0.091,NJN,1610612751,1,1.0
10,34.0,0.0,0.0,5,"252,1610612762",1,1,0.406,0.144,0.287,0.239,0.814,0.024,0.0,252,Karl Malone,0.0,0.0,0.0,0.0,UTA,1610612762,0,0.0
11,22.0,0.019,0.0,5,"708,1610612750",1,1,0.406,0.152,0.265,0.19,0.758,0.0,0.0,708,Kevin Garnett,0.0,0.076,0.038,0.114,MIN,1610612750,0,0.0
12,19.0,0.0,0.0,5,"977,1610612747",1,1,0.404,0.108,0.27,0.27,0.647,0.018,0.0,977,Kobe Bryant,0.072,0.108,0.036,0.144,LAL,1610612747,0,0.0
13,35.0,0.0,0.0,5,"893,1610612741",1,0,0.408,0.104,0.208,0.104,0.441,0.0,0.0,893,Michael Jordan,0.026,0.026,0.052,0.104,CHI,1610612741,1,1.0
14,33.0,0.0,0.0,5,"782,1610612758",1,1,0.426,0.229,0.178,0.153,0.255,0.0,0.0,782,Mitch Richmond,0.0,0.0,0.0,0.0,SAC,1610612758,0,0.0
15,26.0,0.0,0.0,5,"89,1610612747",1,1,0.431,0.216,0.323,0.194,0.474,0.0,0.0,89,Nick Van Exel,0.043,0.086,0.043,0.172,LAL,1610612747,0,0.0
16,32.0,0.0,0.0,5,"397,1610612754",1,0,0.437,0.088,0.263,0.088,0.57,0.044,0.0,397,Reggie Miller,0.0,0.044,0.022,0.088,IND,1610612754,1,1.0
17,31.0,0.042,0.0,5,"22,1610612754",1,0,0.446,0.063,0.252,0.147,0.462,0.063,0.0,22,Rik Smits,0.042,0.0,0.042,0.084,IND,1610612754,1,1.0
18,26.0,0.0,0.023,5,"406,1610612747",1,1,0.407,0.137,0.274,0.229,0.777,0.046,0.0,406,Shaquille O'Neal,0.0,0.0,0.0,0.183,LAL,1610612747,0,0.0
19,28.0,0.0,0.016,5,"431,1610612739",1,0,0.396,0.126,0.283,0.126,0.534,0.031,0.0,431,Shawn Kemp,0.031,0.031,0.031,0.157,CLE,1610612739,1,1.0
20,29.0,0.0,0.0,5,"120,1610612737",1,0,0.403,0.226,0.252,0.176,0.604,0.0,0.0,120,Steven Smith,0.05,0.126,0.126,0.101,ATL,1610612737,1,1.0
21,22.0,0.0,0.0,5,"1495,1610612759",1,1,0.386,0.113,0.366,0.253,0.507,0.0,0.0,1495,Tim Duncan,0.0,0.0,0.0,0.0,SAS,1610612759,0,0.0
22,31.0,0.0,0.0,5,"896,1610612748",1,0,0.389,0.113,0.317,0.204,0.452,0.0,0.0,896,Tim Hardaway,0.068,0.0,0.0,0.045,MIA,1610612748,1,1.0
23,26.0,0.0,0.04,5,"452,1610612760",1,1,0.424,0.219,0.219,0.199,0.319,0.02,0.0,452,Vin Baker,0.0,0.04,0.0,0.08,SEA,1610612760,0,0.0
