,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,24.0,0.4,0.8,5,"243,1610612765",5,3,20.2,5.0,4.2,4.4,12.8,2.4,1.0,243,Aaron McKie,0.4,0.0,0.4,1.6,DET,1610612765,2,0.4
1,27.0,0.1,0.0,5,"228,1610612762",8,4,7.5,1.6,1.3,3.9,7.3,0.6,0.5,228,Adam Keefe,0.5,0.0,0.3,0.5,UTA,1610612762,4,0.5
2,24.0,0.3,0.2,5,"673,1610612737",10,6,14.1,5.2,2.8,6.3,10.6,2.6,1.2,673,Alan Henderson,1.7,0.2,0.7,2.8,ATL,1610612737,4,0.4
3,26.0,0.3,1.0,5,"275,1610612752",9,3,41.7,11.9,9.7,14.2,30.0,1.6,1.0,275,Allan Houston,1.0,2.6,3.0,4.0,NYK,1610612752,6,0.667
4,27.0,2.7,0.6,5,"297,1610612748",17,9,38.3,9.8,6.7,13.5,26.6,4.2,1.8,297,Alonzo Mourning,2.9,1.4,2.1,10.0,MIA,1610612748,8,0.471
5,23.0,0.0,0.0,5,"1043,1610612753",2,2,3.7,0.0,2.0,1.0,4.0,0.5,0.5,1043,Amal McCaskill,0.0,0.0,0.0,2.0,ORL,1610612753,0,0.0
6,25.0,1.4,1.4,5,"358,1610612753",5,3,45.8,13.4,14.2,12.6,33.6,2.8,1.2,358,Anfernee Hardaway,1.6,3.0,6.6,11.2,ORL,1610612753,2,0.4
7,30.0,0.3,1.3,5,"193,1610612766",3,3,45.9,11.0,10.0,12.3,40.0,2.0,1.0,193,Anthony Mason,1.3,0.0,0.3,8.7,CHH,1610612766,0,0.0
8,35.0,0.5,0.4,5,"156,1610612762",20,7,14.6,3.9,3.0,4.9,9.9,3.2,1.5,156,Antoine Carr,0.4,0.3,0.6,1.6,UTA,1610612762,13,0.65
9,32.0,0.8,1.3,5,"717,1610612757",4,3,27.7,8.3,7.5,10.3,27.5,4.8,2.0,717,Arvydas Sabonis,3.3,0.0,0.8,7.0,POR,1610612757,1,0.25
