,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,24.0,0.02,0.04,5,"243,1610612765",5,3,101.201666667,0.25,0.21,0.22,0.63,0.12,0.05,243,Aaron McKie,0.02,0.0,0.02,0.08,DET,1610612765,2,0.4
1,27.0,0.02,0.0,5,"228,1610612762",8,4,59.9416666667,0.22,0.17,0.52,0.97,0.08,0.07,228,Adam Keefe,0.07,0.0,0.03,0.07,UTA,1610612762,4,0.5
2,24.0,0.02,0.01,5,"673,1610612737",10,6,141.39,0.37,0.2,0.45,0.75,0.18,0.08,673,Alan Henderson,0.12,0.01,0.05,0.2,ATL,1610612737,4,0.4
3,26.0,0.01,0.02,5,"275,1610612752",9,3,374.971666667,0.29,0.23,0.34,0.72,0.04,0.02,275,Allan Houston,0.02,0.06,0.07,0.1,NYK,1610612752,6,0.667
4,27.0,0.07,0.02,5,"297,1610612748",17,9,650.713333333,0.26,0.18,0.35,0.69,0.11,0.05,297,Alonzo Mourning,0.08,0.04,0.06,0.26,MIA,1610612748,8,0.471
5,23.0,0.0,0.0,5,"1043,1610612753",2,2,7.41,0.0,0.54,0.27,1.08,0.13,0.13,1043,Amal McCaskill,0.0,0.0,0.0,0.54,ORL,1610612753,0,0.0
6,25.0,0.03,0.03,5,"358,1610612753",5,3,228.786666667,0.29,0.31,0.28,0.73,0.06,0.03,358,Anfernee Hardaway,0.03,0.07,0.14,0.24,ORL,1610612753,2,0.4
7,30.0,0.01,0.03,5,"193,1610612766",3,3,137.638333333,0.24,0.22,0.27,0.87,0.04,0.02,193,Anthony Mason,0.03,0.0,0.01,0.19,CHH,1610612766,0,0.0
8,35.0,0.03,0.02,5,"156,1610612762",20,7,291.173333333,0.27,0.2,0.34,0.68,0.22,0.1,156,Antoine Carr,0.03,0.02,0.04,0.11,UTA,1610612762,13,0.65
9,32.0,0.03,0.05,5,"717,1610612757",4,3,110.738333333,0.3,0.27,0.37,0.99,0.17,0.07,717,Arvydas Sabonis,0.12,0.0,0.03,0.25,POR,1610612757,1,0.25
10,28.0,0.02,0.03,5,"183,1610612741",19,4,346.775,0.22,0.12,0.2,0.57,0.18,0.07,183,Bison Dele,0.06,0.02,0.09,0.25,CHI,1610612741,15,0.789
11,26.0,0.03,0.01,5,"448,1610612746",3,3,70.2266666667,0.1,0.17,0.14,0.66,0.07,0.07,448,Bo Outlaw,0.03,0.0,0.09,0.17,LAC,1610612746,0,0.0
12,25.0,0.0,0.01,5,"699,1610612746",3,3,87.3133333333,0.19,0.25,0.22,0.78,0.11,0.06,699,Brent Barry,0.03,0.14,0.1,0.14,LAC,1610612746,0,0.0
13,23.0,0.0,0.0,5,"967,1610612753",2,2,7.61,0.39,0.53,0.26,1.05,0.0,0.0,967,Brian Evans,0.0,0.0,0.0,0.0,ORL,1610612753,0,0.0
