,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,24.0,0.011,0.022,5,"243,1610612765",5,3,0.545,0.135,0.113,0.118,0.344,0.065,0.027,243,Aaron McKie,0.011,0.0,0.011,0.043,DET,1610612765,2,0.4
1,27.0,0.008,0.0,5,"228,1610612762",8,4,0.475,0.103,0.079,0.246,0.46,0.04,0.032,228,Adam Keefe,0.032,0.0,0.016,0.032,UTA,1610612762,4,0.5
2,24.0,0.011,0.007,5,"673,1610612737",10,6,0.503,0.185,0.1,0.224,0.377,0.092,0.043,673,Alan Henderson,0.06,0.007,0.025,0.1,ATL,1610612737,4,0.4
3,26.0,0.004,0.012,5,"275,1610612752",9,3,0.508,0.145,0.118,0.174,0.366,0.019,0.012,275,Allan Houston,0.012,0.031,0.037,0.049,NYK,1610612752,6,0.667
4,27.0,0.035,0.008,5,"297,1610612748",17,9,0.497,0.127,0.087,0.175,0.345,0.055,0.024,297,Alonzo Mourning,0.037,0.018,0.028,0.13,MIA,1610612748,8,0.471
5,23.0,0.0,0.0,5,"1043,1610612753",2,2,0.488,0.0,0.263,0.132,0.526,0.066,0.066,1043,Amal McCaskill,0.0,0.0,0.0,0.263,ORL,1610612753,0,0.0
6,25.0,0.016,0.016,5,"358,1610612753",5,3,0.515,0.151,0.16,0.142,0.378,0.031,0.013,358,Anfernee Hardaway,0.018,0.034,0.074,0.126,ORL,1610612753,2,0.4
7,30.0,0.004,0.014,5,"193,1610612766",3,3,0.494,0.119,0.108,0.133,0.431,0.022,0.011,193,Anthony Mason,0.014,0.0,0.004,0.093,CHH,1610612766,0,0.0
8,35.0,0.016,0.012,5,"156,1610612762",20,7,0.503,0.135,0.102,0.169,0.342,0.111,0.05,156,Antoine Carr,0.014,0.009,0.019,0.055,UTA,1610612762,13,0.65
9,32.0,0.013,0.022,5,"717,1610612757",4,3,0.487,0.145,0.132,0.18,0.484,0.084,0.035,717,Arvydas Sabonis,0.057,0.0,0.013,0.123,POR,1610612757,1,0.25
10,28.0,0.011,0.016,5,"183,1610612741",19,4,0.495,0.107,0.057,0.1,0.28,0.09,0.036,183,Bison Dele,0.031,0.011,0.044,0.123,CHI,1610612741,15,0.789
11,26.0,0.014,0.007,5,"448,1610612746",3,3,0.507,0.051,0.087,0.072,0.332,0.036,0.036,448,Bo Outlaw,0.014,0.0,0.043,0.087,LAC,1610612746,0,0.0
12,25.0,0.0,0.006,5,"699,1610612746",3,3,0.484,0.094,0.122,0.105,0.377,0.055,0.028,699,Brent Barry,0.017,0.067,0.05,0.067,LAC,1610612746,0,0.0
13,23.0,0.0,0.0,5,"967,1610612753",2,2,0.497,0.196,0.261,0.131,0.522,0.0,0.0,967,Brian Evans,0.0,0.0,0.0,0.0,ORL,1610612753,0,0.0
14,31.0,0.006,0.012,5,"216,1610612753",5,3,0.515,0.164,0.17,0.182,0.388,0.03,0.018,216,Brian Shaw,0.012,0.0,0.018,0.012,ORL,1610612753,2,0.4
15,26.0,0.004,0.005,5,"935,1610612762",20,7,0.492,0.124,0.092,0.133,0.373,0.037,0.016,935,Bryon Russell,0.016,0.026,0.03,0.049,UTA,1610612762,13,0.65
16,37.0,0.01,0.013,5,"433,1610612752",10,4,0.508,0.081,0.124,0.112,0.342,0.086,0.036,433,Buck Williams,0.03,0.005,0.023,0.081,NYK,1610612752,6,0.6
17,36.0,0.0,0.004,5,"2,1610612747",8,4,0.503,0.12,0.087,0.083,0.283,0.054,0.029,2,Byron Scott,0.0,0.018,0.043,0.036,LAL,1610612747,4,0.5
18,25.0,0.008,0.008,5,"384,1610612764",3,3,0.485,0.169,0.104,0.192,0.393,0.038,0.019,384,Calbert Cheaney,0.015,0.008,0.031,0.077,WAS,1610612764,0,0.0
19,27.0,0.012,0.024,5,"76,1610612756",5,3,0.445,0.137,0.105,0.177,0.339,0.048,0.016,76,Cedric Ceballos,0.024,0.024,0.016,0.065,PHX,1610612756,2,0.4
20,34.0,0.005,0.014,5,"787,1610612745",16,7,0.471,0.137,0.104,0.179,0.378,0.039,0.02,787,Charles Barkley,0.045,0.012,0.034,0.092,HOU,1610612745,9,0.563
21,40.0,0.0,0.0,5,"279,1610612745",1,0,0.584,0.0,0.0,0.0,0.694,0.0,0.0,279,Charles Jones,0.0,0.0,0.0,0.0,HOU,1610612745,1,1.0
22,33.0,0.004,0.007,5,"891,1610612752",10,4,0.498,0.128,0.103,0.153,0.369,0.05,0.028,891,Charles Oakley,0.027,0.012,0.027,0.045,NYK,1610612752,6,0.6
23,26.0,0.0,0.011,5,"369,1610612752",9,3,0.517,0.108,0.108,0.143,0.302,0.049,0.03,369,Charlie Ward,0.005,0.005,0.013,0.038,NYK,1610612752,6,0.667
24,24.0,0.0,0.0,5,"685,1610612750",1,1,0.543,0.4,0.089,0.089,0.533,0.222,0.178,685,Cherokee Parks,0.0,0.0,0.0,0.089,MIN,1610612750,0,0.0
25,23.0,0.0,0.0,5,"713,1610612750",1,1,0.478,0.218,0.0,0.109,0.437,0.0,0.0,713,Chris Carr,0.0,0.0,0.0,0.0,MIN,1610612750,0,0.0
26,29.0,0.0,0.01,5,"164,1610612752",10,4,0.494,0.138,0.108,0.153,0.38,0.057,0.029,164,Chris Childs,0.016,0.031,0.026,0.044,NYK,1610612752,6,0.6
27,32.0,0.035,0.0,5,"201,1610612757",4,3,0.523,0.126,0.077,0.105,0.448,0.133,0.056,201,Chris Dudley,0.042,0.0,0.014,0.07,POR,1610612757,1,0.25
28,31.0,0.008,0.014,5,"356,1610612762",20,7,0.495,0.07,0.087,0.179,0.319,0.049,0.022,356,Chris Morris,0.008,0.049,0.022,0.049,UTA,1610612762,13,0.65
29,24.0,0.031,0.0,5,"185,1610612764",3,3,0.494,0.185,0.093,0.203,0.353,0.079,0.053,185,Chris Webber,0.049,0.009,0.04,0.097,WAS,1610612764,0,0.0
30,25.0,0.0,0.0,5,"43,1610612764",3,3,0.458,0.131,0.044,0.328,0.611,0.022,0.0,43,Chris Whitney,0.066,0.0,0.0,0.0,WAS,1610612764,0,0.0
31,27.0,0.01,0.016,5,"363,1610612737",10,6,0.501,0.149,0.104,0.2,0.356,0.039,0.019,363,Christian Laettner,0.03,0.005,0.041,0.094,ATL,1610612737,4,0.4
32,30.0,0.012,0.015,5,"361,1610612757",4,3,0.492,0.134,0.116,0.151,0.477,0.038,0.017,361,Clifford Robinson,0.035,0.012,0.02,0.076,POR,1610612757,1,0.25
33,35.0,0.005,0.012,5,"17,1610612745",16,7,0.467,0.134,0.107,0.175,0.375,0.038,0.017,17,Clyde Drexler,0.021,0.046,0.033,0.078,HOU,1610612745,9,0.563
34,28.0,0.0,0.0,5,"916,1610612747",3,0,0.448,0.169,0.225,0.225,0.563,0.113,0.0,916,Corie Blount,0.0,0.113,0.0,0.113,LAL,1610612747,3,1.0
35,31.0,0.004,0.008,5,"105,1610612748",17,9,0.491,0.12,0.101,0.168,0.366,0.03,0.013,105,Dan Majerle,0.02,0.017,0.029,0.043,MIA,1610612748,8,0.471
36,38.0,0.006,0.006,5,"7,1610612753",5,3,0.531,0.128,0.183,0.144,0.333,0.089,0.039,7,Dan Schayes,0.022,0.0,0.011,0.033,ORL,1610612753,2,0.4
37,31.0,0.027,0.015,5,"330,1610612756",5,3,0.461,0.108,0.088,0.161,0.4,0.081,0.05,330,Danny Manning,0.031,0.015,0.058,0.161,PHX,1610612756,2,0.4
38,29.0,0.004,0.0,5,"353,1610612753",5,3,0.529,0.179,0.147,0.115,0.358,0.021,0.014,353,Darrell Armstrong,0.021,0.032,0.061,0.05,ORL,1610612753,2,0.4
39,26.0,0.0,0.013,5,"239,1610612746",3,3,0.531,0.162,0.169,0.123,0.493,0.058,0.039,239,Darrick Martin,0.013,0.019,0.045,0.026,LAC,1610612746,0,0.0
40,25.0,0.015,0.0,5,"241,1610612737",6,3,0.516,0.317,0.166,0.196,0.423,0.076,0.045,241,Darrin Hancock,0.0,0.03,0.0,0.06,ATL,1610612737,3,0.5
41,33.0,0.007,0.005,5,"766,1610612760",12,6,0.475,0.138,0.107,0.136,0.334,0.052,0.026,766,David Wingate,0.024,0.026,0.036,0.048,SEA,1610612760,6,0.5
42,30.0,0.011,0.004,5,"1051,1610612750",3,3,0.462,0.057,0.16,0.152,0.358,0.042,0.027,1051,Dean Garrett,0.053,0.011,0.034,0.107,MIN,1610612750,0,0.0
43,33.0,0.0,0.009,5,"209,1610612766",3,3,0.487,0.194,0.101,0.258,0.424,0.046,0.028,209,Dell Curry,0.0,0.018,0.037,0.055,CHH,1610612766,0,0.0
44,36.0,0.004,0.004,5,"23,1610612741",19,4,0.479,0.112,0.089,0.137,0.323,0.065,0.023,23,Dennis Rodman,0.033,0.004,0.015,0.042,CHI,1610612741,15,0.789
45,28.0,0.0,0.005,5,"192,1610612753",5,3,0.505,0.131,0.152,0.137,0.494,0.042,0.021,192,Dennis Scott,0.026,0.0,0.011,0.032,ORL,1610612753,2,0.4
46,22.0,0.0,0.0,5,"965,1610612747",6,3,0.463,0.066,0.08,0.159,0.318,0.053,0.027,965,Derek Fisher,0.0,0.027,0.0,0.08,LAL,1610612747,3,0.5
47,29.0,0.005,0.021,5,"400,1610612753",5,3,0.523,0.177,0.156,0.153,0.384,0.052,0.021,400,Derek Strong,0.039,0.005,0.005,0.104,ORL,1610612753,2,0.4
48,34.0,0.001,0.002,5,"96,1610612760",12,6,0.464,0.146,0.115,0.155,0.367,0.039,0.016,96,Detlef Schrempf,0.016,0.023,0.023,0.071,SEA,1610612760,6,0.5
49,31.0,0.031,0.005,5,"87,1610612737",10,6,0.504,0.143,0.113,0.188,0.311,0.035,0.018,87,Dikembe Mutombo,0.047,0.002,0.017,0.106,ATL,1610612737,4,0.4
50,23.0,0.0,0.0,5,"690,1610612765",1,1,0.369,0.0,0.22,0.22,0.22,0.0,0.0,690,Don Reid,0.0,0.0,0.0,0.0,DET,1610612765,0,0.0
51,31.0,0.0,0.0,5,"140,1610612766",1,1,0.5,0.0,0.225,0.0,0.676,0.113,0.0,140,Donald Royal,0.0,0.0,0.0,0.0,CHH,1610612766,0,0.0
52,23.0,0.0,0.0,5,"112,1610612757",3,2,0.513,0.126,0.031,0.22,0.314,0.094,0.063,112,Dontonio Wingfield,0.063,0.0,0.0,0.0,POR,1610612757,1,0.333
53,30.0,0.005,0.005,5,"28,1610612750",3,3,0.469,0.118,0.185,0.149,0.381,0.057,0.041,28,Doug West,0.01,0.046,0.021,0.052,MIN,1610612750,0,0.0
54,34.0,0.0,0.0,5,"291,1610612748",2,0,0.48,0.0,0.0,0.388,0.621,0.0,0.0,291,Ed Pinckney,0.0,0.0,0.0,0.155,MIA,1610612748,2,1.0
55,38.0,0.0,0.007,5,"698,1610612745",16,7,0.48,0.155,0.136,0.17,0.399,0.028,0.007,698,Eddie Johnson,0.033,0.025,0.032,0.063,HOU,1610612745,9,0.563
56,25.0,0.007,0.012,5,"224,1610612747",9,5,0.496,0.138,0.148,0.159,0.365,0.04,0.018,224,Eddie Jones,0.012,0.06,0.035,0.07,LAL,1610612747,4,0.444
57,28.0,0.023,0.02,5,"922,1610612747",9,5,0.517,0.129,0.106,0.142,0.348,0.051,0.023,922,Elden Campbell,0.025,0.011,0.023,0.085,LAL,1610612747,4,0.444
58,29.0,0.0,0.004,5,"695,1610612737",10,6,0.482,0.146,0.119,0.215,0.414,0.035,0.019,695,Eldridge Recasner,0.012,0.015,0.0,0.023,ATL,1610612737,4,0.4
59,26.0,0.0,0.0,5,"15,1610612746",3,3,0.509,0.076,0.064,0.076,0.459,0.064,0.025,15,Eric Piatkowski,0.064,0.0,0.076,0.051,LAC,1610612746,0,0.0
60,24.0,0.0,0.0,5,"727,1610612760",8,4,0.46,0.149,0.075,0.084,0.298,0.065,0.047,727,Eric Snow,0.0,0.037,0.047,0.037,SEA,1610612760,4,0.5
