,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,,0.0,0.0,5,"1479,",1,1,0.288,0.0,0.515,0.0,0.515,0.0,0.0,1479,,0.0,0.0,0.0,0.0,,,0,0.0
1,26.0,0.075,0.0,5,"1425,1610612760",3,1,0.441,0.075,0.299,0.299,0.299,0.0,0.0,1425,Aaron Williams,0.0,0.0,0.149,0.0,SEA,1610612760.0,2,0.667
2,28.0,0.007,0.022,5,"228,1610612762",15,7,0.56,0.163,0.076,0.163,0.39,0.065,0.0,228,Adam Keefe,0.018,0.014,0.022,0.065,UTA,1610612762.0,8,0.533
3,25.0,0.004,0.004,5,"673,1610612737",4,3,0.566,0.121,0.126,0.152,0.439,0.058,0.0,673,Alan Henderson,0.058,0.022,0.036,0.117,ATL,1610612737.0,1,0.25
4,27.0,0.001,0.008,5,"275,1610612752",10,6,0.533,0.104,0.092,0.202,0.327,0.036,0.0,275,Allan Houston,0.036,0.054,0.062,0.087,NYK,1610612752.0,4,0.4
5,28.0,0.04,0.008,5,"297,1610612748",4,2,0.55,0.164,0.112,0.184,0.393,0.072,0.004,297,Alonzo Mourning,0.028,0.024,0.04,0.2,MIA,1610612748.0,2,0.5
6,39.0,0.044,0.0,5,"175,1610612757",2,2,0.488,0.264,0.351,0.483,0.615,0.22,0.0,175,Alton Lister,0.0,0.0,0.0,0.0,POR,1610612757.0,0,0.0
7,34.0,0.0,0.0,5,"194,1610612752",7,4,0.559,0.107,0.134,0.16,0.267,0.107,0.0,194,Anthony Bowie,0.0,0.0,0.0,0.053,NYK,1610612752.0,3,0.429
8,31.0,0.0,0.008,5,"193,1610612766",9,5,0.559,0.16,0.123,0.17,0.405,0.026,0.003,193,Anthony Mason,0.029,0.015,0.033,0.128,CHH,1610612766.0,4,0.444
9,26.0,0.017,0.017,5,"292,1610612737",4,3,0.54,0.135,0.034,0.118,0.338,0.085,0.0,292,Anthony Miller,0.034,0.068,0.068,0.101,ATL,1610612737.0,1,0.25
10,28.0,0.008,0.008,5,"324,1610612750",5,3,0.536,0.184,0.164,0.174,0.514,0.038,0.0,324,Anthony Peeler,0.055,0.01,0.03,0.055,MIN,1610612750.0,2,0.4
11,36.0,0.023,0.009,5,"156,1610612762",20,7,0.548,0.111,0.073,0.131,0.345,0.118,0.0,156,Antoine Carr,0.023,0.013,0.015,0.083,UTA,1610612762.0,13,0.65
12,29.0,0.022,0.006,5,"213,1610612754",16,6,0.551,0.142,0.093,0.182,0.364,0.078,0.001,213,Antonio Davis,0.039,0.005,0.033,0.065,IND,1610612754.0,10,0.625
13,23.0,0.022,0.04,5,"686,1610612756",4,3,0.525,0.144,0.148,0.148,0.462,0.043,0.0,686,Antonio McDyess,0.032,0.022,0.051,0.144,PHX,1610612756.0,1,0.25
14,33.0,0.015,0.034,5,"717,1610612757",4,3,0.525,0.103,0.192,0.138,0.631,0.094,0.0,717,Arvydas Sabonis,0.059,0.01,0.02,0.108,POR,1610612757.0,1,0.25
15,33.0,0.0,0.011,5,"422,1610612759",9,5,0.546,0.126,0.094,0.182,0.357,0.043,0.0,422,Avery Johnson,0.021,0.045,0.038,0.156,SAS,1610612759.0,4,0.444
16,30.0,0.0,0.015,5,"769,1610612766",9,5,0.558,0.138,0.157,0.176,0.375,0.042,0.0,769,B.J. Armstrong,0.015,0.015,0.023,0.031,CHH,1610612766.0,4,0.444
17,26.0,0.0,0.0,5,"223,1610612750",2,1,0.505,0.0,0.218,0.291,0.145,0.0,0.0,223,Bill Curley,0.0,0.0,0.0,0.0,MIN,1610612750.0,1,0.5
