,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,24.0,2,4,5,"243,1610612765",5,3,101.201666667,25,21,22,64,12,5,243,Aaron McKie,2,0,2,8,DET,1610612765,2,0.4
1,27.0,1,0,5,"228,1610612762",8,4,59.9416666667,13,10,31,58,5,4,228,Adam Keefe,4,0,2,4,UTA,1610612762,4,0.5
2,24.0,3,2,5,"673,1610612737",10,6,141.39,52,28,63,106,26,12,673,Alan Henderson,17,2,7,28,ATL,1610612737,4,0.4
3,26.0,3,9,5,"275,1610612752",9,3,374.971666667,107,87,128,270,14,9,275,Allan Houston,9,23,27,36,NYK,1610612752,6,0.667
4,27.0,46,11,5,"297,1610612748",17,9,650.713333333,166,114,229,452,72,31,297,Alonzo Mourning,49,24,36,170,MIA,1610612748,8,0.471
5,23.0,0,0,5,"1043,1610612753",2,2,7.41,0,4,2,8,1,1,1043,Amal McCaskill,0,0,0,4,ORL,1610612753,0,0.0
6,25.0,7,7,5,"358,1610612753",5,3,228.786666667,67,71,63,168,14,6,358,Anfernee Hardaway,8,15,33,56,ORL,1610612753,2,0.4
7,30.0,1,4,5,"193,1610612766",3,3,137.638333333,33,30,37,120,6,3,193,Anthony Mason,4,0,1,26,CHH,1610612766,0,0.0
8,35.0,9,7,5,"156,1610612762",20,7,291.173333333,78,59,98,198,64,29,156,Antoine Carr,8,5,11,32,UTA,1610612762,13,0.65
9,32.0,3,5,5,"717,1610612757",4,3,110.738333333,33,30,41,110,19,8,717,Arvydas Sabonis,13,0,3,28,POR,1610612757,1,0.25
10,28.0,8,11,5,"183,1610612741",19,4,346.775,75,40,70,196,63,25,183,Bison Dele,22,8,31,86,CHI,1610612741,15,0.789
11,26.0,2,1,5,"448,1610612746",3,3,70.2266666667,7,12,10,46,5,5,448,Bo Outlaw,2,0,6,12,LAC,1610612746,0,0.0
12,25.0,0,1,5,"699,1610612746",3,3,87.3133333333,17,22,19,68,10,5,699,Brent Barry,3,12,9,12,LAC,1610612746,0,0.0
13,23.0,0,0,5,"967,1610612753",2,2,7.61,3,4,2,8,0,0,967,Brian Evans,0,0,0,0,ORL,1610612753,0,0.0
14,31.0,1,2,5,"216,1610612753",5,3,84.9083333333,27,28,30,64,5,3,216,Brian Shaw,2,0,3,2,ORL,1610612753,2,0.4
15,26.0,6,8,5,"935,1610612762",20,7,785.406666667,198,147,213,596,59,26,935,Bryon Russell,25,41,48,78,UTA,1610612762,13,0.65
16,37.0,4,5,5,"433,1610612752",10,4,200.326666667,32,49,44,135,34,14,433,Buck Williams,12,2,9,32,NYK,1610612752,6,0.6
17,36.0,0,1,5,"2,1610612747",8,4,138.905,33,24,23,78,15,8,2,Byron Scott,0,5,12,10,LAL,1610612747,4,0.5
18,25.0,2,2,5,"384,1610612764",3,3,126.003333333,44,27,50,102,10,5,384,Calbert Cheaney,4,2,8,20,WAS,1610612764,0,0.0
19,27.0,3,6,5,"76,1610612756",5,3,110.341666667,34,26,44,84,12,4,76,Cedric Ceballos,6,6,4,16,PHX,1610612756,2,0.4
20,34.0,7,19,5,"787,1610612745",16,7,623.476666667,181,138,237,500,52,27,787,Charles Barkley,59,16,45,122,HOU,1610612745,9,0.563
21,40.0,0,0,5,"279,1610612745",1,0,1.68333333333,0,0,0,2,0,0,279,Charles Jones,0,0,0,0,HOU,1610612745,1,1.0
22,33.0,3,5,5,"891,1610612752",10,4,371.861666667,96,77,114,276,37,21,891,Charles Oakley,20,9,20,34,NYK,1610612752,6,0.6
23,26.0,0,4,5,"369,1610612752",9,3,191.398333333,40,40,53,112,18,11,369,Charlie Ward,2,2,5,14,NYK,1610612752,6,0.667
