,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,34.0,0.3,0.4,5,"920,1610612742",82,62,32.3,10.9,10.8,10.8,29.7,1.9,0.0,920,A.C. Green,2.1,0.9,1.2,2.4,DAL,1610612742,20,0.244
1,25.0,0.2,0.4,5,"243,1610612755",81,47,22.4,6.1,5.2,7.5,15.8,2.0,0.0,243,Aaron McKie,0.5,0.7,0.8,1.4,PHI,1610612755,34,0.42
2,26.0,0.6,0.4,5,"1425,1610612760",65,16,11.6,3.4,3.8,4.4,10.2,1.8,0.0,1425,Aaron Williams,0.7,0.7,0.8,3.2,SEA,1610612760,49,0.754
3,28.0,0.3,0.7,5,"228,1610612762",80,19,25.6,6.6,5.7,9.0,19.3,2.2,0.0,228,Adam Keefe,1.5,1.4,1.5,4.8,UTA,1610612762,61,0.763
4,23.0,0.9,0.3,5,"1502,1610612744",55,46,12.0,4.3,3.7,4.9,10.0,1.7,0.0,1502,Adonal Foyle,1.1,0.3,0.5,2.2,GSW,1610612744,9,0.164
5,31.0,0.0,0.0,5,"154,1610612742",1,0,2.7,0.0,3.0,2.0,2.0,0.0,0.0,154,Adrian Caldwell,0.0,0.0,0.0,0.0,DAL,1610612742,1,1.0
6,25.0,0.5,1.1,5,"673,1610612737",69,27,29.1,9.0,8.9,10.0,24.3,2.5,0.0,673,Alan Henderson,3.4,1.7,2.5,7.8,ATL,1610612737,42,0.609
7,27.0,0.3,0.8,5,"275,1610612752",82,39,34.7,8.7,6.6,10.9,23.8,2.5,0.0,275,Allan Houston,1.6,2.1,3.5,4.7,NYK,1610612752,43,0.524
8,23.0,0.3,1.3,5,"947,1610612755",80,49,39.4,12.6,12.0,15.2,32.0,2.5,0.0,947,Allen Iverson,1.7,4.6,5.0,9.3,PHI,1610612755,31,0.388
9,28.0,2.2,1.0,5,"297,1610612748",58,19,33.4,9.4,7.2,10.5,23.2,3.6,0.1,297,Alonzo Mourning,3.9,1.7,2.8,11.4,MIA,1610612748,39,0.672
10,39.0,0.1,0.1,5,"175,1610612757",7,2,6.2,1.0,1.1,1.9,2.6,1.7,0.0,175,Alton Lister,0.6,0.0,0.0,0.3,POR,1610612757,5,0.714
11,23.0,0.1,0.3,5,"1541,1610612761",54,30,19.8,6.3,6.1,7.9,16.7,1.5,0.0,1541,Alvin Williams,0.7,1.1,1.0,2.4,TOR,1610612761,24,0.444
12,25.0,0.6,0.4,5,"692,1610612738",81,45,18.8,5.6,5.2,6.8,17.7,3.4,0.0,692,Andrew DeClercq,1.9,0.6,0.9,4.0,BOS,1610612738,36,0.444
13,32.0,0.5,0.3,5,"457,1610612749",57,34,12.1,3.3,4.4,5.2,9.6,1.8,0.0,457,Andrew Lang,0.7,0.3,0.6,1.6,MIL,1610612749,23,0.404
14,26.0,0.8,0.9,5,"358,1610612753",19,9,33.1,11.2,10.6,11.5,27.7,2.4,0.0,358,Anfernee Hardaway,0.9,3.9,3.4,6.0,ORL,1610612753,10,0.526
15,34.0,0.1,0.0,5,"194,1610612752",27,16,8.2,1.7,1.7,3.0,6.0,0.9,0.0,194,Anthony Bowie,0.1,0.6,0.6,0.9,NYK,1610612752,11,0.407
16,26.0,0.1,0.6,5,"924,1610612743",82,71,26.9,8.9,6.7,10.4,22.5,1.8,0.0,924,Anthony Goldwire,0.4,2.5,2.0,2.3,DEN,1610612743,11,0.134
17,23.0,0.1,0.8,5,"1533,1610612758",77,52,29.4,9.0,10.3,10.9,27.8,2.4,0.0,1533,Anthony Johnson,0.7,1.4,1.5,3.0,SAC,1610612758,25,0.325
18,31.0,0.2,0.8,5,"193,1610612766",81,31,38.9,10.6,10.3,13.4,33.1,2.2,0.1,193,Anthony Mason,1.9,1.1,1.6,8.0,CHH,1610612766,50,0.617
19,26.0,0.1,0.1,5,"292,1610612737",37,12,6.2,1.9,2.1,2.7,6.8,1.1,0.0,292,Anthony Miller,0.9,0.3,0.3,1.5,ATL,1610612737,25,0.676
20,23.0,0.1,0.1,5,"1515,1610612755",37,19,5.3,1.4,1.9,2.3,4.1,0.5,0.0,1515,Anthony Parker,0.1,0.5,0.2,0.4,PHI,1610612755,18,0.486
21,28.0,0.2,0.6,5,"324,1610612750",38,19,31.4,11.4,9.1,9.7,29.9,2.6,0.0,324,Anthony Peeler,1.2,2.3,2.6,3.3,MIN,1610612750,19,0.5
22,36.0,0.8,0.3,5,"156,1610612762",66,18,16.4,4.9,3.0,5.7,10.4,3.0,0.0,156,Antoine Carr,0.7,0.3,0.8,2.4,UTA,1610612762,48,0.727
23,21.0,0.7,1.5,5,"952,1610612738",82,46,39.9,12.1,12.8,14.6,39.6,3.2,0.0,952,Antoine Walker,4.4,3.0,5.5,12.6,BOS,1610612738,36,0.439
24,23.0,0.1,0.3,5,"1498,1610612763",74,57,26.4,8.5,10.5,11.3,24.5,1.2,0.0,1498,Antonio Daniels,0.6,1.8,1.4,3.4,VAN,1610612763,17,0.23
25,29.0,0.9,0.7,5,"213,1610612754",82,24,26.8,7.9,5.8,8.3,19.9,2.8,0.0,213,Antonio Davis,1.7,0.9,1.6,4.8,IND,1610612754,58,0.707
26,26.0,0.0,0.2,5,"226,1610612748",6,2,5.0,1.7,3.3,4.3,5.7,0.5,0.0,226,Antonio Lang,0.3,0.3,0.0,1.0,MIA,1610612748,4,0.667
27,23.0,1.7,0.6,5,"686,1610612756",81,26,30.1,9.0,7.5,10.0,25.6,3.6,0.1,686,Antonio McDyess,2.1,2.5,2.6,8.7,PHX,1610612756,55,0.679
28,34.0,0.5,0.6,5,"288,1610612749",82,46,25.8,8.1,9.0,9.8,23.5,2.2,0.0,288,Armen Gilliam,1.8,1.4,2.2,5.9,MIL,1610612749,36,0.439
29,33.0,1.1,0.6,5,"717,1610612757",73,33,31.9,7.3,9.3,11.4,23.3,3.7,0.0,717,Arvydas Sabonis,3.1,0.3,2.1,9.2,POR,1610612757,40,0.548
30,23.0,0.2,0.3,5,"1506,1610612754",26,5,9.4,1.9,2.6,3.2,7.5,1.2,0.0,1506,Austin Croshere,0.5,0.3,0.5,1.0,IND,1610612754,21,0.808
31,33.0,0.2,0.5,5,"422,1610612759",75,25,35.6,10.2,8.0,11.8,25.4,1.9,0.0,422,Avery Johnson,0.6,1.8,1.7,6.4,SAS,1610612759,50,0.667
32,30.0,0.0,0.1,5,"769,1610612766",66,30,12.6,3.9,4.2,4.9,10.8,1.1,0.0,769,B.J. Armstrong,0.5,0.7,0.8,1.2,CHH,1610612766,36,0.545
33,25.0,0.0,0.0,5,"989,1610612752",7,6,1.7,0.9,0.6,0.9,1.7,0.4,0.0,989,Ben Davis,0.3,0.0,0.0,0.3,NYK,1610612752,1,0.143
34,23.0,1.1,0.3,5,"1112,1610612764",67,33,16.8,4.4,4.6,5.2,13.9,1.7,0.0,1112,Ben Wallace,1.1,0.3,0.6,2.5,WAS,1610612764,34,0.507
35,33.0,0.3,0.4,5,"104,1610612755",14,9,14.3,2.9,4.9,4.9,9.7,1.9,0.0,104,Benoit Benjamin,1.3,0.1,0.8,2.6,PHI,1610612755,5,0.357
36,26.0,0.1,0.2,5,"223,1610612750",11,3,13.3,3.9,3.5,3.3,11.8,2.5,0.0,223,Bill Curley,0.7,0.2,0.7,1.6,MIN,1610612750,8,0.727
37,35.0,0.1,0.3,5,"82,1610612741",48,13,9.7,2.8,2.6,2.6,7.4,1.6,0.0,82,Bill Wennington,0.8,0.2,0.4,1.0,CHI,1610612741,35,0.729
38,29.0,0.5,0.7,5,"182,1610612758",78,53,30.1,9.1,9.9,11.0,28.1,3.0,0.0,182,Billy Owens,2.1,1.3,1.7,5.9,SAC,1610612758,25,0.321
39,30.0,0.2,0.6,5,"902,1610612744",53,41,27.7,9.0,8.3,10.4,24.2,2.5,0.0,902,Bimbo Coles,0.7,1.4,1.6,2.3,GSW,1610612744,12,0.226
40,29.0,0.7,0.8,5,"183,1610612765",78,43,33.6,9.5,8.3,10.9,24.8,3.2,0.0,183,Bison Dele,3.4,1.3,2.5,9.5,DET,1610612765,35,0.449
41,32.0,0.3,0.5,5,"898,1610612763",81,62,24.3,7.8,8.3,9.7,20.9,2.3,0.0,898,Blue Edwards,1.1,2.1,2.0,3.8,VAN,1610612763,19,0.235
42,27.0,2.2,0.6,5,"448,1610612753",82,41,36.0,11.0,10.2,12.3,30.2,3.1,0.1,448,Bo Outlaw,2.4,1.6,2.0,7.0,ORL,1610612753,41,0.5
43,34.0,0.0,0.0,5,"737,1610612761",1,1,5.1,3.0,5.0,5.0,4.0,1.0,0.0,737,Bob McCann,0.0,0.0,0.0,0.0,TOR,1610612761,0,0.0
44,25.0,0.2,0.3,5,"682,1610612739",46,21,20.5,6.1,6.2,7.8,16.2,2.5,0.0,682,Bob Sura,0.7,1.1,1.0,2.5,CLE,1610612739,25,0.543
45,27.0,0.0,0.3,5,"310,1610612763",61,42,14.3,4.6,5.1,5.8,12.4,1.3,0.0,310,Bobby Hurley,0.1,0.3,0.6,1.0,VAN,1610612763,19,0.311
46,25.0,0.2,0.8,5,"1517,1610612743",68,60,30.1,9.7,8.6,12.2,26.3,2.4,0.0,1517,Bobby Jackson,1.4,2.3,2.5,3.9,DEN,1610612743,8,0.118
47,28.0,0.3,0.5,5,"184,1610612766",62,22,30.5,8.5,8.7,10.7,26.6,2.9,0.1,184,Bobby Phills,1.5,2.3,2.2,4.5,CHH,1610612766,40,0.645
48,33.0,0.2,0.0,5,"38,1610612759",9,3,11.3,4.0,3.3,2.0,7.8,1.1,0.0,38,Brad Lohaus,0.2,0.2,0.3,0.0,SAS,1610612759,6,0.667
49,23.0,0.3,0.7,5,"1585,1610612744",9,7,15.5,6.6,4.1,7.2,14.2,2.0,0.0,1585,Brandon Williams,0.3,0.2,0.7,1.1,GSW,1610612744,2,0.222
50,26.0,0.5,0.4,5,"699,1610612748",58,37,27.6,9.3,9.3,10.4,26.8,2.0,0.0,699,Brent Barry,0.8,2.3,1.8,3.4,MIA,1610612748,21,0.362
51,29.0,0.1,0.3,5,"85,1610612745",72,37,18.6,5.7,5.2,7.3,16.2,2.3,0.0,85,Brent Price,0.5,0.7,0.8,1.1,HOU,1610612745,35,0.486
52,22.0,0.2,0.6,5,"1510,1610612739",80,35,31.1,8.6,8.1,10.9,23.1,3.4,0.0,1510,Brevin Knight,0.8,1.4,2.0,3.7,CLE,1610612739,45,0.563
53,24.0,0.2,0.2,5,"967,1610612751",72,40,12.4,3.5,4.1,3.8,10.9,1.4,0.0,967,Brian Evans,0.6,0.5,0.8,0.8,NJN,1610612751,32,0.444
54,26.0,0.7,1.1,5,"258,1610612757",61,26,31.5,7.6,8.7,11.3,22.6,3.0,0.0,258,Brian Grant,2.9,1.0,2.0,7.5,POR,1610612757,35,0.574
55,30.0,0.0,1.0,5,"1680,1610612737",5,0,12.2,2.0,4.2,4.6,10.0,0.8,0.0,1680,Brian Oliver,0.4,1.2,0.0,2.0,ATL,1610612737,5,1.0
56,32.0,0.3,0.4,5,"216,1610612755",59,42,25.9,7.9,7.4,9.6,20.9,2.5,0.0,216,Brian Shaw,0.6,0.7,0.8,2.3,PHI,1610612755,17,0.288
57,27.0,0.0,0.1,5,"240,1610612752",30,13,5.6,1.9,1.9,2.6,4.9,0.7,0.0,240,Brooks Thompson,0.2,0.3,0.3,0.5,NYK,1610612752,17,0.567
