,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,,0.02,0.03,5,"471,",41,28,546.646666667,0.27,0.24,0.42,0.82,0.11,0.0,471,,0.06,0.04,0.06,0.09,,,13,0.317
1,33.0,0.01,0.02,5,"920,1610612742",83,60,2558.34,0.27,0.29,0.36,0.82,0.05,0.0,920,A.C. Green,0.07,0.03,0.04,0.12,DAL,1610612742.0,23,0.277
2,24.0,0.01,0.02,5,"243,1610612765",83,35,1690.38166667,0.25,0.2,0.34,0.63,0.07,0.0,243,Aaron McKie,0.02,0.05,0.06,0.09,DET,1610612765.0,48,0.578
3,25.0,0.05,0.01,5,"1425,1610612763",33,29,585.878333333,0.32,0.27,0.41,0.89,0.11,0.0,1425,Aaron Williams,0.1,0.03,0.06,0.28,VAN,1610612763.0,4,0.121
4,27.0,0.05,0.02,5,"768,1610612749",47,33,521.083333333,0.26,0.35,0.35,0.87,0.12,0.0,768,Acie Earl,0.07,0.04,0.07,0.19,MIL,1610612749.0,14,0.298
5,27.0,0.01,0.01,5,"228,1610612762",62,14,955.981666667,0.25,0.2,0.38,0.71,0.1,0.0,228,Adam Keefe,0.06,0.04,0.05,0.14,UTA,1610612762.0,48,0.774
6,30.0,0.01,0.02,5,"154,1610612755",45,33,588.62,0.34,0.34,0.4,0.92,0.13,0.0,154,Adrian Caldwell,0.07,0.02,0.02,0.13,PHI,1610612755.0,12,0.267
7,24.0,0.01,0.03,5,"673,1610612737",30,10,517.425,0.33,0.3,0.4,0.9,0.13,0.0,673,Alan Henderson,0.09,0.03,0.09,0.26,ATL,1610612737.0,20,0.667
8,29.0,0.0,0.0,5,"1059,1610612757",8,4,63.435,0.16,0.09,0.36,0.69,0.05,0.0,1059,Aleksandar Djordjevic,0.05,0.0,0.03,0.06,POR,1610612757.0,4,0.5
9,26.0,0.01,0.01,5,"275,1610612752",81,25,2778.21833333,0.24,0.17,0.36,0.68,0.08,0.0,275,Allan Houston,0.03,0.05,0.07,0.09,NYK,1610612752.0,56,0.691
10,22.0,0.01,0.03,5,"947,1610612755",76,56,3122.05,0.35,0.36,0.42,1.02,0.07,0.0,947,Allen Iverson,0.05,0.11,0.11,0.23,PHI,1610612755.0,20,0.263
11,27.0,0.08,0.03,5,"297,1610612748",66,17,2395.445,0.26,0.18,0.34,0.71,0.1,0.0,297,Alonzo Mourning,0.09,0.04,0.11,0.31,MIA,1610612748.0,49,0.742
12,38.0,0.03,0.01,5,"175,1610612738",53,45,534.65,0.26,0.32,0.39,0.88,0.15,0.0,175,Alton Lister,0.08,0.01,0.02,0.08,BOS,1610612738.0,8,0.151
13,23.0,0.04,0.03,5,"1043,1610612753",17,8,111.858333333,0.23,0.39,0.35,1.0,0.06,0.0,1043,Amal McCaskill,0.04,0.0,0.03,0.13,ORL,1610612753.0,9,0.529
14,24.0,0.02,0.03,5,"692,1610612744",71,45,1104.94,0.28,0.2,0.4,0.76,0.19,0.0,692,Andrew DeClercq,0.11,0.01,0.05,0.24,GSW,1610612744.0,26,0.366
15,31.0,0.04,0.02,5,"457,1610612749",52,28,1227.95,0.24,0.33,0.37,0.85,0.1,0.0,457,Andrew Lang,0.06,0.03,0.03,0.16,MIL,1610612749.0,24,0.462
16,25.0,0.02,0.03,5,"358,1610612753",59,21,2286.53,0.29,0.33,0.33,0.89,0.05,0.0,358,Anfernee Hardaway,0.04,0.08,0.11,0.23,ORL,1610612753.0,38,0.644
17,25.0,0.0,0.01,5,"924,1610612743",60,38,1234.59333333,0.31,0.23,0.36,0.88,0.08,0.0,924,Anthony Goldwire,0.02,0.05,0.07,0.08,DEN,1610612743.0,22,0.367
18,30.0,0.01,0.02,5,"193,1610612766",73,25,3240.99666667,0.32,0.22,0.32,0.85,0.06,0.0,193,Anthony Mason,0.06,0.03,0.05,0.21,CHH,1610612766.0,48,0.658
19,25.0,0.0,0.07,5,"292,1610612737",1,1,14.6,0.27,0.41,0.21,0.82,0.14,0.0,292,Anthony Miller,0.0,0.0,0.0,0.0,ATL,1610612737.0,0,0.0
20,27.0,0.01,0.02,5,"324,1610612763",72,60,2355.25,0.32,0.28,0.35,0.92,0.07,0.0,324,Anthony Peeler,0.04,0.06,0.07,0.1,VAN,1610612763.0,12,0.167
21,35.0,0.04,0.02,5,"156,1610612762",82,18,1527.41333333,0.26,0.17,0.32,0.65,0.13,0.0,156,Antoine Carr,0.05,0.02,0.07,0.18,UTA,1610612762.0,64,0.78
22,20.0,0.02,0.04,5,"952,1610612738",82,67,3069.22,0.3,0.32,0.38,1.1,0.08,0.0,952,Antoine Walker,0.11,0.09,0.09,0.3,BOS,1610612738.0,15,0.183
23,28.0,0.03,0.03,5,"213,1610612754",82,43,2426.22833333,0.26,0.25,0.35,0.68,0.1,0.0,213,Antonio Davis,0.06,0.03,0.06,0.2,IND,1610612754.0,39,0.476
24,26.0,0.14,0.07,5,"176,1610612760",6,0,28.9416666667,0.76,0.17,0.45,0.62,0.28,0.0,176,Antonio Harvey,0.0,0.21,0.21,0.21,SEA,1610612760.0,6,1.0
25,25.0,0.03,0.02,5,"226,1610612739",64,32,883.141666667,0.19,0.19,0.35,0.63,0.12,0.0,226,Antonio Lang,0.04,0.01,0.05,0.1,CLE,1610612739.0,32,0.5
26,22.0,0.05,0.03,5,"686,1610612743",74,55,2638.79666667,0.32,0.28,0.39,0.9,0.09,0.0,686,Antonio McDyess,0.06,0.06,0.07,0.24,DEN,1610612743.0,19,0.257
27,33.0,0.02,0.01,5,"288,1610612749",80,47,2123.375,0.28,0.37,0.39,0.94,0.09,0.0,288,Armen Gilliam,0.06,0.04,0.06,0.17,MIL,1610612749.0,33,0.413
28,32.0,0.05,0.02,5,"717,1610612757",69,26,1813.34666667,0.27,0.24,0.33,0.8,0.09,0.0,717,Arvydas Sabonis,0.07,0.01,0.07,0.28,POR,1610612757.0,43,0.623
29,25.0,0.02,0.04,5,"732,1610612764",31,15,150.426666667,0.35,0.17,0.33,0.88,0.19,0.0,732,Ashraf Amaya,0.07,0.01,0.03,0.15,WAS,1610612764.0,16,0.516
30,32.0,0.01,0.02,5,"422,1610612759",76,57,2546.56333333,0.31,0.24,0.31,0.83,0.06,0.0,422,Avery Johnson,0.03,0.06,0.07,0.16,SAS,1610612759.0,19,0.25
31,29.0,0.0,0.01,5,"769,1610612744",49,30,1052.74333333,0.3,0.24,0.36,0.85,0.05,0.0,769,B.J. Armstrong,0.03,0.06,0.08,0.12,GSW,1610612744.0,19,0.388
32,24.0,0.01,0.06,5,"989,1610612756",20,8,104.781666667,0.24,0.22,0.3,1.01,0.15,0.0,989,Ben Davis,0.08,0.0,0.04,0.13,PHX,1610612756.0,12,0.6
33,22.0,0.05,0.04,5,"1112,1610612764",34,13,204.776666667,0.32,0.26,0.36,0.74,0.13,0.0,1112,Ben Wallace,0.07,0.01,0.05,0.15,WAS,1610612764.0,21,0.618
34,32.0,0.0,0.05,5,"104,1610612761",4,2,44.06,0.32,0.54,0.32,0.95,0.11,0.0,104,Benoit Benjamin,0.09,0.18,0.09,0.18,TOR,1610612761.0,2,0.5
35,34.0,0.01,0.01,5,"82,1610612741",61,8,805.518333333,0.28,0.23,0.29,0.78,0.15,0.0,82,Bill Wennington,0.08,0.02,0.04,0.08,CHI,1610612741.0,53,0.869
36,28.0,0.01,0.02,5,"182,1610612758",66,40,2055.65833333,0.28,0.26,0.35,0.84,0.09,0.0,182,Billy Owens,0.07,0.05,0.06,0.2,SAC,1610612758.0,26,0.394
37,29.0,0.01,0.02,5,"902,1610612744",51,32,1221.15166667,0.32,0.21,0.37,0.84,0.08,0.0,902,Bimbo Coles,0.02,0.03,0.04,0.11,GSW,1610612744.0,19,0.373
38,28.0,0.03,0.04,5,"183,1610612741",9,3,144.486666667,0.31,0.21,0.26,0.79,0.14,0.0,183,Bison Dele,0.08,0.04,0.05,0.25,CHI,1610612741.0,6,0.667
39,31.0,0.01,0.02,5,"898,1610612763",61,52,1473.99333333,0.33,0.29,0.36,0.89,0.09,0.0,898,Blue Edwards,0.05,0.05,0.07,0.09,VAN,1610612763.0,9,0.148
40,26.0,0.06,0.01,5,"448,1610612746",82,46,2270.66833333,0.27,0.22,0.35,0.82,0.09,0.0,448,Bo Outlaw,0.07,0.05,0.05,0.21,LAC,1610612746.0,36,0.439
41,24.0,0.01,0.02,5,"682,1610612739",82,40,2365.47666667,0.22,0.18,0.33,0.66,0.09,0.0,682,Bob Sura,0.03,0.05,0.08,0.16,CLE,1610612739.0,42,0.512
42,26.0,0.0,0.01,5,"310,1610612758",49,31,650.836666667,0.31,0.29,0.39,0.93,0.08,0.0,310,Bobby Hurley,0.02,0.02,0.04,0.02,SAC,1610612758.0,18,0.367
43,27.0,0.01,0.02,5,"184,1610612739",69,33,2452.60666667,0.22,0.17,0.31,0.65,0.06,0.0,184,Bobby Phills,0.05,0.05,0.08,0.11,CLE,1610612739.0,36,0.522
44,32.0,0.0,0.02,5,"38,1610612761",6,5,45.115,0.31,0.35,0.47,1.11,0.13,0.0,38,Brad Lohaus,0.04,0.04,0.0,0.04,TOR,1610612761.0,1,0.167
45,25.0,0.01,0.01,5,"699,1610612746",59,35,1133.04333333,0.26,0.23,0.34,0.87,0.08,0.0,699,Brent Barry,0.03,0.09,0.07,0.11,LAC,1610612746.0,24,0.407
46,28.0,0.0,0.01,5,"85,1610612745",25,11,406.69,0.32,0.28,0.35,0.92,0.08,0.0,85,Brent Price,0.04,0.08,0.1,0.09,HOU,1610612745.0,14,0.56
47,26.0,0.02,0.04,5,"1064,1610612754",16,9,57.135,0.33,0.19,0.47,0.77,0.25,0.0,1064,Brent Scott,0.07,0.04,0.02,0.25,IND,1610612754.0,7,0.438
48,29.0,0.05,0.02,5,"1136,1610612738",70,59,687.113333333,0.29,0.35,0.45,1.03,0.16,0.0,1136,Brett Szabo,0.06,0.02,0.04,0.12,BOS,1610612738.0,11,0.157
49,23.0,0.03,0.0,5,"967,1610612753",14,6,59.8233333333,0.35,0.62,0.43,0.97,0.08,0.0,967,Brian Evans,0.03,0.0,0.07,0.07,ORL,1610612753.0,8,0.571
50,25.0,0.04,0.03,5,"258,1610612758",24,15,627.885,0.26,0.25,0.47,0.86,0.12,0.0,258,Brian Grant,0.06,0.05,0.08,0.2,SAC,1610612758.0,9,0.375
51,31.0,0.01,0.02,5,"216,1610612753",77,36,1927.55166667,0.29,0.33,0.39,0.87,0.1,0.0,216,Brian Shaw,0.03,0.01,0.05,0.1,ORL,1610612753.0,41,0.532
52,26.0,0.0,0.02,5,"240,1610612743",67,49,1090.86333333,0.32,0.27,0.36,0.93,0.11,0.0,240,Brooks Thompson,0.03,0.04,0.06,0.04,DEN,1610612743.0,18,0.269
53,26.0,1.82,0.0,5,"1477,1610612748",1,0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1477,Bruce Bowen,0.0,0.0,0.0,0.0,MIA,1610612748.0,1,1.0
54,24.0,0.02,0.03,5,"735,1610612763",75,61,2843.56166667,0.32,0.3,0.36,0.95,0.09,0.0,735,Bryant Reeves,0.07,0.01,0.07,0.23,VAN,1610612763.0,14,0.187
55,26.0,0.01,0.03,5,"179,1610612743",52,39,1849.50333333,0.28,0.26,0.4,0.85,0.06,0.0,179,Bryant Stith,0.04,0.05,0.07,0.1,DEN,1610612743.0,13,0.25
56,26.0,0.01,0.01,5,"935,1610612762",81,18,2629.55166667,0.25,0.15,0.3,0.71,0.08,0.0,935,Bryon Russell,0.03,0.07,0.09,0.12,UTA,1610612762.0,63,0.778
57,37.0,0.02,0.02,5,"433,1610612752",74,21,1570.60333333,0.23,0.16,0.36,0.62,0.12,0.0,433,Buck Williams,0.07,0.04,0.06,0.2,NYK,1610612752.0,53,0.716
58,36.0,0.01,0.01,5,"2,1610612747",79,25,1495.35333333,0.31,0.25,0.32,0.82,0.04,0.0,2,Byron Scott,0.03,0.06,0.07,0.07,LAL,1610612747.0,54,0.684
59,25.0,0.01,0.01,5,"384,1610612764",79,37,2482.95333333,0.28,0.26,0.38,0.83,0.08,0.0,384,Calbert Cheaney,0.04,0.06,0.07,0.17,WAS,1610612764.0,42,0.532
60,30.0,0.03,0.03,5,"61,1610612759",75,58,1884.07666667,0.29,0.25,0.36,0.8,0.1,0.0,61,Carl Herrera,0.06,0.01,0.06,0.19,SAS,1610612759.0,17,0.227
61,27.0,0.01,0.0,5,"1063,1610612739",19,6,79.71,0.23,0.31,0.49,0.63,0.08,0.0,1063,Carl Thomas,0.05,0.03,0.09,0.1,CLE,1610612739.0,13,0.684
62,26.0,0.05,0.02,5,"435,1610612761",56,39,1439.48833333,0.3,0.39,0.41,0.92,0.1,0.0,435,Carlos Rogers,0.08,0.1,0.08,0.23,TOR,1610612761.0,17,0.304
63,27.0,0.02,0.04,5,"76,1610612756",50,21,1463.83166667,0.31,0.27,0.33,0.87,0.07,0.0,76,Cedric Ceballos,0.09,0.11,0.09,0.29,PHX,1610612756.0,29,0.58
64,34.0,0.01,0.02,5,"787,1610612745",53,12,2065.02,0.28,0.24,0.35,0.77,0.07,0.0,787,Charles Barkley,0.1,0.05,0.08,0.22,HOU,1610612745.0,41,0.774
65,40.0,0.04,0.0,5,"279,1610612745",12,5,96.9916666667,0.41,0.24,0.35,0.87,0.07,0.0,279,Charles Jones,0.0,0.0,0.0,0.04,HOU,1610612745.0,7,0.583
66,33.0,0.01,0.01,5,"891,1610612752",80,25,2966.54833333,0.24,0.18,0.36,0.68,0.1,0.0,891,Charles Oakley,0.08,0.03,0.05,0.12,NYK,1610612752.0,55,0.688
67,31.0,0.06,0.02,5,"293,1610612759",19,14,341.133333333,0.26,0.29,0.34,0.73,0.11,0.0,293,Charles Smith,0.03,0.02,0.05,0.09,SAS,1610612759.0,5,0.263
68,26.0,0.01,0.01,5,"369,1610612752",79,23,1840.075,0.25,0.2,0.37,0.69,0.09,0.0,369,Charlie Ward,0.01,0.02,0.05,0.08,NYK,1610612752.0,56,0.709
69,24.0,0.05,0.01,5,"685,1610612750",76,38,1000.11,0.29,0.3,0.36,0.82,0.14,0.0,685,Cherokee Parks,0.08,0.02,0.04,0.14,MIN,1610612750.0,38,0.5
70,23.0,0.01,0.03,5,"713,1610612750",55,27,857.505,0.29,0.3,0.31,0.82,0.1,0.0,713,Chris Carr,0.07,0.07,0.07,0.15,MIN,1610612750.0,28,0.509
71,29.0,0.01,0.01,5,"164,1610612752",65,23,2147.85333333,0.24,0.16,0.36,0.65,0.09,0.0,164,Chris Childs,0.02,0.05,0.05,0.07,NYK,1610612752.0,42,0.646
72,32.0,0.05,0.01,5,"201,1610612757",81,33,1907.52833333,0.24,0.24,0.4,0.73,0.11,0.0,201,Chris Dudley,0.07,0.01,0.03,0.12,POR,1610612757.0,48,0.593
73,29.0,0.02,0.03,5,"423,1610612751",47,31,1326.58166667,0.29,0.28,0.36,0.79,0.1,0.0,423,Chris Gatling,0.13,0.07,0.12,0.37,NJN,1610612751.0,16,0.34
74,27.0,0.0,0.0,5,"1137,1610612752",3,1,9.82333333333,1.02,0.2,0.41,1.02,0.2,0.0,1137,Chris Jent,0.31,0.0,0.31,0.0,NYK,1610612752.0,2,0.667
75,27.0,0.01,0.01,5,"168,1610612739",80,39,3280.33333333,0.24,0.18,0.29,0.67,0.06,0.0,168,Chris Mills,0.05,0.03,0.06,0.11,CLE,1610612739.0,41,0.513
76,31.0,0.02,0.02,5,"356,1610612762",73,14,1016.82166667,0.3,0.2,0.37,0.68,0.11,0.0,356,Chris Morris,0.04,0.05,0.06,0.13,UTA,1610612762.0,59,0.808
77,33.0,0.01,0.01,5,"904,1610612744",79,52,2822.60666667,0.31,0.26,0.44,0.9,0.05,0.0,904,Chris Mullin,0.04,0.06,0.07,0.13,GSW,1610612744.0,27,0.342
78,23.0,0.01,0.0,5,"997,1610612763",41,35,708.573333333,0.27,0.3,0.38,0.95,0.11,0.0,997,Chris Robinson,0.03,0.03,0.04,0.06,VAN,1610612763.0,6,0.146
79,24.0,0.05,0.02,5,"185,1610612764",72,32,2895.54166667,0.27,0.27,0.35,0.81,0.09,0.0,185,Chris Webber,0.1,0.08,0.1,0.31,WAS,1610612764.0,40,0.556
80,25.0,0.0,0.01,5,"43,1610612764",82,38,1152.945,0.29,0.24,0.32,0.76,0.08,0.0,43,Chris Whitney,0.03,0.06,0.06,0.09,WAS,1610612764.0,44,0.537
81,27.0,0.02,0.02,5,"363,1610612737",82,26,3219.53833333,0.29,0.22,0.3,0.71,0.08,0.0,363,Christian Laettner,0.08,0.03,0.08,0.2,ATL,1610612737.0,56,0.683
82,29.0,0.03,0.01,5,"359,1610612749",70,45,786.336666667,0.3,0.34,0.36,0.9,0.12,0.0,359,Chucky Brown,0.06,0.04,0.05,0.14,MIL,1610612749.0,25,0.357
83,26.0,0.03,0.03,5,"221,1610612755",82,60,3021.57666667,0.32,0.35,0.42,0.95,0.06,0.0,221,Clar. Weatherspoon,0.07,0.02,0.05,0.17,PHI,1610612755.0,22,0.268
84,30.0,0.02,0.02,5,"361,1610612757",81,33,3187.89833333,0.24,0.25,0.35,0.79,0.07,0.0,361,Clifford Robinson,0.04,0.04,0.07,0.14,POR,1610612757.0,48,0.593
85,24.0,0.06,0.02,5,"32,1610612761",42,27,752.073333333,0.28,0.37,0.39,0.89,0.12,0.0,32,Clifford Rozier,0.09,0.05,0.03,0.2,TOR,1610612761.0,15,0.357
86,35.0,0.02,0.02,5,"17,1610612745",62,16,2337.31833333,0.28,0.26,0.35,0.78,0.06,0.0,17,Clyde Drexler,0.05,0.09,0.08,0.18,HOU,1610612745.0,46,0.742
87,28.0,0.03,0.01,5,"916,1610612747",58,18,1039.79666667,0.27,0.28,0.36,0.88,0.11,0.0,916,Corie Blount,0.05,0.05,0.04,0.15,LAL,1610612747.0,40,0.69
88,23.0,0.02,0.03,5,"722,1610612758",79,47,2046.095,0.29,0.26,0.38,0.84,0.12,0.0,722,Corliss Williamson,0.08,0.07,0.08,0.3,SAC,1610612758.0,32,0.405
89,24.0,0.01,0.02,5,"724,1610612759",80,60,1503.46666667,0.28,0.29,0.41,0.8,0.1,0.0,724,Cory Alexander,0.03,0.05,0.07,0.08,SAS,1610612759.0,20,0.25
90,35.0,0.0,0.02,5,"378,1610612760",62,17,884.473333333,0.29,0.18,0.32,0.72,0.08,0.0,378,Craig Ehlo,0.05,0.05,0.06,0.1,SEA,1610612760.0,45,0.726
91,25.0,0.0,0.0,5,"733,1610612749",3,3,13.7733333333,0.07,0.65,0.0,0.73,0.07,0.0,733,Cuonzo Martin,0.0,0.0,0.0,0.0,MIL,1610612749.0,0,0.0
92,28.0,0.03,0.02,5,"905,1610612754",80,41,2673.47166667,0.25,0.27,0.35,0.71,0.08,0.0,905,Dale Davis,0.1,0.02,0.04,0.24,IND,1610612754.0,39,0.488
93,36.0,0.0,0.02,5,"107,1610612743",82,61,3044.01666667,0.31,0.28,0.39,0.93,0.06,0.0,107,Dale Ellis,0.06,0.05,0.06,0.08,DEN,1610612743.0,21,0.256
