,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,,0.011,0.014,5,"471,",41,28,0.463,0.125,0.111,0.197,0.381,0.053,0.0,471,,0.03,0.02,0.029,0.041,,,13,0.317
1,33.0,0.003,0.008,5,"920,1610612742",83,60,0.474,0.13,0.138,0.17,0.387,0.026,0.001,920,A.C. Green,0.033,0.015,0.019,0.055,DAL,1610612742.0,23,0.277
2,24.0,0.006,0.011,5,"243,1610612765",83,35,0.494,0.124,0.097,0.167,0.31,0.037,0.0,243,Aaron McKie,0.008,0.024,0.028,0.045,DET,1610612765.0,48,0.578
3,25.0,0.024,0.006,5,"1425,1610612763",33,29,0.487,0.157,0.134,0.201,0.434,0.055,0.0,1425,Aaron Williams,0.048,0.017,0.029,0.138,VAN,1610612763.0,4,0.121
4,27.0,0.025,0.007,5,"768,1610612749",47,33,0.466,0.12,0.162,0.165,0.406,0.055,0.0,768,Acie Earl,0.031,0.019,0.034,0.089,MIL,1610612749.0,14,0.298
5,27.0,0.007,0.007,5,"228,1610612762",62,14,0.483,0.121,0.096,0.182,0.34,0.047,0.001,228,Adam Keefe,0.027,0.021,0.022,0.068,UTA,1610612762.0,48,0.774
6,30.0,0.006,0.007,5,"154,1610612755",45,33,0.435,0.148,0.148,0.173,0.399,0.058,0.0,154,Adrian Caldwell,0.033,0.01,0.008,0.058,PHI,1610612755.0,12,0.267
7,24.0,0.005,0.014,5,"673,1610612737",30,10,0.466,0.156,0.14,0.188,0.42,0.062,0.0,673,Alan Henderson,0.041,0.012,0.041,0.119,ATL,1610612737.0,20,0.667
8,29.0,0.0,0.0,5,"1059,1610612757",8,4,0.488,0.077,0.046,0.177,0.339,0.023,0.0,1059,Aleksandar Djordjevic,0.023,0.0,0.015,0.031,POR,1610612757.0,4,0.5
9,26.0,0.003,0.006,5,"275,1610612752",81,25,0.479,0.117,0.083,0.173,0.323,0.036,0.0,275,Allan Houston,0.017,0.025,0.035,0.044,NYK,1610612752.0,56,0.691
10,22.0,0.003,0.014,5,"947,1610612755",76,56,0.426,0.15,0.155,0.18,0.435,0.03,0.0,947,Allen Iverson,0.023,0.045,0.047,0.099,PHI,1610612755.0,20,0.263
11,27.0,0.038,0.014,5,"297,1610612748",66,17,0.484,0.125,0.088,0.163,0.344,0.046,0.002,297,Alonzo Mourning,0.043,0.021,0.054,0.149,MIA,1610612748.0,49,0.742
12,38.0,0.012,0.006,5,"175,1610612738",53,45,0.445,0.114,0.141,0.171,0.391,0.067,0.001,175,Alton Lister,0.034,0.003,0.01,0.037,BOS,1610612738.0,8,0.151
13,23.0,0.021,0.013,5,"1043,1610612753",17,8,0.478,0.111,0.188,0.167,0.479,0.03,0.0,1043,Amal McCaskill,0.017,0.0,0.013,0.06,ORL,1610612753.0,9,0.529
14,24.0,0.011,0.012,5,"692,1610612744",71,45,0.46,0.128,0.091,0.185,0.35,0.086,0.0,692,Andrew DeClercq,0.051,0.003,0.025,0.111,GSW,1610612744.0,26,0.366
15,31.0,0.018,0.009,5,"457,1610612749",52,28,0.482,0.116,0.158,0.179,0.41,0.048,0.0,457,Andrew Lang,0.027,0.013,0.013,0.075,MIL,1610612749.0,24,0.462
16,25.0,0.007,0.012,5,"358,1610612753",59,21,0.468,0.138,0.154,0.156,0.418,0.025,0.0,358,Anfernee Hardaway,0.021,0.039,0.052,0.109,ORL,1610612753.0,38,0.644
17,25.0,0.001,0.006,5,"924,1610612743",60,38,0.471,0.147,0.106,0.17,0.414,0.036,0.0,924,Anthony Goldwire,0.008,0.025,0.031,0.036,DEN,1610612743.0,22,0.367
18,30.0,0.005,0.01,5,"193,1610612766",73,25,0.492,0.155,0.107,0.155,0.416,0.03,0.0,193,Anthony Mason,0.027,0.012,0.025,0.101,CHH,1610612766.0,48,0.658
19,25.0,0.0,0.03,5,"292,1610612737",1,1,0.436,0.119,0.179,0.089,0.358,0.06,0.0,292,Anthony Miller,0.0,0.0,0.0,0.0,ATL,1610612737.0,0,0.0
20,27.0,0.003,0.009,5,"324,1610612763",72,60,0.476,0.15,0.132,0.166,0.436,0.031,0.0,324,Anthony Peeler,0.017,0.029,0.033,0.046,VAN,1610612763.0,12,0.167
21,35.0,0.02,0.008,5,"156,1610612762",82,18,0.492,0.127,0.085,0.156,0.321,0.066,0.0,156,Antoine Carr,0.023,0.012,0.035,0.088,UTA,1610612762.0,64,0.78
22,20.0,0.008,0.017,5,"952,1610612738",82,67,0.442,0.13,0.14,0.167,0.487,0.036,0.0,952,Antoine Walker,0.049,0.038,0.041,0.132,BOS,1610612738.0,15,0.183
