,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,,0.013,0.015,5,"471,",41,28,0.527,0.142,0.126,0.224,0.434,0.06,0.0,471,,0.034,0.023,0.033,0.046,,,13,0.317
1,33.0,0.003,0.009,5,"920,1610612742",83,60,0.539,0.148,0.157,0.194,0.441,0.029,0.001,920,A.C. Green,0.037,0.017,0.021,0.062,DAL,1610612742.0,23,0.277
2,24.0,0.007,0.012,5,"243,1610612765",83,35,0.557,0.14,0.109,0.188,0.35,0.042,0.0,243,Aaron McKie,0.009,0.027,0.032,0.051,DET,1610612765.0,48,0.578
3,25.0,0.028,0.007,5,"1425,1610612763",33,29,0.559,0.18,0.154,0.231,0.498,0.063,0.0,1425,Aaron Williams,0.055,0.019,0.033,0.158,VAN,1610612763.0,4,0.121
4,27.0,0.029,0.008,5,"768,1610612749",47,33,0.536,0.138,0.186,0.189,0.467,0.063,0.0,768,Acie Earl,0.036,0.022,0.039,0.103,MIL,1610612749.0,14,0.298
5,27.0,0.007,0.007,5,"228,1610612762",62,14,0.54,0.135,0.107,0.203,0.381,0.053,0.001,228,Adam Keefe,0.031,0.024,0.025,0.076,UTA,1610612762.0,48,0.774
6,30.0,0.007,0.009,5,"154,1610612755",45,33,0.507,0.173,0.172,0.201,0.465,0.067,0.0,154,Adrian Caldwell,0.038,0.012,0.009,0.067,PHI,1610612755.0,12,0.267
7,24.0,0.006,0.016,5,"673,1610612737",30,10,0.531,0.177,0.159,0.214,0.478,0.071,0.0,673,Alan Henderson,0.046,0.013,0.047,0.135,ATL,1610612737.0,20,0.667
8,29.0,0.0,0.0,5,"1059,1610612757",8,4,0.529,0.083,0.05,0.192,0.367,0.025,0.0,1059,Aleksandar Djordjevic,0.025,0.0,0.017,0.033,POR,1610612757.0,4,0.5
9,26.0,0.003,0.007,5,"275,1610612752",81,25,0.538,0.132,0.093,0.194,0.363,0.04,0.0,275,Allan Houston,0.019,0.028,0.039,0.05,NYK,1610612752.0,56,0.691
10,22.0,0.004,0.017,5,"947,1610612755",76,56,0.494,0.174,0.18,0.209,0.505,0.035,0.0,947,Allen Iverson,0.027,0.052,0.054,0.115,PHI,1610612755.0,20,0.263
11,27.0,0.043,0.016,5,"297,1610612748",66,17,0.547,0.141,0.099,0.184,0.388,0.052,0.002,297,Alonzo Mourning,0.048,0.024,0.061,0.168,MIA,1610612748.0,49,0.742
12,38.0,0.013,0.007,5,"175,1610612738",53,45,0.512,0.131,0.163,0.197,0.45,0.078,0.001,175,Alton Lister,0.039,0.004,0.011,0.042,BOS,1610612738.0,8,0.151
13,23.0,0.024,0.015,5,"1043,1610612753",17,8,0.546,0.127,0.215,0.19,0.546,0.034,0.0,1043,Amal McCaskill,0.02,0.0,0.015,0.068,ORL,1610612753.0,9,0.529
14,24.0,0.013,0.014,5,"692,1610612744",71,45,0.53,0.148,0.105,0.214,0.404,0.099,0.0,692,Andrew DeClercq,0.059,0.004,0.029,0.128,GSW,1610612744.0,26,0.366
15,31.0,0.021,0.01,5,"457,1610612749",52,28,0.544,0.131,0.178,0.202,0.463,0.054,0.0,457,Andrew Lang,0.031,0.015,0.014,0.085,MIL,1610612749.0,24,0.462
16,25.0,0.008,0.014,5,"358,1610612753",59,21,0.537,0.158,0.177,0.179,0.479,0.028,0.0,358,Anfernee Hardaway,0.024,0.045,0.06,0.125,ORL,1610612753.0,38,0.644
17,25.0,0.001,0.007,5,"924,1610612743",60,38,0.529,0.165,0.119,0.191,0.465,0.04,0.0,924,Anthony Goldwire,0.009,0.028,0.035,0.04,DEN,1610612743.0,22,0.367
18,30.0,0.006,0.011,5,"193,1610612766",73,25,0.549,0.174,0.12,0.174,0.465,0.033,0.001,193,Anthony Mason,0.031,0.014,0.028,0.113,CHH,1610612766.0,48,0.658
19,25.0,0.0,0.038,5,"292,1610612737",1,1,0.551,0.151,0.226,0.113,0.452,0.075,0.0,292,Anthony Miller,0.0,0.0,0.0,0.0,ATL,1610612737.0,0,0.0
20,27.0,0.004,0.011,5,"324,1610612763",72,60,0.54,0.171,0.15,0.188,0.495,0.035,0.0,324,Anthony Peeler,0.019,0.033,0.037,0.052,VAN,1610612763.0,12,0.167
21,35.0,0.023,0.009,5,"156,1610612762",82,18,0.549,0.142,0.095,0.174,0.358,0.074,0.0,156,Antoine Carr,0.026,0.014,0.039,0.098,UTA,1610612762.0,64,0.78
22,20.0,0.009,0.019,5,"952,1610612738",82,67,0.502,0.148,0.159,0.19,0.553,0.041,0.0,952,Antoine Walker,0.056,0.043,0.047,0.15,BOS,1610612738.0,15,0.183
23,28.0,0.019,0.015,5,"213,1610612754",82,43,0.55,0.144,0.136,0.195,0.372,0.053,0.002,213,Antonio Davis,0.035,0.018,0.034,0.107,IND,1610612754.0,39,0.476
24,26.0,0.069,0.034,5,"176,1610612760",6,0,0.496,0.377,0.086,0.223,0.308,0.137,0.0,176,Antonio Harvey,0.0,0.103,0.103,0.103,SEA,1610612760.0,6,1.0
25,25.0,0.02,0.012,5,"226,1610612739",64,32,0.583,0.11,0.109,0.201,0.369,0.071,0.001,226,Antonio Lang,0.026,0.007,0.026,0.059,CLE,1610612739.0,32,0.5
26,22.0,0.025,0.014,5,"686,1610612743",74,55,0.519,0.164,0.146,0.201,0.469,0.049,0.001,686,Antonio McDyess,0.032,0.03,0.036,0.123,DEN,1610612743.0,19,0.257
27,33.0,0.01,0.006,5,"288,1610612749",80,47,0.541,0.154,0.199,0.21,0.506,0.049,0.0,288,Armen Gilliam,0.032,0.019,0.034,0.09,MIL,1610612749.0,33,0.413
28,32.0,0.024,0.01,5,"717,1610612757",69,26,0.52,0.138,0.126,0.173,0.416,0.049,0.0,717,Arvydas Sabonis,0.037,0.006,0.034,0.145,POR,1610612757.0,43,0.623
29,25.0,0.01,0.021,5,"732,1610612764",31,15,0.519,0.179,0.086,0.169,0.455,0.1,0.0,732,Ashraf Amaya,0.034,0.007,0.017,0.076,WAS,1610612764.0,16,0.516
30,32.0,0.003,0.011,5,"422,1610612759",76,57,0.554,0.173,0.135,0.173,0.462,0.032,0.0,422,Avery Johnson,0.015,0.033,0.036,0.09,SAS,1610612759.0,19,0.25
31,29.0,0.001,0.008,5,"769,1610612744",49,30,0.536,0.158,0.128,0.191,0.457,0.027,0.0,769,B.J. Armstrong,0.015,0.03,0.045,0.063,GSW,1610612744.0,19,0.388
32,24.0,0.005,0.028,5,"989,1610612756",20,8,0.492,0.117,0.108,0.146,0.498,0.075,0.0,989,Ben Davis,0.038,0.0,0.019,0.066,PHX,1610612756.0,12,0.6
33,22.0,0.029,0.021,5,"1112,1610612764",34,13,0.537,0.171,0.139,0.194,0.399,0.071,0.003,1112,Ben Wallace,0.039,0.005,0.026,0.079,WAS,1610612764.0,21,0.618
34,32.0,0.0,0.023,5,"104,1610612761",4,2,0.5,0.159,0.272,0.159,0.476,0.057,0.0,104,Benoit Benjamin,0.045,0.091,0.045,0.091,TOR,1610612761.0,2,0.5
35,34.0,0.007,0.006,5,"82,1610612741",61,8,0.539,0.153,0.125,0.155,0.423,0.082,0.0,82,Bill Wennington,0.041,0.011,0.024,0.041,CHI,1610612741.0,53,0.869
36,28.0,0.006,0.012,5,"182,1610612758",66,40,0.531,0.149,0.137,0.186,0.448,0.048,0.0,182,Billy Owens,0.036,0.026,0.03,0.104,SAC,1610612758.0,26,0.394
37,29.0,0.003,0.009,5,"902,1610612744",51,32,0.537,0.17,0.114,0.2,0.452,0.041,0.0,902,Bimbo Coles,0.013,0.018,0.023,0.058,GSW,1610612744.0,19,0.373
38,28.0,0.019,0.023,5,"183,1610612741",9,3,0.563,0.175,0.117,0.144,0.444,0.078,0.0,183,Bison Dele,0.043,0.023,0.027,0.14,CHI,1610612741.0,6,0.667
39,31.0,0.007,0.01,5,"898,1610612763",61,52,0.546,0.182,0.157,0.196,0.486,0.048,0.0,898,Blue Edwards,0.03,0.026,0.041,0.051,VAN,1610612763.0,9,0.148
40,26.0,0.033,0.007,5,"448,1610612746",82,46,0.534,0.144,0.115,0.189,0.436,0.05,0.001,448,Bo Outlaw,0.04,0.025,0.024,0.112,LAC,1610612746.0,36,0.439
41,24.0,0.008,0.012,5,"682,1610612739",82,40,0.586,0.127,0.105,0.194,0.389,0.051,0.001,682,Bob Sura,0.017,0.029,0.045,0.091,CLE,1610612739.0,42,0.512
42,26.0,0.002,0.005,5,"310,1610612758",49,31,0.513,0.16,0.15,0.203,0.475,0.041,0.0,310,Bobby Hurley,0.009,0.009,0.02,0.013,SAC,1610612758.0,18,0.367
43,27.0,0.005,0.011,5,"184,1610612739",69,33,0.588,0.131,0.098,0.181,0.384,0.038,0.0,184,Bobby Phills,0.027,0.027,0.049,0.065,CLE,1610612739.0,36,0.522
44,32.0,0.0,0.011,5,"38,1610612761",6,5,0.487,0.151,0.173,0.226,0.539,0.065,0.0,38,Brad Lohaus,0.022,0.022,0.0,0.022,TOR,1610612761.0,1,0.167
45,25.0,0.007,0.003,5,"699,1610612746",59,35,0.519,0.136,0.119,0.175,0.451,0.04,0.0,699,Brent Barry,0.016,0.045,0.035,0.056,LAC,1610612746.0,24,0.407
46,28.0,0.0,0.006,5,"85,1610612745",25,11,0.522,0.166,0.144,0.184,0.483,0.042,0.0,85,Brent Price,0.022,0.04,0.054,0.046,HOU,1610612745.0,14,0.56
47,26.0,0.009,0.018,5,"1064,1610612754",16,9,0.5,0.166,0.096,0.237,0.385,0.123,0.0,1064,Brent Scott,0.035,0.018,0.009,0.123,IND,1610612754.0,7,0.438
48,29.0,0.023,0.009,5,"1136,1610612738",70,59,0.494,0.142,0.175,0.222,0.508,0.081,0.001,1136,Brett Szabo,0.03,0.011,0.019,0.058,BOS,1610612738.0,11,0.157
49,23.0,0.016,0.0,5,"967,1610612753",14,6,0.479,0.168,0.296,0.208,0.464,0.04,0.0,967,Brian Evans,0.016,0.0,0.032,0.032,ORL,1610612753.0,8,0.571
50,25.0,0.021,0.017,5,"258,1610612758",24,15,0.519,0.137,0.13,0.246,0.446,0.06,0.0,258,Brian Grant,0.03,0.026,0.04,0.103,SAC,1610612758.0,9,0.375
51,31.0,0.007,0.009,5,"216,1610612753",77,36,0.543,0.16,0.179,0.214,0.471,0.054,0.0,216,Brian Shaw,0.018,0.008,0.028,0.055,ORL,1610612753.0,41,0.532
52,26.0,0.001,0.009,5,"240,1610612743",67,49,0.516,0.165,0.139,0.185,0.48,0.058,0.0,240,Brooks Thompson,0.018,0.019,0.033,0.018,DEN,1610612743.0,18,0.269
53,26.0,1.0,0.0,5,"1477,1610612748",1,0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1477,Bruce Bowen,0.0,0.0,0.0,0.0,MIA,1610612748.0,1,1.0
54,24.0,0.013,0.015,5,"735,1610612763",75,61,0.539,0.173,0.162,0.196,0.51,0.048,0.0,735,Bryant Reeves,0.036,0.007,0.036,0.127,VAN,1610612763.0,14,0.187
55,26.0,0.006,0.015,5,"179,1610612743",52,39,0.52,0.144,0.137,0.206,0.441,0.032,0.0,179,Bryant Stith,0.019,0.026,0.035,0.053,DEN,1610612743.0,13,0.25
56,26.0,0.005,0.005,5,"935,1610612762",81,18,0.534,0.135,0.079,0.163,0.377,0.045,0.0,935,Bryon Russell,0.016,0.036,0.047,0.064,UTA,1610612762.0,63,0.778
57,37.0,0.013,0.008,5,"433,1610612752",74,21,0.553,0.126,0.09,0.197,0.341,0.069,0.001,433,Buck Williams,0.04,0.02,0.031,0.111,NYK,1610612752.0,53,0.716
58,36.0,0.006,0.003,5,"2,1610612747",79,25,0.533,0.164,0.133,0.168,0.435,0.024,0.0,2,Byron Scott,0.014,0.034,0.038,0.038,LAL,1610612747.0,54,0.684
59,25.0,0.004,0.007,5,"384,1610612764",79,37,0.52,0.145,0.136,0.196,0.43,0.042,0.0,384,Calbert Cheaney,0.02,0.03,0.036,0.087,WAS,1610612764.0,42,0.532
60,30.0,0.016,0.015,5,"61,1610612759",75,58,0.554,0.162,0.138,0.199,0.441,0.055,0.001,61,Carl Herrera,0.031,0.008,0.031,0.103,SAS,1610612759.0,17,0.227
