,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,25.0,5,"358,1610612753",1,0,23.2,0.5,0.667,0.571,0.5,0.5,0.421,-0.474,0.474,0.105,0.105,0.263,0.895,0.5,0.333,0.429,358,Anfernee Hardaway,ORL,1610612753,0,0.0
1,29.0,5,"423,1610612751",1,0,11.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,423,Chris Gatling,NJN,1610612751,0,0.0
2,24.0,5,"185,1610612764",1,0,13.9,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,185,Chris Webber,WAS,1610612764,0,0.0
3,27.0,5,"363,1610612737",1,0,25.2,0.333,0.0,0.333,1.0,0.0,0.857,0.0,0.0,0.0,0.143,0.0,0.857,0.667,0.0,0.667,363,Christian Laettner,ATL,1610612737,0,0.0
4,34.0,5,"96,1610612760",1,0,19.6,0.75,1.0,0.8,0.625,0.375,0.727,-0.273,0.273,0.545,0.0,0.364,1.0,0.25,0.0,0.2,96,Detlef Schrempf,SEA,1610612760,0,0.0
5,31.0,5,"87,1610612737",1,0,15.7,1.0,0.0,1.0,1.0,0.0,0.667,0.0,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.0,87,Dikembe Mutombo,ATL,1610612737,0,0.0
6,25.0,5,"224,1610612747",1,0,16.6,0.333,0.0,0.333,0.75,0.25,0.6,0.0,0.0,0.0,0.4,0.0,0.6,0.667,0.0,0.667,224,Eddie Jones,LAL,1610612747,0,0.0
7,28.0,5,"56,1610612760",1,0,28.6,0.167,1.0,0.286,0.667,0.333,0.706,-0.176,0.176,0.235,0.118,0.118,0.882,0.833,0.0,0.714,56,Gary Payton,SEA,1610612760,0,0.0
8,30.0,5,"779,1610612766",1,0,24.5,0.667,1.0,0.8,0.667,0.333,0.462,-0.462,0.462,0.231,0.077,0.077,0.923,0.333,0.0,0.2,779,Glen Rice,CHH,1610612766,0,0.0
9,24.0,5,"255,1610612765",1,0,24.4,1.0,0.0,1.0,1.0,0.0,0.727,0.0,0.0,0.545,0.273,0.182,0.727,0.0,0.0,0.0,255,Grant Hill,DET,1610612765,0,0.0
10,34.0,5,"165,1610612745",1,0,22.8,0.2,0.0,0.2,1.0,0.0,0.909,0.0,0.0,0.0,0.091,0.364,0.909,0.8,0.0,0.8,165,Hakeem Olajuwon,HOU,1610612745,0,0.0
11,34.0,5,"247,1610612765",1,0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,247,Joe Dumars,DET,1610612765,0,0.0
12,35.0,5,"304,1610612762",1,0,19.7,0.333,1.0,0.6,0.667,0.333,0.5,-0.5,0.5,0.0,0.0,0.0,1.0,0.667,0.0,0.4,304,John Stockton,UTA,1610612762,0,0.0
13,33.0,5,"252,1610612762",1,0,20.9,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,252,Karl Malone,UTA,1610612762,0,0.0
14,21.0,5,"708,1610612750",1,0,17.9,1.0,0.0,1.0,1.0,0.0,0.333,0.0,0.0,0.0,0.667,0.0,0.333,0.0,0.0,0.0,708,Kevin Garnett,MIN,1610612750,0,0.0
15,26.0,5,"84,1610612744",1,0,23.0,0.833,0.0,0.714,0.818,0.182,0.632,-0.158,0.158,0.526,0.211,0.316,0.789,0.167,1.0,0.286,84,Latrell Sprewell,GSW,1610612744,0,0.0
16,34.0,5,"893,1610612741",1,0,26.4,0.4,0.0,0.4,1.0,0.0,0.714,0.0,0.0,0.0,0.286,0.214,0.714,0.6,0.0,0.6,893,Michael Jordan,CHI,1610612741,0,0.0
17,32.0,5,"782,1610612758",1,0,21.7,0.0,0.667,0.667,0.429,0.571,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.333,0.333,782,Mitch Richmond,SAC,1610612758,0,0.0
18,31.0,5,"937,1610612741",1,0,24.4,1.0,0.0,1.0,0.667,0.333,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,937,Scottie Pippen,CHI,1610612741,0,0.0
19,27.0,5,"431,1610612760",1,0,21.3,0.667,1.0,0.75,0.571,0.429,0.6,-0.3,0.3,0.6,0.1,0.0,0.9,0.333,0.0,0.25,431,Shawn Kemp,SEA,1610612760,0,0.0
20,27.0,5,"210,1610612739",1,0,17.3,0.5,0.5,0.5,0.6,0.4,0.4,-0.6,0.6,0.0,0.0,0.0,1.0,0.5,0.5,0.5,210,Terrell Brandon,CLE,1610612739,0,0.0
21,30.0,5,"896,1610612748",1,0,14.2,0.0,0.5,0.25,0.455,0.545,0.4,-0.6,0.6,0.2,0.0,0.0,1.0,1.0,0.5,0.75,896,Tim Hardaway,MIA,1610612748,0,0.0
22,27.0,5,"339,1610612750",1,0,16.2,0.0,0.0,0.0,0.8,0.2,0.571,0.0,0.0,0.0,0.429,0.571,0.571,1.0,0.0,1.0,339,Tom Gugliotta,MIN,1610612750,0,0.0
23,25.0,5,"452,1610612749",1,0,21.0,0.375,0.0,0.375,1.0,0.0,0.842,0.0,0.0,0.0,0.158,0.105,0.842,0.625,0.0,0.625,452,Vin Baker,MIL,1610612749,0,0.0
