,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,26.0,5,"358,1610612753",1,0,12.3,0.333,0.0,0.333,0.8,0.2,1.0,0.667,0.0,0.333,0.0,0.667,0.333,0.667,0.0,0.667,358,Anfernee Hardaway,ORL,1610612753,1,1.0
1,21.0,5,"952,1610612738",1,0,15.4,0.0,0.0,0.0,0.625,0.375,1.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,1.0,952,Antoine Walker,BOS,1610612738,1,1.0
2,32.0,5,"764,1610612759",1,1,22.4,1.0,0.0,1.0,1.0,0.0,0.4,0.0,0.0,0.267,0.6,0.0,0.4,0.0,0.0,0.0,764,David Robinson,SAS,1610612759,0,0.0
3,32.0,5,"87,1610612737",1,0,18.5,0.5,0.0,0.5,1.0,0.0,0.889,0.0,0.0,0.222,0.111,0.0,0.889,0.5,0.0,0.5,87,Dikembe Mutombo,ATL,1610612737,1,1.0
4,26.0,5,"224,1610612747",1,1,24.5,0.571,0.0,0.571,0.632,0.368,0.933,0.133,0.0,0.533,0.067,0.267,0.8,0.429,0.0,0.429,224,Eddie Jones,LAL,1610612747,0,0.0
5,29.0,5,"56,1610612760",1,1,24.2,0.0,1.0,0.333,0.571,0.429,0.571,0.0,0.429,0.286,0.0,0.714,0.571,1.0,0.0,0.667,56,Gary Payton,SEA,1610612760,0,0.0
6,31.0,5,"779,1610612766",1,0,16.2,0.0,1.0,0.667,0.571,0.429,0.25,0.125,0.75,0.313,0.0,0.313,0.125,1.0,0.0,0.333,779,Glen Rice,CHH,1610612766,1,1.0
7,25.0,5,"255,1610612765",1,0,27.5,0.667,0.0,0.571,0.909,0.091,0.8,0.267,0.2,0.4,0.0,0.0,0.533,0.333,1.0,0.429,255,Grant Hill,DET,1610612765,1,1.0
8,25.0,5,"467,1610612756",1,1,18.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467,Jason Kidd,PHX,1610612756,0,0.0
9,30.0,5,"420,1610612751",1,0,19.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,420,Jayson Williams,NJN,1610612751,1,1.0
10,34.0,5,"252,1610612762",1,1,17.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,Karl Malone,UTA,1610612762,0,0.0
11,22.0,5,"708,1610612750",1,1,21.4,1.0,0.0,1.0,0.909,0.091,1.0,0.5,0.0,0.333,0.0,0.167,0.5,0.0,0.0,0.0,708,Kevin Garnett,MIN,1610612750,0,0.0
12,19.0,5,"977,1610612747",1,1,22.5,0.6,1.0,0.714,0.813,0.188,0.556,0.111,0.333,0.333,0.111,0.111,0.444,0.4,0.0,0.286,977,Kobe Bryant,LAL,1610612747,0,0.0
