,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,24.0,5,"243,1610612765",5,3,20.2,0.167,1.0,0.286,0.75,0.25,0.8,0.267,0.2,0.0,0.0,0.133,0.533,0.833,0.0,0.714,243,Aaron McKie,DET,1610612765,2,0.4
1,27.0,5,"228,1610612762",8,4,7.5,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.25,0.5,0.5,0.0,0.5,228,Adam Keefe,UTA,1610612762,4,0.5
2,24.0,5,"673,1610612737",10,6,14.1,0.526,0.0,0.526,1.0,0.0,0.655,0.172,0.0,0.034,0.345,0.121,0.483,0.474,0.0,0.474,673,Alan Henderson,ATL,1610612737,4,0.4
3,26.0,5,"275,1610612752",9,3,41.7,0.5,0.846,0.655,0.609,0.391,0.37,0.162,0.451,0.133,0.179,0.156,0.208,0.5,0.154,0.345,275,Allan Houston,NYK,1610612752,6,0.667
4,27.0,5,"297,1610612748",17,9,38.3,0.615,1.0,0.626,0.963,0.037,0.686,0.125,0.03,0.079,0.284,0.119,0.561,0.385,0.0,0.374,297,Alonzo Mourning,MIA,1610612748,8,0.471
5,23.0,5,"1043,1610612753",2,2,3.7,1.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1043,Amal McCaskill,ORL,1610612753,0,0.0
6,25.0,5,"358,1610612753",5,3,45.8,0.244,0.455,0.288,0.73,0.27,0.529,0.168,0.213,0.097,0.258,0.213,0.361,0.756,0.545,0.712,358,Anfernee Hardaway,ORL,1610612753,2,0.4
7,30.0,5,"193,1610612766",3,3,45.9,0.438,0.0,0.438,1.0,0.0,0.821,0.154,0.0,0.0,0.179,0.026,0.667,0.563,0.0,0.563,193,Anthony Mason,CHH,1610612766,0,0.0
8,35.0,5,"156,1610612762",20,7,14.6,0.75,0.0,0.75,1.0,0.0,0.816,0.49,0.0,0.051,0.184,0.112,0.327,0.25,0.0,0.25,156,Antoine Carr,UTA,1610612762,13,0.65
9,32.0,5,"717,1610612757",4,3,27.7,0.5,1.0,0.556,0.81,0.19,0.711,0.089,0.133,0.0,0.156,0.067,0.622,0.5,0.0,0.444,717,Arvydas Sabonis,POR,1610612757,1,0.25
10,28.0,5,"183,1610612741",19,4,18.3,0.66,0.0,0.66,1.0,0.0,0.862,0.121,0.0,0.069,0.138,0.267,0.741,0.34,0.0,0.34,183,Bison Dele,CHI,1610612741,15,0.789
11,26.0,5,"448,1610612746",3,3,23.4,0.667,0.0,0.667,0.909,0.091,0.8,0.0,0.0,0.0,0.2,0.4,0.8,0.333,0.0,0.333,448,Bo Outlaw,LAC,1610612746,0,0.0
12,25.0,5,"699,1610612746",3,3,29.1,0.167,0.8,0.455,0.593,0.407,0.343,0.0,0.429,0.343,0.229,0.257,0.343,0.833,0.2,0.545,699,Brent Barry,LAC,1610612746,0,0.0
13,23.0,5,"967,1610612753",2,2,3.8,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967,Brian Evans,ORL,1610612753,0,0.0
14,31.0,5,"216,1610612753",5,3,17.0,0.0,1.0,0.667,0.684,0.316,0.2,0.0,0.6,0.0,0.2,0.3,0.2,1.0,0.0,0.333,216,Brian Shaw,ORL,1610612753,2,0.4
15,26.0,5,"935,1610612762",20,7,39.3,0.623,0.972,0.764,0.477,0.523,0.433,0.114,0.441,0.167,0.127,0.196,0.318,0.377,0.028,0.236,935,Bryon Russell,UTA,1610612762,13,0.65
16,37.0,5,"433,1610612752",10,4,20.0,0.706,0.0,0.706,1.0,0.0,0.791,0.047,0.0,0.047,0.209,0.209,0.744,0.294,0.0,0.294,433,Buck Williams,NYK,1610612752,6,0.6
17,36.0,5,"2,1610612747",8,4,17.4,0.818,1.0,0.867,0.667,0.333,0.431,0.235,0.235,0.098,0.333,0.235,0.196,0.182,0.0,0.133,2,Byron Scott,LAL,1610612747,4,0.5
18,25.0,5,"384,1610612764",3,3,42.0,0.611,0.0,0.611,0.95,0.05,0.8,0.356,0.0,0.044,0.2,0.178,0.444,0.389,0.0,0.389,384,Calbert Cheaney,WAS,1610612764,0,0.0
19,27.0,5,"76,1610612756",5,3,22.1,0.625,1.0,0.727,0.636,0.364,0.485,0.0,0.273,0.182,0.242,0.121,0.485,0.375,0.0,0.273,76,Cedric Ceballos,PHX,1610612756,2,0.4
20,34.0,5,"787,1610612745",16,7,39.0,0.307,0.545,0.337,0.808,0.192,0.524,0.098,0.115,0.056,0.36,0.157,0.427,0.693,0.455,0.663,787,Charles Barkley,HOU,1610612745,9,0.563
21,40.0,5,"279,1610612745",1,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279,Charles Jones,HOU,1610612745,1,1.0
22,33.0,5,"891,1610612752",10,4,37.2,0.842,0.0,0.842,0.988,0.012,0.776,0.429,0.0,0.092,0.224,0.204,0.347,0.158,0.0,0.158,891,Charles Oakley,NYK,1610612752,6,0.6
23,26.0,5,"369,1610612752",9,3,21.3,0.143,1.0,0.25,0.667,0.333,0.7,0.0,0.15,0.1,0.15,0.25,0.7,0.857,0.0,0.75,369,Charlie Ward,NYK,1610612752,6,0.667
24,24.0,5,"685,1610612750",1,1,12.2,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,685,Cherokee Parks,MIN,1610612750,0,0.0
25,23.0,5,"713,1610612750",1,1,8.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713,Chris Carr,MIN,1610612750,0,0.0
26,29.0,5,"164,1610612752",10,4,33.9,0.138,0.667,0.263,0.701,0.299,0.558,0.269,0.26,0.202,0.183,0.173,0.288,0.862,0.333,0.737,164,Chris Childs,NYK,1610612752,6,0.6
27,32.0,5,"201,1610612757",4,3,18.7,0.4,0.0,0.4,1.0,0.0,0.833,0.0,0.0,0.0,0.167,0.167,0.833,0.6,0.0,0.6,201,Chris Dudley,POR,1610612757,1,0.25
28,31.0,5,"356,1610612762",20,7,9.1,0.667,0.875,0.75,0.5,0.5,0.421,0.105,0.421,0.316,0.158,0.14,0.316,0.333,0.125,0.25,356,Chris Morris,UTA,1610612762,13,0.65
29,24.0,5,"185,1610612764",3,3,37.3,0.714,0.8,0.737,0.633,0.367,0.596,0.128,0.319,0.043,0.085,0.191,0.468,0.286,0.2,0.263,185,Chris Webber,WAS,1610612764,0,0.0
30,25.0,5,"43,1610612764",3,3,7.0,0.0,0.5,0.5,0.2,0.8,0.0,0.0,0.857,0.0,0.143,0.0,0.0,0.0,0.5,0.5,43,Chris Whitney,WAS,1610612764,0,0.0
31,27.0,5,"363,1610612737",10,6,41.4,0.517,1.0,0.548,0.863,0.137,0.659,0.216,0.068,0.023,0.273,0.193,0.443,0.483,0.0,0.452,363,Christian Laettner,ATL,1610612737,4,0.4
32,30.0,5,"361,1610612757",4,3,42.3,0.643,1.0,0.706,0.66,0.34,0.583,0.042,0.188,0.083,0.229,0.146,0.542,0.357,0.0,0.294,361,Clifford Robinson,POR,1610612757,1,0.25
33,35.0,5,"17,1610612745",16,7,40.2,0.373,0.921,0.571,0.577,0.423,0.462,0.093,0.393,0.217,0.145,0.159,0.369,0.627,0.079,0.429,17,Clyde Drexler,HOU,1610612745,9,0.563
34,28.0,5,"916,1610612747",3,0,2.7,1.0,0.0,1.0,1.0,0.0,0.667,0.0,0.0,0.667,0.333,0.0,0.667,0.0,0.0,0.0,916,Corie Blount,LAL,1610612747,3,1.0
35,31.0,5,"105,1610612748",17,9,30.3,0.429,0.88,0.674,0.368,0.632,0.309,-0.022,0.551,0.132,0.14,0.221,0.331,0.571,0.12,0.326,105,Dan Majerle,MIA,1610612748,8,0.471
36,38.0,5,"7,1610612753",5,3,19.1,0.778,0.0,0.778,1.0,0.0,0.818,0.545,0.0,0.0,0.182,0.091,0.273,0.222,0.0,0.222,7,Dan Schayes,ORL,1610612753,2,0.4
37,31.0,5,"330,1610612756",5,3,24.0,0.731,0.0,0.731,0.933,0.067,0.788,0.152,0.0,0.061,0.212,0.227,0.636,0.269,0.0,0.269,330,Danny Manning,PHX,1610612756,2,0.4
38,29.0,5,"353,1610612753",5,3,29.6,0.214,0.5,0.3,0.571,0.429,0.491,0.246,0.316,0.158,0.193,0.298,0.246,0.786,0.5,0.7,353,Darrell Armstrong,ORL,1610612753,2,0.4
39,26.0,5,"239,1610612746",3,3,27.3,0.167,0.6,0.364,0.64,0.36,0.364,0.242,0.455,0.091,0.182,0.212,0.121,0.833,0.4,0.636,239,Darrick Martin,LAC,1610612746,0,0.0
40,25.0,5,"241,1610612737",6,3,5.7,0.5,0.0,0.5,0.8,0.2,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,241,Darrin Hancock,ATL,1610612737,3,0.5
41,33.0,5,"766,1610612760",12,6,16.6,0.875,1.0,0.929,0.53,0.47,0.416,0.156,0.468,0.143,0.117,0.195,0.26,0.125,0.0,0.071,766,David Wingate,SEA,1610612760,6,0.5
42,30.0,5,"1051,1610612750",3,3,40.4,0.667,0.0,0.667,1.0,0.0,0.789,0.053,0.0,0.079,0.211,0.237,0.737,0.333,0.0,0.333,1051,Dean Garrett,MIN,1610612750,0,0.0
43,33.0,5,"209,1610612766",3,3,17.6,0.5,1.0,0.6,0.765,0.235,0.571,0.143,0.214,0.143,0.214,0.286,0.429,0.5,0.0,0.4,209,Dell Curry,CHH,1610612766,0,0.0
44,36.0,5,"23,1610612741",19,4,28.7,0.577,0.5,0.567,0.802,0.198,0.658,0.051,0.152,0.063,0.19,0.215,0.608,0.423,0.5,0.433,23,Dennis Rodman,CHI,1610612741,15,0.789
45,28.0,5,"192,1610612753",5,3,19.2,0.0,1.0,0.5,0.522,0.478,0.4,0.0,0.6,0.0,0.0,0.133,0.4,1.0,0.0,0.5,192,Dennis Scott,ORL,1610612753,2,0.4
46,22.0,5,"965,1610612747",6,3,5.8,0.333,0.0,0.333,0.545,0.455,0.75,0.0,0.0,0.25,0.25,0.0,0.75,0.667,0.0,0.667,965,Derek Fisher,LAL,1610612747,3,0.5
47,29.0,5,"400,1610612753",5,3,40.3,0.429,0.0,0.429,0.975,0.025,0.689,0.033,0.0,0.033,0.311,0.033,0.656,0.571,0.0,0.571,400,Derek Strong,ORL,1610612753,2,0.4
48,34.0,5,"96,1610612760",12,6,39.4,0.667,1.0,0.746,0.796,0.204,0.502,0.148,0.236,0.113,0.261,0.113,0.355,0.333,0.0,0.254,96,Detlef Schrempf,SEA,1610612760,6,0.5
49,31.0,5,"87,1610612737",10,6,42.7,0.352,0.0,0.352,1.0,0.0,0.701,0.117,0.0,0.013,0.299,0.091,0.584,0.648,0.0,0.648,87,Dikembe Mutombo,ATL,1610612737,4,0.4
50,23.0,5,"690,1610612765",1,1,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,690,Don Reid,DET,1610612765,0,0.0
51,31.0,5,"140,1610612766",1,1,4.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,Donald Royal,CHH,1610612766,0,0.0
52,23.0,5,"112,1610612757",3,2,5.4,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,112,Dontonio Wingfield,POR,1610612757,1,0.333
53,30.0,5,"28,1610612750",3,3,30.4,1.0,0.0,1.0,0.909,0.091,0.727,0.424,0.0,0.273,0.273,0.121,0.303,0.0,0.0,0.0,28,Doug West,MIN,1610612750,0,0.0
54,34.0,5,"291,1610612748",2,0,3.1,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,291,Ed Pinckney,MIA,1610612748,2,1.0
55,38.0,5,"698,1610612745",16,7,18.1,0.824,1.0,0.875,0.598,0.402,0.511,0.226,0.316,0.113,0.173,0.143,0.286,0.176,0.0,0.125,698,Eddie Johnson,HOU,1610612745,9,0.563
56,25.0,5,"224,1610612747",9,5,33.2,0.542,0.889,0.636,0.667,0.333,0.475,0.059,0.267,0.356,0.257,0.208,0.416,0.458,0.111,0.364,224,Eddie Jones,LAL,1610612747,4,0.444
57,28.0,5,"922,1610612747",9,5,32.4,0.806,1.0,0.811,0.989,0.011,0.679,0.226,0.028,0.057,0.292,0.123,0.453,0.194,0.0,0.189,922,Elden Campbell,LAL,1610612747,4,0.444
58,29.0,5,"695,1610612737",10,6,12.6,0.429,1.0,0.636,0.577,0.423,0.452,0.258,0.387,0.129,0.161,0.0,0.194,0.571,0.0,0.364,695,Eldridge Recasner,ATL,1610612737,4,0.4
59,26.0,5,"15,1610612746",3,3,13.3,0.0,1.0,0.5,0.545,0.455,0.25,0.0,0.375,0.0,0.375,0.375,0.25,1.0,0.0,0.5,15,Eric Piatkowski,LAC,1610612746,0,0.0
60,24.0,5,"727,1610612760",8,4,6.2,1.0,0.5,0.8,0.636,0.364,0.462,0.154,0.462,0.308,0.077,0.385,0.308,0.0,0.5,0.2,727,Eric Snow,SEA,1610612760,4,0.5
61,28.0,5,"56,1610612760",12,6,47.3,0.213,0.68,0.324,0.706,0.294,0.561,0.07,0.263,0.14,0.175,0.182,0.491,0.788,0.32,0.676,56,Gary Payton,SEA,1610612760,6,0.5
62,22.0,5,"718,1610612757",4,3,16.2,0.769,0.0,0.769,0.966,0.034,0.813,0.125,0.0,0.25,0.188,0.125,0.688,0.231,0.0,0.231,718,Gary Trent,POR,1610612757,1,0.25
63,33.0,5,"786,1610612753",5,3,29.4,0.462,1.0,0.563,0.8,0.2,0.553,0.0,0.191,0.255,0.255,0.234,0.553,0.538,0.0,0.438,786,Gerald Wilkins,ORL,1610612753,2,0.4
64,26.0,5,"49,1610612764",3,3,24.0,0.75,0.0,0.75,1.0,0.0,0.533,0.267,0.0,0.0,0.467,0.0,0.267,0.25,0.0,0.25,49,Gheorghe Muresan,WAS,1610612764,0,0.0
65,30.0,5,"779,1610612766",3,3,47.6,0.409,0.667,0.464,0.719,0.281,0.53,0.289,0.217,0.048,0.253,0.181,0.241,0.591,0.333,0.536,779,Glen Rice,CHH,1610612766,0,0.0
66,24.0,5,"255,1610612765",5,3,42.5,0.2,0.0,0.2,1.0,0.0,0.763,0.322,0.0,0.068,0.237,0.246,0.441,0.8,0.0,0.8,255,Grant Hill,DET,1610612765,2,0.4
67,31.0,5,"3,1610612765",5,3,18.2,0.625,0.0,0.625,0.889,0.111,0.64,0.32,0.0,0.24,0.36,0.32,0.32,0.375,0.0,0.375,3,Grant Long,DET,1610612765,2,0.4
68,28.0,5,"323,1610612762",20,7,15.9,0.808,1.0,0.821,0.889,0.111,0.619,0.262,0.071,0.024,0.31,0.083,0.357,0.192,0.0,0.179,323,Greg Foster,UTA,1610612762,13,0.65
69,26.0,5,"37,1610612760",6,3,7.9,1.0,1.0,1.0,0.714,0.286,0.5,0.0,0.25,0.167,0.25,0.0,0.5,0.0,0.0,0.0,37,Greg Graham,SEA,1610612760,3,0.5
70,24.0,5,"731,1610612762",20,7,23.5,0.618,0.0,0.618,1.0,0.0,0.723,0.021,0.0,0.043,0.277,0.191,0.702,0.382,0.0,0.382,731,Greg Ostertag,UTA,1610612762,13,0.65
71,34.0,5,"165,1610612745",16,7,40.5,0.66,0.0,0.66,0.988,0.012,0.795,0.211,0.0,0.016,0.205,0.108,0.584,0.34,0.0,0.34,165,Hakeem Olajuwon,HOU,1610612745,9,0.563
72,31.0,5,"265,1610612764",3,3,9.8,0.0,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,Harvey Grant,WAS,1610612764,0,0.0
73,31.0,5,"1080,1610612737",8,5,5.8,0.0,1.0,0.667,0.538,0.462,0.25,0.0,0.75,0.0,0.0,0.0,0.25,1.0,0.0,0.333,1080,Henry James,ATL,1610612737,3,0.375
74,39.0,5,"1006,1610612752",3,2,7.3,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,1006,Herb Williams,NYK,1610612752,1,0.333
