,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,34.0,5,"920,1610612742",82,62,32.3,0.744,0.0,0.744,0.993,0.007,0.807,0.477,0.0,0.12,0.193,0.158,0.33,0.256,0.0,0.256,920,A.C. Green,DAL,1610612742,20,0.244
1,25.0,5,"243,1610612755",81,47,22.4,0.717,0.917,0.734,0.835,0.165,0.765,0.422,0.108,0.172,0.127,0.187,0.343,0.283,0.083,0.266,243,Aaron McKie,PHI,1610612755,34,0.42
2,26.0,5,"1425,1610612760",65,16,11.6,0.819,0.0,0.819,0.995,0.005,0.779,0.087,0.0,0.154,0.221,0.181,0.691,0.181,0.0,0.181,1425,Aaron Williams,SEA,1610612760,49,0.754
3,28.0,5,"228,1610612762",80,19,25.6,0.808,0.0,0.808,1.0,0.0,0.739,0.126,0.0,0.176,0.261,0.197,0.613,0.192,0.0,0.192,228,Adam Keefe,UTA,1610612762,61,0.763
4,23.0,5,"1502,1610612744",55,46,12.0,0.493,0.0,0.493,0.994,0.006,0.836,0.097,0.0,0.091,0.164,0.152,0.739,0.507,0.0,0.507,1502,Adonal Foyle,GSW,1610612744,9,0.164
5,31.0,5,"154,1610612742",1,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,Adrian Caldwell,DAL,1610612742,1,1.0
6,25.0,5,"673,1610612737",69,27,29.1,0.569,0.667,0.57,0.992,0.008,0.734,0.187,0.009,0.118,0.257,0.174,0.548,0.431,0.333,0.43,673,Alan Henderson,ATL,1610612737,42,0.609
7,27.0,5,"275,1610612752",82,39,34.7,0.532,0.951,0.592,0.833,0.167,0.648,0.391,0.163,0.112,0.189,0.188,0.257,0.468,0.049,0.408,275,Allan Houston,NYK,1610612752,43,0.524
8,23.0,5,"947,1610612755",80,49,39.4,0.358,0.843,0.41,0.833,0.167,0.659,0.235,0.119,0.207,0.222,0.227,0.423,0.642,0.157,0.59,947,Allen Iverson,PHI,1610612755,31,0.388
9,28.0,5,"297,1610612748",58,19,33.4,0.705,0.0,0.705,1.0,0.0,0.723,0.132,0.0,0.09,0.277,0.146,0.591,0.295,0.0,0.295,297,Alonzo Mourning,MIA,1610612748,39,0.672
10,39.0,5,"175,1610612757",7,2,6.2,0.333,0.0,0.333,1.0,0.0,1.0,0.667,0.0,0.0,0.0,0.0,0.333,0.667,0.0,0.667,175,Alton Lister,POR,1610612757,5,0.714
11,23.0,5,"1541,1610612761",54,30,19.8,0.431,0.556,0.44,0.901,0.099,0.716,0.315,0.083,0.179,0.201,0.16,0.401,0.569,0.444,0.56,1541,Alvin Williams,TOR,1610612761,24,0.444
12,25.0,5,"692,1610612738",81,45,18.8,0.562,0.0,0.562,0.997,0.003,0.77,0.023,0.0,0.103,0.23,0.171,0.747,0.438,0.0,0.438,692,Andrew DeClercq,BOS,1610612738,36,0.444
13,32.0,5,"457,1610612749",57,34,12.1,0.574,0.0,0.574,0.993,0.007,0.711,0.105,0.0,0.099,0.289,0.224,0.605,0.426,0.0,0.426,457,Andrew Lang,MIL,1610612749,23,0.404
14,26.0,5,"358,1610612753",19,9,33.1,0.5,1.0,0.573,0.817,0.183,0.566,0.199,0.145,0.238,0.289,0.206,0.367,0.5,0.0,0.427,358,Anfernee Hardaway,ORL,1610612753,10,0.526
15,34.0,5,"194,1610612752",27,16,8.2,0.828,1.0,0.844,0.917,0.083,0.773,0.453,0.12,0.227,0.107,0.213,0.32,0.172,0.0,0.156,194,Anthony Bowie,NYK,1610612752,11,0.407
16,26.0,5,"924,1610612743",82,71,26.9,0.427,0.81,0.517,0.742,0.258,0.549,0.296,0.252,0.269,0.2,0.218,0.253,0.573,0.19,0.483,924,Anthony Goldwire,DEN,1610612743,11,0.134
17,23.0,5,"1533,1610612758",77,52,29.4,0.576,0.881,0.633,0.79,0.21,0.641,0.24,0.22,0.186,0.139,0.204,0.401,0.424,0.119,0.367,1533,Anthony Johnson,SAC,1610612758,25,0.325
18,31.0,5,"193,1610612766",81,31,38.9,0.478,0.0,0.478,0.995,0.005,0.749,0.125,0.0,0.088,0.251,0.125,0.624,0.522,0.0,0.522,193,Anthony Mason,CHH,1610612766,50,0.617
19,26.0,5,"292,1610612737",37,12,6.2,0.448,0.0,0.448,1.0,0.0,0.734,0.025,0.0,0.152,0.266,0.152,0.709,0.552,0.0,0.552,292,Anthony Miller,ATL,1610612737,25,0.676
20,23.0,5,"1515,1610612755",37,19,5.3,0.438,0.889,0.6,0.556,0.444,0.444,0.25,0.375,0.264,0.181,0.125,0.194,0.563,0.111,0.4,1515,Anthony Parker,PHI,1610612755,18,0.486
21,28.0,5,"324,1610612750",38,19,31.4,0.642,0.868,0.705,0.702,0.298,0.584,0.32,0.339,0.183,0.077,0.207,0.264,0.358,0.132,0.295,324,Anthony Peeler,MIN,1610612750,19,0.5
22,36.0,5,"156,1610612762",66,18,16.4,0.728,0.0,0.728,1.0,0.0,0.799,0.386,0.0,0.058,0.201,0.14,0.413,0.272,0.0,0.272,156,Antoine Carr,UTA,1610612762,48,0.727
23,21.0,5,"952,1610612738",82,46,39.9,0.531,0.901,0.578,0.829,0.171,0.686,0.124,0.148,0.135,0.166,0.247,0.562,0.469,0.099,0.422,952,Antoine Walker,BOS,1610612738,36,0.439
24,23.0,5,"1498,1610612763",74,57,26.4,0.433,0.909,0.456,0.905,0.095,0.75,0.318,0.057,0.228,0.193,0.185,0.432,0.567,0.091,0.544,1498,Antonio Daniels,VAN,1610612763,17,0.23
25,29.0,5,"213,1610612754",82,24,26.8,0.705,0.0,0.705,0.994,0.006,0.647,0.145,0.0,0.098,0.353,0.166,0.502,0.295,0.0,0.295,213,Antonio Davis,IND,1610612754,58,0.707
26,26.0,5,"226,1610612748",6,2,5.0,0.667,0.0,0.667,1.0,0.0,0.5,0.0,0.0,0.167,0.5,0.0,0.5,0.333,0.0,0.333,226,Antonio Lang,MIA,1610612748,4,0.667
27,23.0,5,"686,1610612756",81,26,30.1,0.785,0.0,0.785,0.998,0.002,0.811,0.238,0.0,0.167,0.189,0.175,0.573,0.215,0.0,0.215,686,Antonio McDyess,PHX,1610612756,55,0.679
28,34.0,5,"288,1610612749",82,46,25.8,0.581,0.0,0.581,0.994,0.006,0.71,0.185,0.0,0.125,0.29,0.198,0.526,0.419,0.0,0.419,288,Armen Gilliam,MIL,1610612749,36,0.439
29,33.0,5,"717,1610612757",73,33,31.9,0.676,0.967,0.698,0.861,0.139,0.646,0.074,0.077,0.019,0.277,0.131,0.572,0.324,0.033,0.302,717,Arvydas Sabonis,POR,1610612757,40,0.548
30,23.0,5,"1506,1610612754",26,5,9.4,0.643,0.75,0.656,0.849,0.151,0.737,0.395,0.158,0.118,0.105,0.158,0.342,0.357,0.25,0.344,1506,Austin Croshere,IND,1610612754,21,0.808
31,33.0,5,"422,1610612759",75,25,35.6,0.417,1.0,0.421,0.981,0.019,0.833,0.206,0.008,0.176,0.159,0.171,0.627,0.583,0.0,0.579,422,Avery Johnson,SAS,1610612759,50,0.667
32,30.0,5,"769,1610612766",66,30,12.6,0.604,1.0,0.638,0.836,0.164,0.736,0.421,0.103,0.18,0.161,0.203,0.314,0.396,0.0,0.362,769,B.J. Armstrong,CHH,1610612766,36,0.545
33,25.0,5,"989,1610612752",7,6,1.7,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,989,Ben Davis,NYK,1610612752,1,0.143
34,23.0,5,"1112,1610612764",67,33,16.8,0.659,0.0,0.659,1.0,0.0,0.829,0.0,0.0,0.098,0.171,0.19,0.829,0.341,0.0,0.341,1112,Ben Wallace,WAS,1610612764,34,0.507
