,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,USG_PCT,W,W_PCT
0,25.0,5,"358,1610612753",1,0,23.0,0.231,0.0,0.0,0.15,0.357,0.6,0.196,0.304,0.118,0.154,0.2,0.25,0.0,0.297,0.171,0.5,0.0,358,Anfernee Hardaway,ORL,1610612753,0.159,0,0.0
1,29.0,5,"423,1610612751",1,0,12.0,0.0,0.0,0.0,0.222,0.0,0.0,0.308,0.091,0.0,0.0,0.25,0.2,0.0,0.065,0.231,0.0,0.0,423,Chris Gatling,NJN,1610612751,0.247,0,0.0
2,24.0,5,"185,1610612764",1,0,14.0,0.286,0.0,0.0,0.333,0.0,0.0,0.108,0.071,0.0,0.0,0.111,0.429,0.0,0.065,0.222,0.0,0.5,185,Chris Webber,WAS,1610612764,0.16,0,0.0
3,27.0,5,"363,1610612737",1,0,25.0,0.15,0.0,0.0,0.208,0.0,0.0,0.085,0.1,0.083,0.125,0.231,0.333,0.0,0.091,0.216,0.4,0.286,363,Christian Laettner,ATL,1610612737,0.104,0,0.0
4,34.0,5,"96,1610612760",1,0,20.0,0.2,0.0,0.0,0.214,0.429,0.333,0.195,0.263,0.091,0.0,0.4,0.3,0.0,0.229,0.263,0.0,0.333,96,Detlef Schrempf,SEA,1610612760,0.201,0,0.0
5,31.0,5,"87,1610612737",1,0,16.0,0.0,1.0,0.5,0.273,0.0,0.0,0.133,0.1,0.25,0.167,0.3,0.0,0.0,0.107,0.286,0.0,0.125,87,Dikembe Mutombo,ATL,1610612737,0.142,0,0.0
6,25.0,5,"224,1610612747",1,0,17.0,0.3,0.25,0.0,0.0,0.143,0.0,0.121,0.167,0.467,0.444,0.25,0.167,0.0,0.204,0.05,0.5,0.5,224,Eddie Jones,LAL,1610612747,0.221,0,0.0
7,28.0,5,"56,1610612760",1,0,29.0,0.75,0.0,0.0,0.25,0.385,0.2,0.254,0.259,0.154,0.2,0.0,0.154,0.0,0.246,0.19,0.5,0.364,56,Gary Payton,SEA,1610612760,0.263,0,0.0
8,30.0,5,"779,1610612766",1,0,24.0,0.059,0.0,0.667,0.0,0.444,0.444,0.375,0.323,0.25,0.333,0.077,0.167,0.0,0.338,0.033,0.0,0.143,779,Glen Rice,CHH,1610612766,0.347,0,0.0
9,24.0,5,"255,1610612765",1,0,24.0,0.125,0.0,0.0,0.042,0.0,0.0,0.109,0.143,0.286,0.3,0.182,0.167,0.0,0.159,0.086,0.333,0.333,255,Grant Hill,DET,1610612765,0.153,0,0.0
