,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,USG_PCT,W,W_PCT
0,24.0,5,"243,1610612765",5,3,101.0,0.4,0.4,0.444,0.191,0.152,0.083,0.137,0.111,0.0,0.0,0.067,0.25,0.179,0.087,0.161,0.353,0.15,243,Aaron McKie,DET,1610612765,0.124,2,0.4
1,27.0,5,"228,1610612762",8,4,60.0,0.071,0.143,0.0,0.371,0.0,0.0,0.071,0.047,0.154,0.133,0.3,0.172,0.2,0.066,0.356,0.182,0.083,228,Adam Keefe,UTA,1610612762,0.084,4,0.5
2,24.0,5,"673,1610612737",10,6,141.0,0.0,0.25,0.2,0.275,0.0,0.0,0.168,0.218,0.325,0.317,0.268,0.413,0.375,0.222,0.273,0.1,0.159,673,Alan Henderson,ATL,1610612737,0.186,4,0.4
3,26.0,5,"275,1610612752",9,3,375.0,0.128,0.111,0.273,0.09,0.468,0.591,0.242,0.22,0.203,0.244,0.045,0.077,0.098,0.247,0.08,0.083,0.212,275,Allan Houston,NYK,1610612752,0.234,6,0.667
4,27.0,5,"297,1610612748",17,9,651.0,0.079,0.622,0.186,0.321,0.026,0.028,0.232,0.277,0.427,0.351,0.288,0.246,0.228,0.27,0.312,0.122,0.335,297,Alonzo Mourning,MIA,1610612748,0.272,8,0.471
5,23.0,5,"1043,1610612753",2,2,7.0,0.167,0.0,0.0,0.75,0.0,0.0,0.25,0.222,0.6,0.333,0.0,0.5,0.5,0.208,0.6,0.0,0.0,1043,Amal McCaskill,ORL,1610612753,0.284,0,0.0
6,25.0,5,"358,1610612753",5,3,229.0,0.288,0.28,0.269,0.176,0.366,0.423,0.33,0.377,0.462,0.449,0.159,0.163,0.146,0.396,0.171,0.387,0.158,358,Anfernee Hardaway,ORL,1610612753,0.323,2,0.4
7,30.0,5,"193,1610612766",3,3,138.0,0.176,0.111,0.4,0.412,0.0,0.0,0.175,0.162,0.217,0.146,0.258,0.102,0.091,0.148,0.364,0.059,0.257,193,Anthony Mason,CHH,1610612766,0.189,0,0.0
8,35.0,5,"156,1610612762",20,7,291.0,0.076,0.429,0.189,0.161,0.0,0.0,0.198,0.222,0.141,0.133,0.204,0.372,0.372,0.189,0.171,0.15,0.212,156,Antoine Carr,UTA,1610612762,0.193,13,0.65
9,32.0,5,"717,1610612757",4,3,111.0,0.2,0.429,0.417,0.321,0.178,0.167,0.258,0.254,0.157,0.179,0.286,0.345,0.421,0.233,0.31,0.214,0.214,717,Arvydas Sabonis,POR,1610612757,0.24,1,0.25
10,28.0,5,"183,1610612741",19,4,347.0,0.081,0.267,0.393,0.208,0.0,0.0,0.195,0.216,0.159,0.111,0.33,0.352,0.373,0.179,0.248,0.247,0.171,183,Bison Dele,CHI,1610612741,0.188,15,0.789
