,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,USG_PCT,W,W_PCT
0,,5,"471,",41,28,547.0,0.269,0.232,0.281,0.258,0.21,0.14,0.158,0.124,0.159,0.185,0.21,0.205,0.0,0.138,0.242,0.103,0.182,471,,,,0.162,13,0.317
1,33.0,5,"920,1610612742",83,60,2558.0,0.068,0.084,0.155,0.299,0.026,0.004,0.118,0.133,0.176,0.156,0.339,0.143,0.01,0.13,0.311,0.181,0.093,920,A.C. Green,DAL,1610612742.0,0.119,23,0.277
2,24.0,5,"243,1610612765",83,35,1690.0,0.252,0.124,0.226,0.178,0.166,0.196,0.144,0.132,0.126,0.143,0.103,0.165,0.0,0.138,0.157,0.302,0.176,243,Aaron McKie,DET,1610612765.0,0.147,48,0.578
3,25.0,5,"1425,1610612763",33,29,586.0,0.063,0.408,0.119,0.243,0.005,0.0,0.166,0.224,0.201,0.191,0.403,0.235,0.0,0.205,0.294,0.198,0.157,1425,Aaron Williams,VAN,1610612763.0,0.168,4,0.121
4,27.0,5,"768,1610612749",47,33,521.0,0.111,0.491,0.145,0.205,0.029,0.0,0.223,0.205,0.274,0.254,0.24,0.265,0.0,0.203,0.217,0.165,0.194,768,Acie Earl,MIL,1610612749.0,0.224,14,0.298
5,27.0,5,"228,1610612762",62,14,956.0,0.067,0.169,0.165,0.244,0.005,0.0,0.113,0.116,0.192,0.178,0.355,0.192,0.004,0.125,0.274,0.185,0.137,228,Adam Keefe,UTA,1610612762.0,0.126,48,0.774
6,30.0,5,"154,1610612755",45,33,589.0,0.052,0.143,0.128,0.328,0.01,0.0,0.092,0.09,0.145,0.088,0.302,0.288,0.0,0.085,0.319,0.154,0.141,154,Adrian Caldwell,PHI,1610612755.0,0.105,12,0.267
7,24.0,5,"673,1610612737",30,10,517.0,0.115,0.154,0.333,0.279,0.0,0.0,0.197,0.207,0.282,0.238,0.348,0.275,0.0,0.195,0.304,0.228,0.17,673,Alan Henderson,ATL,1610612737.0,0.202,20,0.667
8,29.0,5,"1059,1610612757",8,4,63.0,0.2,0.0,0.0,0.103,0.318,0.455,0.165,0.178,0.185,0.267,0.1,0.097,0.0,0.216,0.102,0.0,0.238,1059,Aleksandar Djordjevic,POR,1610612757.0,0.179,4,0.5
9,26.0,5,"275,1610612752",81,25,2778.0,0.146,0.067,0.196,0.116,0.447,0.45,0.245,0.223,0.165,0.179,0.068,0.158,0.002,0.229,0.103,0.101,0.165,275,Allan Houston,NYK,1610612752.0,0.223,56,0.691
10,22.0,5,"947,1610612755",76,56,3122.0,0.422,0.076,0.265,0.11,0.428,0.457,0.279,0.261,0.281,0.273,0.113,0.164,0.0,0.274,0.111,0.29,0.307,947,Allen Iverson,PHI,1610612755.0,0.284,20,0.263
11,27.0,5,"297,1610612748",66,17,2395.0,0.099,0.647,0.293,0.323,0.009,0.003,0.245,0.281,0.456,0.418,0.332,0.211,0.015,0.283,0.325,0.146,0.288,297,Alonzo Mourning,MIA,1610612748.0,0.275,49,0.742
12,38.0,5,"175,1610612738",53,45,535.0,0.065,0.35,0.085,0.362,0.0,0.0,0.086,0.086,0.101,0.103,0.42,0.323,0.007,0.086,0.383,0.083,0.17,175,Alton Lister,BOS,1610612738.0,0.1,8,0.151
