,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,USG_PCT,W,W_PCT
0,34.0,5,"920,1610612742",82,62,2647.0,0.118,0.097,0.13,0.296,0.005,0.0,0.119,0.128,0.146,0.136,0.319,0.157,0.1,0.122,0.303,0.193,0.089,920,A.C. Green,DAL,1610612742,0.118,20,0.244
1,25.0,5,"243,1610612755",81,47,1814.0,0.232,0.062,0.148,0.16,0.188,0.128,0.131,0.112,0.048,0.05,0.111,0.19,0.056,0.097,0.144,0.279,0.131,243,Aaron McKie,PHI,1610612755,0.121,34,0.42
2,26.0,5,"1425,1610612760",65,16,757.0,0.034,0.481,0.347,0.215,0.004,0.0,0.18,0.194,0.227,0.237,0.306,0.303,0.125,0.188,0.239,0.117,0.185,1425,Aaron Williams,SEA,1610612760,0.186,49,0.754
3,28.0,5,"228,1610612762",80,19,2047.0,0.077,0.12,0.236,0.203,0.0,0.0,0.13,0.139,0.162,0.164,0.35,0.184,0.2,0.141,0.245,0.154,0.11,228,Adam Keefe,UTA,1610612762,0.131,61,0.763
4,23.0,5,"1502,1610612744",55,46,657.0,0.056,0.542,0.25,0.271,0.007,0.0,0.15,0.154,0.187,0.127,0.309,0.311,0.333,0.145,0.285,0.137,0.203,1502,Adonal Foyle,GSW,1610612744,0.162,9,0.164
5,31.0,5,"154,1610612742",1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,Adrian Caldwell,DAL,1610612742,0.0,1,1.0
6,25.0,5,"673,1610612737",69,27,2006.0,0.094,0.153,0.381,0.196,0.011,0.017,0.233,0.255,0.299,0.261,0.336,0.214,0.2,0.246,0.241,0.123,0.182,673,Alan Henderson,ATL,1610612737,0.234,42,0.609
7,27.0,5,"275,1610612752",82,39,2849.0,0.164,0.114,0.305,0.13,0.275,0.317,0.275,0.275,0.259,0.28,0.062,0.156,0.077,0.278,0.111,0.142,0.222,275,Allan Houston,NYK,1610612752,0.266,43,0.524
8,23.0,5,"947,1610612755",80,49,3152.0,0.355,0.061,0.269,0.115,0.351,0.35,0.271,0.279,0.283,0.28,0.096,0.135,0.0,0.281,0.109,0.307,0.234,947,Allen Iverson,PHI,1610612755,0.267,31,0.388
9,28.0,5,"297,1610612748",58,19,1939.0,0.057,0.556,0.358,0.302,0.0,0.0,0.24,0.287,0.446,0.404,0.379,0.233,0.7,0.29,0.325,0.133,0.307,297,Alonzo Mourning,MIA,1610612748,0.273,39,0.672
